timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,1343618.10000000,31918991.58360000,2.9185,0.7448,0.2552,1.2689,0.5593,0.4407,3.2589,0.7652,0.2348,-0.0007,23.755000,-0.01721769
1715287500000,1343776.50000000,31922754.53400000,2.9200,0.7449,0.2551,1.2696,0.5594,0.4406,3.3122,0.7681,0.2319,-0.0003,23.757000,-0.00699107
1715287800000,1343738.20000000,31892282.43880000,2.9277,0.7454,0.2546,1.2699,0.5594,0.4406,3.3066,0.7678,0.2322,-0.0005,23.734000,-0.01273949
1715288100000,1342669.70000000,31856107.89844750,2.9324,0.7457,0.2543,1.2696,0.5594,0.4406,3.3346,0.7693,0.2307,-0.0009,23.721000,-0.02204272
1715288400000,1342034.80000000,31946397.38264449,2.9185,0.7448,0.2552,1.2692,0.5593,0.4407,3.3403,0.7696,0.2304,-0.0006,23.790000,-0.01365339
1715288700000,1341306.40000000,32021602.91874113,2.9308,0.7456,0.2544,1.2692,0.5593,0.4407,3.3141,0.7682,0.2318,-0.0008,23.864000,-0.01820230
1715289000000,1339749.40000000,31981157.92740000,2.9277,0.7454,0.2546,1.2699,0.5595,0.4405,3.3234,0.7687,0.2313,-0.0007,23.869000,-0.01704521
1715289300000,1339826.60000000,31896905.66840483,2.9324,0.7457,0.2543,1.2704,0.5596,0.4404,3.3159,0.7683,0.2317,-0.0012,23.803000,-0.02860464
1715289600000,1340368.30000000,31934586.31611133,2.9185,0.7448,0.2552,1.2725,0.5600,0.4400,3.3122,0.7681,0.2319,-0.0009,23.823000,-0.02120612
1715289900000,1339797.50000000,31881821.31000000,2.9200,0.7449,0.2551,1.2687,0.5592,0.4408,3.2845,0.7666,0.2334,-0.0006,23.798000,-0.01408313
1715290200000,1339788.60000000,31856872.66033316,2.9417,0.7463,0.2537,1.2702,0.5595,0.4405,3.3048,0.7677,0.2323,-0.0013,23.770000,-0.03148491
1715290500000,1339549.20000000,31808419.34903464,2.9494,0.7468,0.2532,1.2701,0.5595,0.4405,3.3346,0.7693,0.2307,-0.0011,23.735000,-0.02687770
1715290800000,1339652.40000000,31807072.10249981,2.9510,0.7469,0.2531,1.2700,0.5595,0.4405,3.3592,0.7706,0.2294,-0.0013,23.729000,-0.03067966
1715291100000,1339254.90000000,31810174.08574639,2.9401,0.7462,0.2538,1.2694,0.5594,0.4406,3.3611,0.7707,0.2293,-0.0007,23.749000,-0.01777171
1715291400000,1339741.20000000,31912541.84326942,2.9200,0.7449,0.2551,1.2704,0.5596,0.4404,3.3478,0.7700,0.2300,-0.0006,23.816000,-0.01340359
1715291700000,1338648.50000000,31954878.34350000,2.9432,0.7464,0.2536,1.2696,0.5594,0.4406,3.2955,0.7672,0.2328,0.0000,23.870000,-0.00093901
1715292000000,1339168.20000000,31964210.67100595,2.9324,0.7457,0.2543,1.2704,0.5595,0.4405,3.3159,0.7683,0.2317,-0.0009,23.861000,-0.02111368
1715292300000,1339246.70000000,31957104.75540000,2.9355,0.7459,0.2541,1.2697,0.5594,0.4406,3.2680,0.7657,0.2343,-0.0009,23.852000,-0.02258161
1715292600000,1338132.20000000,31949874.07868803,2.9370,0.7460,0.2540,1.2691,0.5593,0.4407,3.2808,0.7664,0.2336,-0.0009,23.867000,-0.02196216
1715292900000,1338915.90000000,32049629.89830000,2.9246,0.7452,0.2548,1.2688,0.5592,0.4408,3.2735,0.7660,0.2340,-0.0004,23.936000,-0.00866812
1715293200000,1339842.50000000,32101286.45750000,2.8971,0.7434,0.2566,1.2665,0.5588,0.4412,3.2517,0.7648,0.2352,-0.0010,23.958000,-0.02492050
1715293500000,1341058.90000000,32128520.55745817,2.9017,0.7437,0.2563,1.2667,0.5588,0.4412,3.2355,0.7639,0.2361,-0.0007,23.959000,-0.01776502
1715293800000,1340772.50000000,32155746.86750000,2.8926,0.7431,0.2569,1.2644,0.5584,0.4416,3.2391,0.7641,0.2359,-0.0008,23.982000,-0.02029565
1715294100000,1338984.40000000,32086543.05139218,2.9093,0.7442,0.2558,1.2658,0.5587,0.4413,3.2463,0.7645,0.2355,-0.0009,23.962000,-0.02201844
1715294400000,1338726.10000000,32189591.42838620,2.9200,0.7449,0.2551,1.2644,0.5584,0.4416,3.2499,0.7647,0.2353,-0.0012,24.031000,-0.02855107
