,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,344394324.0,3129683.41935,2.827,0.7387,0.2613,1.2774,0.5609,0.4391,2.7651,0.7344,0.2656,,,,,,,
1,1715287200000,344472766.0,3136769.007196,2.827,0.7387,0.2613,1.2754,0.5605,0.4395,2.7636,0.7343,0.2657,,,,,,,
2,1715287500000,344657966.0,3136952.72966424,2.8139,0.7378,0.2622,1.2747,0.5604,0.4396,2.7523,0.7335,0.2665,,,,,,,
3,1715287800000,344590858.0,3136514.23223612,2.8344,0.7392,0.2608,1.2752,0.5605,0.4395,2.7722,0.7349,0.2651,,,,,,,
4,1715288100000,344469194.0,3138875.63425874,2.8388,0.7395,0.2605,1.2757,0.5606,0.4394,2.7779,0.7353,0.2647,,,,,,,
5,1715288400000,344425149.0,3137812.99068321,2.8197,0.7382,0.2618,1.2717,0.5598,0.4402,2.7722,0.7349,0.2651,,,,,,,
6,1715288700000,344762148.0,3150574.4132832,2.7908,0.7362,0.2638,1.2701,0.5595,0.4405,2.7764,0.7352,0.2648,,,,,,,
7,1715289000000,344693075.0,3150973.82887425,2.7821,0.7356,0.2644,1.2695,0.5594,0.4406,2.7608,0.7341,0.2659,,,,,,,
8,1715289300000,344279392.0,3138795.216864,2.785,0.7358,0.2642,1.271,0.5597,0.4403,2.7679,0.7346,0.2654,,,,,,,
9,1715289600000,344270035.0,3135955.748815,2.7936,0.7364,0.2636,1.2723,0.5599,0.4401,2.7651,0.7344,0.2656,,,,,,,
10,1715289900000,344294868.0,3131361.82446,2.8183,0.7381,0.2619,1.2686,0.5592,0.4408,2.8241,0.7385,0.2615,,,,,,,
11,1715290200000,344320931.0,3130107.95781377,2.8066,0.7373,0.2627,1.2691,0.5593,0.4407,2.8139,0.7378,0.2622,,,,,,,
12,1715290500000,344433665.0,3130750.4640374,2.7979,0.7367,0.2633,1.2706,0.5596,0.4404,2.7936,0.7364,0.2636,,,,,,,
13,1715290800000,344633375.0,3133751.278875,2.7979,0.7367,0.2633,1.2709,0.5596,0.4404,2.7836,0.7357,0.2643,,,,,,,
14,1715291100000,344830471.0,3139850.40538579,2.8066,0.7373,0.2627,1.271,0.5597,0.4403,2.7736,0.735,0.265,,,,,,,
15,1715291400000,344943879.0,3139679.186658,2.7979,0.7367,0.2633,1.271,0.5597,0.4403,2.775,0.7351,0.2649,,,,,,,
16,1715291700000,345274224.0,3145855.60422432,2.7908,0.7362,0.2638,1.2692,0.5593,0.4407,2.7764,0.7352,0.2648,,,,,,,
17,1715292000000,345244316.0,3146090.6161974,2.7951,0.7365,0.2635,1.2699,0.5594,0.4406,2.7779,0.7353,0.2647,,,,,,,
18,1715292300000,345905994.0,3150165.887358,2.7821,0.7356,0.2644,1.2721,0.5599,0.4401,2.7622,0.7342,0.2658,,,,,,,
19,1715292600000,345870699.0,3151445.83712937,2.7836,0.7357,0.2643,1.2732,0.5601,0.4399,2.7467,0.7331,0.2669,,,,,,,
20,1715292900000,345866601.0,3155365.21158507,2.7779,0.7353,0.2647,1.2721,0.5599,0.4401,2.7622,0.7342,0.2658,,,,,,,
21,1715293200000,346401520.0,3159105.6540656,2.775,0.7351,0.2649,1.2722,0.5599,0.4401,2.7538,0.7336,0.2664,,,,,,,
22,1715293500000,346294498.0,3159251.63114396,2.7764,0.7352,0.2648,1.2724,0.5599,0.4401,2.7608,0.7341,0.2659,,,,,,,
23,1715293800000,346474751.0,3162683.89258318,2.7736,0.735,0.265,1.2721,0.5599,0.4401,2.7481,0.7332,0.2668,,,,,,,
24,1715294100000,346655545.0,3164140.0856529,2.7523,0.7335,0.2665,1.2715,0.5598,0.4402,2.7272,0.7317,0.2683,,,,,,,
25,1715294400000,347149103.0,3177733.4590414,2.7467,0.7331,0.2669,1.2683,0.5591,0.4409,2.7538,0.7336,0.2664,,,,,,,
26,1715294700000,347118495.0,3184635.16119255,2.7313,0.732,0.268,1.2691,0.5593,0.4407,2.7355,0.7323,0.2677,,,,,,,
27,1715295000000,347574967.0,3196236.83303794,2.7566,0.7338,0.2662,1.2634,0.5582,0.4418,2.7538,0.7336,0.2664,,,,,,,
28,1715295300000,347299474.0,3192831.72731894,2.7313,0.732,0.268,1.2641,0.5583,0.4417,2.7216,0.7313,0.2687,,,,,,,
29,1715295600000,351666468.0,3232468.94055048,2.7383,0.7325,0.2675,1.2613,0.5578,0.4422,2.723,0.7314,0.2686,,,,,,,
30,1715295900000,350926992.0,3223917.14572512,2.7037,0.73,0.27,1.2632,0.5582,0.4418,2.6443,0.7256,0.2744,,,,,,,
31,1715296200000,350501240.0,3214036.7855892,2.7286,0.7318,0.2682,1.2654,0.5586,0.4414,2.6643,0.7271,0.2729,,,,,,,
32,1715296500000,350917925.0,3213355.439225,2.7552,0.7337,0.2663,1.2661,0.5587,0.4413,2.6996,0.7297,0.2703,,,,,,,
33,1715296800000,350442831.0,3210263.09323029,2.7566,0.7338,0.2662,1.268,0.5591,0.4409,2.6969,0.7295,0.2705,,,,,,,
34,1715297100000,350328197.0,3205114.13825133,2.7538,0.7336,0.2664,1.2682,0.5591,0.4409,2.6832,0.7285,0.2715,,,,,,,
35,1715297400000,349994154.0,3208095.41474556,2.7327,0.7321,0.2679,1.2696,0.5594,0.4406,2.6523,0.7262,0.2738,,,,,,,
36,1715297700000,352329094.0,3224184.67893964,2.7679,0.7346,0.2654,1.2644,0.5584,0.4416,2.7189,0.7311,0.2689,,,,,,,
37,1715298000000,352254991.0,3220315.127722,2.7608,0.7341,0.2659,1.2642,0.5583,0.4417,2.6941,0.7293,0.2707,,,,,,,
38,1715298300000,352214816.0,3219676.64246368,2.7651,0.7344,0.2656,1.265,0.5585,0.4415,2.6928,0.7292,0.2708,,,,,,,
39,1715298600000,352003799.0,3225125.68715981,2.7608,0.7341,0.2659,1.2648,0.5585,0.4415,2.6996,0.7297,0.2703,,,,,,,
40,1715298900000,351803909.0,3226724.34511346,2.7341,0.7322,0.2678,1.2652,0.5585,0.4415,2.6684,0.7274,0.2726,,,,,,,
41,1715299200000,352126620.0,3229001.1054,2.758,0.7339,0.2661,1.2658,0.5586,0.4414,2.667,0.7273,0.2727,,,,,,,
42,1715299500000,352362457.0,3222463.90162667,2.7879,0.736,0.264,1.2648,0.5585,0.4415,2.723,0.7314,0.2686,,,,,,,
43,1715299800000,352519607.0,3229770.53854972,2.758,0.7339,0.2661,1.2627,0.5581,0.4419,2.6982,0.7296,0.2704,,,,,,,
44,1715300100000,352417805.0,3228499.511605,2.7807,0.7355,0.2645,1.2637,0.5582,0.4418,2.7272,0.7317,0.2683,,,,,,,
45,1715300400000,352106789.0,3225942.54266387,2.775,0.7351,0.2649,1.2639,0.5583,0.4417,2.7189,0.7311,0.2689,,,,,,,
46,1715300700000,352199374.0,3224033.069596,2.7722,0.7349,0.2651,1.2631,0.5581,0.4419,2.7161,0.7309,0.2691,,,,,,,
47,1715301000000,352575656.0,3225362.101088,2.7594,0.734,0.266,1.2615,0.5578,0.4422,2.6982,0.7296,0.2704,,,,,,,
48,1715301300000,352611591.0,3228374.20867551,2.758,0.7339,0.2661,1.2624,0.558,0.442,2.6982,0.7296,0.2704,,,,,,,
49,1715301600000,352387383.0,3225651.91164093,2.7707,0.7348,0.2652,1.2605,0.5576,0.4424,2.7064,0.7302,0.2698,,,,,,,
50,1715301900000,352226020.0,3225333.66514,2.7779,0.7353,0.2647,1.261,0.5577,0.4423,2.7147,0.7308,0.2692,,,,,,,
51,1715302200000,351810650.0,3215264.3743735,2.8124,0.7377,0.2623,1.264,0.5583,0.4417,2.7453,0.733,0.267,,,,,,,
52,1715302500000,351969122.0,3217008.33415366,2.8197,0.7382,0.2618,1.2621,0.5579,0.4421,2.7594,0.734,0.266,,,,,,,
53,1715302800000,352000322.0,3217096.38290934,2.8153,0.7379,0.2621,1.2597,0.5575,0.4425,2.7679,0.7346,0.2654,,,,,,,
54,1715303100000,351823352.0,3222019.36701712,2.811,0.7376,0.2624,1.2602,0.5576,0.4424,2.7594,0.734,0.266,,,,,,,
55,1715303400000,351737478.0,3215584.023876,2.7965,0.7366,0.2634,1.259,0.5573,0.4427,2.7369,0.7324,0.2676,,,,,,,
56,1715303700000,352028616.0,3213669.235464,2.8476,0.7401,0.2599,1.2591,0.5573,0.4427,2.723,0.7314,0.2686,,,,,,,
57,1715304000000,351580530.0,3222362.1264408,2.8745,0.7419,0.2581,1.2603,0.5576,0.4424,2.7313,0.732,0.268,,,,,,,
58,1715304300000,351622089.0,3229859.8607184,2.861,0.741,0.259,1.2616,0.5578,0.4422,2.7327,0.7321,0.2679,,,,,,,
59,1715304600000,351213273.0,3233269.391238,2.7994,0.7368,0.2632,1.2622,0.558,0.442,2.7327,0.7321,0.2679,,,,,,,
60,1715304900000,351258183.0,3234142.98091773,2.7779,0.7353,0.2647,1.2608,0.5577,0.4423,2.7821,0.7356,0.2644,,,,,,,
61,1715305200000,351075897.0,3239026.225722,2.7665,0.7345,0.2655,1.2625,0.558,0.442,2.7736,0.735,0.265,,,,,,,
62,1715305500000,350708933.0,3227223.601466,2.7779,0.7353,0.2647,1.2622,0.5579,0.4421,2.7994,0.7368,0.2632,,,,,,,
63,1715305800000,351135022.0,3227984.257246,2.7693,0.7347,0.2653,1.2598,0.5575,0.4425,2.8183,0.7381,0.2619,,,,,,,
64,1715306100000,351257407.0,3231989.6532884,2.7651,0.7344,0.2656,1.2594,0.5574,0.4426,2.8197,0.7382,0.2618,,,,,,,
65,1715306400000,351229894.0,3230661.73719716,2.8052,0.7372,0.2628,1.2677,0.559,0.441,2.8124,0.7377,0.2623,,,,,,,
66,1715306700000,351007647.0,3224675.66230077,2.7893,0.7361,0.2639,1.2696,0.5594,0.4406,2.8344,0.7392,0.2608,,,,,,,
67,1715307000000,351263946.0,3227054.84662308,2.8358,0.7393,0.2607,1.2687,0.5592,0.4408,2.8285,0.7388,0.2612,,,,,,,
68,1715307300000,351540941.0,3222575.806147,2.8008,0.7369,0.2631,1.2686,0.5592,0.4408,2.8344,0.7392,0.2608,,,,,,,
69,1715307600000,351663004.0,3228203.07737928,2.8462,0.74,0.26,1.2689,0.5593,0.4407,2.8329,0.7391,0.2609,,,,,,,
70,1715307900000,351840987.0,3230540.61125634,2.8329,0.7391,0.2609,1.2683,0.5591,0.4409,2.8139,0.7378,0.2622,,,,,,,
71,1715308200000,351773176.0,3229277.75568,2.8462,0.74,0.26,1.2694,0.5594,0.4406,2.811,0.7376,0.2624,,,,,,,
72,1715308500000,351390580.0,3233144.72658,2.8241,0.7385,0.2615,1.2708,0.5596,0.4404,2.7764,0.7352,0.2648,,,,,,,
73,1715308800000,351457593.0,3230949.652449,2.8183,0.7381,0.2619,1.2684,0.5592,0.4408,2.7722,0.7349,0.2651,,,,,,,
74,1715309100000,351407684.0,3233238.84710088,2.83,0.7389,0.2611,1.2669,0.5589,0.4411,2.7836,0.7357,0.2643,,,,,,,
75,1715309400000,351300536.0,3225992.822088,2.8329,0.7391,0.2609,1.2674,0.559,0.441,2.8008,0.7369,0.2631,,,,,,,
76,1715309700000,351387398.0,3223589.33663822,2.8358,0.7393,0.2607,1.2674,0.559,0.441,2.8037,0.7371,0.2629,,,,,,,
77,1715310000000,351389623.0,3225756.73914,2.8491,0.7402,0.2598,1.2676,0.559,0.441,2.8139,0.7378,0.2622,,,,,,,
78,1715310300000,351928433.0,3222256.732548,2.8745,0.7419,0.2581,1.266,0.5587,0.4413,2.8183,0.7381,0.2619,,,,,,,
79,1715310600000,352060552.0,3228141.77824256,2.876,0.742,0.258,1.2653,0.5586,0.4414,2.8226,0.7384,0.2616,,,,,,,
80,1715310900000,352747779.0,3229455.30143406,2.8745,0.7419,0.2581,1.2615,0.5578,0.4422,2.8344,0.7392,0.2608,,,,,,,
81,1715311200000,353026387.0,3232214.28224751,2.8956,0.7433,0.2567,1.2615,0.5578,0.4422,2.8715,0.7417,0.2583,,,,,,,
82,1715311500000,353412780.0,3237084.35841,2.876,0.742,0.258,1.2606,0.5576,0.4424,2.858,0.7408,0.2592,,,,,,,
83,1715311800000,353408193.0,3240845.01594018,2.8715,0.7417,0.2583,1.2609,0.5577,0.4423,2.8551,0.7406,0.2594,,,,,,,
84,1715312100000,352995301.0,3229974.07325719,2.8685,0.7415,0.2585,1.2647,0.5584,0.4416,2.8551,0.7406,0.2594,,,,,,,
85,1715312400000,352894688.0,3229939.2108576,2.873,0.7418,0.2582,1.2647,0.5584,0.4416,2.861,0.741,0.259,,,,,,,
86,1715312700000,353136274.0,3232574.1385686,2.864,0.7412,0.2588,1.2637,0.5582,0.4418,2.8551,0.7406,0.2594,,,,,,,
87,1715313000000,352978077.0,3229830.58950771,2.882,0.7424,0.2576,1.2626,0.558,0.442,2.873,0.7418,0.2582,,,,,,,
88,1715313300000,352630753.0,3234269.31928799,2.864,0.7412,0.2588,1.2627,0.5581,0.4419,2.8595,0.7409,0.2591,,,,,,,
89,1715313600000,352823953.0,3233892.61897022,2.8595,0.7409,0.2591,1.2626,0.558,0.442,2.8595,0.7409,0.2591,,,,,,,
90,1715313900000,352615760.0,3233839.13496,2.876,0.742,0.258,1.2593,0.5574,0.4426,2.864,0.7412,0.2588,,,,,,,
91,1715314200000,352661122.0,3228732.47669148,2.8835,0.7425,0.2575,1.2606,0.5576,0.4424,2.8865,0.7427,0.2573,,,,,,,
