,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,105542933.0,5248797.8181962,2.647,0.7258,0.2742,0.9898,0.4974,0.5026,2.4977,0.7141,0.2859,,,,,,,
1,1715287200000,105542282.0,5261043.17671986,2.6193,0.7237,0.2763,0.9896,0.4974,0.5026,2.4831,0.7129,0.2871,,,,,,,
2,1715287500000,105417826.0,5268782.94348,2.639,0.7252,0.2748,0.9907,0.4977,0.5023,2.5311,0.7168,0.2832,,,,,,,
3,1715287800000,105380667.0,5259056.96225511,2.5984,0.7221,0.2779,0.9906,0.4976,0.5024,2.5026,0.7145,0.2855,,,,,,,
4,1715288100000,105325947.0,5247338.67954,2.5855,0.7211,0.2789,0.9907,0.4977,0.5023,2.5002,0.7143,0.2857,,,,,,,
5,1715288400000,105251346.0,5244691.41139536,2.5702,0.7199,0.2801,0.9918,0.4979,0.5021,2.4674,0.7116,0.2884,,,,,,,
6,1715288700000,105259517.0,5273809.15948964,2.5651,0.7195,0.2805,0.9923,0.4981,0.5019,2.4566,0.7107,0.2893,,,,,,,
7,1715289000000,105233812.0,5278205.99445528,2.5638,0.7194,0.2806,0.9931,0.4983,0.5017,2.4459,0.7098,0.2902,,,,,,,
8,1715289300000,105120153.0,5258505.30483528,2.5663,0.7196,0.2804,0.9944,0.4986,0.5014,2.4518,0.7103,0.2897,,,,,,,
9,1715289600000,105110795.0,5246182.7870291,2.5829,0.7209,0.2791,0.9939,0.4985,0.5015,2.4746,0.7122,0.2878,,,,,,,
10,1715289900000,105089076.0,5234079.12994512,2.5778,0.7205,0.2795,0.994,0.4985,0.5015,2.4771,0.7124,0.2876,,,,,,,
11,1715290200000,105064511.0,5229536.65470483,2.5817,0.7208,0.2792,0.9951,0.4988,0.5012,2.4542,0.7105,0.2895,,,,,,,
12,1715290500000,105006240.0,5219454.8663136,2.574,0.7202,0.2798,0.995,0.4988,0.5012,2.4554,0.7106,0.2894,,,,,,,
13,1715290800000,104879986.0,5215918.73254836,2.5625,0.7193,0.2807,0.995,0.4987,0.5013,2.4507,0.7102,0.2898,,,,,,,
14,1715291100000,104848804.0,5216227.999,2.5651,0.7195,0.2805,0.9948,0.4987,0.5013,2.4638,0.7113,0.2887,,,,,,,
15,1715291400000,104805688.0,5211971.1433868,2.5474,0.7181,0.2819,0.9944,0.4986,0.5014,2.4258,0.7081,0.2919,,,,,,,
16,1715291700000,104830602.0,5228950.42776,2.5461,0.718,0.282,0.9954,0.4988,0.5012,2.4317,0.7086,0.2914,,,,,,,
17,1715292000000,104781874.0,5217502.34704356,2.5162,0.7156,0.2844,0.9969,0.4992,0.5008,2.3956,0.7055,0.2945,,,,,,,
18,1715292300000,104669165.0,5224297.6046792,2.5137,0.7154,0.2846,0.999,0.4998,0.5002,2.375,0.7037,0.2963,,,,,,,
19,1715292600000,104492957.0,5231222.54685444,2.5386,0.7174,0.2826,0.9988,0.4997,0.5003,2.3875,0.7048,0.2952,,,,,,,
