,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,552686895.0,10473179.00488515,1.5119,0.6019,0.3981,1.3994,0.5832,0.4168,1.5661,0.6103,0.3897,,,,,,,
1,1715287200000,553221117.0,10519112.2849731,1.531,0.6049,0.3951,1.4006,0.5834,0.4166,1.5833,0.6129,0.3871,,,,,,,
2,1715287500000,552445831.0,10470505.834943,1.5342,0.6054,0.3946,1.4104,0.5851,0.4149,1.5786,0.6122,0.3878,,,,,,,
3,1715287800000,552990907.0,10465540.93188338,1.5265,0.6042,0.3958,1.4082,0.5848,0.4152,1.572,0.6112,0.3888,,,,,,,
4,1715288100000,552643867.0,10452451.88425918,1.5246,0.6039,0.3961,1.4061,0.5844,0.4156,1.5714,0.6111,0.3889,,,,,,,
5,1715288400000,552284562.0,10457392.20171198,1.5246,0.6039,0.3961,1.405,0.5842,0.4158,1.57,0.6109,0.3891,,,,,,,
6,1715288700000,552770064.0,10526400.328752,1.4882,0.5981,0.4019,1.4085,0.5848,0.4152,1.5342,0.6054,0.3946,,,,,,,
7,1715289000000,554199719.0,10579523.00178587,1.482,0.5971,0.4029,1.4107,0.5852,0.4148,1.5355,0.6056,0.3944,,,,,,,
8,1715289300000,554705560.0,10548314.2112936,1.4882,0.5981,0.4019,1.4136,0.5857,0.4143,1.5465,0.6073,0.3927,,,,,,,
9,1715289600000,553568390.0,10508942.31576,1.4863,0.5978,0.4022,1.4152,0.586,0.414,1.5465,0.6073,0.3927,,,,,,,
10,1715289900000,553556393.0,10507607.451926,1.4938,0.599,0.401,1.4157,0.586,0.414,1.5478,0.6075,0.3925,,,,,,,
11,1715290200000,553409812.0,10509252.32988,1.4863,0.5978,0.4022,1.4155,0.586,0.414,1.5439,0.6069,0.3931,,,,,,,
12,1715290500000,552941936.0,10529673.287248,1.4826,0.5972,0.4028,1.4168,0.5862,0.4138,1.5394,0.6062,0.3938,,,,,,,
13,1715290800000,552623325.0,10521754.68983625,1.4685,0.5949,0.4051,1.4098,0.585,0.415,1.5471,0.6074,0.3926,,,,,,,
14,1715291100000,551848183.0,10545818.77713,1.4643,0.5942,0.4058,1.41,0.5851,0.4149,1.551,0.608,0.392,,,,,,,
15,1715291400000,552623645.0,10569656.6738364,1.4618,0.5938,0.4062,1.4057,0.5843,0.4157,1.5323,0.6051,0.3949,,,,,,,
16,1715291700000,553701686.0,10661243.57607014,1.46,0.5935,0.4065,1.4032,0.5839,0.4161,1.5381,0.606,0.394,,,,,,,
17,1715292000000,553459976.0,10638679.60846888,1.4396,0.5901,0.4099,1.3964,0.5827,0.4173,1.517,0.6027,0.3973,,,,,,,
18,1715292300000,553625184.0,10702809.39088032,1.4474,0.5914,0.4086,1.398,0.583,0.417,1.5342,0.6054,0.3946,,,,,,,
19,1715292600000,552649770.0,10667798.51031,1.4468,0.5913,0.4087,1.4015,0.5836,0.4164,1.5387,0.6061,0.3939,,,,,,,
20,1715292900000,552832366.0,10657248.04885964,1.4606,0.5936,0.4064,1.3932,0.5821,0.4179,1.5867,0.6134,0.3866,,,,,,,
21,1715293200000,549224283.0,10553893.822128,1.448,0.5915,0.4085,1.3916,0.5819,0.4181,1.5426,0.6067,0.3933,,,,,,,
22,1715293500000,551010082.0,10662480.38466478,1.448,0.5915,0.4085,1.3894,0.5815,0.4185,1.5523,0.6082,0.3918,,,,,,,
