,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9999803.0,38394243.6185,0.9369,0.4837,0.5163,1.6149,0.6176,0.3824,1.058,0.5141,0.4859,,,,,,,
1,1715287200000,10005393.0,38430461.27650317,0.9372,0.4838,0.5162,1.6161,0.6178,0.3822,1.0589,0.5143,0.4857,,,,,,,
2,1715287500000,10006600.0,38594360.97763,0.941,0.4848,0.5152,1.6169,0.6179,0.3821,1.0636,0.5154,0.4846,,,,,,,
3,1715287800000,10003753.0,38845541.16225287,0.9227,0.4799,0.5201,1.6195,0.6182,0.3818,1.0687,0.5166,0.4834,,,,,,,
4,1715288100000,10029122.0,39225859.64350516,0.9309,0.4821,0.5179,1.6205,0.6184,0.3816,1.0773,0.5186,0.4814,,,,,,,
5,1715288400000,10030559.0,39549461.08972859,0.9369,0.4837,0.5163,1.6203,0.6184,0.3816,1.0851,0.5204,0.4796,,,,,,,
6,1715288700000,10012977.0,39278437.66840617,0.9478,0.4866,0.5134,1.6294,0.6197,0.3803,1.0877,0.521,0.479,,,,,,,
7,1715289000000,10031749.0,39264009.97703548,0.9478,0.4866,0.5134,1.627,0.6193,0.3807,1.0881,0.5211,0.4789,,,,,,,
8,1715289300000,9968826.0,38714758.39852152,0.9554,0.4886,0.5114,1.6314,0.62,0.38,1.0825,0.5198,0.4802,,,,,,,
9,1715289600000,9944437.0,38646071.0694,0.9463,0.4862,0.5138,1.6308,0.6199,0.3801,1.0738,0.5178,0.4822,,,,,,,
10,1715289900000,9943806.0,38789792.8254,0.947,0.4864,0.5136,1.6307,0.6199,0.3801,1.0725,0.5175,0.4825,,,,,,,
11,1715290200000,9949658.0,38923600.17350464,0.9486,0.4868,0.5132,1.63,0.6198,0.3802,1.0807,0.5194,0.4806,,,,,,,
12,1715290500000,9915031.0,38815918.30308507,0.967,0.4916,0.5084,1.6345,0.6204,0.3796,1.103,0.5245,0.4755,,,,,,,
13,1715290800000,9886979.0,38598968.30359034,0.9767,0.4941,0.5059,1.6382,0.621,0.379,1.1035,0.5246,0.4754,,,,,,,
14,1715291100000,9855509.0,38509415.8666,0.9743,0.4935,0.5065,1.6387,0.621,0.379,1.0938,0.5224,0.4776,,,,,,,
15,1715291400000,9856487.0,38809200.40450588,0.9662,0.4914,0.5086,1.6402,0.6212,0.3788,1.0877,0.521,0.479,,,,,,,
16,1715291700000,9838632.0,38648392.45891296,0.9759,0.4939,0.5061,1.6436,0.6217,0.3783,1.096,0.5229,0.4771,,,,,,,
17,1715292000000,9844142.0,38674715.72054552,0.9763,0.494,0.506,1.6439,0.6218,0.3782,1.0925,0.5221,0.4779,,,,,,,
18,1715292300000,9821886.0,38647569.74844972,0.9802,0.495,0.505,1.645,0.6219,0.3781,1.111,0.5263,0.4737,,,,,,,
19,1715292600000,9821364.0,38477772.36375912,0.9829,0.4957,0.5043,1.643,0.6216,0.3784,1.107,0.5254,0.4746,,,,,,,
20,1715292900000,9813148.0,38394759.9665432,0.9829,0.4957,0.5043,1.6453,0.622,0.378,1.1066,0.5253,0.4747,,,,,,,
21,1715293200000,9816873.0,38602739.30340564,0.9802,0.495,0.505,1.6446,0.6219,0.3781,1.1057,0.5251,0.4749,,,,,,,
22,1715293500000,9809239.0,38465057.46812817,0.9775,0.4943,0.5057,1.6481,0.6224,0.3776,1.0925,0.5221,0.4779,,,,,,,
23,1715293800000,9803449.0,38387088.39990024,0.9802,0.495,0.505,1.6463,0.6221,0.3779,1.0956,0.5228,0.4772,,,,,,,
24,1715294100000,9765786.0,37858129.30975458,1.0,0.5,0.5,1.6702,0.6255,0.3745,1.1053,0.525,0.475,,,,,,,
25,1715294400000,9749847.0,37838181.2223,1.0004,0.5001,0.4999,1.6694,0.6254,0.3746,1.1084,0.5257,0.4743,,,,,,,
26,1715294700000,9780766.0,38109402.43029284,0.9952,0.4988,0.5012,1.6526,0.623,0.377,1.0973,0.5232,0.4768,,,,,,,
27,1715295000000,9730568.0,37720965.7529524,1.0016,0.5004,0.4996,1.667,0.6251,0.3749,1.0916,0.5219,0.4781,,,,,,,
28,1715295300000,9712998.0,37694202.6384,0.9984,0.4996,0.5004,1.6683,0.6252,0.3748,1.0942,0.5225,0.4775,,,,,,,
29,1715295600000,9709194.0,37487198.034,1.0012,0.5003,0.4997,1.6714,0.6257,0.3743,1.0851,0.5204,0.4796,,,,,,,
30,1715295900000,9710953.0,37366537.35347526,0.9861,0.4965,0.5035,1.6708,0.6256,0.3744,1.0687,0.5166,0.4834,,,,,,,
31,1715296200000,9735617.0,37549301.2073,0.9708,0.4926,0.5074,1.6595,0.624,0.376,1.0521,0.5127,0.4873,,,,,,,
32,1715296500000,9737431.0,37608141.55665589,0.9739,0.4934,0.5066,1.6608,0.6242,0.3758,1.0589,0.5143,0.4857,,,,,,,
33,1715296800000,9739172.0,37531542.59249156,0.9857,0.4964,0.5036,1.6647,0.6247,0.3753,1.0678,0.5164,0.4836,,,,,,,
34,1715297100000,9714505.0,37301756.299,0.9908,0.4977,0.5023,1.6705,0.6255,0.3745,1.0713,0.5172,0.4828,,,,,,,
35,1715297400000,9703600.0,37106566.4,0.9912,0.4978,0.5022,1.6748,0.6261,0.3739,1.0644,0.5156,0.4844,,,,,,,
36,1715297700000,9701670.0,37113738.585,0.9849,0.4962,0.5038,1.677,0.6264,0.3736,1.061,0.5148,0.4852,,,,,,,
37,1715298000000,9706600.0,37087075.219594,0.9893,0.4973,0.5027,1.6761,0.6263,0.3737,1.0631,0.5153,0.4847,,,,,,,
38,1715298300000,9699299.0,36999915.8953,0.9869,0.4967,0.5033,1.675,0.6262,0.3738,1.0585,0.5142,0.4858,,,,,,,
39,1715298600000,9689638.0,36994068.9202,0.9786,0.4946,0.5054,1.674,0.626,0.374,1.0547,0.5133,0.4867,,,,,,,
40,1715298900000,9662234.0,36953482.5431052,0.9712,0.4927,0.5073,1.6806,0.6269,0.3731,1.0425,0.5104,0.4896,,,,,,,
