,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,65314458.0,8004939.97248,2.4014,0.706,0.294,1.2206,0.5497,0.4503,2.8285,0.7388,0.2612,,,,,,,
1,1715287500000,65338613.0,8028759.10809412,2.3289,0.6996,0.3004,1.2167,0.5489,0.4511,2.7608,0.7341,0.2659,,,,,,,
2,1715287800000,65272052.0,8023705.36885024,2.3201,0.6988,0.3012,1.217,0.5489,0.4511,2.7383,0.7325,0.2675,,,,,,,
3,1715288100000,65268201.0,8016679.70181273,2.3146,0.6983,0.3017,1.2166,0.5489,0.4511,2.7439,0.7329,0.2671,,,,,,,
4,1715288400000,65138640.0,7981541.1296376,2.3113,0.698,0.302,1.2158,0.5487,0.4513,2.7453,0.733,0.267,,,,,,,
5,1715288700000,65067797.0,7984058.79207093,2.3456,0.7011,0.2989,1.2178,0.5491,0.4509,2.7807,0.7355,0.2645,,,,,,,
6,1715289000000,64976297.0,7989041.69101149,2.3389,0.7005,0.2995,1.2171,0.549,0.451,2.7793,0.7354,0.2646,,,,,,,
7,1715289300000,64990988.0,7998407.09784624,2.3267,0.6994,0.3006,1.218,0.5491,0.4509,2.7651,0.7344,0.2656,,,,,,,
8,1715289600000,65356407.0,8074130.52078,2.3156,0.6984,0.3016,1.2176,0.5491,0.4509,2.7411,0.7327,0.2673,,,,,,,
9,1715289900000,65649847.0,8128780.46800175,2.2949,0.6965,0.3035,1.2089,0.5473,0.4527,2.7133,0.7307,0.2693,,,,,,,
10,1715290200000,65652299.0,8117372.36163614,2.2755,0.6947,0.3053,1.2009,0.5456,0.4544,2.6996,0.7297,0.2703,,,,,,,
11,1715290500000,65698349.0,8153822.09439,2.296,0.6966,0.3034,1.1977,0.545,0.455,2.7147,0.7308,0.2692,,,,,,,
12,1715290800000,65563646.0,8156588.30937828,2.2982,0.6968,0.3032,1.1966,0.5447,0.4553,2.7258,0.7316,0.2684,,,,,,,
13,1715291100000,65510603.0,8152466.990335,2.2489,0.6922,0.3078,1.1938,0.5442,0.4558,2.69,0.729,0.271,,,,,,,
14,1715291400000,65538798.0,8120182.35797028,2.2531,0.6926,0.3074,1.1938,0.5442,0.4558,2.6832,0.7285,0.2715,,,,,,,
15,1715291700000,65579329.0,8159911.96253819,2.2765,0.6948,0.3052,1.1931,0.544,0.456,2.6969,0.7295,0.2705,,,,,,,
16,1715292000000,65693661.0,8143107.67643736,2.2457,0.6919,0.3081,1.196,0.5446,0.4554,2.6969,0.7295,0.2705,,,,,,,
17,1715292300000,65621126.0,8139179.87146792,2.2552,0.6928,0.3072,1.1961,0.5447,0.4553,2.7064,0.7302,0.2698,,,,,,,
18,1715292600000,65427514.0,8129980.3617559,2.2595,0.6932,0.3068,1.1964,0.5447,0.4553,2.6982,0.7296,0.2704,,,,,,,
19,1715292900000,65434255.0,8137877.6958062,2.2404,0.6914,0.3086,1.1942,0.5443,0.4557,2.6792,0.7282,0.2718,,,,,,,
20,1715293200000,65420942.0,8149749.73712684,2.2457,0.6919,0.3081,1.195,0.5444,0.4556,2.6928,0.7292,0.2708,,,,,,,
21,1715293500000,65373800.0,8146304.39787,2.2373,0.6911,0.3089,1.1953,0.5445,0.4555,2.6846,0.7286,0.2714,,,,,,,
22,1715293800000,65481777.0,8151225.29601714,2.2373,0.6911,0.3089,1.1968,0.5448,0.4552,2.6778,0.7281,0.2719,,,,,,,
23,1715294100000,65457215.0,8126149.95470675,2.2383,0.6912,0.3088,1.198,0.545,0.455,2.6792,0.7282,0.2718,,,,,,,
24,1715294400000,65433315.0,8140546.9411533,2.23,0.6904,0.3096,1.1974,0.5449,0.4551,2.6765,0.728,0.272,,,,,,,
25,1715294700000,65486978.0,8165168.5419053,2.2373,0.6911,0.3089,1.1967,0.5448,0.4552,2.6873,0.7288,0.2712,,,,,,,
26,1715295000000,65657660.0,8186197.0488,2.201,0.6876,0.3124,1.197,0.5448,0.4552,2.6496,0.726,0.274,,,,,,,
27,1715295300000,65700476.0,8188907.32864,2.2165,0.6891,0.3109,1.1952,0.5445,0.4555,2.6657,0.7272,0.2728,,,,,,,
28,1715295600000,65672072.0,8162670.7859968,2.2154,0.689,0.311,1.1953,0.5445,0.4555,2.6657,0.7272,0.2728,,,,,,,
29,1715295900000,65562625.0,8142004.07520875,2.2072,0.6882,0.3118,1.1953,0.5445,0.4555,2.6563,0.7265,0.2735,,,,,,,
30,1715296200000,65532747.0,8164382.86779066,2.2123,0.6887,0.3113,1.1957,0.5446,0.4554,2.6643,0.7271,0.2729,,,,,,,
31,1715296500000,65522000.0,8148315.92,2.2031,0.6878,0.3122,1.197,0.5448,0.4552,2.6456,0.7257,0.2743,,,,,,,
32,1715296800000,65614803.0,8175604.4538,2.2041,0.6879,0.3121,1.1969,0.5448,0.4552,2.647,0.7258,0.2742,,,,,,,
33,1715297100000,65606009.0,8167702.75402634,2.199,0.6874,0.3126,1.1963,0.5447,0.4553,2.6496,0.726,0.274,,,,,,,
34,1715297400000,65648899.0,8141288.02617144,2.1949,0.687,0.313,1.1956,0.5445,0.4555,2.6496,0.726,0.274,,,,,,,
35,1715297700000,65634458.0,8130854.41536304,2.2237,0.6898,0.3102,1.1953,0.5445,0.4555,2.6711,0.7276,0.2724,,,,,,,
36,1715298000000,65689229.0,8148091.96516,2.2352,0.6909,0.3091,1.1947,0.5443,0.4557,2.686,0.7287,0.2713,,,,,,,
37,1715298300000,65693391.0,8138828.44452183,2.2165,0.6891,0.3109,1.1949,0.5444,0.4556,2.6805,0.7283,0.2717,,,,,,,
38,1715298600000,65640621.0,8147343.41679945,2.2206,0.6895,0.3105,1.1951,0.5444,0.4556,2.6751,0.7279,0.2721,,,,,,,
39,1715298900000,65659965.0,8147088.4572,2.199,0.6874,0.3126,1.1951,0.5444,0.4556,2.6617,0.7269,0.2731,,,,,,,
40,1715299200000,65677901.0,8146850.37801349,2.2062,0.6881,0.3119,1.1948,0.5444,0.4556,2.6697,0.7275,0.2725,,,,,,,
41,1715299500000,65621554.0,8133135.40276,2.2206,0.6895,0.3105,1.1944,0.5443,0.4557,2.6819,0.7284,0.2716,,,,,,,
42,1715299800000,65691096.0,8184453.65064,2.2321,0.6906,0.3094,1.1944,0.5443,0.4557,2.6914,0.7291,0.2709,,,,,,,
43,1715300100000,65829969.0,8224706.13980247,2.2446,0.6918,0.3082,1.1949,0.5444,0.4556,2.7051,0.7301,0.2699,,,,,,,
44,1715300400000,66429796.0,8315017.56532,2.2258,0.69,0.31,1.1957,0.5446,0.4554,2.6738,0.7278,0.2722,,,,,,,
45,1715300700000,66643478.0,8325584.43767116,2.2216,0.6896,0.3104,1.1887,0.5431,0.4569,2.6819,0.7284,0.2716,,,,,,,
46,1715301000000,66838130.0,8349419.1996,2.2103,0.6885,0.3115,1.1871,0.5428,0.4572,2.655,0.7264,0.2736,,,,,,,
47,1715301300000,66929441.0,8356140.70885,2.2144,0.6889,0.3111,1.1839,0.5421,0.4579,2.6724,0.7277,0.2723,,,,,,,
48,1715301600000,66880206.0,8347174.7184171,2.2092,0.6884,0.3116,1.1823,0.5418,0.4582,2.6603,0.7268,0.2732,,,,,,,
49,1715301900000,66920261.0,8340272.12843,2.2113,0.6886,0.3114,1.1811,0.5415,0.4585,2.655,0.7264,0.2736,,,,,,,
50,1715302200000,66924890.0,8356241.7654,2.201,0.6876,0.3124,1.1809,0.5415,0.4585,2.6576,0.7266,0.2734,,,,,,,
51,1715302500000,67134331.0,8405218.2412,2.2,0.6875,0.3125,1.1804,0.5414,0.4586,2.6617,0.7269,0.2731,,,,,,,
52,1715302800000,67408026.0,8471166.62742,2.1706,0.6846,0.3154,1.1794,0.5412,0.4588,2.635,0.7249,0.2751,,,,,,,
53,1715303100000,67399769.0,8462406.30469798,2.2103,0.6885,0.3115,1.1755,0.5403,0.4597,2.6603,0.7268,0.2732,,,,,,,
54,1715303400000,67234987.0,8447534.87490465,2.2,0.6875,0.3125,1.1731,0.5398,0.4602,2.6523,0.7262,0.2738,,,,,,,
