timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,9468348.90000000,6300239.35806000,3.9358,0.7974,0.2026,1.9880,0.6653,0.3347,3.4484,0.7752,0.2248,-0.0003,0.6655,-0.00021381
1715287200000,9464730.30000000,6308217.47412010,3.9358,0.7974,0.2026,1.9890,0.6654,0.3346,3.4425,0.7749,0.2251,-0.0003,0.6664,-0.00017093
1715287500000,9455019.70000000,6302867.31778500,3.9310,0.7972,0.2028,1.9884,0.6654,0.3346,3.4484,0.7752,0.2248,-0.0004,0.6665,-0.00027522
1715287800000,9451563.40000000,6304575.48160207,3.9140,0.7965,0.2035,1.9888,0.6654,0.3346,3.4563,0.7756,0.2244,-0.0009,0.6669,-0.00057227
1715288100000,9450470.80000000,6305354.11776000,3.9310,0.7972,0.2028,1.9884,0.6654,0.3346,3.4603,0.7758,0.2242,-0.0008,0.6671,-0.00056565
1715288400000,9448138.90000000,6306632.71575000,3.9334,0.7973,0.2027,1.9891,0.6655,0.3345,3.4703,0.7763,0.2237,-0.0010,0.6673,-0.00067526
1715288700000,9444924.40000000,6312987.46896000,3.9358,0.7974,0.2026,1.9879,0.6653,0.3347,3.4763,0.7766,0.2234,-0.0004,0.6684,-0.00029527
1715289000000,9467720.80000000,6331210.32315149,3.9579,0.7983,0.2017,1.9827,0.6647,0.3353,3.4944,0.7775,0.2225,-0.0007,0.6686,-0.00047680
1715289300000,9478852.60000000,6331280.06583871,3.9826,0.7993,0.2007,1.9849,0.6650,0.3350,3.4964,0.7776,0.2224,-0.0011,0.6678,-0.00075545
1715289600000,9475079.50000000,6323668.05830000,3.9826,0.7993,0.2007,1.9832,0.6648,0.3352,3.5025,0.7779,0.2221,-0.0007,0.6673,-0.00047132
1715289900000,9475412.60000000,6322942.82798000,3.9975,0.7999,0.2001,1.9828,0.6647,0.3353,3.5025,0.7779,0.2221,-0.0006,0.6673,-0.00037688
1715290200000,9478185.20000000,6322992.69746311,3.9975,0.7999,0.2001,1.9838,0.6649,0.3351,3.4903,0.7773,0.2227,-0.0010,0.6671,-0.00065463
1715290500000,9475658.50000000,6315526.39025000,4.0125,0.8005,0.1995,1.9828,0.6647,0.3353,3.5188,0.7787,0.2213,-0.0010,0.6666,-0.00066656
1715290800000,9480041.20000000,6317806.79861570,4.0176,0.8007,0.1993,1.9836,0.6648,0.3352,3.5188,0.7787,0.2213,-0.0011,0.6662,-0.00074016
1715291100000,9482059.10000000,6318844.18424000,4.0125,0.8005,0.1995,1.9817,0.6646,0.3354,3.5147,0.7785,0.2215,-0.0008,0.6664,-0.00055278
1715291400000,9480837.40000000,6318040.37747277,4.0125,0.8005,0.1995,1.9810,0.6645,0.3355,3.5228,0.7789,0.2211,-0.0009,0.6664,-0.00060651
1715291700000,9481300.00000000,6326871.49000000,4.0176,0.8007,0.1993,1.9776,0.6642,0.3358,3.5351,0.7795,0.2205,-0.0003,0.6674,-0.00017382
1715292000000,9489617.50000000,6326178.82308528,4.0226,0.8009,0.1991,1.9795,0.6644,0.3356,3.5331,0.7794,0.2206,-0.0009,0.6665,-0.00060642
1715292300000,9496087.20000000,6332940.55368000,4.0125,0.8005,0.1995,1.9910,0.6657,0.3343,3.5228,0.7789,0.2211,-0.0007,0.6668,-0.00049017
1715292600000,9523055.10000000,6349973.14068000,4.0075,0.8003,0.1997,1.9840,0.6649,0.3351,3.5126,0.7784,0.2216,-0.0005,0.6668,-0.00032686
1715292900000,9529797.30000000,6366023.62356828,4.0000,0.8000,0.2000,1.9789,0.6643,0.3357,3.5126,0.7784,0.2216,-0.0006,0.6677,-0.00040925
1715293200000,9524980.00000000,6359829.14600000,4.0000,0.8000,0.2000,1.9794,0.6644,0.3356,3.5188,0.7787,0.2213,-0.0005,0.6677,-0.00032273
1715293500000,9528376.40000000,6363038.32586832,3.9875,0.7995,0.2005,1.9791,0.6643,0.3357,3.5005,0.7778,0.2222,-0.0010,0.6678,-0.00068218
1715293800000,9531597.60000000,6371872.99560000,3.9751,0.7990,0.2010,1.9790,0.6643,0.3357,3.4903,0.7773,0.2227,-0.0006,0.6685,-0.00042368
1715294100000,9531066.10000000,6371517.68785000,3.9801,0.7992,0.2008,1.9774,0.6641,0.3359,3.4984,0.7777,0.2223,-0.0005,0.6685,-0.00036692
1715294400000,9532789.40000000,6386499.40812205,3.9603,0.7984,0.2016,1.9733,0.6637,0.3363,3.5228,0.7789,0.2211,-0.0007,0.6698,-0.00044705
1715294700000,9528712.70000000,6395837.19211822,3.9628,0.7985,0.2015,1.9735,0.6637,0.3363,3.5331,0.7794,0.2206,-0.0001,0.6713,-0.00005019
1715295000000,9541789.20000000,6418761.59484000,3.9188,0.7967,0.2033,1.9774,0.6641,0.3359,3.5126,0.7784,0.2216,-0.0002,0.6727,-0.00015728
1715295300000,9549510.20000000,6430198.98130876,3.8900,0.7955,0.2045,1.9762,0.6640,0.3360,3.4944,0.7775,0.2225,-0.0013,0.6727,-0.00086682
1715295600000,9550564.10000000,6421799.30084000,3.8804,0.7951,0.2049,1.9779,0.6642,0.3358,3.4924,0.7774,0.2226,-0.0002,0.6725,-0.00016365
1715295900000,9561780.30000000,6428648.80082628,3.8662,0.7945,0.2055,1.9811,0.6646,0.3354,3.4703,0.7763,0.2237,-0.0006,0.6723,-0.00037162
1715296200000,9558584.00000000,6418589.15600000,3.8403,0.7934,0.2066,1.9808,0.6645,0.3355,3.4603,0.7758,0.2242,-0.0005,0.6715,-0.00031338
1715296500000,9557040.30000000,6410862.63324000,3.8309,0.7930,0.2070,1.9824,0.6647,0.3353,3.4014,0.7728,0.2272,-0.0007,0.6707,-0.00046187
1715296800000,9545388.50000000,6398273.91155000,3.8520,0.7939,0.2061,1.9847,0.6650,0.3350,3.4287,0.7742,0.2258,-0.0004,0.6703,-0.00026742
1715297100000,9548284.80000000,6394003.28283197,3.8733,0.7948,0.2052,1.9872,0.6652,0.3348,3.4326,0.7744,0.2256,-0.0006,0.6696,-0.00042184
1715297400000,9547779.30000000,6393911.77610570,3.8638,0.7944,0.2056,1.9839,0.6649,0.3351,3.4346,0.7745,0.2255,-0.0009,0.6695,-0.00057331
1715297700000,9561086.70000000,6405555.97150564,3.8403,0.7934,0.2066,1.9810,0.6645,0.3355,3.4366,0.7746,0.2254,-0.0012,0.6697,-0.00078726
1715298000000,9544126.90000000,6391701.78493000,3.8333,0.7931,0.2069,1.9792,0.6643,0.3357,3.4366,0.7746,0.2254,-0.0004,0.6697,-0.00026033
1715298300000,9539869.50000000,6388012.43121573,3.8146,0.7923,0.2077,1.9809,0.6645,0.3355,3.4248,0.7740,0.2260,-0.0005,0.6697,-0.00030958
1715298600000,9534780.60000000,6398791.26066000,3.8473,0.7937,0.2063,1.9825,0.6647,0.3353,3.4663,0.7761,0.2239,0.0000,0.6711,-0.00001925
1715298900000,9537961.80000000,6398756.27767050,3.8450,0.7936,0.2064,1.9833,0.6648,0.3352,3.4307,0.7743,0.2257,-0.0008,0.6708,-0.00054463
1715299200000,9541177.50000000,6395451.27825000,3.8497,0.7938,0.2062,1.9833,0.6648,0.3352,3.4444,0.7750,0.2250,-0.0007,0.6703,-0.00048941
1715299500000,9543478.80000000,6383632.96932000,3.8948,0.7957,0.2043,1.9882,0.6654,0.3346,3.4743,0.7765,0.2235,-0.0004,0.6689,-0.00023893
1715299800000,9541268.60000000,6390107.69098153,3.8450,0.7936,0.2064,1.9873,0.6652,0.3348,3.4623,0.7759,0.2241,0.0000,0.6697,-0.00000639
1715300100000,9538350.20000000,6392658.86645669,3.8497,0.7938,0.2062,1.9932,0.6659,0.3341,3.4444,0.7750,0.2250,-0.0002,0.6702,-0.00011460
1715300400000,9536160.20000000,6387320.10196000,3.8450,0.7936,0.2064,1.9957,0.6662,0.3338,3.4228,0.7739,0.2261,-0.0006,0.6700,-0.00038925
1715300700000,9548664.40000000,6394740.54868000,3.8520,0.7939,0.2061,1.9964,0.6663,0.3337,3.4267,0.7741,0.2259,-0.0001,0.6696,-0.00005382
