,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,378865518.0,2687671.984692,2.4554,0.7106,0.2894,2.3258,0.6993,0.3007,2.06,0.6732,0.3268,,,,,,,
1,1715287200000,379098441.0,2692751.39036064,2.4542,0.7105,0.2895,2.3252,0.6993,0.3007,2.0628,0.6735,0.3265,,,,,,,
2,1715287500000,379097351.0,2694028.78806693,2.4578,0.7108,0.2892,2.3246,0.6992,0.3008,2.0684,0.6741,0.3259,,,,,,,
3,1715287800000,378540652.0,2686453.79695924,2.4722,0.712,0.288,2.3285,0.6996,0.3004,2.0921,0.6766,0.3234,,,,,,,
4,1715288100000,378373642.0,2686483.12809136,2.4746,0.7122,0.2878,2.3299,0.6997,0.3003,2.1124,0.6787,0.3213,,,,,,,
5,1715288400000,378086080.0,2686925.440432,2.4638,0.7113,0.2887,2.3253,0.6993,0.3007,2.1037,0.6778,0.3222,,,,,,,
6,1715288700000,378049920.0,2691715.4304,2.5014,0.7144,0.2856,2.3171,0.6985,0.3015,2.125,0.68,0.32,,,,,,,
7,1715289000000,377388911.0,2693473.71836543,2.4843,0.713,0.287,2.3255,0.6993,0.3007,2.1153,0.679,0.321,,,,,,,
8,1715289300000,377182915.0,2688227.8971548,2.4483,0.71,0.29,2.3398,0.7006,0.2994,2.0562,0.6728,0.3272,,,,,,,
9,1715289600000,377040418.0,2682593.55881566,2.44,0.7093,0.2907,2.3372,0.7003,0.2997,2.0684,0.6741,0.3259,,,,,,,
10,1715289900000,376542333.0,2676097.65690099,2.4153,0.7072,0.2928,2.3352,0.7002,0.2998,2.0656,0.6738,0.3262,,,,,,,
11,1715290200000,376508301.0,2673773.6995515,2.4188,0.7075,0.2925,2.332,0.6999,0.3001,2.0722,0.6745,0.3255,,,,,,,
12,1715290500000,376495826.0,2677427.47684944,2.3898,0.705,0.295,2.3312,0.6998,0.3002,2.0506,0.6722,0.3278,,,,,,,
13,1715290800000,376744739.0,2674175.59934329,2.3818,0.7043,0.2957,2.325,0.6992,0.3008,2.0534,0.6725,0.3275,,,,,,,
14,1715291100000,376962892.0,2675995.48661636,2.3841,0.7045,0.2955,2.3275,0.6995,0.3005,2.0562,0.6728,0.3272,,,,,,,
15,1715291400000,376969134.0,2677988.727936,2.3852,0.7046,0.2954,2.327,0.6994,0.3006,2.0544,0.6726,0.3274,,,,,,,
16,1715291700000,377045763.0,2689165.7908686,2.3818,0.7043,0.2957,2.3219,0.699,0.301,2.0684,0.6741,0.3259,,,,,,,
17,1715292000000,376630548.0,2686980.25337448,2.367,0.703,0.297,2.3252,0.6993,0.3007,2.0432,0.6714,0.3286,,,,,,,
18,1715292300000,376927195.0,2686160.34735165,2.3422,0.7008,0.2992,2.3325,0.6999,0.3001,2.0111,0.6679,0.3321,,,,,,,
19,1715292600000,377181828.0,2693119.74192108,2.3456,0.7011,0.2989,2.3323,0.6999,0.3001,2.0084,0.6676,0.3324,,,,,,,
20,1715292900000,377870198.0,2701896.61286534,2.391,0.7051,0.2949,2.3196,0.6988,0.3012,2.0553,0.6727,0.3273,,,,,,,
21,1715293200000,377937791.0,2702875.02362724,2.3944,0.7054,0.2946,2.3163,0.6985,0.3015,2.0628,0.6735,0.3265,,,,,,,
