,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,12791546.0,23786649.45432282,3.8876,0.7954,0.2046,1.4065,0.5845,0.4155,3.787,0.7911,0.2089,,,,,,,
1,1715287200000,12802944.0,23841675.73248384,3.902,0.796,0.204,1.4063,0.5844,0.4156,3.7939,0.7914,0.2086,,,,,,,
2,1715287500000,12801826.0,23828756.78822034,3.9044,0.7961,0.2039,1.4062,0.5844,0.4156,3.7847,0.791,0.209,,,,,,,
3,1715287800000,12798249.0,23839740.59180295,3.9068,0.7962,0.2038,1.4061,0.5844,0.4156,3.8146,0.7923,0.2077,,,,,,,
4,1715288100000,12800544.0,23836897.69709856,3.9068,0.7962,0.2038,1.4045,0.5841,0.4159,3.8309,0.793,0.207,,,,,,,
5,1715288400000,12807516.0,23904378.8353134,3.89,0.7955,0.2045,1.4059,0.5844,0.4156,3.8031,0.7918,0.2082,,,,,,,
6,1715288700000,12794508.0,23957687.95413732,3.7733,0.7905,0.2095,1.4034,0.5839,0.4161,3.7259,0.7884,0.2116,,,,,,,
7,1715289000000,12822965.0,24116061.15589325,3.6751,0.7861,0.2139,1.4085,0.5848,0.4152,3.6041,0.7828,0.2172,,,,,,,
8,1715289300000,12855277.0,24152065.96121759,3.6318,0.7841,0.2159,1.4055,0.5843,0.4157,3.5746,0.7814,0.2186,,,,,,,
9,1715289600000,12846891.0,24138023.4999,3.6253,0.7838,0.2162,1.406,0.5844,0.4156,3.5746,0.7814,0.2186,,,,,,,
10,1715289900000,12830511.0,24090567.4536,3.6555,0.7852,0.2148,1.4057,0.5843,0.4157,3.6147,0.7833,0.2167,,,,,,,
11,1715290200000,12827898.0,24085661.2848,3.6447,0.7847,0.2153,1.4047,0.5841,0.4159,3.6062,0.7829,0.2171,,,,,,,
12,1715290500000,12830870.0,24149186.8756983,3.6339,0.7842,0.2158,1.4054,0.5843,0.4157,3.6147,0.7833,0.2167,,,,,,,
13,1715290800000,12808286.0,24168459.88411698,3.5788,0.7816,0.2184,1.4045,0.5841,0.4159,3.5767,0.7815,0.2185,,,,,,,
14,1715291100000,12809234.0,24196643.026,3.583,0.7818,0.2182,1.4039,0.584,0.416,3.5809,0.7817,0.2183,,,,,,,
15,1715291400000,12807100.0,24228414.916476,3.5662,0.781,0.219,1.4035,0.5839,0.4161,3.5767,0.7815,0.2185,,,,,,,
16,1715291700000,12793581.0,24224645.6235,3.5914,0.7822,0.2178,1.4031,0.5839,0.4161,3.5872,0.782,0.218,,,,,,,
17,1715292000000,12794230.0,24206952.2226569,3.5893,0.7821,0.2179,1.4037,0.584,0.416,3.5851,0.7819,0.2181,,,,,,,
18,1715292300000,12788140.0,24076207.9035852,3.6992,0.7872,0.2128,1.4037,0.584,0.416,3.697,0.7871,0.2129,,,,,,,
