timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,3547184.81000000,50377118.67162000,2.4200,0.7076,0.2924,1.6973,0.6293,0.3707,2.5448,0.7179,0.2821,-0.0007,14.202,-0.00953665
1715287200000,3549552.18000000,50400091.40382000,2.4282,0.7083,0.2917,1.6992,0.6295,0.3705,2.5486,0.7182,0.2818,-0.0005,14.199,-0.00708605
1715287500000,3546095.84000000,50312007.77792000,2.4341,0.7088,0.2912,1.6963,0.6291,0.3709,2.5575,0.7189,0.2811,-0.0004,14.188,-0.00636198
1715287800000,3545559.66000000,50332791.02867910,2.4376,0.7091,0.2909,1.6985,0.6294,0.3706,2.5537,0.7186,0.2814,-0.0007,14.192,-0.00974555
1715288100000,3544846.25000000,50276554.36375000,2.4364,0.7090,0.2910,1.6986,0.6294,0.3706,2.5549,0.7187,0.2813,-0.0007,14.181,-0.01026911
1715288400000,3544081.03000000,50269861.50344788,2.4412,0.7094,0.2906,1.6985,0.6294,0.3706,2.5625,0.7193,0.2807,-0.0005,14.184,-0.00709160
1715288700000,3540301.97000000,50305390.43467385,2.4447,0.7097,0.2903,1.6977,0.6293,0.3707,2.5714,0.7200,0.2800,-0.0006,14.207,-0.00920595
1715289000000,3539118.12000000,50280117.28139270,2.4412,0.7094,0.2906,1.6988,0.6295,0.3705,2.5714,0.7200,0.2800,-0.0005,14.208,-0.00689545
1715289300000,3539240.23000000,50235319.75565857,2.4423,0.7095,0.2905,1.6992,0.6295,0.3705,2.5689,0.7198,0.2802,-0.0007,14.193,-0.00992044
1715289600000,3538830.46000000,50201852.01973081,2.4376,0.7091,0.2909,1.6998,0.6296,0.3704,2.5575,0.7189,0.2811,-0.0006,14.185,-0.00812384
1715289900000,3538502.10000000,50116579.53732953,2.4423,0.7095,0.2905,1.7016,0.6298,0.3702,2.5613,0.7192,0.2808,-0.0005,14.164,-0.00748195
1715290200000,3539416.56000000,50103980.82336000,2.4435,0.7096,0.2904,1.7037,0.6301,0.3699,2.5613,0.7192,0.2808,-0.0004,14.156,-0.00592129
1715290500000,3538184.87000000,50120081.52810105,2.4435,0.7096,0.2904,1.7031,0.6301,0.3699,2.5587,0.7190,0.2810,-0.0006,14.164,-0.00905342
1715290800000,3537925.64000000,50134753.55556586,2.4423,0.7095,0.2905,1.7042,0.6302,0.3698,2.5587,0.7190,0.2810,-0.0006,14.170,-0.00839618
1715291100000,3536317.45000000,50095472.99670000,2.4376,0.7091,0.2909,1.7036,0.6301,0.3699,2.5537,0.7186,0.2814,-0.0005,14.166,-0.00691251
1715291400000,3536107.96000000,50103113.68524000,2.4400,0.7093,0.2907,1.7032,0.6301,0.3699,2.5524,0.7185,0.2815,-0.0004,14.169,-0.00512845
1715291700000,3533874.25000000,50117140.59775478,2.4400,0.7093,0.2907,1.7020,0.6299,0.3701,2.5663,0.7196,0.2804,-0.0007,14.179,-0.00969147
1715292000000,3532271.25000000,50039443.06472929,2.4400,0.7093,0.2907,1.7027,0.6300,0.3700,2.5689,0.7198,0.2802,-0.0008,14.164,-0.01102988
1715292300000,3531589.66000000,50063815.02016000,2.4388,0.7092,0.2908,1.7055,0.6304,0.3696,2.5702,0.7199,0.2801,-0.0006,14.169,-0.00850718
1715292600000,3527176.47000000,50039939.25171002,2.4364,0.7090,0.2910,1.7051,0.6303,0.3697,2.5638,0.7194,0.2806,-0.0007,14.183,-0.00949463
1715292900000,3528051.21000000,50121975.56813858,2.4364,0.7090,0.2910,1.7034,0.6301,0.3699,2.5727,0.7201,0.2799,-0.0005,14.206,-0.00708954
