,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,67507488.0,5495433.5591424,2.9139,0.7445,0.2555,1.5884,0.6137,0.3863,2.6711,0.7276,0.2724,,,,,,,
1,1715287500000,67499130.0,5491814.9406951,2.9017,0.7437,0.2563,1.5879,0.6136,0.3864,2.6724,0.7277,0.2723,,,,,,,
2,1715287800000,67491236.0,5493111.69804,2.9032,0.7438,0.2562,1.5874,0.6135,0.3865,2.686,0.7287,0.2713,,,,,,,
3,1715288100000,67495575.0,5495910.21393225,2.9032,0.7438,0.2562,1.5868,0.6134,0.3866,2.6711,0.7276,0.2724,,,,,,,
4,1715288400000,67496570.0,5493545.8323,2.9108,0.7443,0.2557,1.5867,0.6134,0.3866,2.6778,0.7281,0.2719,,,,,,,
5,1715288700000,67572640.0,5513708.4886464,2.8986,0.7435,0.2565,1.5835,0.6129,0.3871,2.6887,0.7289,0.2711,,,,,,,
6,1715289000000,67541394.0,5512879.19558862,2.8655,0.7413,0.2587,1.5855,0.6132,0.3868,2.7106,0.7305,0.2695,,,,,,,
7,1715289300000,67526311.0,5504069.60961,2.882,0.7424,0.2576,1.5864,0.6134,0.3866,2.73,0.7319,0.2681,,,,,,,
8,1715289600000,67459668.0,5494820.67066456,2.9216,0.745,0.255,1.5876,0.6135,0.3865,2.6996,0.7297,0.2703,,,,,,,
9,1715289900000,67397751.0,5485502.95389,2.9216,0.745,0.255,1.5895,0.6138,0.3862,2.7092,0.7304,0.2696,,,,,,,
10,1715290200000,67401589.0,5485815.32871,2.9231,0.7451,0.2549,1.5891,0.6138,0.3862,2.7092,0.7304,0.2696,,,,,,,
11,1715290500000,67401465.0,5482435.1631,2.9185,0.7448,0.2552,1.5884,0.6137,0.3863,2.7106,0.7305,0.2695,,,,,,,
12,1715290800000,67320795.0,5479594.9588476,2.9246,0.7452,0.2548,1.592,0.6142,0.3858,2.7244,0.7315,0.2685,,,,,,,
13,1715291100000,67349441.0,5479093.89055002,2.9494,0.7468,0.2532,1.6014,0.6156,0.3844,2.7779,0.7353,0.2647,,,,,,,
14,1715291400000,67357023.0,5479493.82105,3.0177,0.7511,0.2489,1.6008,0.6155,0.3845,2.775,0.7351,0.2649,,,,,,,
15,1715291700000,67337747.0,5490767.0268029,3.0177,0.7511,0.2489,1.6013,0.6156,0.3844,2.7764,0.7352,0.2648,,,,,,,
16,1715292000000,67344850.0,5487830.1357765,3.0112,0.7507,0.2493,1.602,0.6157,0.3843,2.7807,0.7355,0.2645,,,,,,,
17,1715292300000,67312213.0,5485506.48387124,3.0193,0.7512,0.2488,1.6017,0.6156,0.3844,2.7922,0.7363,0.2637,,,,,,,
18,1715292600000,67333706.0,5491230.71189088,3.0112,0.7507,0.2493,1.6038,0.6159,0.3841,2.7965,0.7366,0.2634,,,,,,,
19,1715292900000,67306609.0,5497603.82312,3.0177,0.7511,0.2489,1.6023,0.6157,0.3843,2.7908,0.7362,0.2638,,,,,,,
20,1715293200000,67320954.0,5491037.65226724,3.0064,0.7504,0.2496,1.598,0.6151,0.3849,2.8095,0.7375,0.2625,,,,,,,
21,1715293500000,67320541.0,5491010.02474615,3.0241,0.7515,0.2485,1.5981,0.6151,0.3849,2.8095,0.7375,0.2625,,,,,,,
22,1715293800000,67316842.0,5495701.20542744,3.0241,0.7515,0.2485,1.5973,0.615,0.385,2.8081,0.7374,0.2626,,,,,,,
23,1715294100000,67325070.0,5495291.6931282,3.0128,0.7508,0.2492,1.5962,0.6148,0.3852,2.8153,0.7379,0.2621,,,,,,,
24,1715294400000,67313673.0,5508950.99832,3.0274,0.7517,0.2483,1.596,0.6148,0.3852,2.827,0.7387,0.2613,,,,,,,
25,1715294700000,67249924.0,5512476.27028,3.0306,0.7519,0.2481,1.5971,0.615,0.385,2.8183,0.7381,0.2619,,,,,,,
26,1715295000000,67302164.0,5527225.88864692,3.0193,0.7512,0.2488,1.5988,0.6152,0.3848,2.811,0.7376,0.2624,,,,,,,
27,1715295300000,67335514.0,5533444.67443594,3.0502,0.7531,0.2469,1.6015,0.6156,0.3844,2.7951,0.7365,0.2635,,,,,,,
28,1715295600000,67372059.0,5528957.41505577,3.0339,0.7521,0.2479,1.6024,0.6157,0.3843,2.8183,0.7381,0.2619,,,,,,,
