timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,12608186.00000000,7714949.01340000,2.7051,0.7301,0.2699,1.4840,0.5974,0.4026,3.1425,0.7586,0.2414,0.0000,0.6129000,0.00001579
1715287200000,12623377.00000000,7736751.50199783,2.7175,0.7310,0.2690,1.4835,0.5973,0.4027,3.1220,0.7574,0.2426,0.0000,0.6127000,0.00002368
1715287500000,12609221.00000000,7725669.70670000,2.7175,0.7310,0.2690,1.4813,0.5970,0.4030,3.1186,0.7572,0.2428,-0.0003,0.6117000,-0.00020000
1715287800000,12631408.00000000,7729464.48790176,2.7230,0.7314,0.2686,1.4852,0.5976,0.4024,3.1169,0.7571,0.2429,0.0001,0.6125000,0.00008158
1715288100000,12623392.00000000,7730565.26080000,2.7509,0.7334,0.2666,1.4841,0.5974,0.4026,3.1374,0.7583,0.2417,-0.0005,0.6129000,-0.00028947
1715288400000,12600957.00000000,7727063.96633379,2.7538,0.7336,0.2664,1.4826,0.5972,0.4028,3.1667,0.7600,0.2400,-0.0001,0.6151000,-0.00006579
1715288700000,12594159.00000000,7748175.98114820,2.7341,0.7322,0.2678,1.4818,0.5971,0.4029,3.1408,0.7585,0.2415,-0.0001,0.6150000,-0.00003158
1715289000000,12566781.00000000,7727560.57414665,2.7355,0.7323,0.2677,1.4738,0.5958,0.4042,3.1356,0.7582,0.2418,-0.0007,0.6126000,-0.00041316
1715289300000,12554388.00000000,7693881.86164752,2.7133,0.7307,0.2693,1.4761,0.5961,0.4039,3.1271,0.7577,0.2423,-0.0002,0.6124000,-0.00012895
1715289600000,12538423.00000000,7679996.36300139,2.6969,0.7295,0.2705,1.4766,0.5962,0.4038,3.0850,0.7552,0.2448,0.0000,0.6131000,-0.00002632
1715289900000,12547310.00000000,7693334.44293720,2.6765,0.7280,0.2720,1.4769,0.5963,0.4037,3.0667,0.7541,0.2459,0.0000,0.6135000,0.00000000
1715290200000,12542588.00000000,7694460.69694900,2.6778,0.7281,0.2719,1.4765,0.5962,0.4038,3.0650,0.7540,0.2460,-0.0004,0.6134000,-0.00026053
1715290500000,12612608.00000000,7739300.97142784,2.6724,0.7277,0.2723,1.4828,0.5972,0.4028,3.0469,0.7529,0.2471,0.0001,0.6137000,0.00003947
1715290800000,12615769.00000000,7742025.18700498,2.6738,0.7278,0.2722,1.4820,0.5971,0.4029,3.0469,0.7529,0.2471,0.0001,0.6144000,0.00003158
1715291100000,12611232.00000000,7748160.60018240,2.6697,0.7275,0.2725,1.4795,0.5967,0.4033,3.0371,0.7523,0.2477,0.0003,0.6151000,0.00017368
1715291400000,12600491.00000000,7750562.01410000,2.6670,0.7273,0.2727,1.4790,0.5966,0.4034,3.0650,0.7540,0.2460,0.0002,0.6166000,0.00013421
1715291700000,12595193.00000000,7765633.62843255,2.6563,0.7265,0.2735,1.4768,0.5962,0.4038,3.0634,0.7539,0.2461,-0.0006,0.6160000,-0.00036579
1715292000000,12602403.00000000,7765881.51013884,2.6630,0.7270,0.2730,1.4768,0.5963,0.4037,3.0568,0.7535,0.2465,-0.0005,0.6168000,-0.00029474
1715292300000,12583726.00000000,7764688.84270186,2.6670,0.7273,0.2727,1.4716,0.5954,0.4046,3.0404,0.7525,0.2475,-0.0002,0.6175000,-0.00014474
1715292600000,12550722.00000000,7752065.01921858,2.6792,0.7282,0.2718,1.4696,0.5951,0.4049,3.0883,0.7554,0.2446,0.0000,0.6179000,-0.00002632
1715292900000,12541138.00000000,7749399.04925954,2.6643,0.7271,0.2729,1.4680,0.5948,0.4052,3.0800,0.7549,0.2451,0.0003,0.6175000,0.00016053
1715293200000,12536249.00000000,7739282.65497266,2.6738,0.7278,0.2722,1.4649,0.5943,0.4057,3.1034,0.7563,0.2437,-0.0002,0.6172000,-0.00013947
1715293500000,12534895.00000000,7738438.61222255,2.6805,0.7283,0.2717,1.4648,0.5943,0.4057,3.0900,0.7555,0.2445,-0.0001,0.6180000,-0.00009211
1715293800000,12539632.00000000,7749103.22042640,2.6792,0.7282,0.2718,1.4633,0.5940,0.4060,3.0650,0.7540,0.2460,-0.0001,0.6171000,-0.00004211
1715294100000,12531704.00000000,7733979.09466312,2.6792,0.7282,0.2718,1.4627,0.5939,0.4061,3.0800,0.7549,0.2451,-0.0004,0.6187000,-0.00022895
1715294400000,12537348.00000000,7759788.06344196,2.6819,0.7284,0.2716,1.4650,0.5943,0.4057,3.1051,0.7564,0.2436,0.0002,0.6205000,0.00012895
1715294700000,12526934.00000000,7772274.69305406,2.6483,0.7259,0.2741,1.4626,0.5939,0.4061,3.0683,0.7542,0.2458,-0.0003,0.6212000,-0.00018947
1715295000000,12463681.00000000,7744913.17642574,2.6792,0.7282,0.2718,1.4588,0.5933,0.4067,3.1288,0.7578,0.2422,-0.0008,0.6206000,-0.00047895
1715295300000,12333198.00000000,7657736.78093922,2.6914,0.7291,0.2709,1.4662,0.5945,0.4055,3.1459,0.7588,0.2412,0.0001,0.6200000,0.00007105
1715295600000,12332282.00000000,7645234.20654940,2.6846,0.7286,0.2714,1.4761,0.5961,0.4039,3.0241,0.7515,0.2485,-0.0001,0.6180000,-0.00007895
1715295900000,12317911.00000000,7612468.99800000,2.6860,0.7287,0.2713,1.4806,0.5969,0.4031,3.0193,0.7512,0.2488,-0.0002,0.6178000,-0.00011053
1715296200000,12322417.00000000,7613656.10463595,2.6928,0.7292,0.2708,1.4851,0.5976,0.4024,3.0177,0.7511,0.2489,-0.0004,0.6178000,-0.00022105
1715296500000,12315341.00000000,7610880.73800000,2.6982,0.7296,0.2704,1.4843,0.5975,0.4025,3.0225,0.7514,0.2486,0.0000,0.6198000,-0.00000263
1715296800000,12277529.00000000,7609056.79323746,2.6617,0.7269,0.2731,1.4877,0.5980,0.4020,2.9920,0.7495,0.2505,-0.0001,0.6186000,-0.00006053
1715297100000,12281793.00000000,7597517.14980000,2.6778,0.7281,0.2719,1.4893,0.5983,0.4017,2.9936,0.7496,0.2504,-0.0004,0.6188000,-0.00024474
1715297400000,12282914.00000000,7603359.72077794,2.6697,0.7275,0.2725,1.4893,0.5983,0.4017,2.9761,0.7485,0.2515,0.0000,0.6188000,0.00000526
1715297700000,12280099.00000000,7599558.66870642,2.6657,0.7272,0.2728,1.4907,0.5985,0.4015,2.9952,0.7497,0.2503,-0.0001,0.6174000,-0.00006053
1715298000000,12280585.00000000,7582033.17900000,2.6711,0.7276,0.2724,1.4904,0.5985,0.4015,3.0016,0.7501,0.2499,-0.0001,0.6178000,-0.00003421
1715298300000,12280151.00000000,7586343.39049431,2.6684,0.7274,0.2726,1.4898,0.5984,0.4016,2.9841,0.7490,0.2510,0.0000,0.6187000,0.00000789
1715298600000,12278663.00000000,7596727.75892420,2.6630,0.7270,0.2730,1.4920,0.5987,0.4013,2.9761,0.7485,0.2515,0.0000,0.6192000,-0.00002105
1715298900000,12245383.00000000,7582336.86771595,2.6617,0.7269,0.2731,1.4932,0.5989,0.4011,2.9809,0.7488,0.2512,0.0001,0.6189000,0.00006842
