timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,23356334.00000000,10075229.03804354,4.5556,0.8200,0.1800,1.1280,0.5301,0.4699,3.7893,0.7912,0.2088,-0.0009,0.4312,-0.00037593
1715287500000,23356808.00000000,10079794.69076024,4.5494,0.8198,0.1802,1.1263,0.5297,0.4703,3.7870,0.7911,0.2089,-0.0004,0.4315,-0.00018097
1715287800000,23390655.00000000,10090728.56700000,4.5586,0.8201,0.1799,1.1268,0.5298,0.4702,3.7755,0.7906,0.2094,-0.0007,0.4313,-0.00030562
1715288100000,23371158.00000000,10082507.10129138,4.5679,0.8204,0.1796,1.1280,0.5301,0.4699,3.7985,0.7916,0.2084,-0.0007,0.4314,-0.00029052
1715288400000,23362337.00000000,10086000.51167861,4.5617,0.8202,0.1798,1.1268,0.5298,0.4702,3.7916,0.7913,0.2087,-0.0007,0.4316,-0.00031471
1715288700000,23364646.00000000,10108559.41794348,4.5586,0.8201,0.1799,1.1268,0.5298,0.4702,3.8054,0.7919,0.2081,-0.0009,0.4325,-0.00041068
1715289000000,23385445.00000000,10121378.68160820,4.5494,0.8198,0.1802,1.1264,0.5297,0.4703,3.8008,0.7917,0.2083,-0.0006,0.4328,-0.00028141
1715289300000,23421693.00000000,10118171.37600000,4.5525,0.8199,0.1801,1.1258,0.5296,0.4704,3.8100,0.7921,0.2079,-0.0007,0.4320,-0.00031156
1715289600000,23427292.00000000,10111330.97538284,4.5556,0.8200,0.1800,1.1270,0.5299,0.4701,3.8193,0.7925,0.2075,-0.0010,0.4315,-0.00044520
1715289900000,23427938.00000000,10104469.65940000,4.5772,0.8207,0.1793,1.1285,0.5302,0.4698,3.8263,0.7928,0.2072,-0.0009,0.4313,-0.00040492
1715290200000,23408595.00000000,10098467.88300000,4.5710,0.8205,0.1795,1.1274,0.5299,0.4701,3.8170,0.7924,0.2076,-0.0005,0.4314,-0.00021741
1715290500000,23425466.00000000,10106645.80454906,4.5617,0.8202,0.1798,1.1262,0.5297,0.4703,3.8123,0.7922,0.2078,-0.0006,0.4314,-0.00027628
1715290800000,23410318.00000000,10107954.47076664,4.5432,0.8196,0.1804,1.1263,0.5297,0.4703,3.8008,0.7917,0.2083,-0.0004,0.4317,-0.00015843
1715291100000,23389715.00000000,10104356.88000000,4.5371,0.8194,0.1806,1.1261,0.5297,0.4703,3.7916,0.7913,0.2087,-0.0002,0.4321,-0.00007133
1715291400000,23396925.00000000,10112150.98500000,4.5188,0.8188,0.1812,1.1240,0.5292,0.4708,3.7529,0.7896,0.2104,-0.0002,0.4323,-0.00008626
1715291700000,23380009.00000000,10123543.89700000,4.5340,0.8193,0.1807,1.1242,0.5292,0.4708,3.7551,0.7897,0.2103,-0.0007,0.4329,-0.00032082
1715292000000,23372490.00000000,10115613.67200000,4.5340,0.8193,0.1807,1.1227,0.5289,0.4711,3.7551,0.7897,0.2103,-0.0005,0.4328,-0.00021048
1715292300000,23367398.00000000,10113409.85440000,4.5218,0.8189,0.1811,1.1225,0.5289,0.4711,3.7642,0.7901,0.2099,-0.0007,0.4328,-0.00028940
1715292600000,23358426.00000000,10119499.18561218,4.5006,0.8182,0.1818,1.1212,0.5286,0.4714,3.7619,0.7900,0.2100,-0.0007,0.4332,-0.00031688
