,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,4724899.0,15819638.69378175,2.9417,0.7463,0.2537,1.716,0.6318,0.3682,2.6738,0.7278,0.2722,,,,,,,
1,1715287500000,4723755.0,15810407.985,2.9339,0.7458,0.2542,1.7159,0.6318,0.3682,2.6657,0.7272,0.2728,,,,,,,
2,1715287800000,4723900.0,15807685.582944,2.937,0.746,0.254,1.7162,0.6318,0.3682,2.6684,0.7274,0.2726,,,,,,,
3,1715288100000,4723828.0,15809983.61090832,2.9479,0.7467,0.2533,1.7181,0.6321,0.3679,2.6738,0.7278,0.2722,,,,,,,
4,1715288400000,4722653.0,15809621.94462768,2.9448,0.7465,0.2535,1.7182,0.6321,0.3679,2.7051,0.7301,0.2699,,,,,,,
5,1715288700000,4725393.0,15870063.6939699,2.9293,0.7455,0.2545,1.7132,0.6314,0.3686,2.6914,0.7291,0.2709,,,,,,,
6,1715289000000,4725410.0,15894129.17845,2.9185,0.7448,0.2552,1.7124,0.6313,0.3687,2.6751,0.7279,0.2721,,,,,,,
7,1715289300000,4724171.0,15863563.97623949,2.9185,0.7448,0.2552,1.7133,0.6314,0.3686,2.6765,0.728,0.272,,,,,,,
8,1715289600000,4721908.0,15832557.524,2.92,0.7449,0.2551,1.7133,0.6314,0.3686,2.667,0.7273,0.2727,,,,,,,
9,1715289900000,4716489.0,15798153.36753222,2.9355,0.7459,0.2541,1.7137,0.6315,0.3685,2.6846,0.7286,0.2714,,,,,,,
10,1715290200000,4716503.0,15790852.044,2.9463,0.7466,0.2534,1.7153,0.6317,0.3683,2.6941,0.7293,0.2707,,,,,,,
11,1715290500000,4718281.0,15799405.22139034,2.9432,0.7464,0.2536,1.7166,0.6319,0.3681,2.6969,0.7295,0.2705,,,,,,,
12,1715290800000,4715055.0,15783944.83972875,2.9339,0.7458,0.2542,1.7169,0.6319,0.3681,2.6941,0.7293,0.2707,,,,,,,
13,1715291100000,4713670.0,15781367.16,2.9293,0.7455,0.2545,1.7163,0.6319,0.3681,2.6846,0.7286,0.2714,,,,,,,
14,1715291400000,4712794.0,15770784.2691395,2.9293,0.7455,0.2545,1.7166,0.6319,0.3681,2.6914,0.7291,0.2709,,,,,,,
15,1715291700000,4713042.0,15813808.76307816,2.9293,0.7455,0.2545,1.7154,0.6317,0.3683,2.69,0.729,0.271,,,,,,,
16,1715292000000,4713862.0,15815561.50158706,2.9324,0.7457,0.2543,1.7161,0.6318,0.3682,2.69,0.729,0.271,,,,,,,
17,1715292300000,4711973.0,15822805.334,2.9154,0.7446,0.2554,1.7161,0.6318,0.3682,2.655,0.7264,0.2736,,,,,,,
18,1715292600000,4711897.0,15822550.126,2.9063,0.744,0.256,1.7169,0.6319,0.3681,2.659,0.7267,0.2733,,,,,,,
19,1715292900000,4711703.0,15831463.00703673,2.9032,0.7438,0.2562,1.7165,0.6319,0.3681,2.6643,0.7271,0.2729,,,,,,,
20,1715293200000,4712602.0,15834342.72,2.9047,0.7439,0.2561,1.7167,0.6319,0.3681,2.6643,0.7271,0.2729,,,,,,,
21,1715293500000,4711298.0,15834672.578,2.9017,0.7437,0.2563,1.7172,0.632,0.368,2.6697,0.7275,0.2725,,,,,,,
22,1715293800000,4711523.0,15853490.04949866,2.9154,0.7446,0.2554,1.7158,0.6318,0.3682,2.6805,0.7283,0.2717,,,,,,,
23,1715294100000,4710107.0,15830669.627,2.9185,0.7448,0.2552,1.7199,0.6323,0.3677,2.6697,0.7275,0.2725,,,,,,,
24,1715294400000,4711057.0,15885393.29623025,2.9108,0.7443,0.2557,1.7163,0.6318,0.3682,2.6969,0.7295,0.2705,,,,,,,
25,1715294700000,4704378.0,15904498.8093915,2.9154,0.7446,0.2554,1.7136,0.6315,0.3685,2.7175,0.731,0.269,,,,,,,
26,1715295000000,4695512.0,15908394.656,2.858,0.7408,0.2592,1.7084,0.6308,0.3692,2.6738,0.7278,0.2722,,,,,,,
27,1715295300000,4708775.0,15967456.025,2.8139,0.7378,0.2622,1.7092,0.6309,0.3691,2.6443,0.7256,0.2744,,,,,,,
28,1715295600000,4709420.0,15956370.897085,2.8329,0.7391,0.2609,1.7083,0.6308,0.3692,2.6603,0.7268,0.2732,,,,,,,
29,1715295900000,4705256.0,15908470.536,2.8595,0.7409,0.2591,1.7085,0.6308,0.3692,2.6778,0.7281,0.2719,,,,,,,
30,1715296200000,4702763.0,15890636.177,2.861,0.741,0.259,1.7105,0.6311,0.3689,2.6765,0.728,0.272,,,,,,,
31,1715296500000,4700824.0,15874682.648,2.8655,0.7413,0.2587,1.7105,0.6311,0.3689,2.667,0.7273,0.2727,,,,,,,
32,1715296800000,4701994.0,15892739.72,2.8536,0.7405,0.2595,1.7111,0.6311,0.3689,2.651,0.7261,0.2739,,,,,,,
33,1715297100000,4697373.0,15863174.89719522,2.867,0.7414,0.2586,1.7126,0.6314,0.3686,2.6576,0.7266,0.2734,,,,,,,
34,1715297400000,4696945.0,15866280.21,2.8595,0.7409,0.2591,1.7122,0.6313,0.3687,2.6523,0.7262,0.2738,,,,,,,
35,1715297700000,4692036.0,15856705.6329696,2.8344,0.7392,0.2608,1.712,0.6313,0.3687,2.6311,0.7246,0.2754,,,,,,,
36,1715298000000,4693264.0,15806913.152,2.8358,0.7393,0.2607,1.7107,0.6311,0.3689,2.635,0.7249,0.2751,,,,,,,
37,1715298300000,4698292.0,15829489.11805068,2.8373,0.7394,0.2606,1.7078,0.6307,0.3693,2.6403,0.7253,0.2747,,,,,,,
38,1715298600000,4698139.0,15860917.264,2.8373,0.7394,0.2606,1.7045,0.6303,0.3697,2.6456,0.7257,0.2743,,,,,,,
39,1715298900000,4700049.0,15863212.4607036,2.8285,0.7388,0.2612,1.7027,0.63,0.37,2.639,0.7252,0.2748,,,,,,,
40,1715299200000,4698713.0,15853457.662,2.8256,0.7386,0.2614,1.7031,0.6301,0.3699,2.6417,0.7254,0.2746,,,,,,,
41,1715299500000,4696832.0,15806001.53533184,2.8314,0.739,0.261,1.7053,0.6303,0.3697,2.6536,0.7263,0.2737,,,,,,,
42,1715299800000,4698029.0,15833536.74735784,2.8447,0.7399,0.2601,1.7033,0.6301,0.3699,2.6657,0.7272,0.2728,,,,,,,
43,1715300100000,4700589.0,15846188.15298177,2.8402,0.7396,0.2604,1.7034,0.6301,0.3699,2.6603,0.7268,0.2732,,,,,,,
44,1715300400000,4699354.0,15827424.272,2.8358,0.7393,0.2607,1.7038,0.6301,0.3699,2.6536,0.7263,0.2737,,,,,,,
45,1715300700000,4699315.0,15812333.82552625,2.8402,0.7396,0.2604,1.704,0.6302,0.3698,2.6563,0.7265,0.2735,,,,,,,
46,1715301000000,4698881.0,15816433.446,2.8402,0.7396,0.2604,1.7059,0.6304,0.3696,2.6443,0.7256,0.2744,,,,,,,
47,1715301300000,4700613.0,15841065.81,2.8432,0.7398,0.2602,1.705,0.6303,0.3697,2.6496,0.726,0.274,,,,,,,
48,1715301600000,4703079.0,15856639.99442313,2.83,0.7389,0.2611,1.7065,0.6305,0.3695,2.6377,0.7251,0.2749,,,,,,,
49,1715301900000,4703198.0,15860648.13779324,2.8285,0.7388,0.2612,1.7056,0.6304,0.3696,2.639,0.7252,0.2748,,,,,,,
50,1715302200000,4701431.0,15810912.453,2.8417,0.7397,0.2603,1.7067,0.6305,0.3695,2.6617,0.7269,0.2731,,,,,,,
51,1715302500000,4700475.0,15833743.83808425,2.8358,0.7393,0.2607,1.7059,0.6304,0.3696,2.6603,0.7268,0.2732,,,,,,,
52,1715302800000,4699865.0,15819745.59,2.8432,0.7398,0.2602,1.7065,0.6305,0.3695,2.6657,0.7272,0.2728,,,,,,,
53,1715303100000,4697717.0,15845436.92878166,2.8476,0.7401,0.2599,1.7075,0.6306,0.3694,2.6697,0.7275,0.2725,,,,,,,
54,1715303400000,4698042.0,15827703.498,2.867,0.7414,0.2586,1.7101,0.631,0.369,2.6258,0.7242,0.2758,,,,,,,
55,1715303700000,4697046.0,15843136.158,2.8344,0.7392,0.2608,1.7074,0.6306,0.3694,2.5907,0.7215,0.2785,,,,,,,
56,1715304000000,4693904.0,15856007.712,2.8417,0.7397,0.2603,1.7083,0.6308,0.3692,2.6075,0.7228,0.2772,,,,,,,
57,1715304300000,4702391.0,15893182.76498426,2.8476,0.7401,0.2599,1.7033,0.6301,0.3699,2.6298,0.7245,0.2755,,,,,,,
58,1715304600000,4694265.0,15890087.025,2.8536,0.7405,0.2595,1.705,0.6303,0.3697,2.6298,0.7245,0.2755,,,,,,,
59,1715304900000,4708550.0,15978135.862381,2.827,0.7387,0.2613,1.6951,0.6289,0.3711,2.6114,0.7231,0.2769,,,,,,,
60,1715305200000,4703603.0,15949917.773,2.8476,0.7401,0.2599,1.6945,0.6289,0.3711,2.6324,0.7247,0.2753,,,,,,,
61,1715305500000,4697298.0,15903741.98499336,2.876,0.742,0.258,1.6995,0.6296,0.3704,2.639,0.7252,0.2748,,,,,,,
