timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,86432433.00000000,59600037.34272120,3.2900,0.7669,0.2331,1.3504,0.5745,0.4255,3.7348,0.7888,0.2112,-0.0005,0.68950,-0.00034964
1715287200000,86449857.00000000,59693626.25850000,3.2790,0.7663,0.2337,1.3512,0.5747,0.4253,3.7348,0.7888,0.2112,-0.0004,0.69030,-0.00028665
1715287500000,86405138.00000000,59622361.16344742,3.2772,0.7662,0.2338,1.3510,0.5747,0.4253,3.7326,0.7887,0.2113,-0.0005,0.69000,-0.00033585
1715287800000,86369373.00000000,59588540.81342775,3.2753,0.7661,0.2339,1.3509,0.5746,0.4254,3.7304,0.7886,0.2114,-0.0005,0.68990,-0.00033283
1715288100000,86427810.00000000,59610006.42900030,3.2699,0.7658,0.2342,1.3495,0.5744,0.4256,3.7371,0.7889,0.2111,-0.0006,0.68960,-0.00043190
1715288400000,86449399.00000000,59706033.63204482,3.2735,0.7660,0.2340,1.3486,0.5742,0.4258,3.7461,0.7893,0.2107,-0.0005,0.69050,-0.00037280
1715288700000,86605007.00000000,59906542.75140029,3.2845,0.7666,0.2334,1.3490,0.5743,0.4257,3.7438,0.7892,0.2108,-0.0006,0.69150,-0.00041341
1715289000000,86775294.00000000,60093042.60315138,3.2863,0.7667,0.2333,1.3520,0.5748,0.4252,3.7483,0.7894,0.2106,-0.0003,0.69260,-0.00022452
1715289300000,86812564.00000000,59967864.68891292,3.2808,0.7664,0.2336,1.3517,0.5748,0.4252,3.7551,0.7897,0.2103,-0.0008,0.69060,-0.00053934
1715289600000,86810261.00000000,59936258.32047847,3.2863,0.7667,0.2333,1.3519,0.5748,0.4252,3.7574,0.7898,0.2102,-0.0004,0.69040,-0.00029145
1715289900000,86809363.00000000,59852406.36674124,3.2827,0.7665,0.2335,1.3512,0.5747,0.4253,3.7596,0.7899,0.2101,-0.0005,0.68940,-0.00033639
1715290200000,86757611.00000000,59767318.21790000,3.2845,0.7666,0.2334,1.3513,0.5747,0.4253,3.7529,0.7896,0.2104,-0.0003,0.68900,-0.00022703
1715290500000,86755523.00000000,59789288.16991586,3.2772,0.7662,0.2338,1.3511,0.5747,0.4253,3.7574,0.7898,0.2102,-0.0006,0.68910,-0.00039139
1715290800000,86697299.00000000,59732909.67064564,3.2827,0.7665,0.2335,1.3515,0.5747,0.4253,3.7529,0.7896,0.2104,-0.0006,0.68880,-0.00044324
1715291100000,86663376.00000000,59711066.06400000,3.2827,0.7665,0.2335,1.3506,0.5746,0.4254,3.7596,0.7899,0.2101,-0.0005,0.68890,-0.00032342
