,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,62846961.0,4295487.34380357,1.592,0.6142,0.3858,1.8798,0.6528,0.3472,1.49,0.5984,0.4016,,,,,,,
1,1715287200000,61935248.0,4216832.25051344,1.6617,0.6243,0.3757,1.8952,0.6546,0.3454,1.5927,0.6143,0.3857,,,,,,,
2,1715287500000,62349623.0,4262768.9049624,1.5714,0.6111,0.3889,1.8841,0.6533,0.3467,1.5132,0.6021,0.3979,,,,,,,
3,1715287800000,62653806.0,4289481.30401532,1.5569,0.6089,0.3911,1.8795,0.6527,0.3473,1.5031,0.6005,0.3995,,,,,,,
4,1715288100000,62532250.0,4278714.17787,1.5634,0.6099,0.3901,1.8818,0.653,0.347,1.5221,0.6035,0.3965,,,,,,,
5,1715288400000,62569887.0,4286111.09196666,1.5621,0.6097,0.3903,1.8852,0.6534,0.3466,1.5,0.6,0.4,,,,,,,
6,1715288700000,62586917.0,4304963.47806792,1.5667,0.6104,0.3896,1.8854,0.6534,0.3466,1.51,0.6016,0.3984,,,,,,,
7,1715289000000,62586916.0,4307858.05414916,1.5661,0.6103,0.3897,1.8865,0.6536,0.3464,1.5082,0.6013,0.3987,,,,,,,
8,1715289300000,62567848.0,4299662.51456,1.5582,0.6091,0.3909,1.8881,0.6538,0.3462,1.495,0.5992,0.4008,,,,,,,
9,1715289600000,62545566.0,4286477.18020722,1.5727,0.6113,0.3887,1.8862,0.6535,0.3465,1.5145,0.6023,0.3977,,,,,,,
10,1715289900000,62533100.0,4288645.689531,1.5628,0.6098,0.3902,1.8869,0.6536,0.3464,1.5069,0.6011,0.3989,,,,,,,
11,1715290200000,62532290.0,4291591.0627,1.5543,0.6085,0.3915,1.8882,0.6538,0.3462,1.5013,0.6002,0.3998,,,,,,,
12,1715290500000,62529694.0,4283909.33594,1.5694,0.6108,0.3892,1.8885,0.6538,0.3462,1.5025,0.6004,0.3996,,,,,,,
13,1715290800000,62494484.0,4274421.47336152,1.576,0.6118,0.3882,1.8929,0.6543,0.3457,1.4981,0.5997,0.4003,,,,,,,
14,1715291100000,62559112.0,4279043.2608,1.586,0.6133,0.3867,1.8944,0.6545,0.3455,1.5063,0.601,0.399,,,,,,,
15,1715291400000,62509936.0,4287556.51024,1.5767,0.6119,0.3881,1.8932,0.6544,0.3456,1.4981,0.5997,0.4003,,,,,,,
16,1715291700000,62526854.0,4302349.02056908,1.5767,0.6119,0.3881,1.8902,0.654,0.346,1.505,0.6008,0.3992,,,,,,,
17,1715292000000,62528576.0,4293649.10290624,1.58,0.6124,0.3876,1.8884,0.6538,0.3462,1.4988,0.5998,0.4002,,,,,,,
18,1715292300000,62511250.0,4288951.2472875,1.5826,0.6128,0.3872,1.8876,0.6537,0.3463,1.5132,0.6021,0.3979,,,,,,,
19,1715292600000,62518524.0,4293750.97202184,1.5893,0.6138,0.3862,1.8876,0.6537,0.3463,1.5176,0.6028,0.3972,,,,,,,
20,1715292900000,62573171.0,4302586.92808219,1.582,0.6127,0.3873,1.8881,0.6538,0.3462,1.5113,0.6018,0.3982,,,,,,,
21,1715293200000,62581090.0,4302371.0853266,1.5753,0.6117,0.3883,1.8878,0.6537,0.3463,1.5113,0.6018,0.3982,,,,,,,
22,1715293500000,62588174.0,4301685.19902,1.5927,0.6143,0.3857,1.8911,0.6541,0.3459,1.5126,0.602,0.398,,,,,,,
23,1715293800000,62578367.0,4314144.48579229,1.5907,0.614,0.386,1.8868,0.6536,0.3464,1.5265,0.6042,0.3958,,,,,,,
24,1715294100000,62604345.0,4308935.6139207,1.6062,0.6163,0.3837,1.8927,0.6543,0.3457,1.5214,0.6034,0.3966,,,,,,,
25,1715294400000,62571089.0,4323036.53901,1.6116,0.6171,0.3829,1.8918,0.6542,0.3458,1.5208,0.6033,0.3967,,,,,,,
26,1715294700000,62465094.0,4334301.08248158,1.6171,0.6179,0.3821,1.8887,0.6538,0.3462,1.5291,0.6046,0.3954,,,,,,,
27,1715295000000,62479466.0,4362316.31612,1.6364,0.6207,0.3793,1.8961,0.6547,0.3453,1.5381,0.606,0.394,,,,,,,
28,1715295300000,62471372.0,4357290.11236548,1.6274,0.6194,0.3806,1.897,0.6548,0.3452,1.5355,0.6056,0.3944,,,,,,,
29,1715295600000,62466510.0,4349543.0913,1.624,0.6189,0.3811,1.8944,0.6545,0.3455,1.5465,0.6073,0.3927,,,,,,,
30,1715295900000,62418061.0,4331071.90683532,1.6476,0.6223,0.3777,1.8985,0.655,0.345,1.5833,0.6129,0.3871,,,,,,,
31,1715296200000,62407885.0,4314044.903241,1.6539,0.6232,0.3768,1.8997,0.6551,0.3449,1.5934,0.6144,0.3856,,,,,,,
32,1715296500000,62394816.0,4314587.79954048,1.6674,0.6251,0.3749,1.9013,0.6553,0.3447,1.5961,0.6148,0.3852,,,,,,,
33,1715296800000,62390046.0,4313695.82077542,1.6596,0.624,0.376,1.9004,0.6552,0.3448,1.5907,0.614,0.386,,,,,,,
34,1715297100000,62371564.0,4304459.34949788,1.656,0.6235,0.3765,1.9018,0.6554,0.3446,1.5867,0.6134,0.3866,,,,,,,
35,1715297400000,62379758.0,4305276.2338376,1.6546,0.6233,0.3767,1.9017,0.6554,0.3446,1.586,0.6133,0.3867,,,,,,,
36,1715297700000,62334716.0,4305153.3940116,1.6337,0.6203,0.3797,1.8977,0.6549,0.3451,1.5562,0.6088,0.3912,,,,,,,
37,1715298000000,62366675.0,4299558.5745,1.635,0.6205,0.3795,1.8931,0.6543,0.3457,1.5569,0.6089,0.3911,,,,,,,
38,1715298300000,62370439.0,4296075.83832,1.6302,0.6198,0.3802,1.8926,0.6543,0.3457,1.5556,0.6087,0.3913,,,,,,,
39,1715298600000,62407971.0,4309584.93372384,1.6385,0.621,0.379,1.8937,0.6544,0.3456,1.5634,0.6099,0.3901,,,,,,,
40,1715298900000,62312241.0,4301441.41361604,1.6532,0.6231,0.3769,1.8884,0.6538,0.3462,1.5694,0.6108,0.3892,,,,,,,
41,1715299200000,62273787.0,4296851.44777632,1.6596,0.624,0.376,1.8888,0.6538,0.3462,1.578,0.6121,0.3879,,,,,,,
42,1715299500000,62110515.0,4266555.74357955,1.666,0.6249,0.3751,1.8942,0.6545,0.3455,1.6008,0.6155,0.3845,,,,,,,
43,1715299800000,62031801.0,4264686.31875,1.6767,0.6264,0.3736,1.8943,0.6545,0.3455,1.6021,0.6157,0.3843,,,,,,,
