,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,12331819.0,10128122.9447,3.1339,0.7581,0.2419,1.2376,0.5531,0.4469,3.3592,0.7706,0.2294,,,,,,,
1,1715287500000,12326483.0,10118809.8947,3.1374,0.7583,0.2417,1.2376,0.5531,0.4469,3.4092,0.7732,0.2268,,,,,,,
2,1715287800000,12329191.0,10139526.6784,3.1339,0.7581,0.2419,1.2386,0.5533,0.4467,3.3898,0.7722,0.2278,,,,,,,
3,1715288100000,12328068.0,10137370.3164,3.1068,0.7565,0.2435,1.2379,0.5532,0.4468,3.3122,0.7681,0.2319,,,,,,,
4,1715288400000,12353216.0,10161755.4816,3.122,0.7574,0.2426,1.2408,0.5537,0.4463,3.3328,0.7692,0.2308,,,,,,,
5,1715288700000,12324625.0,10194346.72199125,3.1186,0.7572,0.2428,1.2406,0.5537,0.4463,3.3516,0.7702,0.2298,,,,,,,
6,1715289000000,12321009.0,10180257.21937719,3.0519,0.7532,0.2468,1.2306,0.5517,0.4483,3.2052,0.7622,0.2378,,,,,,,
7,1715289300000,12304418.0,10145795.75036286,3.1,0.7561,0.2439,1.2304,0.5517,0.4483,3.3459,0.7699,0.2301,,,,,,,
8,1715289600000,12294449.0,10140461.5352,3.1135,0.7569,0.2431,1.232,0.552,0.448,3.363,0.7708,0.2292,,,,,,,
9,1715289900000,12285723.0,10126643.18570361,3.0967,0.7559,0.2441,1.2327,0.5521,0.4479,3.344,0.7698,0.2302,,,,,,,
10,1715290200000,12293309.0,10143209.2559,3.1152,0.757,0.243,1.2348,0.5525,0.4475,3.3535,0.7703,0.2297,,,,,,,
11,1715290500000,12278459.0,10118678.0619,3.0733,0.7545,0.2455,1.2353,0.5526,0.4474,3.2717,0.7659,0.2341,,,,,,,
12,1715290800000,12272079.0,10112014.90541292,3.1085,0.7566,0.2434,1.2356,0.5527,0.4473,3.2918,0.767,0.233,,,,,,,
13,1715291100000,12263772.0,10111581.8033076,3.1511,0.7591,0.2409,1.2357,0.5527,0.4473,3.3346,0.7693,0.2307,,,,,,,
14,1715291400000,12258403.0,10097851.25811999,3.1632,0.7598,0.2402,1.2365,0.5529,0.4471,3.3554,0.7704,0.2296,,,,,,,
15,1715291700000,12252134.0,10143541.7386,3.1701,0.7602,0.2398,1.2363,0.5528,0.4472,3.3725,0.7713,0.2287,,,,,,,
16,1715292000000,12256379.0,10131571.70999898,3.1442,0.7587,0.2413,1.2296,0.5515,0.4485,3.2717,0.7659,0.2341,,,,,,,
17,1715292300000,12234220.0,10117462.596132,3.1271,0.7577,0.2423,1.2268,0.5509,0.4491,3.2992,0.7674,0.2326,,,,,,,
18,1715292600000,12225833.0,10118367.50331769,3.1135,0.7569,0.2431,1.2273,0.551,0.449,3.2974,0.7673,0.2327,,,,,,,
19,1715292900000,12222600.0,10125201.84,3.1102,0.7567,0.2433,1.2285,0.5513,0.4487,3.2955,0.7672,0.2328,,,,,,,
20,1715293200000,12214184.0,10117675.86807192,3.122,0.7574,0.2426,1.2279,0.5511,0.4489,3.3066,0.7678,0.2322,,,,,,,
21,1715293500000,12201195.0,10112350.416,3.1459,0.7588,0.2412,1.2381,0.5532,0.4468,3.344,0.7698,0.2302,,,,,,,
22,1715293800000,12213441.0,10152487.92889053,3.1374,0.7583,0.2417,1.2395,0.5535,0.4465,3.3365,0.7694,0.2306,,,,,,,
23,1715294100000,12221651.0,10154969.8159,3.0717,0.7544,0.2456,1.2385,0.5533,0.4467,3.2571,0.7651,0.2349,,,,,,,
24,1715294400000,12222743.0,10189429.07714472,3.1408,0.7585,0.2415,1.2429,0.5541,0.4459,3.3956,0.7725,0.2275,,,,,,,
25,1715294700000,12186295.0,10187742.62,3.1034,0.7563,0.2437,1.2349,0.5525,0.4475,3.3197,0.7685,0.2315,,,,,,,
26,1715295000000,12188874.0,10227653.45743752,3.1152,0.757,0.243,1.2336,0.5523,0.4477,3.3066,0.7678,0.2322,,,,,,,
27,1715295300000,12179086.0,10230432.24,3.1442,0.7587,0.2413,1.2358,0.5527,0.4473,3.3122,0.7681,0.2319,,,,,,,
28,1715295600000,12176365.0,10212540.8835614,3.1186,0.7572,0.2428,1.2376,0.5531,0.4469,3.2992,0.7674,0.2326,,,,,,,
29,1715295900000,12157143.0,10180391.5482,3.1017,0.7562,0.2438,1.2363,0.5528,0.4472,3.3141,0.7682,0.2318,,,,,,,
30,1715296200000,12129918.0,10136972.4726,3.1203,0.7573,0.2427,1.2407,0.5537,0.4463,3.4248,0.774,0.226,,,,,,,
31,1715296500000,12113196.0,10080601.7112,3.1374,0.7583,0.2417,1.2385,0.5533,0.4467,3.4405,0.7748,0.2252,,,,,,,
32,1715296800000,12089874.0,10059984.1554,3.1408,0.7585,0.2415,1.2354,0.5527,0.4473,3.4663,0.7761,0.2239,,,,,,,
33,1715297100000,12078312.0,10037077.272,3.1477,0.7589,0.2411,1.2314,0.5518,0.4482,3.4464,0.7751,0.2249,,,,,,,
34,1715297400000,12090778.0,10069743.27796332,3.1459,0.7588,0.2412,1.2351,0.5526,0.4474,3.4287,0.7742,0.2258,,,,,,,
35,1715297700000,12070612.0,10053177.5892374,3.1271,0.7577,0.2423,1.2394,0.5535,0.4465,3.4287,0.7742,0.2258,,,,,,,
36,1715298000000,12046447.0,10023848.5487,3.1102,0.7567,0.2433,1.2365,0.5529,0.4471,3.4053,0.773,0.227,,,,,,,
37,1715298300000,12041434.0,10012035.01489756,3.1085,0.7566,0.2434,1.2397,0.5535,0.4465,3.3937,0.7724,0.2276,,,,,,,
