,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,14947236.0,106652377.92274237,1.49,0.5984,0.4016,2.3854,0.7046,0.2954,1.656,0.6235,0.3765,,,,,,,
1,1715287200000,14925447.0,106812876.22624864,1.49,0.5984,0.4016,2.3842,0.7045,0.2955,1.6596,0.624,0.376,,,,,,,
2,1715287500000,14918628.0,106757701.968,1.4913,0.5986,0.4014,2.3743,0.7036,0.2964,1.6575,0.6237,0.3763,,,,,,,
3,1715287800000,14890034.0,106885146.99453638,1.4808,0.5969,0.4031,2.3766,0.7038,0.2962,1.6455,0.622,0.378,,,,,,,
4,1715288100000,14883187.0,106891096.80903026,1.4777,0.5964,0.4036,2.3773,0.7039,0.2961,1.6392,0.6211,0.3789,,,,,,,
5,1715288400000,14885426.0,106920947.37524728,1.4691,0.595,0.405,2.377,0.7039,0.2961,1.633,0.6202,0.3798,,,,,,,
6,1715288700000,14893466.0,107822829.23989318,1.4438,0.5908,0.4092,2.3553,0.702,0.298,1.611,0.617,0.383,,,,,,,
7,1715289000000,14978045.0,109908894.21,1.412,0.5854,0.4146,2.3501,0.7015,0.2985,1.5681,0.6106,0.3894,,,,,,,
8,1715289300000,15009781.0,109330243.50150947,1.4062,0.5844,0.4156,2.3519,0.7017,0.2983,1.5615,0.6096,0.3904,,,,,,,
9,1715289600000,14997406.0,109181115.68,1.4125,0.5855,0.4145,2.3428,0.7008,0.2992,1.578,0.6121,0.3879,,,,,,,
10,1715289900000,15005970.0,109433391.4119915,1.4038,0.584,0.416,2.3526,0.7017,0.2983,1.5648,0.6101,0.3899,,,,,,,
11,1715290200000,14998076.0,108754331.55491336,1.4027,0.5838,0.4162,2.3515,0.7016,0.2984,1.5628,0.6098,0.3902,,,,,,,
12,1715290500000,14992682.0,108733743.88804218,1.4067,0.5845,0.4155,2.3439,0.7009,0.2991,1.57,0.6109,0.3891,,,,,,,
13,1715290800000,14987902.0,109217322.53601712,1.3964,0.5827,0.4173,2.3427,0.7008,0.2992,1.5549,0.6086,0.3914,,,,,,,
14,1715291100000,14977629.0,109302743.25633232,1.4056,0.5843,0.4157,2.3404,0.7006,0.2994,1.5654,0.6102,0.3898,,,,,,,
15,1715291400000,14983409.0,109470949.00908916,1.4062,0.5844,0.4156,2.3393,0.7005,0.2995,1.5661,0.6103,0.3897,,,,,,,
16,1715291700000,14989529.0,110128069.563,1.3992,0.5832,0.4168,2.3431,0.7009,0.2991,1.5602,0.6094,0.3906,,,,,,,
17,1715292000000,14998809.0,110121255.678,1.4021,0.5837,0.4163,2.3483,0.7013,0.2987,1.5608,0.6095,0.3905,,,,,,,
18,1715292300000,14984723.0,109960757.20838454,1.4073,0.5846,0.4154,2.3473,0.7013,0.2987,1.5681,0.6106,0.3894,,,,,,,
19,1715292600000,14993837.0,110394729.49192528,1.4033,0.5839,0.4161,2.35,0.7015,0.2985,1.5634,0.6099,0.3901,,,,,,,
20,1715292900000,15014593.0,110612506.631,1.4033,0.5839,0.4161,2.3468,0.7012,0.2988,1.5575,0.609,0.391,,,,,,,
21,1715293200000,15023858.0,110590618.738,1.4067,0.5845,0.4155,2.3479,0.7013,0.2987,1.5615,0.6096,0.3904,,,,,,,
22,1715293500000,15021235.0,110366561.03729784,1.4102,0.5851,0.4149,2.357,0.7021,0.2979,1.5589,0.6092,0.3908,,,,,,,
23,1715293800000,15018439.0,110793301.89908996,1.3946,0.5824,0.4176,2.3538,0.7018,0.2982,1.5426,0.6067,0.3933,,,,,,,
24,1715294100000,15050751.0,111306661.0822224,1.3787,0.5796,0.4204,2.3634,0.7027,0.2973,1.5316,0.605,0.395,,,,,,,
25,1715294400000,15044125.0,111371657.375,1.3787,0.5796,0.4204,2.3676,0.703,0.297,1.5394,0.6062,0.3938,,,,,,,
26,1715294700000,15029397.0,111880055.56267962,1.354,0.5752,0.4248,2.3635,0.7027,0.2973,1.5044,0.6007,0.3993,,,,,,,
27,1715295000000,15077577.0,112433491.689,1.3375,0.5722,0.4278,2.3681,0.7031,0.2969,1.4944,0.5991,0.4009,,,,,,,
28,1715295300000,15019081.0,112312687.718,1.3305,0.5709,0.4291,2.3817,0.7043,0.2957,1.4673,0.5947,0.4053,,,,,,,
29,1715295600000,15046739.0,112654934.893,1.3277,0.5704,0.4296,2.3826,0.7044,0.2956,1.4546,0.5926,0.4074,,,,,,,
30,1715295900000,15056067.0,112468820.49,1.3408,0.5728,0.4272,2.382,0.7043,0.2957,1.4661,0.5945,0.4055,,,,,,,
31,1715296200000,15073182.0,112084181.352,1.337,0.5721,0.4279,2.3741,0.7036,0.2964,1.4576,0.5931,0.4069,,,,,,,
32,1715296500000,15109291.0,112102844.71953256,1.3403,0.5727,0.4273,2.3736,0.7036,0.2964,1.4576,0.5931,0.4069,,,,,,,
33,1715296800000,15121983.0,112159747.911,1.3436,0.5733,0.4267,2.3677,0.7031,0.2969,1.4546,0.5926,0.4074,,,,,,,
34,1715297100000,15141102.0,112135001.412,1.3447,0.5735,0.4265,2.3739,0.7036,0.2964,1.4546,0.5926,0.4074,,,,,,,
35,1715297400000,15147555.0,112521303.07274026,1.3496,0.5744,0.4256,2.3744,0.7037,0.2963,1.4594,0.5934,0.4066,,,,,,,
36,1715297700000,15155129.0,112526832.825,1.354,0.5752,0.4248,2.3755,0.7037,0.2963,1.4624,0.5939,0.4061,,,,,,,
37,1715298000000,15163541.0,112346675.269,1.3529,0.575,0.425,2.3761,0.7038,0.2962,1.4618,0.5938,0.4062,,,,,,,
38,1715298300000,15174921.0,112538296.56311493,1.348,0.5741,0.4259,2.3705,0.7033,0.2967,1.4522,0.5922,0.4078,,,,,,,
39,1715298600000,15210486.0,113409383.616,1.3414,0.5729,0.4271,2.3603,0.7024,0.2976,1.4534,0.5924,0.4076,,,,,,,
