,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,93006.0,2501954.406,2.4002,0.7059,0.2941,1.2514,0.5558,0.4442,2.0836,0.6757,0.3243,,,,,,,
1,1715287200000,92879.9,2501180.11390699,2.4083,0.7066,0.2934,1.2518,0.5559,0.4441,2.0722,0.6745,0.3255,,,,,,,
2,1715287500000,92752.6,2497771.37114112,2.3898,0.705,0.295,1.2525,0.5561,0.4439,2.0817,0.6755,0.3245,,,,,,,
3,1715287800000,92587.9,2494511.62637302,2.4002,0.7059,0.2941,1.2531,0.5562,0.4438,2.0807,0.6754,0.3246,,,,,,,
4,1715288100000,91706.2,2468787.65454775,2.4341,0.7088,0.2912,1.251,0.5557,0.4443,2.1786,0.6854,0.3146,,,,,,,
5,1715288400000,91493.2,2465559.02624974,2.2819,0.6953,0.3047,1.2534,0.5562,0.4438,2.0788,0.6752,0.3248,,,,,,,
6,1715288700000,91546.6,2477983.3688,2.2701,0.6942,0.3058,1.2554,0.5566,0.4434,2.0451,0.6716,0.3284,,,,,,,
7,1715289000000,91166.2,2467644.3476068,2.3047,0.6974,0.3026,1.2559,0.5567,0.4433,2.0675,0.674,0.326,,,,,,,
8,1715289300000,91039.4,2458970.3248255,2.3256,0.6993,0.3007,1.2604,0.5576,0.4424,2.0656,0.6738,0.3262,,,,,,,
9,1715289600000,90895.7,2453365.8387,2.296,0.6966,0.3034,1.2632,0.5582,0.4418,1.9833,0.6648,0.3352,,,,,,,
10,1715289900000,90801.5,2452708.78146353,2.2798,0.6951,0.3049,1.2637,0.5582,0.4418,1.9851,0.665,0.335,,,,,,,
11,1715290200000,90748.8,2452023.18894413,2.2765,0.6948,0.3052,1.2649,0.5585,0.4415,1.9869,0.6652,0.3348,,,,,,,
12,1715290500000,90773.7,2458126.20417076,2.2616,0.6934,0.3066,1.2624,0.558,0.442,1.9789,0.6643,0.3357,,,,,,,
13,1715290800000,90404.0,2447900.02255184,2.2776,0.6949,0.3051,1.2635,0.5582,0.4418,2.0084,0.6676,0.3324,,,,,,,
14,1715291100000,90223.0,2445146.56834357,2.2712,0.6943,0.3057,1.2625,0.558,0.442,2.0148,0.6683,0.3317,,,,,,,
15,1715291400000,89531.5,2422602.49299646,2.2808,0.6952,0.3048,1.261,0.5577,0.4423,2.1085,0.6783,0.3217,,,,,,,
16,1715291700000,89695.4,2431308.06472184,2.3058,0.6975,0.3025,1.2589,0.5573,0.4427,2.1427,0.6818,0.3182,,,,,,,
17,1715292000000,89726.0,2431723.31905048,2.2949,0.6965,0.3035,1.262,0.5579,0.4421,2.1319,0.6807,0.3193,,,,,,,
18,1715292300000,89615.3,2426782.324,2.2819,0.6953,0.3047,1.2645,0.5584,0.4416,2.1095,0.6784,0.3216,,,,,,,
19,1715292600000,89471.5,2426007.32264482,2.2884,0.6959,0.3041,1.2642,0.5583,0.4417,2.1095,0.6784,0.3216,,,,,,,
20,1715292900000,89595.5,2436314.16104623,2.2712,0.6943,0.3057,1.261,0.5577,0.4423,2.0874,0.6761,0.3239,,,,,,,
21,1715293200000,89565.9,2434222.0302,2.2701,0.6942,0.3058,1.2624,0.558,0.442,2.0807,0.6754,0.3246,,,,,,,
22,1715293500000,89061.1,2419522.9037,2.2658,0.6938,0.3062,1.2619,0.5579,0.4421,2.1348,0.681,0.319,,,,,,,
23,1715293800000,89043.5,2424251.43713116,2.2595,0.6932,0.3068,1.262,0.5579,0.4421,2.1124,0.6787,0.3213,,,,,,,
24,1715294100000,88800.4,2419570.06887518,2.2744,0.6946,0.3054,1.2644,0.5584,0.4416,2.0836,0.6757,0.3243,,,,,,,
25,1715294400000,88695.8,2426181.56049876,2.2755,0.6947,0.3053,1.262,0.5579,0.4421,2.1046,0.6779,0.3221,,,,,,,
26,1715294700000,88865.3,2440666.45265772,2.2595,0.6932,0.3068,1.2634,0.5582,0.4418,2.0675,0.674,0.326,,,,,,,
27,1715295000000,88441.0,2435187.71071852,2.2637,0.6936,0.3064,1.2577,0.5571,0.4429,2.1586,0.6834,0.3166,,,,,,,
28,1715295300000,88510.5,2438611.57771452,2.2819,0.6953,0.3047,1.2596,0.5574,0.4426,2.1211,0.6796,0.3204,,,,,,,
29,1715295600000,88307.2,2431317.51508877,2.2787,0.695,0.305,1.2605,0.5576,0.4424,2.0989,0.6773,0.3227,,,,,,,
30,1715295900000,88098.9,2415407.5413,2.2949,0.6965,0.3035,1.2649,0.5585,0.4415,2.124,0.6799,0.3201,,,,,,,
31,1715296200000,87650.7,2393079.12242614,2.3411,0.7007,0.2993,1.2587,0.5573,0.4427,2.1606,0.6836,0.3164,,,,,,,
32,1715296500000,87577.6,2387704.74445466,2.3761,0.7038,0.2962,1.2608,0.5577,0.4423,2.1696,0.6845,0.3155,,,,,,,
33,1715296800000,87675.7,2390769.02979589,2.3898,0.705,0.295,1.2621,0.5579,0.4421,2.1576,0.6833,0.3167,,,,,,,
34,1715297100000,87761.6,2384131.6256,2.4423,0.7095,0.2905,1.2627,0.558,0.442,2.2103,0.6885,0.3115,,,,,,,
35,1715297400000,87907.8,2389753.07454785,2.4376,0.7091,0.2909,1.2615,0.5578,0.4422,2.1636,0.6839,0.3161,,,,,,,
36,1715297700000,87789.5,2384966.43953252,2.4352,0.7089,0.2911,1.2622,0.558,0.442,2.1726,0.6848,0.3152,,,,,,,
37,1715298000000,87712.5,2379289.275,2.4294,0.7084,0.2916,1.2598,0.5575,0.4425,2.1516,0.6827,0.3173,,,,,,,
38,1715298300000,87723.4,2378269.0974,2.4317,0.7086,0.2914,1.2604,0.5576,0.4424,2.1686,0.6844,0.3156,,,,,,,
39,1715298600000,87677.9,2383786.7452,2.4095,0.7067,0.2933,1.258,0.5571,0.4429,2.1596,0.6835,0.3165,,,,,,,
40,1715298900000,87654.0,2380031.86427202,2.4002,0.7059,0.2941,1.2579,0.5571,0.4429,2.1766,0.6852,0.3148,,,,,,,
41,1715299200000,87741.6,2381057.90541703,2.3956,0.7055,0.2945,1.2591,0.5573,0.4427,2.125,0.68,0.32,,,,,,,
42,1715299500000,88689.4,2401442.8838,2.4459,0.7098,0.2902,1.2581,0.5571,0.4429,2.1172,0.6792,0.3208,,,,,,,
43,1715299800000,88676.0,2409681.624,2.413,0.707,0.293,1.2576,0.557,0.443,2.124,0.6799,0.3201,,,,,,,
44,1715300100000,88832.4,2416098.89942928,2.3875,0.7048,0.2952,1.2553,0.5566,0.4434,2.1114,0.6786,0.3214,,,,,,,
45,1715300400000,88852.9,2417612.9564895,2.3841,0.7045,0.2955,1.2548,0.5565,0.4435,2.1066,0.6781,0.3219,,,,,,,
46,1715300700000,88963.8,2423656.13542129,2.367,0.703,0.297,1.2519,0.5559,0.4441,2.1017,0.6776,0.3224,,,,,,,
47,1715301000000,88998.2,2421820.97280047,2.3864,0.7047,0.2953,1.2505,0.5557,0.4443,2.0998,0.6774,0.3226,,,,,,,
48,1715301300000,88871.0,2420081.61875963,2.3852,0.7046,0.2954,1.2546,0.5565,0.4435,2.124,0.6799,0.3201,,,,,,,
49,1715301600000,88982.5,2427976.495,2.3784,0.704,0.296,1.2557,0.5567,0.4433,2.0989,0.6773,0.3227,,,,,,,
50,1715301900000,89038.8,2431501.55113327,2.3693,0.7032,0.2968,1.2558,0.5567,0.4433,2.0874,0.6761,0.3239,,,,,,,
51,1715302200000,88718.0,2424285.75719736,2.3933,0.7053,0.2947,1.2565,0.5568,0.4432,2.0779,0.6751,0.3249,,,,,,,
52,1715302500000,88705.8,2423797.2792,2.399,0.7058,0.2942,1.2549,0.5565,0.4435,2.1211,0.6796,0.3204,,,,,,,
53,1715302800000,88628.7,2419918.0248,2.4341,0.7088,0.2912,1.2548,0.5565,0.4435,2.2,0.6875,0.3125,,,,,,,
54,1715303100000,88763.4,2435136.61658909,2.4165,0.7073,0.2927,1.2545,0.5564,0.4436,2.1566,0.6832,0.3168,,,,,,,
55,1715303400000,88797.9,2428048.12250511,2.4176,0.7074,0.2926,1.2569,0.5569,0.4431,2.1279,0.6803,0.3197,,,,,,,
56,1715303700000,88736.4,2422681.1928,2.3944,0.7054,0.2946,1.2567,0.5569,0.4431,2.1319,0.6807,0.3193,,,,,,,
