,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4943314.0,3592138.06282458,3.3535,0.7703,0.2297,1.7548,0.637,0.363,2.7216,0.7313,0.2687,,,,,,,
1,1715287200000,4938859.0,3588574.9494,3.3478,0.77,0.23,1.7563,0.6372,0.3628,2.6778,0.7281,0.2719,,,,,,,
2,1715287500000,4935274.0,3584489.5062,3.3122,0.7681,0.2319,1.7569,0.6373,0.3627,2.7064,0.7302,0.2698,,,,,,,
3,1715287800000,4930108.0,3581518.22160396,3.29,0.7669,0.2331,1.7554,0.6371,0.3629,2.6887,0.7289,0.2711,,,,,,,
4,1715288100000,4923290.0,3577262.514,3.3085,0.7679,0.2321,1.7606,0.6378,0.3622,2.6258,0.7242,0.2758,,,,,,,
5,1715288400000,4920029.0,3581216.19427022,3.3271,0.7689,0.2311,1.761,0.6378,0.3622,2.6403,0.7253,0.2747,,,,,,,
6,1715288700000,4914061.0,3587919.52519069,3.3898,0.7722,0.2278,1.7626,0.638,0.362,2.6603,0.7268,0.2732,,,,,,,
7,1715289000000,4887556.0,3566240.86568324,3.4543,0.7755,0.2245,1.7639,0.6382,0.3618,2.723,0.7314,0.2686,,,,,,,
8,1715289300000,4879894.0,3555002.779,3.4307,0.7743,0.2257,1.7685,0.6388,0.3612,2.6941,0.7293,0.2707,,,,,,,
9,1715289600000,4876001.0,3552686.94904669,3.4307,0.7743,0.2257,1.7679,0.6387,0.3613,2.7078,0.7303,0.2697,,,,,,,
10,1715289900000,4876551.0,3550914.49653855,3.3802,0.7717,0.2283,1.7683,0.6388,0.3612,2.7355,0.7323,0.2677,,,,,,,
11,1715290200000,4876220.0,3549400.538,3.4248,0.774,0.226,1.7688,0.6388,0.3612,2.7092,0.7304,0.2696,,,,,,,
12,1715290500000,4871435.0,3547606.90144365,3.4053,0.773,0.227,1.7687,0.6388,0.3612,2.7397,0.7326,0.2674,,,,,,,
13,1715290800000,4871285.0,3545036.30154035,3.4209,0.7738,0.2262,1.7696,0.6389,0.3611,2.7175,0.731,0.269,,,,,,,
14,1715291100000,4867269.0,3543371.832,3.3783,0.7716,0.2284,1.7681,0.6387,0.3613,2.7453,0.733,0.267,,,,,,,
15,1715291400000,4864226.0,3540209.4631978,3.4267,0.7741,0.2259,1.7685,0.6388,0.3612,2.7202,0.7312,0.2688,,,,,,,
16,1715291700000,4863968.0,3544859.8784,3.3573,0.7705,0.2295,1.7679,0.6387,0.3613,2.7106,0.7305,0.2695,,,,,,,
17,1715292000000,4862398.0,3544688.142,3.4053,0.773,0.227,1.7697,0.6389,0.3611,2.7092,0.7304,0.2696,,,,,,,
18,1715292300000,4858921.0,3541212.28459151,3.4267,0.7741,0.2259,1.7708,0.6391,0.3609,2.7272,0.7317,0.2683,,,,,,,
