,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,29241902.0,4238490.00165454,2.7175,0.731,0.269,1.7644,0.6383,0.3617,2.4722,0.712,0.288,,,,,,,
1,1715287200000,29241223.0,4242901.4573,2.723,0.7314,0.2686,1.7645,0.6383,0.3617,2.4746,0.7122,0.2878,,,,,,,
2,1715287500000,29247487.0,4241053.78805025,2.7286,0.7318,0.2682,1.7637,0.6382,0.3618,2.4783,0.7125,0.2875,,,,,,,
3,1715287800000,29252032.0,4244469.8432,2.7481,0.7332,0.2668,1.7626,0.638,0.362,2.4928,0.7137,0.2863,,,,,,,
4,1715288100000,29243091.0,4241341.8866034,2.7552,0.7337,0.2663,1.7622,0.638,0.362,2.499,0.7142,0.2858,,,,,,,
5,1715288400000,29242074.0,4248873.3522,2.7495,0.7333,0.2667,1.7631,0.6381,0.3619,2.499,0.7142,0.2858,,,,,,,
6,1715288700000,29292730.0,4269762.5163505,2.7327,0.7321,0.2679,1.764,0.6382,0.3618,2.5014,0.7144,0.2856,,,,,,,
7,1715289000000,29288245.0,4273159.92450165,2.7064,0.7302,0.2698,1.763,0.6381,0.3619,2.4916,0.7136,0.2864,,,,,,,
8,1715289300000,29294123.0,4265224.3088,2.7258,0.7316,0.2684,1.7641,0.6382,0.3618,2.4977,0.7141,0.2859,,,,,,,
9,1715289600000,29312697.0,4266540.14074311,2.7189,0.7311,0.2689,1.7673,0.6386,0.3614,2.4638,0.7113,0.2887,,,,,,,
10,1715289900000,29315008.0,4264723.32553344,2.7216,0.7313,0.2687,1.7669,0.6386,0.3614,2.4674,0.7116,0.2884,,,,,,,
11,1715290200000,29320221.0,4266092.1555,2.7202,0.7312,0.2688,1.7654,0.6384,0.3616,2.4674,0.7116,0.2884,,,,,,,
12,1715290500000,29297723.0,4262818.6965,2.7133,0.7307,0.2693,1.7667,0.6386,0.3614,2.4819,0.7128,0.2872,,,,,,,
13,1715290800000,29292622.0,4262076.501,2.7023,0.7299,0.2701,1.7671,0.6386,0.3614,2.4674,0.7116,0.2884,,,,,,,
14,1715291100000,29275118.0,4263271.0290804,2.701,0.7298,0.2702,1.7654,0.6384,0.3616,2.4662,0.7115,0.2885,,,,,,,
15,1715291400000,29274095.0,4263482.7086914,2.701,0.7298,0.2702,1.7654,0.6384,0.3616,2.4662,0.7115,0.2885,,,,,,,
16,1715291700000,29255010.0,4266193.4547279,2.6955,0.7294,0.2706,1.7666,0.6385,0.3615,2.465,0.7114,0.2886,,,,,,,
17,1715292000000,29230975.0,4270586.69324025,2.7147,0.7308,0.2692,1.7702,0.639,0.361,2.471,0.7119,0.2881,,,,,,,
18,1715292300000,29244345.0,4272598.8045,2.7064,0.7302,0.2698,1.7678,0.6387,0.3613,2.4602,0.711,0.289,,,,,,,
19,1715292600000,29248510.0,4273391.576613,2.7161,0.7309,0.2691,1.768,0.6387,0.3613,2.4566,0.7107,0.2893,,,,,,,
20,1715292900000,29238873.0,4284296.91678639,2.7161,0.7309,0.2691,1.768,0.6387,0.3613,2.4626,0.7112,0.2888,,,,,,,
21,1715293200000,29206082.0,4276755.23388504,2.723,0.7314,0.2686,1.7706,0.6391,0.3609,2.4819,0.7128,0.2872,,,,,,,
22,1715293500000,29221179.0,4280586.25813143,2.7258,0.7316,0.2684,1.7716,0.6392,0.3608,2.488,0.7133,0.2867,,,,,,,
23,1715293800000,29216730.0,4286640.643851,2.7244,0.7315,0.2685,1.7701,0.639,0.361,2.4819,0.7128,0.2872,,,,,,,
24,1715294100000,29221965.0,4286862.2655,2.7064,0.7302,0.2698,1.7708,0.6391,0.3609,2.4734,0.7121,0.2879,,,,,,,
25,1715294400000,29251962.0,4302738.3700926,2.7078,0.7303,0.2697,1.7659,0.6385,0.3615,2.5014,0.7144,0.2856,,,,,,,
26,1715294700000,29248145.0,4313732.56839155,2.6955,0.7294,0.2706,1.7656,0.6384,0.3616,2.4843,0.713,0.287,,,,,,,
27,1715295000000,29250625.0,4324722.74913125,2.6941,0.7293,0.2707,1.7671,0.6386,0.3614,2.471,0.7119,0.2881,,,,,,,
28,1715295300000,29274963.0,4339645.57121472,2.6819,0.7284,0.2716,1.7683,0.6388,0.3612,2.459,0.7109,0.2891,,,,,,,
29,1715295600000,29264555.0,4333262.9438333,2.6873,0.7288,0.2712,1.7693,0.6389,0.3611,2.4602,0.711,0.289,,,,,,,
30,1715295900000,29257514.0,4328516.65976158,2.6873,0.7288,0.2712,1.7751,0.6396,0.3604,2.4554,0.7106,0.2894,,,,,,,
31,1715296200000,29279753.0,4318763.5675,2.6751,0.7279,0.2721,1.7704,0.639,0.361,2.471,0.7119,0.2881,,,,,,,
32,1715296500000,29297030.0,4317876.2622919,2.7092,0.7304,0.2696,1.7727,0.6393,0.3607,2.4211,0.7077,0.2923,,,,,,,
33,1715296800000,29319140.0,4315777.408,2.7216,0.7313,0.2687,1.7723,0.6393,0.3607,2.4294,0.7084,0.2916,,,,,,,
34,1715297100000,29329082.0,4314307.9622,2.7467,0.7331,0.2669,1.7743,0.6395,0.3605,2.4423,0.7095,0.2905,,,,,,,
