,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,6670957.8,4419509.5425,3.4603,0.7758,0.2242,1.2518,0.5559,0.4441,3.0486,0.753,0.247,,,,,,,
1,1715287200000,6671185.0,4425011.9539544,3.4543,0.7755,0.2245,1.2512,0.5558,0.4442,3.0486,0.753,0.247,,,,,,,
2,1715287500000,6670037.4,4421567.79246,3.4524,0.7754,0.2246,1.2519,0.5559,0.4441,3.0453,0.7528,0.2472,,,,,,,
3,1715287800000,6661444.5,4416090.12104405,3.4307,0.7743,0.2257,1.2511,0.5558,0.4442,3.07,0.7543,0.2457,,,,,,,
4,1715288100000,6662384.2,4419159.43986,3.4209,0.7738,0.2262,1.2525,0.556,0.444,3.0323,0.752,0.248,,,,,,,
5,1715288400000,6659286.7,4419152.33239878,3.415,0.7735,0.2265,1.2515,0.5558,0.4442,3.0933,0.7557,0.2443,,,,,,,
6,1715288700000,6663591.7,4433614.8736343,3.4267,0.7741,0.2259,1.2516,0.5559,0.4441,3.1,0.7561,0.2439,,,,,,,
7,1715289000000,6663601.7,4438184.4950256,3.4111,0.7733,0.2267,1.2523,0.556,0.444,3.065,0.754,0.246,,,,,,,
8,1715289300000,6662439.5,4427857.2917,3.4366,0.7746,0.2254,1.2515,0.5558,0.4442,3.0866,0.7553,0.2447,,,,,,,
9,1715289600000,6661287.9,4424424.5588262,3.4346,0.7745,0.2255,1.2514,0.5558,0.4442,3.0967,0.7559,0.2441,,,,,,,
10,1715289900000,6657775.0,4419410.4058975,3.415,0.7735,0.2265,1.2513,0.5558,0.4442,3.075,0.7546,0.2454,,,,,,,
11,1715290200000,6657006.1,4418254.94857,3.4326,0.7744,0.2256,1.2514,0.5558,0.4442,3.0816,0.755,0.245,,,,,,,
12,1715290500000,6655102.9,4418440.61063133,3.4385,0.7747,0.2253,1.2516,0.5559,0.4441,3.0816,0.755,0.245,,,,,,,
13,1715290800000,6651826.4,4414211.33333149,3.4425,0.7749,0.2251,1.2521,0.556,0.444,3.0917,0.7556,0.2444,,,,,,,
14,1715291100000,6647910.6,4414782.03194289,3.4603,0.7758,0.2242,1.2525,0.5561,0.4439,3.0833,0.7551,0.2449,,,,,,,
15,1715291400000,6647731.1,4416114.82599558,3.4623,0.7759,0.2241,1.2525,0.556,0.444,3.0883,0.7554,0.2446,,,,,,,
16,1715291700000,6645839.8,4420498.61902945,3.4683,0.7762,0.2238,1.2521,0.556,0.444,3.1085,0.7566,0.2434,,,,,,,
17,1715292000000,6643289.1,4422617.12197437,3.4683,0.7762,0.2238,1.2528,0.5561,0.4439,3.1034,0.7563,0.2437,,,,,,,
18,1715292300000,6641406.0,4416640.78759758,3.4663,0.7761,0.2239,1.2526,0.5561,0.4439,3.1391,0.7584,0.2416,,,,,,,
19,1715292600000,6638574.3,4414849.80539988,3.4743,0.7765,0.2235,1.2525,0.5561,0.4439,3.1391,0.7584,0.2416,,,,,,,
20,1715292900000,6647051.9,4428622.25776184,3.4703,0.7763,0.2237,1.2503,0.5556,0.4444,3.158,0.7595,0.2405,,,,,,,
21,1715293200000,6646904.1,4425508.74978,3.4703,0.7763,0.2237,1.2499,0.5555,0.4445,3.1563,0.7594,0.2406,,,,,,,
22,1715293500000,6645726.2,4423459.95517866,3.4643,0.776,0.224,1.2501,0.5556,0.4444,3.1477,0.7589,0.2411,,,,,,,
23,1715293800000,6646495.7,4427230.78577,3.4723,0.7764,0.2236,1.2493,0.5554,0.4446,3.1771,0.7606,0.2394,,,,,,,
24,1715294100000,6646303.0,4427518.81918295,3.4743,0.7765,0.2235,1.2497,0.5555,0.4445,3.1511,0.7591,0.2409,,,,,,,
25,1715294400000,6646078.5,4442655.57852195,3.4763,0.7766,0.2234,1.2487,0.5553,0.4447,3.1982,0.7618,0.2382,,,,,,,
26,1715294700000,6638827.1,4443139.26626047,3.4623,0.7759,0.2241,1.2482,0.5552,0.4448,3.207,0.7623,0.2377,,,,,,,
27,1715295000000,6627147.8,4459005.02284819,3.4092,0.7732,0.2268,1.2504,0.5556,0.4444,3.1305,0.7579,0.2421,,,,,,,
28,1715295300000,6688453.3,4517941.85120654,3.2662,0.7656,0.2344,1.2547,0.5565,0.4435,2.8941,0.7432,0.2568,,,,,,,
