,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,9115698.4,6539768.66712675,1.5195,0.6031,0.3969,1.0583,0.5142,0.4858,1.51,0.6016,0.3984,,,,,,,
1,1715287500000,9115663.9,6526500.0415857,1.5176,0.6028,0.3972,1.0581,0.5141,0.4859,1.5063,0.601,0.399,,,,,,,
2,1715287800000,9115815.5,6522169.9090586,1.5452,0.6071,0.3929,1.0572,0.5139,0.4861,1.5151,0.6024,0.3976,,,,,,,
3,1715288100000,9119808.9,6515465.072427,1.5471,0.6074,0.3926,1.0571,0.5139,0.4861,1.5189,0.603,0.397,,,,,,,
4,1715288400000,9124999.2,6512088.07282716,1.5484,0.6076,0.3924,1.0594,0.5144,0.4856,1.5355,0.6056,0.3944,,,,,,,
5,1715288700000,9153617.8,6560518.88808732,1.5407,0.6064,0.3936,1.0612,0.5148,0.4852,1.5297,0.6047,0.3953,,,,,,,
6,1715289000000,9149266.3,6569618.04072751,1.5316,0.605,0.395,1.0579,0.5141,0.4859,1.5227,0.6036,0.3964,,,,,,,
7,1715289300000,9155647.5,6548933.48684513,1.5419,0.6066,0.3934,1.0591,0.5144,0.4856,1.5233,0.6037,0.3963,,,,,,,
8,1715289600000,9176431.3,6548393.139993,1.54,0.6063,0.3937,1.0592,0.5144,0.4856,1.5227,0.6036,0.3964,,,,,,,
9,1715289900000,9198626.4,6561435.49486466,1.5361,0.6057,0.3943,1.0608,0.5147,0.4853,1.5025,0.6004,0.3996,,,,,,,
10,1715290200000,9201436.1,6555762.36053657,1.5458,0.6072,0.3928,1.0595,0.5145,0.4855,1.5132,0.6021,0.3979,,,,,,,
11,1715290500000,9237088.3,6517338.58749548,1.633,0.6202,0.3798,1.0601,0.5146,0.4854,1.6028,0.6158,0.3842,,,,,,,
12,1715290800000,9274104.2,6544500.79184478,1.6021,0.6157,0.3843,1.0524,0.5128,0.4872,1.5767,0.6119,0.3881,,,,,,,
13,1715291100000,9278642.6,6535968.633866,1.6254,0.6191,0.3809,1.0496,0.5121,0.4879,1.588,0.6136,0.3864,,,,,,,
14,1715291400000,9307183.8,6582598.814388,1.5907,0.614,0.386,1.0472,0.5115,0.4885,1.5615,0.6096,0.3904,,,,,,,
15,1715291700000,9306313.7,6597440.74920202,1.6048,0.6161,0.3839,1.0475,0.5116,0.4884,1.5961,0.6148,0.3852,,,,,,,
16,1715292000000,9294132.2,6586794.9866787,1.6076,0.6165,0.3835,1.0459,0.5112,0.4888,1.578,0.6121,0.3879,,,,,,,
17,1715292300000,9318359.1,6597398.2428,1.5484,0.6076,0.3924,1.0477,0.5117,0.4883,1.5304,0.6048,0.3952,,,,,,,
18,1715292600000,9330364.6,6599407.28205872,1.5445,0.607,0.393,1.0475,0.5116,0.4884,1.5407,0.6064,0.3936,,,,,,,
19,1715292900000,9338716.9,6611802.60003178,1.5602,0.6094,0.3906,1.0473,0.5115,0.4885,1.5575,0.609,0.391,,,,,,,
20,1715293200000,9342582.5,6616136.649025,1.5361,0.6057,0.3943,1.046,0.5112,0.4888,1.5452,0.6071,0.3929,,,,,,,
21,1715293500000,9356523.6,6634628.64091756,1.5361,0.6057,0.3943,1.0465,0.5114,0.4886,1.5246,0.6039,0.3961,,,,,,,
22,1715293800000,9371717.0,6659167.23152,1.5297,0.6047,0.3953,1.0459,0.5112,0.4888,1.5063,0.601,0.399,,,,,,,
23,1715294100000,9357685.1,6673653.59612596,1.5075,0.6012,0.3988,1.0433,0.5106,0.4894,1.5006,0.6001,0.3999,,,,,,,
24,1715294400000,9346839.2,6681835.78682719,1.5246,0.6039,0.3961,1.0415,0.5102,0.4898,1.5491,0.6077,0.3923,,,,,,,
25,1715294700000,9357438.3,6725324.34328016,1.5126,0.602,0.398,1.0464,0.5113,0.4887,1.5413,0.6065,0.3935,,,,,,,
26,1715295000000,9293214.6,6718834.59130532,1.5214,0.6034,0.3966,1.0463,0.5113,0.4887,1.5543,0.6085,0.3915,,,,,,,
27,1715295300000,9278936.4,6711733.066212,1.5517,0.6081,0.3919,1.0537,0.5131,0.4869,1.5608,0.6095,0.3905,,,,,,,
28,1715295600000,9300508.1,6707880.97708877,1.553,0.6083,0.3917,1.0579,0.5141,0.4859,1.5621,0.6097,0.3903,,,,,,,
29,1715295900000,9304927.4,6701036.516384,1.5562,0.6088,0.3912,1.0568,0.5138,0.4862,1.5595,0.6093,0.3907,,,,,,,
30,1715296200000,9250471.2,6666259.565568,1.5517,0.6081,0.3919,1.0473,0.5116,0.4884,1.5974,0.615,0.385,,,,,,,
31,1715296500000,9248156.4,6641558.80210024,1.5634,0.6099,0.3901,1.0481,0.5117,0.4883,1.5947,0.6146,0.3854,,,,,,,
32,1715296800000,9247355.6,6639995.99793701,1.5648,0.6101,0.3899,1.0428,0.5105,0.4895,1.5833,0.6129,0.3871,,,,,,,
33,1715297100000,9254125.4,6622992.466272,1.5582,0.6091,0.3909,1.0436,0.5107,0.4893,1.5806,0.6125,0.3875,,,,,,,
34,1715297400000,9268371.3,6637596.10205799,1.5602,0.6094,0.3906,1.0461,0.5113,0.4887,1.5867,0.6134,0.3866,,,,,,,
35,1715297700000,9284254.3,6646363.87584673,1.5355,0.6056,0.3944,1.0462,0.5113,0.4887,1.5543,0.6085,0.3915,,,,,,,
36,1715298000000,9298138.7,6657163.26006451,1.5394,0.6062,0.3938,1.0431,0.5105,0.4895,1.5253,0.604,0.396,,,,,,,
37,1715298300000,9281799.2,6655686.20091717,1.5195,0.6031,0.3969,1.0394,0.5097,0.4903,1.5208,0.6033,0.3967,,,,,,,
38,1715298600000,9328788.4,6686641.37253116,1.5316,0.605,0.395,1.0417,0.5102,0.4898,1.5478,0.6075,0.3925,,,,,,,
39,1715298900000,9340195.6,6701310.137132,1.517,0.6027,0.3973,1.0389,0.5095,0.4905,1.524,0.6038,0.3962,,,,,,,
40,1715299200000,9386361.7,6733476.17705092,1.505,0.6008,0.3992,1.0432,0.5106,0.4894,1.505,0.6008,0.3992,,,,,,,
41,1715299500000,9404263.1,6723286.08906101,1.4857,0.5977,0.4023,1.0418,0.5102,0.4898,1.4925,0.5988,0.4012,,,,,,,
42,1715299800000,9477405.7,6730267.44537151,1.5445,0.607,0.393,1.0517,0.5126,0.4874,1.5674,0.6105,0.3895,,,,,,,
43,1715300100000,9474749.9,6709259.899188,1.5336,0.6053,0.3947,1.039,0.5096,0.4904,1.6096,0.6168,0.3832,,,,,,,
44,1715300400000,9480822.9,6703036.598529,1.5336,0.6053,0.3947,1.044,0.5108,0.4892,1.6082,0.6166,0.3834,,,,,,,
45,1715300700000,9454527.4,6692912.98635871,1.5323,0.6051,0.3949,1.039,0.5096,0.4904,1.5934,0.6144,0.3856,,,,,,,
46,1715301000000,9518406.9,6725801.499609,1.5419,0.6066,0.3934,1.0395,0.5097,0.4903,1.5947,0.6146,0.3854,,,,,,,
47,1715301300000,9510956.4,6730243.21324846,1.5246,0.6039,0.3961,1.0347,0.5085,0.4915,1.5674,0.6105,0.3895,,,,,,,
48,1715301600000,9519367.3,6740791.92542651,1.5233,0.6037,0.3963,1.0347,0.5085,0.4915,1.5867,0.6134,0.3866,,,,,,,
49,1715301900000,9514751.3,6735397.297757,1.5323,0.6051,0.3949,1.0331,0.5081,0.4919,1.586,0.6133,0.3867,,,,,,,
50,1715302200000,9534341.9,6741065.753557,1.5316,0.605,0.395,1.0321,0.5079,0.4921,1.5767,0.6119,0.3881,,,,,,,
51,1715302500000,9521949.9,6746015.845653,1.517,0.6027,0.3973,1.0297,0.5073,0.4927,1.57,0.6109,0.3891,,,,,,,
52,1715302800000,9522351.1,6750250.90728839,1.5208,0.6033,0.3967,1.0298,0.5073,0.4927,1.5727,0.6113,0.3887,,,,,,,
53,1715303100000,9507338.2,6761714.001222,1.5113,0.6018,0.3982,1.0276,0.5068,0.4932,1.576,0.6118,0.3882,,,,,,,
54,1715303400000,9500745.0,6738878.4285,1.5183,0.6029,0.3971,1.0271,0.5067,0.4933,1.5747,0.6116,0.3884,,,,,,,
55,1715303700000,9487325.7,6725445.07918664,1.531,0.6049,0.3951,1.0272,0.5067,0.4933,1.5893,0.6138,0.3862,,,,,,,
56,1715304000000,9492091.6,6727099.99136762,1.5259,0.6041,0.3959,1.0279,0.5069,0.4931,1.59,0.6139,0.3861,,,,,,,
57,1715304300000,9492348.3,6739946.986932,1.5069,0.6011,0.3989,1.0295,0.5073,0.4927,1.576,0.6118,0.3882,,,,,,,
58,1715304600000,9491904.4,6747458.34994902,1.5069,0.6011,0.3989,1.0293,0.5072,0.4928,1.5767,0.6119,0.3881,,,,,,,
59,1715304900000,9484144.4,6773331.14471304,1.4963,0.5994,0.4006,1.0291,0.5072,0.4928,1.5549,0.6086,0.3914,,,,,,,
60,1715305200000,9459945.2,6747307.90048849,1.5361,0.6057,0.3943,1.0305,0.5075,0.4925,1.576,0.6118,0.3882,,,,,,,
61,1715305500000,9482632.4,6732479.351352,1.5316,0.605,0.395,1.0294,0.5072,0.4928,1.588,0.6136,0.3864,,,,,,,
62,1715305800000,9480613.7,6718910.92919,1.5853,0.6132,0.3868,1.0299,0.5074,0.4926,1.5988,0.6152,0.3848,,,,,,,
63,1715306100000,9491198.5,6725490.11719176,1.5478,0.6075,0.3925,1.0311,0.5077,0.4923,1.6042,0.616,0.384,,,,,,,
64,1715306400000,9497316.0,6728301.15065208,1.5826,0.6128,0.3872,1.0565,0.5137,0.4863,1.5934,0.6144,0.3856,,,,,,,
65,1715306700000,9534945.5,6727184.94974443,1.5733,0.6114,0.3886,1.0603,0.5146,0.4854,1.5707,0.611,0.389,,,,,,,
66,1715307000000,9532634.1,6729404.99182162,1.5195,0.6031,0.3969,1.0542,0.5132,0.4868,1.5641,0.61,0.39,,,,,,,
67,1715307300000,9537031.7,6737567.65550246,1.5549,0.6086,0.3914,1.0522,0.5127,0.4873,1.5608,0.6095,0.3905,,,,,,,
68,1715307600000,9546031.7,6749471.78773921,1.5549,0.6086,0.3914,1.052,0.5127,0.4873,1.5556,0.6087,0.3913,,,,,,,
69,1715307900000,9544591.5,6749266.987395,1.5595,0.6093,0.3907,1.0516,0.5126,0.4874,1.5589,0.6092,0.3908,,,,,,,
70,1715308200000,9535395.3,6751831.47658768,1.5523,0.6082,0.3918,1.0504,0.5123,0.4877,1.5556,0.6087,0.3913,,,,,,,
71,1715308500000,9536673.2,6764743.767688,1.5439,0.6069,0.3931,1.0482,0.5118,0.4882,1.5687,0.6107,0.3893,,,,,,,
72,1715308800000,9548950.2,6778989.67559948,1.5575,0.609,0.391,1.0481,0.5117,0.4883,1.5947,0.6146,0.3854,,,,,,,
73,1715309100000,9567150.7,6806858.2888111,1.5536,0.6084,0.3916,1.0457,0.5112,0.4888,1.582,0.6127,0.3873,,,,,,,
74,1715309400000,9613376.1,6848184.598596,1.5316,0.605,0.395,1.0489,0.5119,0.4881,1.5641,0.61,0.39,,,,,,,
75,1715309700000,9611994.6,6830967.44841568,1.5355,0.6056,0.3944,1.0498,0.5121,0.4879,1.5543,0.6085,0.3915,,,,,,,
76,1715310000000,9603791.9,6816003.187268,1.553,0.6083,0.3917,1.0488,0.5119,0.4881,1.5602,0.6094,0.3906,,,,,,,
77,1715310300000,9595518.0,6805333.27596,1.5445,0.607,0.393,1.0489,0.5119,0.4881,1.572,0.6112,0.3888,,,,,,,
78,1715310600000,9610736.4,6830499.22978684,1.5349,0.6055,0.3945,1.0493,0.512,0.488,1.5608,0.6095,0.3905,,,,,,,
79,1715310900000,9623440.9,6823212.066918,1.5342,0.6054,0.3946,1.0509,0.5124,0.4876,1.5536,0.6084,0.3916,,,,,,,
80,1715311200000,9631580.9,6844264.76334232,1.5246,0.6039,0.3961,1.0497,0.5121,0.4879,1.5316,0.605,0.395,,,,,,,
81,1715311500000,9668298.7,6882386.55096591,1.5,0.6,0.4,1.0522,0.5127,0.4873,1.5044,0.6007,0.3993,,,,,,,
