,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,13854197.0,7674233.45457874,1.4114,0.5853,0.4147,0.9735,0.4933,0.5067,1.5913,0.6141,0.3859,,,,,,,
1,1715287500000,13855197.0,7672453.89072,1.4195,0.5867,0.4133,0.9706,0.4925,0.5075,1.5767,0.6119,0.3881,,,,,,,
2,1715287800000,13855867.0,7662596.92457661,1.4155,0.586,0.414,0.9701,0.4924,0.5076,1.6082,0.6166,0.3834,,,,,,,
3,1715288100000,13857252.0,7660029.082125,1.4207,0.5869,0.4131,0.9673,0.4917,0.5083,1.5893,0.6138,0.3862,,,,,,,
4,1715288400000,13856222.0,7655888.83046588,1.4266,0.5879,0.4121,0.9688,0.4921,0.5079,1.5893,0.6138,0.3862,,,,,,,
5,1715288700000,13854334.0,7678629.81683018,1.4172,0.5863,0.4137,0.9673,0.4917,0.5083,1.6069,0.6164,0.3836,,,,,,,
6,1715289000000,13706841.0,7583762.79434505,1.4266,0.5879,0.4121,0.9695,0.4923,0.5077,1.6575,0.6237,0.3763,,,,,,,
7,1715289300000,13646660.0,7536508.2726648,1.4631,0.594,0.406,0.9658,0.4913,0.5087,1.6392,0.6211,0.3789,,,,,,,
8,1715289600000,13635406.0,7509836.20856,1.4637,0.5941,0.4059,0.9645,0.491,0.509,1.6674,0.6251,0.3749,,,,,,,
9,1715289900000,13630180.0,7505049.7116,1.4722,0.5955,0.4045,0.9648,0.491,0.509,1.6596,0.624,0.376,,,,,,,
10,1715290200000,13622132.0,7488891.98195044,1.4746,0.5959,0.4041,0.9657,0.4913,0.5087,1.6582,0.6238,0.3762,,,,,,,
11,1715290500000,13644254.0,7495061.60728,1.4771,0.5963,0.4037,0.9691,0.4922,0.5078,1.6567,0.6236,0.3764,,,,,,,
12,1715290800000,13633936.0,7491575.15328,1.4795,0.5967,0.4033,0.969,0.4921,0.5079,1.6462,0.6221,0.3779,,,,,,,
13,1715291100000,13617804.0,7495103.14356,1.4759,0.5961,0.4039,0.9692,0.4922,0.5078,1.6385,0.621,0.379,,,,,,,
14,1715291400000,13604580.0,7498572.4044,1.4685,0.5949,0.4051,0.968,0.4919,0.5081,1.6413,0.6214,0.3786,,,,,,,
15,1715291700000,13591749.0,7500116.0235111,1.4631,0.594,0.406,0.9673,0.4917,0.5083,1.6469,0.6222,0.3778,,,,,,,
16,1715292000000,13577156.0,7501297.49860712,1.4661,0.5945,0.4055,0.9662,0.4914,0.5086,1.6164,0.6178,0.3822,,,,,,,
17,1715292300000,13578810.0,7484061.8862702,1.4564,0.5929,0.4071,0.9672,0.4917,0.5083,1.624,0.6189,0.3811,,,,,,,
18,1715292600000,13588152.0,7503075.8774256,1.4624,0.5939,0.4061,0.9687,0.4921,0.5079,1.6035,0.6159,0.3841,,,,,,,
19,1715292900000,13597494.0,7527980.60322,1.4492,0.5917,0.4083,0.9682,0.4919,0.5081,1.6028,0.6158,0.3842,,,,,,,
20,1715293200000,13584751.0,7511692.82011285,1.4343,0.5892,0.4108,0.9669,0.4916,0.5084,1.5947,0.6146,0.3854,,,,,,,
21,1715293500000,13582286.0,7509963.48324668,1.4295,0.5884,0.4116,0.9655,0.4912,0.5088,1.6151,0.6176,0.3824,,,,,,,
22,1715293800000,13596315.0,7525474.83167865,1.4331,0.589,0.411,0.9661,0.4914,0.5086,1.6001,0.6154,0.3846,,,,,,,
23,1715294100000,13588969.0,7523349.91521695,1.4184,0.5865,0.4135,0.966,0.4913,0.5087,1.5833,0.6129,0.3871,,,,,,,
24,1715294400000,13574492.0,7545953.95027256,1.4137,0.5857,0.4143,0.9656,0.4913,0.5087,1.5994,0.6153,0.3847,,,,,,,
25,1715294700000,13558739.0,7567116.37217537,1.4114,0.5853,0.4147,0.9626,0.4905,0.5095,1.5867,0.6134,0.3866,,,,,,,
26,1715295000000,13448430.0,7552008.7669917,1.4085,0.5848,0.4152,0.9651,0.4911,0.5089,1.5413,0.6065,0.3935,,,,,,,
