,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,15907061.6,41859432.6004,2.3478,0.7013,0.2987,1.3351,0.5718,0.4282,2.4435,0.7096,0.2904,,,,,,,
1,1715287200000,15891120.3,41865156.43035,2.3512,0.7016,0.2984,1.3361,0.5719,0.4281,2.4423,0.7095,0.2905,,,,,,,
2,1715287500000,15885973.8,41842066.39182,2.3613,0.7025,0.2975,1.3372,0.5721,0.4279,2.4495,0.7101,0.2899,,,,,,,
3,1715287800000,15890676.6,41839950.15292748,2.3636,0.7027,0.2973,1.3372,0.5721,0.4279,2.453,0.7104,0.2896,,,,,,,
4,1715288100000,15896651.2,41862360.97186354,2.3613,0.7025,0.2975,1.3349,0.5717,0.4283,2.4471,0.7099,0.2901,,,,,,,
5,1715288400000,15894137.0,41909968.15209232,2.375,0.7037,0.2963,1.333,0.5714,0.4286,2.465,0.7114,0.2886,,,,,,,
6,1715288700000,15839471.6,41828876.60128,2.3659,0.7029,0.2971,1.3328,0.5713,0.4287,2.4554,0.7106,0.2894,,,,,,,
7,1715289000000,15838559.3,41849248.94959475,2.3659,0.7029,0.2971,1.3331,0.5714,0.4286,2.4566,0.7107,0.2893,,,,,,,
8,1715289300000,15845582.9,41749787.80585421,2.3659,0.7029,0.2971,1.3336,0.5715,0.4285,2.4471,0.7099,0.2901,,,,,,,
9,1715289600000,15857541.0,41754491.2071,2.3659,0.7029,0.2971,1.3348,0.5717,0.4283,2.4483,0.71,0.29,,,,,,,
10,1715289900000,15860434.2,41736732.5973,2.3659,0.7029,0.2971,1.3352,0.5718,0.4282,2.4483,0.71,0.29,,,,,,,
11,1715290200000,15865068.6,41718784.39056,2.367,0.703,0.297,1.3365,0.572,0.428,2.4518,0.7103,0.2897,,,,,,,
12,1715290500000,15864068.9,41714902.63527828,2.3625,0.7026,0.2974,1.3379,0.5723,0.4277,2.4507,0.7102,0.2898,,,,,,,
13,1715290800000,15860439.5,41758866.94061626,2.3557,0.702,0.298,1.3355,0.5718,0.4282,2.4388,0.7092,0.2908,,,,,,,
14,1715291100000,15850571.4,41744064.83904,2.3591,0.7023,0.2977,1.3357,0.5719,0.4281,2.4423,0.7095,0.2905,,,,,,,
15,1715291400000,15851539.4,41734499.46633816,2.3512,0.7016,0.2984,1.3344,0.5716,0.4284,2.4423,0.7095,0.2905,,,,,,,
16,1715291700000,15864906.4,41894420.4133537,2.3523,0.7017,0.2983,1.3339,0.5715,0.4285,2.4423,0.7095,0.2905,,,,,,,
17,1715292000000,15867383.9,41850225.03625,2.3025,0.6972,0.3028,1.3335,0.5715,0.4285,2.4002,0.7059,0.2941,,,,,,,
18,1715292300000,15897716.4,41957809.70193116,2.3025,0.6972,0.3028,1.334,0.5716,0.4284,2.3944,0.7054,0.2946,,,,,,,
19,1715292600000,15866269.2,41874656.70931038,2.3036,0.6973,0.3027,1.3329,0.5713,0.4287,2.4048,0.7063,0.2937,,,,,,,
20,1715292900000,15843810.1,41868054.35910716,2.3036,0.6973,0.3027,1.3359,0.5719,0.4281,2.4014,0.706,0.294,,,,,,,
21,1715293200000,15833720.6,41806695.60609098,2.3058,0.6975,0.3025,1.3365,0.572,0.428,2.4048,0.7063,0.2937,,,,,,,
22,1715293500000,15827263.3,41791888.74365,2.3025,0.6972,0.3028,1.3362,0.5719,0.4281,2.4014,0.706,0.294,,,,,,,
23,1715293800000,15811778.8,41826898.45964,2.2992,0.6969,0.3031,1.337,0.5721,0.4279,2.391,0.7051,0.2949,,,,,,,
24,1715294100000,15802509.4,41799217.61394,2.2971,0.6967,0.3033,1.338,0.5723,0.4277,2.4002,0.7059,0.2941,,,,,,,
25,1715294400000,15784673.1,41929087.76048288,2.2906,0.6961,0.3039,1.3352,0.5718,0.4282,2.3979,0.7057,0.2943,,,,,,,
26,1715294700000,15760181.8,41948875.89706,2.2971,0.6967,0.3033,1.3342,0.5716,0.4284,2.4118,0.7069,0.2931,,,,,,,
27,1715295000000,15734255.4,41926513.37173884,2.2808,0.6952,0.3048,1.3316,0.5711,0.4289,2.3933,0.7053,0.2947,,,,,,,
28,1715295300000,15732468.1,41953772.68227,2.296,0.6966,0.3034,1.3309,0.571,0.429,2.406,0.7064,0.2936,,,,,,,
29,1715295600000,15736946.6,41861851.65066,2.2884,0.6959,0.3041,1.3313,0.571,0.429,2.3921,0.7052,0.2948,,,,,,,
30,1715295900000,15738410.4,41802791.86344,2.2938,0.6964,0.3036,1.3305,0.5709,0.4291,2.4037,0.7062,0.2938,,,,,,,
31,1715296200000,15731366.3,41682415.71501131,2.3036,0.6973,0.3027,1.3294,0.5707,0.4293,2.4072,0.7065,0.2935,,,,,,,
32,1715296500000,15747922.5,41708053.53086092,2.3047,0.6974,0.3026,1.33,0.5708,0.4292,2.4025,0.7061,0.2939,,,,,,,
33,1715296800000,15744601.5,41701151.5329,2.3014,0.6971,0.3029,1.3318,0.5711,0.4289,2.399,0.7058,0.2942,,,,,,,
34,1715297100000,15753860.3,41691015.89792,2.3014,0.6971,0.3029,1.3305,0.5709,0.4291,2.4002,0.7059,0.2941,,,,,,,
35,1715297400000,15758977.0,41706919.31863184,2.2949,0.6965,0.3035,1.3328,0.5713,0.4287,2.3933,0.7053,0.2947,,,,,,,
36,1715297700000,15737619.0,41766261.89582322,2.2938,0.6964,0.3036,1.3322,0.5712,0.4288,2.3852,0.7046,0.2954,,,,,,,
37,1715298000000,15733042.6,41693119.52504719,2.2906,0.6961,0.3039,1.3292,0.5707,0.4293,2.3841,0.7045,0.2955,,,,,,,
38,1715298300000,15734166.9,41747126.12181497,2.2916,0.6962,0.3038,1.3292,0.5707,0.4293,2.3841,0.7045,0.2955,,,,,,,
39,1715298600000,15740922.0,41814185.2008,2.2938,0.6964,0.3036,1.3267,0.5702,0.4298,2.3864,0.7047,0.2953,,,,,,,
40,1715298900000,15740435.4,41798902.34017213,2.3025,0.6972,0.3028,1.3268,0.5702,0.4298,2.399,0.7058,0.2942,,,,,,,
41,1715299200000,15752206.7,41760083.37196428,2.3311,0.6998,0.3002,1.3245,0.5698,0.4302,2.4282,0.7083,0.2917,,,,,,,
42,1715299500000,15754065.1,41734093.85641,2.3256,0.6993,0.3007,1.3227,0.5695,0.4305,2.4235,0.7079,0.2921,,,,,,,
43,1715299800000,15758948.7,41804188.39292593,2.319,0.6987,0.3013,1.3217,0.5693,0.4307,2.4118,0.7069,0.2931,,,,,,,
44,1715300100000,15756093.0,41871817.1475,2.3179,0.6986,0.3014,1.3217,0.5693,0.4307,2.4095,0.7067,0.2933,,,,,,,
45,1715300400000,15744544.1,41818514.89107711,2.3278,0.6995,0.3005,1.3197,0.5689,0.4311,2.4235,0.7079,0.2921,,,,,,,
46,1715300700000,15735053.3,41677080.69290755,2.33,0.6997,0.3003,1.3197,0.5689,0.4311,2.4211,0.7077,0.2923,,,,,,,
47,1715301000000,15721178.7,41662018.71891518,2.3102,0.6979,0.3021,1.3199,0.569,0.431,2.3956,0.7055,0.2945,,,,,,,
48,1715301300000,15699116.8,41575379.94969248,2.3146,0.6983,0.3017,1.3208,0.5691,0.4309,2.3956,0.7055,0.2945,,,,,,,
49,1715301600000,15686193.7,41482139.23965,2.3124,0.6981,0.3019,1.3213,0.5692,0.4308,2.3944,0.7054,0.2946,,,,,,,
