timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,98317559.00000000,3509936.85630000,1.4343,0.5892,0.4108,0.6908,0.4085,0.5915,1.6674,0.6251,0.3749,0.0008,0.0357100,0.00002800
1715287500000,98342385.00000000,3507073.34935995,1.4486,0.5916,0.4084,0.6907,0.4085,0.5915,1.6810,0.6270,0.3730,-0.0002,0.0356600,-0.00000800
1715287800000,98318317.00000000,3505795.22025920,1.4540,0.5925,0.4075,0.6907,0.4085,0.5915,1.6896,0.6282,0.3718,0.0013,0.0357000,0.00004800
1715288100000,98348184.00000000,3507889.91128488,1.4504,0.5919,0.4081,0.6904,0.4084,0.5916,1.6932,0.6287,0.3713,0.0005,0.0356700,0.00001800
1715288400000,98393237.00000000,3509686.76379000,1.4540,0.5925,0.4075,0.6903,0.4084,0.5916,1.7027,0.6300,0.3700,0.0003,0.0356600,0.00001000
1715288700000,98396561.00000000,3515709.12453000,1.4552,0.5927,0.4073,0.6902,0.4083,0.5917,1.6998,0.6296,0.3704,0.0012,0.0357300,0.00004200
1715289000000,98364368.00000000,3517352.41669120,1.4734,0.5957,0.4043,0.6898,0.4082,0.5918,1.7211,0.6325,0.3675,0.0015,0.0357600,0.00005200
1715289300000,98398025.00000000,3514777.45300000,1.4576,0.5931,0.4069,0.6901,0.4083,0.5917,1.6983,0.6294,0.3706,0.0005,0.0357200,0.00001800
1715289600000,98388596.00000000,3511915.01386068,1.4752,0.5960,0.4040,0.6901,0.4083,0.5917,1.7167,0.6319,0.3681,0.0002,0.0357000,0.00000800
1715289900000,98386763.00000000,3511410.78119081,1.4734,0.5957,0.4043,0.6904,0.4084,0.5916,1.7093,0.6309,0.3691,-0.0001,0.0356800,-0.00000400
1715290200000,98385794.00000000,3508437.41404000,1.4734,0.5957,0.4043,0.6906,0.4085,0.5915,1.7071,0.6306,0.3694,0.0000,0.0356600,0.00000000
1715290500000,98379829.00000000,3509511.51030332,1.4771,0.5963,0.4037,0.6907,0.4085,0.5915,1.7027,0.6300,0.3700,0.0002,0.0356700,0.00000600
1715290800000,98363877.00000000,3508938.51877608,1.4839,0.5974,0.4026,0.6907,0.4085,0.5915,1.7174,0.6320,0.3680,-0.0001,0.0356700,-0.00000200
1715291100000,98354201.00000000,3509199.20831920,1.4740,0.5958,0.4042,0.6904,0.4084,0.5916,1.7078,0.6307,0.3693,0.0014,0.0357100,0.00005000
1715291400000,98381397.00000000,3512990.13449439,1.4540,0.5925,0.4075,0.6897,0.4082,0.5918,1.7027,0.6300,0.3700,0.0006,0.0357000,0.00002000
1715291700000,98403253.00000000,3519884.35981000,1.4492,0.5917,0.4083,0.6892,0.4080,0.5920,1.6882,0.6280,0.3720,0.0007,0.0357700,0.00002400
1715292000000,98445471.00000000,3518369.26834617,1.4372,0.5897,0.4103,0.6880,0.4076,0.5924,1.6896,0.6282,0.3718,-0.0005,0.0357300,-0.00001800
1715292300000,98619943.00000000,3519022.88148781,1.4546,0.5926,0.4074,0.6884,0.4077,0.5923,1.7012,0.6298,0.3702,0.0008,0.0357000,0.00003000
1715292600000,98607953.00000000,3521842.20616680,1.4826,0.5972,0.4028,0.6884,0.4077,0.5923,1.7405,0.6351,0.3649,0.0011,0.0357300,0.00003800
1715292900000,98663758.00000000,3527229.34850000,1.4802,0.5968,0.4032,0.6879,0.4076,0.5924,1.7382,0.6348,0.3652,0.0007,0.0357600,0.00002400
1715293200000,98666587.00000000,3526863.79229349,1.4907,0.5985,0.4015,0.6883,0.4077,0.5923,1.7480,0.6361,0.3639,0.0004,0.0357500,0.00001600
1715293500000,98628653.00000000,3524868.71754987,1.4944,0.5991,0.4009,0.6891,0.4080,0.5920,1.7263,0.6332,0.3668,0.0004,0.0357400,0.00001400
1715293800000,98650828.00000000,3527588.86239724,1.4907,0.5985,0.4015,0.6894,0.4081,0.5919,1.7241,0.6329,0.3671,0.0007,0.0357600,0.00002600
1715294100000,98742825.00000000,3526711.57426725,1.4944,0.5991,0.4009,0.6894,0.4081,0.5919,1.7174,0.6320,0.3680,0.0015,0.0357400,0.00005200
1715294400000,98827358.00000000,3536042.86924000,1.5050,0.6008,0.3992,0.6899,0.4083,0.5917,1.7270,0.6333,0.3667,0.0002,0.0357700,0.00000600
1715294700000,98869155.00000000,3547194.91626885,1.5138,0.6022,0.3978,0.6892,0.4080,0.5920,1.7663,0.6385,0.3615,0.0008,0.0358700,0.00003000
1715295000000,99035421.00000000,3557601.89158092,1.5132,0.6021,0.3979,0.6883,0.4077,0.5923,1.7640,0.6382,0.3618,-0.0001,0.0359200,-0.00000200
1715295300000,99069446.00000000,3557970.17669940,1.5253,0.6040,0.3960,0.6895,0.4081,0.5919,1.7518,0.6366,0.3634,0.0008,0.0359100,0.00002800
1715295600000,99109982.00000000,3559039.45362000,1.5387,0.6061,0.3939,0.6900,0.4083,0.5917,1.7617,0.6379,0.3621,0.0002,0.0359100,0.00000800
1715295900000,99123209.00000000,3553805.92958369,1.5368,0.6058,0.3942,0.6902,0.4084,0.5916,1.7685,0.6388,0.3612,-0.0001,0.0358500,-0.00000200
1715296200000,99022873.00000000,3547989.53959000,1.5278,0.6044,0.3956,0.6912,0.4087,0.5913,1.7503,0.6364,0.3636,-0.0001,0.0358300,-0.00000200
1715296500000,99153143.00000000,3548856.57371881,1.5323,0.6051,0.3949,0.6892,0.4080,0.5920,1.7724,0.6393,0.3607,0.0001,0.0358000,0.00000200
1715296800000,99139585.00000000,3549011.75197605,1.5221,0.6035,0.3965,0.6908,0.4086,0.5914,1.7617,0.6379,0.3621,0.0011,0.0358200,0.00004000
1715297100000,99174626.00000000,3548421.50620578,1.5259,0.6041,0.3959,0.6908,0.4086,0.5914,1.7685,0.6388,0.3612,0.0001,0.0357800,0.00000200
1715297400000,99152406.00000000,3550647.65886000,1.5176,0.6028,0.3972,0.6914,0.4088,0.5912,1.7473,0.6360,0.3640,0.0002,0.0358000,0.00000800
1715297700000,99117610.00000000,3547419.26190000,1.5138,0.6022,0.3978,0.6912,0.4087,0.5913,1.7473,0.6360,0.3640,-0.0003,0.0357700,-0.00001000
1715298000000,98799749.00000000,3530042.90795323,1.5138,0.6022,0.3978,0.6906,0.4085,0.5915,1.7541,0.6369,0.3631,0.0005,0.0357300,0.00001800
1715298300000,98834779.00000000,3529778.37877147,1.5221,0.6035,0.3965,0.6869,0.4072,0.5928,1.7640,0.6382,0.3618,0.0003,0.0357100,0.00001000
