timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,18198029.00000000,1887681.54817000,2.1797,0.6855,0.3145,1.3010,0.5654,0.4346,2.0111,0.6679,0.3321,-0.0012,0.1038700,-0.00012551
1715287200000,18200549.00000000,1890491.02463000,2.1776,0.6853,0.3147,1.3015,0.5655,0.4345,2.0266,0.6696,0.3304,-0.0019,0.1038200,-0.00019832
1715287500000,18182217.00000000,1888363.78398741,2.1716,0.6847,0.3153,1.3014,0.5655,0.4345,2.0166,0.6685,0.3315,-0.0009,0.1039000,-0.00009845
1715287800000,18166308.00000000,1887479.40120000,2.1368,0.6812,0.3188,1.3004,0.5653,0.4347,1.9762,0.6640,0.3360,-0.0017,0.1037500,-0.00017669
1715288100000,18045132.00000000,1872555.07697580,2.1596,0.6835,0.3165,1.2941,0.5641,0.4359,2.0788,0.6752,0.3248,-0.0003,0.1039100,-0.00003102
1715288400000,18065476.00000000,1877544.92068000,2.1516,0.6827,0.3173,1.2948,0.5642,0.4358,2.0684,0.6741,0.3259,0.0002,0.1043200,0.00002185
1715288700000,18125179.00000000,1890491.69505084,2.1486,0.6824,0.3176,1.2943,0.5641,0.4359,2.0358,0.6706,0.3294,0.0009,0.1046400,0.00009678
1715289000000,18081131.00000000,1890556.54815284,2.1596,0.6835,0.3165,1.2948,0.5642,0.4358,2.0367,0.6707,0.3293,-0.0009,0.1042800,-0.00009465
1715289300000,18011705.00000000,1879211.43530695,2.1447,0.6820,0.3180,1.2976,0.5648,0.4352,2.0367,0.6707,0.3293,-0.0008,0.1041200,-0.00008592
1715289600000,17996367.00000000,1875181.84939260,2.1666,0.6842,0.3158,1.2980,0.5648,0.4352,2.0497,0.6721,0.3279,-0.0004,0.1040800,-0.00004392
1715289900000,17991518.00000000,1873407.83241104,2.1616,0.6837,0.3163,1.2983,0.5649,0.4351,2.0349,0.6705,0.3295,-0.0002,0.1040600,-0.00001747
1715290200000,17994156.00000000,1872844.89221388,2.1556,0.6831,0.3169,1.2985,0.5649,0.4351,2.0221,0.6691,0.3309,0.0003,0.1041500,0.00002728
1715290500000,17995081.00000000,1873827.78453000,2.1666,0.6842,0.3158,1.2978,0.5648,0.4352,2.0285,0.6698,0.3302,-0.0011,0.1039300,-0.00011361
1715290800000,17940116.00000000,1866608.79101024,2.2113,0.6886,0.3114,1.2979,0.5648,0.4352,2.0628,0.6735,0.3265,-0.0003,0.1041100,-0.00002999
1715291100000,17936453.00000000,1867460.79931167,2.1786,0.6854,0.3146,1.2961,0.5645,0.4355,2.0488,0.6720,0.3280,0.0011,0.1043200,0.00011406
1715291400000,17940778.00000000,1870579.07146980,2.1766,0.6852,0.3148,1.2951,0.5643,0.4357,2.0506,0.6722,0.3278,-0.0004,0.1044200,-0.00004277
1715291700000,17940485.00000000,1873890.65503915,2.1726,0.6848,0.3152,1.2954,0.5643,0.4357,2.0713,0.6744,0.3256,-0.0012,0.1043600,-0.00012352
1715292000000,17928868.00000000,1872848.11697056,2.1807,0.6856,0.3144,1.2957,0.5644,0.4356,2.0441,0.6715,0.3285,0.0000,0.1044100,0.00000483
1715292300000,17937348.00000000,1872808.72868232,2.1486,0.6824,0.3176,1.2942,0.5641,0.4359,2.0239,0.6693,0.3307,-0.0005,0.1045700,-0.00004977
1715292600000,17944907.00000000,1877219.59245512,2.1358,0.6811,0.3189,1.2941,0.5641,0.4359,2.0432,0.6714,0.3286,-0.0002,0.1047000,-0.00002052
1715292900000,17950196.00000000,1879109.62668748,2.1397,0.6815,0.3185,1.2923,0.5638,0.4362,2.0618,0.6734,0.3266,-0.0003,0.1046300,-0.00002720
1715293200000,17946798.00000000,1877235.07080000,2.1309,0.6806,0.3194,1.2921,0.5637,0.4363,2.0404,0.6711,0.3289,-0.0004,0.1045900,-0.00004559
1715293500000,17943447.00000000,1876884.55620000,2.1309,0.6806,0.3194,1.2916,0.5636,0.4364,2.0451,0.6716,0.3284,-0.0004,0.1046300,-0.00004272
1715293800000,17922998.00000000,1875104.05076000,2.1368,0.6812,0.3188,1.2915,0.5636,0.4364,2.0750,0.6748,0.3252,-0.0002,0.1046300,-0.00002331
1715294100000,17920161.00000000,1874807.24382000,2.1270,0.6802,0.3198,1.2913,0.5636,0.4364,2.0516,0.6723,0.3277,-0.0012,0.1048000,-0.00012531
1715294400000,17952738.00000000,1882840.97250570,2.1817,0.6857,0.3143,1.2885,0.5630,0.4370,2.1250,0.6800,0.3200,-0.0008,0.1049300,-0.00008820
1715294700000,17934063.00000000,1882256.66963964,2.1496,0.6825,0.3175,1.2920,0.5637,0.4363,2.1066,0.6781,0.3219,-0.0009,0.1051100,-0.00009786
1715295000000,17932457.00000000,1885202.44287315,2.1536,0.6829,0.3171,1.2941,0.5641,0.4359,2.0826,0.6756,0.3244,-0.0001,0.1050200,-0.00000816
1715295300000,17901078.00000000,1879971.21156000,2.1626,0.6838,0.3162,1.2970,0.5646,0.4354,2.0479,0.6719,0.3281,-0.0009,0.1049000,-0.00009902
1715295600000,17881705.00000000,1875969.67155000,2.1807,0.6856,0.3144,1.2969,0.5646,0.4354,2.0618,0.6734,0.3266,-0.0009,0.1047000,-0.00009594
1715295900000,17871445.00000000,1871497.72040000,2.1536,0.6829,0.3171,1.2963,0.5645,0.4355,2.0395,0.6710,0.3290,-0.0017,0.1044600,-0.00017300
1715296200000,17837938.00000000,1864060.06151550,2.1878,0.6863,0.3137,1.2978,0.5648,0.4352,2.1066,0.6781,0.3219,-0.0014,0.1042700,-0.00014865
1715296500000,17818756.00000000,1858285.81129164,2.2310,0.6905,0.3095,1.3032,0.5658,0.4342,2.1358,0.6811,0.3189,-0.0010,0.1043000,-0.00010086
1715296800000,17833411.00000000,1859489.76497000,2.2352,0.6909,0.3091,1.3083,0.5668,0.4332,2.0912,0.6765,0.3235,-0.0012,0.1041800,-0.00012034
1715297100000,17825409.00000000,1857221.52053004,2.2310,0.6905,0.3095,1.3086,0.5668,0.4332,2.1085,0.6783,0.3217,-0.0005,0.1042500,-0.00004979
1715297400000,17825822.00000000,1858418.41627638,2.2268,0.6901,0.3099,1.3076,0.5666,0.4334,2.1182,0.6793,0.3207,-0.0023,0.1039300,-0.00024409
1715297700000,17818404.00000000,1852527.07777224,2.2383,0.6912,0.3088,1.3062,0.5664,0.4336,2.1646,0.6840,0.3160,-0.0013,0.1039600,-0.00013245
1715298000000,17821884.00000000,1852898.15052072,2.2321,0.6906,0.3094,1.3121,0.5675,0.4325,2.0303,0.6700,0.3300,-0.0012,0.1040000,-0.00012615
1715298300000,17826328.00000000,1853938.11200000,2.2165,0.6891,0.3109,1.3115,0.5674,0.4326,2.0102,0.6678,0.3322,-0.0008,0.1042800,-0.00008174
1715298600000,17822988.00000000,1858581.18864000,2.2000,0.6875,0.3125,1.3102,0.5671,0.4329,2.0148,0.6683,0.3317,-0.0018,0.1041600,-0.00018853
1715298900000,17792511.00000000,1853635.71696237,2.2362,0.6910,0.3090,1.3059,0.5663,0.4337,2.0817,0.6755,0.3245,-0.0011,0.1041700,-0.00011073
1715299200000,17796102.00000000,1853641.98432000,2.2436,0.6917,0.3083,1.3072,0.5666,0.4334,2.0826,0.6756,0.3244,-0.0014,0.1039400,-0.00014369
1715299500000,17807074.00000000,1850255.59856810,2.2352,0.6909,0.3091,1.3054,0.5662,0.4338,2.0941,0.6768,0.3232,-0.0012,0.1040000,-0.00012563
1715299800000,17805048.00000000,1852623.25667160,2.2134,0.6888,0.3112,1.3053,0.5662,0.4338,2.0960,0.6770,0.3230,-0.0004,0.1043900,-0.00003862
1715300100000,17797733.00000000,1858083.32520000,2.2216,0.6896,0.3104,1.3070,0.5665,0.4335,2.0321,0.6702,0.3298,-0.0007,0.1041700,-0.00007612
1715300400000,17839727.00000000,1858190.42425175,2.2331,0.6907,0.3093,1.3081,0.5667,0.4333,2.0703,0.6743,0.3257,-0.0015,0.1040100,-0.00015436
1715300700000,17810388.00000000,1852814.48553612,2.2404,0.6914,0.3086,1.3084,0.5668,0.4332,2.0798,0.6753,0.3247,-0.0012,0.1039700,-0.00012239
1715301000000,17804243.00000000,1851641.27200000,2.2394,0.6913,0.3087,1.3074,0.5666,0.4334,2.1046,0.6779,0.3221,-0.0018,0.1039500,-0.00018444
1715301300000,17811382.00000000,1852312.12624436,2.2510,0.6924,0.3076,1.3092,0.5669,0.4331,2.1027,0.6777,0.3223,-0.0012,0.1038200,-0.00012178
1715301600000,17816917.00000000,1849930.49211000,2.2457,0.6919,0.3081,1.3105,0.5672,0.4328,2.0864,0.6760,0.3240,-0.0006,0.1038600,-0.00005807
1715301900000,17818575.00000000,1850993.57100000,2.2196,0.6894,0.3106,1.3106,0.5672,0.4328,2.0769,0.6750,0.3250,-0.0016,0.1036100,-0.00016893
1715302200000,17812575.00000000,1845382.77000000,2.2196,0.6894,0.3106,1.3120,0.5675,0.4325,2.0600,0.6732,0.3268,-0.0010,0.1037100,-0.00010508
1715302500000,17818645.00000000,1848301.67425540,2.2144,0.6889,0.3111,1.3106,0.5672,0.4328,2.0600,0.6732,0.3268,-0.0015,0.1037300,-0.00016096
1715302800000,17774114.00000000,1843708.84522000,2.2383,0.6912,0.3088,1.3172,0.5684,0.4316,2.1114,0.6786,0.3214,-0.0012,0.1039900,-0.00012218
1715303100000,17747988.00000000,1846323.19164000,2.2310,0.6905,0.3095,1.3169,0.5684,0.4316,2.0989,0.6773,0.3227,-0.0010,0.1040100,-0.00010221
1715303400000,17772117.00000000,1848612.42409569,2.2216,0.6896,0.3104,1.3220,0.5693,0.4307,2.0294,0.6699,0.3301,-0.0004,0.1038900,-0.00004130
1715303700000,17778346.00000000,1846992.36594000,2.2248,0.6899,0.3101,1.3205,0.5691,0.4309,2.0395,0.6710,0.3290,0.0000,0.1038800,-0.00000479
1715304000000,17782180.00000000,1847212.85840000,2.2626,0.6935,0.3065,1.3224,0.5694,0.4306,2.0423,0.6713,0.3287,-0.0013,0.1041000,-0.00013537
1715304300000,17771362.00000000,1851912.93760102,2.2383,0.6912,0.3088,1.3229,0.5695,0.4305,2.0248,0.6694,0.3306,-0.0002,0.1043400,-0.00002061
1715304600000,17763487.00000000,1853581.32168321,2.2248,0.6899,0.3101,1.3236,0.5696,0.4304,1.9985,0.6665,0.3335,0.0009,0.1046000,0.00009910
1715304900000,17753438.00000000,1856544.47472440,2.2206,0.6895,0.3105,1.3218,0.5693,0.4307,2.0111,0.6679,0.3321,0.0002,0.1049100,0.00001724
1715305200000,17773314.00000000,1864420.63860000,2.2425,0.6916,0.3084,1.3230,0.5695,0.4305,2.0048,0.6672,0.3328,-0.0012,0.1046700,-0.00013040
1715305500000,17772184.00000000,1860453.53515480,2.2362,0.6910,0.3090,1.3201,0.5690,0.4310,1.9824,0.6647,0.3353,-0.0009,0.1047800,-0.00009928
1715305800000,17771149.00000000,1861969.29309116,2.2468,0.6920,0.3080,1.3176,0.5685,0.4315,1.9931,0.6659,0.3341,-0.0008,0.1048100,-0.00007957
1715306100000,17809071.00000000,1867326.68557176,2.2510,0.6924,0.3076,1.3137,0.5678,0.4322,1.9895,0.6655,0.3345,-0.0013,0.1046400,-0.00013636
1715306400000,17789122.00000000,1861695.48024798,2.3156,0.6984,0.3016,1.3300,0.5708,0.4292,2.0285,0.6698,0.3302,-0.0020,0.1044400,-0.00020924
