timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,411947300.00000000,11824448.79026700,2.0941,0.6768,0.3232,1.1808,0.5415,0.4585,2.1289,0.6804,0.3196,-0.0003,0.02864,-0.00000939
1715287200000,412555781.00000000,11815597.56784000,2.0769,0.6750,0.3250,1.1798,0.5412,0.4588,2.1536,0.6829,0.3171,0.0003,0.02871,0.00000768
1715287500000,411831031.00000000,11820674.88841463,2.0562,0.6728,0.3272,1.1759,0.5404,0.4596,2.1407,0.6816,0.3184,-0.0004,0.02875,-0.00001253
1715287800000,411102602.00000000,11823261.50120776,2.0703,0.6743,0.3257,1.1822,0.5417,0.4583,2.1182,0.6793,0.3207,0.0007,0.02871,0.00001876
1715288100000,410062747.00000000,11764154.82797649,2.0581,0.6730,0.3270,1.1819,0.5417,0.4583,2.1066,0.6781,0.3219,-0.0005,0.02870,-0.00001308
1715288400000,411176533.00000000,11804878.26243000,2.0294,0.6699,0.3301,1.1771,0.5407,0.4593,2.0912,0.6765,0.3235,-0.0005,0.02876,-0.00001305
1715288700000,410980680.00000000,11820527.68279680,2.0003,0.6667,0.3333,1.1716,0.5395,0.4605,2.0779,0.6751,0.3249,-0.0004,0.02899,-0.00001063
1715289000000,415304966.00000000,12041285.73540944,2.0157,0.6684,0.3316,1.1711,0.5394,0.4606,2.0883,0.6762,0.3238,-0.0009,0.02886,-0.00002626
1715289300000,414458690.00000000,11965857.56192450,2.0340,0.6704,0.3296,1.1854,0.5424,0.4576,2.0989,0.6773,0.3227,-0.0008,0.02872,-0.00002426
1715289600000,413549716.00000000,11881283.34068000,2.0239,0.6693,0.3307,1.1834,0.5420,0.4580,2.1230,0.6798,0.3202,-0.0012,0.02885,-0.00003450
1715289900000,412332461.00000000,11907415.15192559,2.0221,0.6691,0.3309,1.1795,0.5412,0.4588,2.1124,0.6787,0.3213,0.0004,0.02898,0.00001195
1715290200000,413807547.00000000,11986879.08006216,2.0184,0.6687,0.3313,1.1741,0.5400,0.4600,2.1095,0.6784,0.3216,-0.0003,0.02910,-0.00000737
1715290500000,412913879.00000000,12012395.59767583,2.0257,0.6695,0.3305,1.1773,0.5407,0.4593,2.1201,0.6795,0.3205,-0.0007,0.02904,-0.00001897
1715290800000,412538976.00000000,11980131.86304000,2.0003,0.6667,0.3333,1.1719,0.5396,0.4604,2.1407,0.6816,0.3184,-0.0008,0.02919,-0.00002337
1715291100000,415154142.00000000,12118150.13099184,1.9789,0.6643,0.3357,1.1728,0.5398,0.4602,2.1201,0.6795,0.3205,-0.0006,0.02929,-0.00001795
1715291400000,416749970.00000000,12206606.62130000,2.0075,0.6675,0.3325,1.1640,0.5379,0.4621,2.0979,0.6772,0.3228,-0.0005,0.02945,-0.00001611
1715291700000,421699702.00000000,12419056.22390000,2.0184,0.6687,0.3313,1.1735,0.5399,0.4601,2.1162,0.6791,0.3209,-0.0014,0.02936,-0.00004161
1715292000000,422950184.00000000,12418828.25317976,1.9842,0.6649,0.3351,1.1722,0.5396,0.4604,2.1201,0.6795,0.3205,-0.0021,0.02951,-0.00006092
1715292300000,426016805.00000000,12585384.19314195,1.9455,0.6605,0.3395,1.1457,0.5339,0.4661,2.1027,0.6777,0.3223,-0.0024,0.02996,-0.00007076
1715292600000,433681961.00000000,12997400.66615429,1.9053,0.6558,0.3442,1.1354,0.5317,0.4683,2.0469,0.6718,0.3282,-0.0023,0.02999,-0.00006939
1715292900000,435835080.00000000,13074987.02473800,1.9070,0.6560,0.3440,1.1376,0.5322,0.4678,2.0120,0.6680,0.3320,-0.0014,0.02980,-0.00004153
1715293200000,434990621.00000000,12967070.41201000,1.9011,0.6553,0.3447,1.1430,0.5334,0.4666,2.0139,0.6682,0.3318,-0.0002,0.02996,-0.00000684
1715293500000,433797541.00000000,12982259.00950700,1.9019,0.6554,0.3446,1.1384,0.5324,0.4676,2.0075,0.6675,0.3325,-0.0005,0.02990,-0.00001521
