,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3418712.4,3747431.54571308,2.4614,0.7111,0.2889,1.4137,0.5857,0.4143,1.9869,0.6652,0.3348,,,,,,,
1,1715287200000,3418847.4,3755945.75364,2.4662,0.7115,0.2885,1.4105,0.5851,0.4149,2.0084,0.6676,0.3324,,,,,,,
2,1715287500000,3419277.1,3755050.11122,2.3523,0.7017,0.2983,1.4094,0.585,0.415,1.9472,0.6607,0.3393,,,,,,,
3,1715287800000,3415095.8,3748409.15008,2.3256,0.6993,0.3007,1.4086,0.5848,0.4152,1.9291,0.6586,0.3414,,,,,,,
4,1715288100000,3415194.9,3750931.91860312,2.3069,0.6976,0.3024,1.4075,0.5846,0.4154,1.9257,0.6582,0.3418,,,,,,,
5,1715288400000,3426551.3,3770577.05052,2.2765,0.6948,0.3052,1.3984,0.5831,0.4169,1.8852,0.6534,0.3466,,,,,,,
6,1715288700000,3426798.9,3777017.74758,2.2971,0.6967,0.3033,1.3947,0.5824,0.4176,1.9104,0.6564,0.3436,,,,,,,
7,1715289000000,3425100.7,3773779.95862782,2.2971,0.6967,0.3033,1.3964,0.5827,0.4173,1.9223,0.6578,0.3422,,,,,,,
8,1715289300000,3427798.2,3767441.89314884,2.2884,0.6959,0.3041,1.4002,0.5834,0.4166,1.9112,0.6565,0.3435,,,,,,,
9,1715289600000,3430225.4,3765358.42158,2.2927,0.6963,0.3037,1.402,0.5837,0.4163,1.907,0.656,0.344,,,,,,,
10,1715289900000,3429249.8,3761201.18064,2.2895,0.696,0.304,1.4021,0.5837,0.4163,1.9104,0.6564,0.3436,,,,,,,
11,1715290200000,3430563.0,3759897.048,2.2938,0.6964,0.3036,1.4015,0.5836,0.4164,1.9112,0.6565,0.3435,,,,,,,
12,1715290500000,3429395.0,3756207.87289435,2.2992,0.6969,0.3031,1.4,0.5833,0.4167,1.9146,0.6569,0.3431,,,,,,,
13,1715290800000,3434978.6,3759842.80028815,2.2971,0.6967,0.3033,1.3995,0.5833,0.4167,1.907,0.656,0.344,,,,,,,
14,1715291100000,3432060.5,3758792.6596,2.2927,0.6963,0.3037,1.399,0.5832,0.4168,1.9121,0.6566,0.3434,,,,,,,
15,1715291400000,3431606.1,3764538.01874955,2.2852,0.6956,0.3044,1.3974,0.5829,0.4171,1.9078,0.6561,0.3439,,,,,,,
16,1715291700000,3432265.5,3771373.3314,2.268,0.694,0.306,1.3969,0.5828,0.4172,1.9104,0.6564,0.3436,,,,,,,
17,1715292000000,3433172.8,3765503.92704,2.3025,0.6972,0.3028,1.3987,0.5831,0.4169,1.9343,0.6592,0.3408,,,,,,,
18,1715292300000,3435446.8,3769524.65973452,2.3102,0.6979,0.3021,1.4005,0.5834,0.4166,1.9248,0.6581,0.3419,,,,,,,
19,1715292600000,3440429.4,3782241.49676845,2.2982,0.6968,0.3032,1.4061,0.5844,0.4156,1.9112,0.6565,0.3435,,,,,,,
20,1715292900000,3452446.1,3802869.37915,2.2873,0.6958,0.3042,1.409,0.5849,0.4151,1.862,0.6506,0.3494,,,,,,,
21,1715293200000,3450824.3,3794181.31785,2.4106,0.7068,0.2932,1.408,0.5847,0.4153,1.942,0.6601,0.3399,,,,,,,
22,1715293500000,3453173.5,3787603.30474012,2.4002,0.7059,0.2941,1.4081,0.5847,0.4153,1.9542,0.6615,0.3385,,,,,,,
23,1715293800000,3451112.0,3783799.1968,2.4002,0.7059,0.2941,1.4077,0.5847,0.4153,1.9727,0.6636,0.3364,,,,,,,
24,1715294100000,3446036.6,3775477.69896,2.3898,0.705,0.295,1.4119,0.5854,0.4146,1.949,0.6609,0.3391,,,,,,,
25,1715294400000,3442443.7,3781298.95881209,2.3967,0.7056,0.2944,1.4132,0.5856,0.4144,1.9595,0.6621,0.3379,,,,,,,
26,1715294700000,3432653.6,3775287.24875799,2.4282,0.7083,0.2917,1.4148,0.5859,0.4141,1.9904,0.6656,0.3344,,,,,,,
27,1715295000000,3443546.8,3795485.1342467,2.3003,0.697,0.303,1.4163,0.5861,0.4139,1.9036,0.6556,0.3444,,,,,,,
