timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,12813011.20000000,10332794.57193421,5.1200,0.8366,0.1634,2.9064,0.7440,0.2560,4.2083,0.8080,0.1920,-0.0009,0.8061000,-0.00071955
1715287500000,12811384.10000000,10317007.61573000,5.1350,0.8370,0.1630,2.9112,0.7443,0.2557,4.1840,0.8071,0.1929,-0.0009,0.8053000,-0.00071603
1715287800000,12794140.80000000,10312359.72354605,5.0496,0.8347,0.1653,2.9149,0.7446,0.2554,4.1230,0.8048,0.1952,-0.0002,0.8058000,-0.00019016
1715288100000,12803992.20000000,10299262.82596357,5.1162,0.8365,0.1635,2.9246,0.7452,0.2548,4.1733,0.8067,0.1933,-0.0006,0.8046000,-0.00050088
1715288400000,12852187.50000000,10360911.50664375,5.0205,0.8339,0.1661,2.9080,0.7441,0.2559,4.1467,0.8057,0.1943,-0.0005,0.8058000,-0.00038539
1715288700000,12832688.00000000,10372307.78486496,4.9701,0.8325,0.1675,2.8927,0.7431,0.2569,4.1520,0.8059,0.1941,-0.0008,0.8079000,-0.00063672
1715289000000,12830091.70000000,10415801.25463870,4.9952,0.8332,0.1668,2.8982,0.7435,0.2565,4.1177,0.8046,0.1954,-0.0001,0.8117000,-0.00011490
1715289300000,12831880.90000000,10384010.98967577,5.0241,0.8340,0.1660,2.8978,0.7434,0.2566,4.1546,0.8060,0.1940,-0.0013,0.8086000,-0.00101999
1715289600000,12823137.60000000,10325190.39552000,5.0277,0.8341,0.1659,2.9083,0.7441,0.2559,4.1813,0.8070,0.1930,-0.0009,0.8052000,-0.00075008
1715289900000,12832390.40000000,10323185.71650938,5.0096,0.8336,0.1664,2.9088,0.7442,0.2558,4.1335,0.8052,0.1948,-0.0002,0.8045000,-0.00013212
1715290200000,12830951.10000000,10301970.63819000,5.0024,0.8334,0.1666,2.9146,0.7445,0.2555,4.1125,0.8044,0.1956,-0.0001,0.8029000,-0.00004349
1715290500000,12834713.40000000,10275471.54804000,5.0459,0.8346,0.1654,2.9186,0.7448,0.2552,4.1653,0.8064,0.1936,-0.0006,0.8006000,-0.00049007
1715290800000,12847081.80000000,10295984.47935107,5.0569,0.8349,0.1651,2.9329,0.7457,0.2543,4.1335,0.8052,0.1948,-0.0002,0.8014000,-0.00013265
1715291100000,12832166.60000000,10306516.85685312,5.0205,0.8339,0.1661,2.9201,0.7449,0.2551,4.1203,0.8047,0.1953,-0.0009,0.8027000,-0.00073675
1715291400000,12821616.10000000,10290105.95992312,5.0350,0.8343,0.1657,2.9170,0.7447,0.2553,4.1760,0.8068,0.1932,-0.0007,0.8027000,-0.00052773
1715291700000,12824270.50000000,10306119.44357879,5.0533,0.8348,0.1652,2.9152,0.7446,0.2554,4.1894,0.8073,0.1927,0.0003,0.8039000,0.00027915
1715292000000,12829602.10000000,10302262.73113910,5.0168,0.8338,0.1662,2.9112,0.7443,0.2557,4.1626,0.8063,0.1937,-0.0006,0.8028000,-0.00049294
1715292300000,12811676.90000000,10287238.20403666,5.0496,0.8347,0.1653,2.9188,0.7448,0.2552,4.2056,0.8079,0.1921,-0.0005,0.8027000,-0.00039396
1715292600000,12813432.10000000,10276372.54420000,5.0423,0.8345,0.1655,2.9179,0.7448,0.2552,4.1760,0.8068,0.1932,-0.0003,0.8020000,-0.00026221
1715292900000,12808902.50000000,10280425.14650000,5.0606,0.8350,0.1650,2.9231,0.7451,0.2549,4.2329,0.8089,0.1911,0.0001,0.8026000,0.00008580
1715293200000,12807637.60000000,10277316.78554703,5.0606,0.8350,0.1650,2.9268,0.7453,0.2547,4.2029,0.8078,0.1922,-0.0007,0.8021000,-0.00056168
1715293500000,12813148.10000000,10280989.94002253,4.9737,0.8326,0.1674,2.9267,0.7453,0.2547,4.1493,0.8058,0.1942,-0.0010,0.8020000,-0.00076898
1715293800000,12809737.30000000,10296710.22674870,4.9595,0.8322,0.1678,2.9216,0.7450,0.2550,4.1467,0.8057,0.1943,-0.0004,0.8038000,-0.00030871
1715294100000,12812056.80000000,10301050.35865467,4.9242,0.8312,0.1688,2.9247,0.7452,0.2548,4.1256,0.8049,0.1951,0.0004,0.8043000,0.00030203
1715294400000,12806409.90000000,10347780.00370723,4.8685,0.8296,0.1704,2.9220,0.7450,0.2550,4.1733,0.8067,0.1933,-0.0007,0.8074000,-0.00060219
1715294700000,12789734.80000000,10390380.55152000,4.9102,0.8308,0.1692,2.9171,0.7447,0.2553,4.2301,0.8088,0.1912,0.0002,0.8125000,0.00017083
1715295000000,12807132.20000000,10503129.11722000,4.8173,0.8281,0.1719,2.9026,0.7438,0.2562,4.2938,0.8111,0.1889,-0.0002,0.8199000,-0.00017263
1715295300000,12831859.80000000,10586284.33500000,4.5432,0.8196,0.1804,2.8891,0.7429,0.2571,3.9900,0.7996,0.2004,-0.0001,0.8250000,-0.00005186
1715295600000,12824647.60000000,10538767.91992421,4.5494,0.8198,0.1802,2.8938,0.7432,0.2568,4.0075,0.8003,0.1997,-0.0009,0.8216000,-0.00073760
1715295900000,12831170.40000000,10534390.89840000,4.5340,0.8193,0.1807,2.8961,0.7433,0.2567,4.0327,0.8013,0.1987,-0.0006,0.8208000,-0.00049460
1715296200000,12848439.80000000,10560132.67162000,4.6402,0.8227,0.1773,2.8957,0.7433,0.2567,4.1230,0.8048,0.1952,-0.0002,0.8218000,-0.00016942
1715296500000,12865740.10000000,10519029.10576000,4.6148,0.8219,0.1781,2.8834,0.7425,0.2575,4.1573,0.8061,0.1939,-0.0009,0.8175000,-0.00074376
1715296800000,12877520.60000000,10498939.65379041,4.6754,0.8238,0.1762,2.8928,0.7431,0.2569,4.2356,0.8090,0.1910,-0.0010,0.8154000,-0.00081449
1715297100000,12866876.10000000,10458723.53531877,4.6980,0.8245,0.1755,2.9015,0.7437,0.2563,4.1840,0.8071,0.1929,-0.0009,0.8129000,-0.00072850
1715297400000,12866398.00000000,10470784.70010290,4.6180,0.8220,0.1780,2.8997,0.7436,0.2564,4.0916,0.8036,0.1964,-0.0011,0.8137000,-0.00091974
1715297700000,12847846.70000000,10468409.30287316,4.6306,0.8224,0.1776,2.9168,0.7447,0.2553,3.9925,0.7997,0.2003,-0.0009,0.8147000,-0.00070395
1715298000000,12839227.80000000,10452231.23745335,4.7937,0.8274,0.1726,2.9119,0.7444,0.2556,4.1177,0.8046,0.1954,-0.0010,0.8140000,-0.00080422
1715298300000,12837906.20000000,10430783.25363350,4.7971,0.8275,0.1725,2.9147,0.7446,0.2554,4.1020,0.8040,0.1960,-0.0007,0.8125000,-0.00058263
1715298600000,12850591.20000000,10480643.53498051,4.7937,0.8274,0.1726,2.9064,0.7440,0.2560,4.1361,0.8053,0.1947,-0.0001,0.8155000,-0.00006954
1715298900000,12829378.70000000,10480089.17268234,4.8038,0.8277,0.1723,2.9016,0.7437,0.2563,4.1230,0.8048,0.1952,-0.0013,0.8166000,-0.00102357
1715299200000,12813564.80000000,10452916.50333443,4.7770,0.8269,0.1731,2.8955,0.7433,0.2567,4.1680,0.8065,0.1935,-0.0015,0.8153000,-0.00126447
1715299500000,12840571.60000000,10448253.43679269,4.8377,0.8287,0.1713,2.8887,0.7428,0.2572,4.1467,0.8057,0.1943,-0.0009,0.8134000,-0.00076846
1715299800000,12838835.60000000,10494784.67677658,4.8309,0.8285,0.1715,2.8818,0.7424,0.2576,4.1546,0.8060,0.1940,-0.0004,0.8172000,-0.00031648
1715300100000,12828885.10000000,10480303.41394232,4.8072,0.8278,0.1722,2.8811,0.7423,0.2577,4.1282,0.8050,0.1950,-0.0009,0.8171000,-0.00075211
1715300400000,12821170.40000000,10460777.67216723,4.8720,0.8297,0.1703,2.8912,0.7430,0.2570,4.1520,0.8059,0.1941,-0.0013,0.8157000,-0.00102121
1715300700000,12809995.80000000,10419650.58372000,4.8962,0.8304,0.1696,2.8956,0.7433,0.2567,4.1573,0.8061,0.1939,-0.0012,0.8134000,-0.00098851
1715301000000,12795111.90000000,10401146.46351000,4.8858,0.8301,0.1699,2.9039,0.7438,0.2562,4.1760,0.8068,0.1932,-0.0004,0.8129000,-0.00033366
1715301300000,12793316.30000000,10402245.48353000,4.9312,0.8314,0.1686,2.9064,0.7440,0.2560,4.1573,0.8061,0.1939,-0.0003,0.8130000,-0.00021489
1715301600000,12785998.80000000,10399722.01623843,4.9312,0.8314,0.1686,2.9056,0.7440,0.2560,4.1840,0.8071,0.1929,-0.0006,0.8134000,-0.00049885
1715301900000,12778213.50000000,10402318.47918686,4.9172,0.8310,0.1690,2.9070,0.7440,0.2560,4.1520,0.8059,0.1941,0.0005,0.8144000,0.00036634
1715302200000,12765328.90000000,10393502.96196300,4.8962,0.8304,0.1696,2.9099,0.7442,0.2558,4.1520,0.8059,0.1941,-0.0005,0.8140000,-0.00039448
1715302500000,12759668.00000000,10430399.79356096,4.9102,0.8308,0.1692,2.9034,0.7438,0.2562,4.1387,0.8054,0.1946,0.0004,0.8180000,0.00033994
1715302800000,12763890.40000000,10454902.62664000,4.8480,0.8290,0.1710,2.8919,0.7431,0.2569,4.0839,0.8033,0.1967,-0.0003,0.8193000,-0.00022451
1715303100000,12736410.80000000,10479911.08769264,4.9172,0.8310,0.1690,2.8894,0.7429,0.2571,4.1361,0.8053,0.1947,-0.0006,0.8227000,-0.00047378
1715303400000,12737017.00000000,10522307.03144340,4.8343,0.8286,0.1714,2.8795,0.7422,0.2578,4.1440,0.8056,0.1944,-0.0009,0.8258000,-0.00070380
1715303700000,12666846.10000000,10391621.37676879,4.9559,0.8321,0.1679,2.8819,0.7424,0.2576,4.2994,0.8113,0.1887,-0.0011,0.8203000,-0.00090610
1715304000000,12662985.60000000,10379849.29632000,4.9312,0.8314,0.1686,2.8943,0.7432,0.2568,4.2687,0.8102,0.1898,-0.0005,0.8197000,-0.00044905
1715304300000,12664320.90000000,10373685.66613579,5.0643,0.8351,0.1649,2.9090,0.7442,0.2558,4.2994,0.8113,0.1887,-0.0015,0.8179000,-0.00120043
1715304600000,12666888.20000000,10375847.63827383,5.0132,0.8337,0.1663,2.9056,0.7440,0.2560,4.2438,0.8093,0.1907,-0.0004,0.8188000,-0.00030594
1715304900000,12664988.50000000,10421445.31267095,4.9952,0.8332,0.1668,2.9036,0.7438,0.2562,4.2383,0.8091,0.1909,-0.0002,0.8227000,-0.00012869
1715305200000,12699547.30000000,10516495.11913000,4.8962,0.8304,0.1696,2.8803,0.7423,0.2577,4.2356,0.8090,0.1910,-0.0005,0.8279000,-0.00043618
1715305500000,12664979.80000000,10415679.38752000,4.9916,0.8331,0.1669,2.8885,0.7428,0.2572,4.3248,0.8122,0.1878,-0.0012,0.8223000,-0.00099998
1715305800000,12675276.10000000,10440624.92357000,4.9347,0.8315,0.1685,2.8871,0.7427,0.2573,4.2301,0.8088,0.1912,-0.0001,0.8237000,-0.00005287
1715306100000,12679435.00000000,10455559.35226645,4.9242,0.8312,0.1688,2.9752,0.7484,0.2516,4.2083,0.8080,0.1920,-0.0009,0.8242000,-0.00076396
1715306400000,12634442.10000000,10413307.17882000,5.0680,0.8352,0.1648,2.9721,0.7482,0.2518,4.2083,0.8080,0.1920,-0.0014,0.8240000,-0.00114389
1715306700000,12594230.40000000,10337221.64451590,4.9242,0.8312,0.1688,2.9878,0.7492,0.2508,4.2029,0.8078,0.1922,-0.0012,0.8206000,-0.00098021
1715307000000,12596867.10000000,10345955.71823045,5.0864,0.8357,0.1643,2.9898,0.7494,0.2506,4.2002,0.8077,0.1923,-0.0010,0.8209000,-0.00082337
1715307300000,12600478.30000000,10319903.61994730,4.9701,0.8325,0.1675,2.9925,0.7495,0.2505,4.2383,0.8091,0.1909,-0.0009,0.8188000,-0.00073193
1715307600000,12606442.90000000,10320299.02173855,5.2344,0.8396,0.1604,2.9962,0.7498,0.2502,4.2770,0.8105,0.1895,-0.0012,0.8181000,-0.00095567
1715307900000,12605843.90000000,10294717.97704873,5.2696,0.8405,0.1595,3.0091,0.7506,0.2494,4.2882,0.8109,0.1891,-0.0012,0.8161000,-0.00098664
1715308200000,12594906.00000000,10258246.26622386,5.2814,0.8408,0.1592,3.0077,0.7505,0.2495,4.2826,0.8107,0.1893,-0.0006,0.8143000,-0.00045769
1715308500000,12599139.60000000,10270523.65606196,5.2112,0.8390,0.1610,3.0057,0.7504,0.2496,4.2493,0.8095,0.1905,0.0000,0.8153000,0.00001517
1715308800000,12591672.70000000,10212178.09844219,5.2972,0.8412,0.1588,3.0027,0.7502,0.2498,4.2882,0.8109,0.1891,-0.0010,0.8111000,-0.00084536
1715309100000,12615218.40000000,10265204.29866130,5.2617,0.8403,0.1597,2.9929,0.7496,0.2504,4.2576,0.8098,0.1902,0.0000,0.8138000,0.00002740
1715309400000,12627703.30000000,10269160.73293964,5.2383,0.8397,0.1603,2.9945,0.7497,0.2503,4.2356,0.8090,0.1910,-0.0003,0.8130000,-0.00021288
1715309700000,12653286.90000000,10263469.08089922,5.2422,0.8398,0.1602,2.9975,0.7498,0.2502,4.2521,0.8096,0.1904,0.0000,0.8111000,-0.00002796
1715310000000,12664260.00000000,10282894.58541240,5.2150,0.8391,0.1609,2.9913,0.7495,0.2505,4.2493,0.8095,0.1905,-0.0002,0.8118000,-0.00015158
1715310300000,12625468.60000000,10206428.81624000,5.3452,0.8424,0.1576,3.0051,0.7503,0.2497,4.3220,0.8121,0.1879,-0.0004,0.8084000,-0.00035497
1715310600000,12618308.60000000,10203413.92410411,5.3171,0.8417,0.1583,3.0027,0.7502,0.2498,4.3277,0.8123,0.1877,-0.0006,0.8086000,-0.00050207
1715310900000,12623159.40000000,10173004.16046000,5.3012,0.8413,0.1587,2.9967,0.7498,0.2502,4.2966,0.8112,0.1888,-0.0009,0.8058000,-0.00076375
1715311200000,12612614.50000000,10176051.99124173,5.4020,0.8438,0.1562,2.9967,0.7498,0.2502,4.3419,0.8128,0.1872,-0.0001,0.8073000,-0.00005649
1715311500000,12584776.80000000,10195966.30730930,5.2775,0.8407,0.1593,3.0082,0.7505,0.2495,4.2274,0.8087,0.1913,-0.0001,0.8101000,-0.00007662
1715311800000,12580829.80000000,10195504.46992000,5.2893,0.8410,0.1590,3.0058,0.7504,0.2496,4.2438,0.8093,0.1907,-0.0004,0.8101000,-0.00035921
1715312100000,12581147.20000000,10177270.92721722,5.3171,0.8417,0.1583,3.0061,0.7504,0.2496,4.2493,0.8095,0.1905,-0.0004,0.8088000,-0.00035721
1715312400000,12601088.30000000,10224088.56109542,5.2933,0.8411,0.1589,3.0054,0.7503,0.2497,4.2383,0.8091,0.1909,-0.0001,0.8113000,-0.00006214
1715312700000,12597895.20000000,10206814.69104000,5.3012,0.8413,0.1587,3.0009,0.7501,0.2499,4.2854,0.8108,0.1892,-0.0003,0.8102000,-0.00020609
1715313000000,12594892.40000000,10205641.31172000,5.3412,0.8423,0.1577,2.9988,0.7499,0.2501,4.3135,0.8118,0.1882,0.0000,0.8104000,-0.00001984
1715313300000,12603818.50000000,10235227.38077430,5.3331,0.8421,0.1579,2.9977,0.7499,0.2501,4.3050,0.8115,0.1885,0.0002,0.8122000,0.00019041
1715313600000,12609493.10000000,10237288.83390624,5.3371,0.8422,0.1578,2.9977,0.7499,0.2501,4.2743,0.8104,0.1896,-0.0004,0.8118000,-0.00034187
1715313900000,12602855.00000000,10241435.12145390,5.3412,0.8423,0.1577,2.9954,0.7497,0.2503,4.3305,0.8124,0.1876,-0.0002,0.8125000,-0.00016863
1715314200000,12604503.60000000,10204606.11456000,5.4020,0.8438,0.1562,2.9997,0.7500,0.2500,4.3706,0.8138,0.1862,-0.0008,0.8095000,-0.00062010
1715314500000,12604825.50000000,10218209.05864001,5.3776,0.8432,0.1568,3.0006,0.7500,0.2500,4.3333,0.8125,0.1875,0.0000,0.8107000,0.00001432
1715314800000,12611674.00000000,10236895.78580000,5.3412,0.8423,0.1577,2.9970,0.7498,0.2502,4.2882,0.8109,0.1891,-0.0001,0.8118000,-0.00011641
1715315100000,12609566.30000000,10278005.03533419,5.3171,0.8417,0.1583,2.9874,0.7492,0.2508,4.3022,0.8114,0.1886,0.0005,0.8155000,0.00044067
1715315400000,12611961.30000000,10314351.26953222,5.2893,0.8410,0.1590,2.9798,0.7487,0.2513,4.3390,0.8127,0.1873,-0.0005,0.8175000,-0.00038129
