,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,17404018.0,5431794.0178,1.8074,0.6438,0.3562,1.2114,0.5478,0.4522,1.9455,0.6605,0.3395,,,,,,,
1,1715287200000,17402557.0,5441973.26435941,1.7964,0.6424,0.3576,1.2116,0.5478,0.4522,1.9446,0.6604,0.3396,,,,,,,
2,1715287500000,17407328.0,5441530.7328,1.7964,0.6424,0.3576,1.2085,0.5472,0.4528,1.9516,0.6612,0.3388,,,,,,,
3,1715287800000,17434978.0,5451917.6206,1.8129,0.6445,0.3555,1.2075,0.547,0.453,1.9727,0.6636,0.3364,,,,,,,
4,1715288100000,17417395.0,5445739.26722525,1.8035,0.6433,0.3567,1.2053,0.5465,0.4535,1.9665,0.6629,0.3371,,,,,,,
5,1715288400000,17428185.0,5453279.0865,1.798,0.6426,0.3574,1.2076,0.547,0.453,1.963,0.6625,0.3375,,,,,,,
6,1715288700000,17392050.0,5452942.1326965,1.8011,0.643,0.357,1.2076,0.547,0.453,1.9586,0.662,0.338,,,,,,,
7,1715289000000,17398412.0,5461361.5268,1.7949,0.6422,0.3578,1.2077,0.547,0.453,1.9438,0.6603,0.3397,,,,,,,
8,1715289300000,17384295.0,5448238.053,1.7816,0.6405,0.3595,1.2082,0.5471,0.4529,1.9343,0.6592,0.3408,,,,,,,
9,1715289600000,17372102.0,5440942.3464,1.7956,0.6423,0.3577,1.2064,0.5468,0.4532,1.9472,0.6607,0.3393,,,,,,,
10,1715289900000,17370168.0,5440336.6176,1.7917,0.6418,0.3582,1.2077,0.547,0.453,1.942,0.6601,0.3399,,,,,,,
11,1715290200000,17354575.0,5430246.5175,1.7956,0.6423,0.3577,1.2066,0.5468,0.4532,1.9464,0.6606,0.3394,,,,,,,
