,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,33940.9,3333475.58443951,2.9277,0.7454,0.2546,1.1878,0.5429,0.4571,2.7509,0.7334,0.2666,,,,,,,
1,1715287200000,33933.7,3335131.72240503,2.9401,0.7462,0.2538,1.1864,0.5426,0.4574,2.7608,0.7341,0.2659,,,,,,,
2,1715287500000,33933.6,3331693.00860358,2.9588,0.7474,0.2526,1.1867,0.5427,0.4573,2.7764,0.7352,0.2648,,,,,,,
3,1715287800000,33959.7,3332804.958,2.9541,0.7471,0.2529,1.1844,0.5422,0.4578,2.7936,0.7364,0.2636,,,,,,,
4,1715288100000,33928.7,3329109.57602532,2.9651,0.7478,0.2522,1.1844,0.5422,0.4578,2.8124,0.7377,0.2623,,,,,,,
5,1715288400000,33916.5,3331168.46038971,2.973,0.7483,0.2517,1.1852,0.5424,0.4576,2.8183,0.7381,0.2619,,,,,,,
6,1715288700000,33978.4,3348223.12294816,2.973,0.7483,0.2517,1.1862,0.5426,0.4574,2.7594,0.734,0.266,,,,,,,
7,1715289000000,34093.9,3365117.75277983,2.882,0.7424,0.2576,1.1857,0.5425,0.4575,2.6684,0.7274,0.2726,,,,,,,
8,1715289300000,34079.5,3353082.005,2.885,0.7426,0.2574,1.1844,0.5422,0.4578,2.758,0.7339,0.2661,,,,,,,
9,1715289600000,34034.6,3344580.142,2.8971,0.7434,0.2566,1.1849,0.5423,0.4577,2.7538,0.7336,0.2664,,,,,,,
10,1715289900000,33975.3,3336158.57041146,2.9386,0.7461,0.2539,1.1844,0.5422,0.4578,2.8066,0.7373,0.2627,,,,,,,
11,1715290200000,33970.9,3334583.544,2.9417,0.7463,0.2537,1.1857,0.5425,0.4575,2.7707,0.7348,0.2652,,,,,,,
12,1715290500000,33970.2,3336670.27617931,2.9246,0.7452,0.2548,1.1871,0.5428,0.4572,2.7439,0.7329,0.2671,,,,,,,
13,1715290800000,33922.4,3333372.25771624,2.8986,0.7435,0.2565,1.1868,0.5427,0.4573,2.7383,0.7325,0.2675,,,,,,,
14,1715291100000,33899.5,3336749.76679178,2.861,0.741,0.259,1.1863,0.5426,0.4574,2.7216,0.7313,0.2687,,,,,,,
15,1715291400000,33882.2,3339363.90696962,2.8551,0.7406,0.2594,1.1863,0.5426,0.4574,2.7064,0.7302,0.2698,,,,,,,
16,1715291700000,33880.1,3339412.85549339,2.827,0.7387,0.2613,1.1867,0.5427,0.4573,2.7106,0.7305,0.2695,,,,,,,
17,1715292000000,33870.9,3336400.74508839,2.8285,0.7388,0.2612,1.1878,0.5429,0.4571,2.7051,0.7301,0.2699,,,,,,,
18,1715292300000,33879.4,3336678.62747099,2.8447,0.7399,0.2601,1.187,0.5427,0.4573,2.7037,0.73,0.27,,,,,,,
19,1715292600000,33863.8,3335778.6006639,2.8358,0.7393,0.2607,1.188,0.543,0.457,2.7244,0.7315,0.2685,,,,,,,
20,1715292900000,33861.7,3338408.5282671,2.8344,0.7392,0.2608,1.1876,0.5429,0.4571,2.7383,0.7325,0.2675,,,,,,,
21,1715293200000,33855.3,3328680.74630062,2.8595,0.7409,0.2591,1.1865,0.5426,0.4574,2.8095,0.7375,0.2625,,,,,,,
22,1715293500000,33837.3,3329928.693,2.888,0.7428,0.2572,1.1893,0.5432,0.4568,2.8168,0.738,0.262,,,,,,,
23,1715293800000,33915.6,3342043.224,2.8685,0.7415,0.2585,1.1867,0.5427,0.4573,2.7864,0.7359,0.2641,,,,,,,
24,1715294100000,33926.9,3343736.8322243,2.8565,0.7407,0.2593,1.1867,0.5427,0.4573,2.758,0.7339,0.2661,,,,,,,
25,1715294400000,33859.1,3345869.58202682,2.867,0.7414,0.2586,1.1876,0.5429,0.4571,2.8052,0.7372,0.2628,,,,,,,
26,1715294700000,33852.4,3354519.82411568,2.8595,0.7409,0.2591,1.1875,0.5428,0.4572,2.7779,0.7353,0.2647,,,,,,,
27,1715295000000,33927.0,3367933.29,2.8835,0.7425,0.2575,1.1886,0.5431,0.4569,2.8432,0.7398,0.2602,,,,,,,
28,1715295300000,33915.4,3367855.62232766,2.8565,0.7407,0.2593,1.1886,0.5431,0.4569,2.8329,0.7391,0.2609,,,,,,,
29,1715295600000,33928.4,3364000.86,2.8402,0.7396,0.2604,1.1893,0.5432,0.4568,2.8373,0.7394,0.2606,,,,,,,
30,1715295900000,33790.6,3354730.768,2.8023,0.737,0.263,1.1921,0.5438,0.4562,2.7495,0.7333,0.2667,,,,,,,
31,1715296200000,33580.7,3325813.96055936,2.8168,0.738,0.262,1.1902,0.5434,0.4566,2.8008,0.7369,0.2631,,,,,,,
32,1715296500000,33562.3,3320917.07969206,2.8197,0.7382,0.2618,1.192,0.5438,0.4562,2.7764,0.7352,0.2648,,,,,,,
33,1715296800000,33539.5,3317727.34,2.8402,0.7396,0.2604,1.1925,0.5439,0.4561,2.7893,0.7361,0.2639,,,,,,,
34,1715297100000,33529.3,3316041.0353048,2.8241,0.7385,0.2615,1.1922,0.5438,0.4562,2.7707,0.7348,0.2652,,,,,,,
35,1715297400000,33512.6,3318204.50918299,2.8153,0.7379,0.2621,1.1918,0.5437,0.4563,2.7244,0.7315,0.2685,,,,,,,
36,1715297700000,33505.7,3315500.59166146,2.811,0.7376,0.2624,1.1925,0.5439,0.4561,2.7189,0.7311,0.2689,,,,,,,
37,1715298000000,33514.6,3314929.086,2.811,0.7376,0.2624,1.1919,0.5438,0.4562,2.7133,0.7307,0.2693,,,,,,,
38,1715298300000,33492.2,3314053.19,2.8052,0.7372,0.2628,1.1931,0.544,0.456,2.6941,0.7293,0.2707,,,,,,,
39,1715298600000,33493.8,3320240.394,2.8241,0.7385,0.2615,1.192,0.5438,0.4562,2.758,0.7339,0.2661,,,,,,,
40,1715298900000,33413.8,3311307.58,2.858,0.7408,0.2592,1.1916,0.5437,0.4563,2.8256,0.7386,0.2614,,,,,,,
41,1715299200000,33413.0,3310560.04,2.8595,0.7409,0.2591,1.1911,0.5436,0.4564,2.83,0.7389,0.2611,,,,,,,
42,1715299500000,33403.1,3298890.156,2.861,0.741,0.259,1.1911,0.5436,0.4564,2.8506,0.7403,0.2597,,,,,,,
43,1715299800000,33401.7,3304060.39779366,2.888,0.7428,0.2572,1.192,0.5438,0.4562,2.8521,0.7404,0.2596,,,,,,,
44,1715300100000,33398.8,3300135.428,2.885,0.7426,0.2574,1.1928,0.544,0.456,2.8314,0.739,0.261,,,,,,,
45,1715300400000,33404.0,3298979.04,2.888,0.7428,0.2572,1.1935,0.5441,0.4559,2.8285,0.7388,0.2612,,,,,,,
46,1715300700000,33397.6,3297043.8767926,2.9017,0.7437,0.2563,1.1932,0.544,0.456,2.8008,0.7369,0.2631,,,,,,,
47,1715301000000,33394.6,3299052.534,2.8926,0.7431,0.2569,1.1936,0.5441,0.4559,2.7965,0.7366,0.2634,,,,,,,
48,1715301300000,33396.6,3303407.1036863,2.8745,0.7419,0.2581,1.1938,0.5442,0.4558,2.8037,0.7371,0.2629,,,,,,,
49,1715301600000,33420.9,3306104.25614246,2.8745,0.7419,0.2581,1.1945,0.5443,0.4557,2.7908,0.7362,0.2638,,,,,,,
50,1715301900000,33432.2,3308784.834,2.8835,0.7425,0.2575,1.1937,0.5442,0.4558,2.7965,0.7366,0.2634,,,,,,,
51,1715302200000,33433.8,3303928.116,2.882,0.7424,0.2576,1.1939,0.5442,0.4558,2.7836,0.7357,0.2643,,,,,,,
52,1715302500000,33441.3,3307393.12007934,2.8805,0.7423,0.2577,1.1934,0.5441,0.4559,2.7879,0.736,0.264,,,,,,,
53,1715302800000,33439.5,3305828.97,2.8865,0.7427,0.2573,1.1927,0.5439,0.4561,2.8402,0.7396,0.2604,,,,,,,
54,1715303100000,33448.5,3305380.77,2.885,0.7426,0.2574,1.1928,0.544,0.456,2.8373,0.7394,0.2606,,,,,,,
55,1715303400000,33466.7,3300699.84101837,2.9078,0.7441,0.2559,1.1936,0.5441,0.4559,2.8775,0.7421,0.2579,,,,,,,
56,1715303700000,33483.3,3298439.883,2.9588,0.7474,0.2526,1.1912,0.5436,0.4564,2.9032,0.7438,0.2562,,,,,,,
57,1715304000000,33489.0,3304694.52,2.9683,0.748,0.252,1.1921,0.5438,0.4562,2.917,0.7447,0.2553,,,,,,,
58,1715304300000,33505.7,3309492.71608981,2.9635,0.7477,0.2523,1.1932,0.544,0.456,2.882,0.7424,0.2576,,,,,,,
59,1715304600000,33493.5,3309882.87130722,2.951,0.7469,0.2531,1.194,0.5442,0.4558,2.8775,0.7421,0.2579,,,,,,,
60,1715304900000,33472.8,3318715.38662215,2.9355,0.7459,0.2541,1.1951,0.5444,0.4556,2.867,0.7414,0.2586,,,,,,,
61,1715305200000,33483.1,3324838.52770874,2.9139,0.7445,0.2555,1.1971,0.5448,0.4552,2.7908,0.7362,0.2638,,,,,,,
62,1715305500000,33523.2,3322484.352,2.9277,0.7454,0.2546,1.1976,0.545,0.455,2.8095,0.7375,0.2625,,,,,,,
63,1715305800000,33563.5,3335967.21470103,2.9936,0.7496,0.2504,1.2005,0.5455,0.4545,2.7023,0.7299,0.2701,,,,,,,
64,1715306100000,33564.7,3335995.533,2.9761,0.7485,0.2515,1.2164,0.5488,0.4512,2.7313,0.732,0.268,,,,,,,
65,1715306400000,33571.8,3336898.02742048,2.9714,0.7482,0.2518,1.2158,0.5487,0.4513,2.7313,0.732,0.268,,,,,,,
66,1715306700000,33546.1,3332010.02765341,2.9078,0.7441,0.2559,1.2165,0.5488,0.4512,2.7133,0.7307,0.2693,,,,,,,
67,1715307000000,33537.1,3328892.546,2.9139,0.7445,0.2555,1.2156,0.5487,0.4513,2.7411,0.7327,0.2673,,,,,,,
68,1715307300000,33561.4,3330580.08244855,2.8986,0.7435,0.2565,1.2161,0.5487,0.4513,2.6914,0.7291,0.2709,,,,,,,
69,1715307600000,33547.0,3334673.25417928,2.9231,0.7451,0.2549,1.2159,0.5487,0.4513,2.7286,0.7318,0.2682,,,,,,,
70,1715307900000,33541.7,3332061.31279324,2.9872,0.7492,0.2508,1.215,0.5485,0.4515,2.7495,0.7333,0.2667,,,,,,,
71,1715308200000,33567.9,3332695.65589985,2.9635,0.7477,0.2523,1.2131,0.5481,0.4519,2.7651,0.7344,0.2656,,,,,,,
72,1715308500000,33584.4,3338736.96918892,2.9355,0.7459,0.2541,1.214,0.5483,0.4517,2.7369,0.7324,0.2676,,,,,,,
73,1715308800000,33583.2,3333804.264,2.951,0.7469,0.2531,1.2139,0.5483,0.4517,2.7453,0.733,0.267,,,,,,,
74,1715309100000,33577.7,3336951.826,2.9448,0.7465,0.2535,1.2133,0.5482,0.4518,2.7523,0.7335,0.2665,,,,,,,
75,1715309400000,33595.6,3334363.3,2.9417,0.7463,0.2537,1.2124,0.548,0.452,2.7369,0.7324,0.2676,,,,,,,
76,1715309700000,33607.3,3335524.525,2.9032,0.7438,0.2562,1.2121,0.5479,0.4521,2.686,0.7287,0.2713,,,,,,,
77,1715310000000,33615.4,3338146.5009236,2.9078,0.7441,0.2559,1.212,0.5479,0.4521,2.6955,0.7294,0.2706,,,,,,,
78,1715310300000,33615.1,3335105.91376821,2.92,0.7449,0.2551,1.2125,0.548,0.452,2.6792,0.7282,0.2718,,,,,,,
79,1715310600000,33629.0,3340032.28,2.9078,0.7441,0.2559,1.2125,0.548,0.452,2.667,0.7273,0.2727,,,,,,,
80,1715310900000,33610.5,3334286.41628891,2.9093,0.7442,0.2558,1.2125,0.548,0.452,2.6819,0.7284,0.2716,,,,,,,
81,1715311200000,33597.3,3336211.89,2.9139,0.7445,0.2555,1.2126,0.548,0.452,2.6955,0.7294,0.2706,,,,,,,
82,1715311500000,33596.9,3336512.08226815,2.9047,0.7439,0.2561,1.2124,0.548,0.452,2.6805,0.7283,0.2717,,,,,,,
83,1715311800000,33596.6,3340361.23004135,2.9185,0.7448,0.2552,1.2138,0.5483,0.4517,2.7092,0.7304,0.2696,,,,,,,
84,1715312100000,33581.7,3335670.261,2.9231,0.7451,0.2549,1.214,0.5483,0.4517,2.6941,0.7293,0.2707,,,,,,,
85,1715312400000,33608.8,3342358.11537238,2.8926,0.7431,0.2569,1.2125,0.548,0.452,2.69,0.729,0.271,,,,,,,
86,1715312700000,33608.5,3344862.74037084,2.8941,0.7432,0.2568,1.2141,0.5484,0.4516,2.6684,0.7274,0.2726,,,,,,,
87,1715313000000,33554.0,3336945.3,2.962,0.7476,0.2524,1.2127,0.5481,0.4519,2.7665,0.7345,0.2655,,,,,,,
88,1715313300000,33537.3,3339094.12005008,2.9324,0.7457,0.2543,1.2131,0.5481,0.4519,2.7216,0.7313,0.2687,,,,,,,
89,1715313600000,33533.2,3337559.396,2.9277,0.7454,0.2546,1.2136,0.5483,0.4517,2.7147,0.7308,0.2692,,,,,,,
90,1715313900000,33536.5,3339916.5081288,2.9047,0.7439,0.2561,1.2122,0.548,0.452,2.7272,0.7317,0.2683,,,,,,,
91,1715314200000,33472.0,3328859.25424704,2.9108,0.7443,0.2557,1.2157,0.5487,0.4513,2.6887,0.7289,0.2711,,,,,,,
92,1715314500000,33468.8,3331484.352,2.9017,0.7437,0.2563,1.2151,0.5486,0.4514,2.6832,0.7285,0.2715,,,,,,,
93,1715314800000,33457.1,3332508.88156951,2.9017,0.7437,0.2563,1.2149,0.5485,0.4515,2.6738,0.7278,0.2722,,,,,,,
94,1715315100000,33431.2,3332087.704,2.9017,0.7437,0.2563,1.2155,0.5486,0.4514,2.6846,0.7286,0.2714,,,,,,,
95,1715315400000,33432.5,3337989.4777003,2.87,0.7416,0.2584,1.2146,0.5485,0.4515,2.6697,0.7275,0.2725,,,,,,,
96,1715315700000,33438.7,3334507.164,2.8565,0.7407,0.2593,1.2146,0.5484,0.4516,2.6778,0.7281,0.2719,,,,,,,
97,1715316000000,33454.3,3339408.226,2.8447,0.7399,0.2601,1.2145,0.5484,0.4516,2.6684,0.7274,0.2726,,,,,,,
98,1715316300000,33456.3,3334589.421,2.8462,0.74,0.26,1.2143,0.5484,0.4516,2.663,0.727,0.273,,,,,,,
99,1715316600000,33465.7,3335813.11904503,2.8655,0.7413,0.2587,1.2141,0.5484,0.4516,2.6887,0.7289,0.2711,,,,,,,
100,1715316900000,33466.8,3337309.296,2.8715,0.7417,0.2583,1.2144,0.5484,0.4516,2.6996,0.7297,0.2703,,,,,,,
101,1715317200000,33485.1,3339458.22606436,2.8521,0.7404,0.2596,1.2137,0.5483,0.4517,2.6738,0.7278,0.2722,,,,,,,
102,1715317500000,33442.8,3338328.13304766,2.8536,0.7405,0.2595,1.214,0.5483,0.4517,2.6643,0.7271,0.2729,,,,,,,
103,1715317800000,33451.6,3333798.61030434,2.8417,0.7397,0.2603,1.2135,0.5482,0.4518,2.6456,0.7257,0.2743,,,,,,,
104,1715318100000,33471.2,3326441.7326285,2.8491,0.7402,0.2598,1.2128,0.5481,0.4519,2.6496,0.726,0.274,,,,,,,
105,1715318400000,33479.7,3326208.195,2.8865,0.7427,0.2573,1.2128,0.5481,0.4519,2.6955,0.7294,0.2706,,,,,,,
106,1715318700000,33497.4,3323277.054,2.9078,0.7441,0.2559,1.2128,0.5481,0.4519,2.6887,0.7289,0.2711,,,,,,,
107,1715319000000,33485.9,3324480.152,2.8745,0.7419,0.2581,1.2133,0.5482,0.4518,2.6377,0.7251,0.2749,,,,,,,
108,1715319300000,33463.9,3329323.411,2.8685,0.7415,0.2585,1.2128,0.5481,0.4519,2.6523,0.7262,0.2738,,,,,,,
109,1715319600000,33422.2,3326137.57559266,2.6036,0.7225,0.2775,1.2124,0.548,0.452,2.5261,0.7164,0.2836,,,,,,,
110,1715319900000,33402.3,3323635.14747538,2.6127,0.7232,0.2768,1.2129,0.5481,0.4519,2.5348,0.7171,0.2829,,,,,,,
111,1715320200000,33407.3,3327325.41842432,2.6153,0.7234,0.2766,1.2137,0.5483,0.4517,2.5125,0.7153,0.2847,,,,,,,
112,1715320500000,33402.4,3326719.52216246,2.6232,0.724,0.276,1.2135,0.5482,0.4518,2.5088,0.715,0.285,,,,,,,
113,1715320800000,33401.2,3324915.80014695,2.9002,0.7436,0.2564,1.2147,0.5485,0.4515,2.6941,0.7293,0.2707,,,,,,,
114,1715321100000,33379.0,3325173.70282618,2.8895,0.7429,0.2571,1.2142,0.5484,0.4516,2.7051,0.7301,0.2699,,,,,,,
115,1715321400000,33390.5,3332480.30993807,2.861,0.741,0.259,1.2155,0.5486,0.4514,2.6792,0.7282,0.2718,,,,,,,
116,1715321700000,33405.5,3337818.52680257,2.8536,0.7405,0.2595,1.2135,0.5482,0.4518,2.6711,0.7276,0.2724,,,,,,,
117,1715322000000,33399.7,3337874.38224908,2.83,0.7389,0.2611,1.2146,0.5485,0.4515,2.6657,0.7272,0.2728,,,,,,,
118,1715322300000,33390.0,3336288.7931037,2.8358,0.7393,0.2607,1.2147,0.5485,0.4515,2.69,0.729,0.271,,,,,,,
119,1715322600000,33398.9,3332642.29374877,2.8506,0.7403,0.2597,1.2142,0.5484,0.4516,2.6982,0.7296,0.2704,,,,,,,
120,1715322900000,33387.0,3329325.30733923,2.858,0.7408,0.2592,1.2136,0.5483,0.4517,2.7327,0.7321,0.2679,,,,,,,
121,1715323200000,33381.2,3331134.67412246,2.83,0.7389,0.2611,1.2143,0.5484,0.4516,2.6969,0.7295,0.2705,,,,,,,
122,1715323500000,33391.8,3334047.97352,2.8241,0.7385,0.2615,1.214,0.5483,0.4517,2.7078,0.7303,0.2697,,,,,,,
123,1715323800000,33429.2,3342920.0,2.827,0.7387,0.2613,1.2137,0.5483,0.4517,2.7147,0.7308,0.2692,,,,,,,
124,1715324100000,33483.5,3354569.08532897,2.8241,0.7385,0.2615,1.2123,0.548,0.452,2.7636,0.7343,0.2657,,,,,,,
125,1715324400000,33451.2,3344116.464,2.879,0.7422,0.2578,1.2134,0.5482,0.4518,2.8256,0.7386,0.2614,,,,,,,
126,1715324700000,33420.8,3347761.536,2.87,0.7416,0.2584,1.2136,0.5483,0.4517,2.7965,0.7366,0.2634,,,,,,,
127,1715325000000,33414.8,3336467.78,2.882,0.7424,0.2576,1.2168,0.5489,0.4511,2.7908,0.7362,0.2638,,,,,,,
128,1715325300000,33391.7,3332825.577,2.8986,0.7435,0.2565,1.2163,0.5488,0.4512,2.8256,0.7386,0.2614,,,,,,,
129,1715325600000,33413.2,3343992.13747113,2.8551,0.7406,0.2594,1.218,0.5491,0.4509,2.7467,0.7331,0.2669,,,,,,,
130,1715325900000,33414.2,3343845.53243415,2.8491,0.7402,0.2598,1.2182,0.5492,0.4508,2.7779,0.7353,0.2647,,,,,,,
131,1715326200000,33465.2,3357204.97453233,2.8226,0.7384,0.2616,1.2231,0.5502,0.4498,2.635,0.7249,0.2751,,,,,,,
