,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1335948.8,4793384.2944,3.29,0.7669,0.2331,1.3008,0.5654,0.4346,3.1964,0.7617,0.2383,,,,,,,
1,1715287200000,1335433.1,4799546.5614,3.2845,0.7666,0.2334,1.2984,0.5649,0.4351,3.1876,0.7612,0.2388,,,,,,,
2,1715287500000,1335789.1,4796818.6581,3.2974,0.7673,0.2327,1.2986,0.565,0.435,3.1946,0.7616,0.2384,,,,,,,
3,1715287800000,1337714.8,4802283.7639568,3.2699,0.7658,0.2342,1.2974,0.5647,0.4353,3.1701,0.7602,0.2398,,,,,,,
4,1715288100000,1335226.6,4793992.35055173,3.2735,0.766,0.234,1.3001,0.5652,0.4348,3.1806,0.7608,0.2392,,,,,,,
5,1715288400000,1337111.4,4802061.2872579,3.2735,0.766,0.234,1.3012,0.5654,0.4346,3.1736,0.7604,0.2396,,,,,,,
6,1715288700000,1336099.1,4811736.55088913,3.2517,0.7648,0.2352,1.3053,0.5662,0.4338,3.1288,0.7578,0.2422,,,,,,,
7,1715289000000,1339738.3,4827077.0949,3.2427,0.7643,0.2357,1.3042,0.566,0.434,3.1322,0.758,0.242,,,,,,,
8,1715289300000,1337652.8,4808154.85311867,3.2717,0.7659,0.2341,1.3068,0.5665,0.4335,3.1511,0.7591,0.2409,,,,,,,
9,1715289600000,1333848.7,4791184.5304,3.268,0.7657,0.2343,1.3061,0.5664,0.4336,3.1477,0.7589,0.2411,,,,,,,
10,1715289900000,1333021.4,4784313.60791222,3.2717,0.7659,0.2341,1.3092,0.5669,0.4331,3.1511,0.7591,0.2409,,,,,,,
11,1715290200000,1343974.7,4825647.44186928,3.2176,0.7629,0.2371,1.3108,0.5672,0.4328,3.0816,0.755,0.245,,,,,,,
12,1715290500000,1345022.1,4827284.3169,3.2194,0.763,0.237,1.3093,0.567,0.433,3.095,0.7558,0.2442,,,,,,,
13,1715290800000,1344941.3,4831605.34935175,3.1894,0.7613,0.2387,1.309,0.5669,0.4331,3.0766,0.7547,0.2453,,,,,,,
14,1715291100000,1342807.3,4823472.97840542,3.1859,0.7611,0.2389,1.308,0.5667,0.4333,3.07,0.7543,0.2457,,,,,,,
15,1715291400000,1342813.4,4823215.9071893,3.1911,0.7614,0.2386,1.308,0.5667,0.4333,3.0733,0.7545,0.2455,,,,,,,
16,1715291700000,1342660.5,4825511.6193536,3.1964,0.7617,0.2383,1.3069,0.5665,0.4335,3.0866,0.7553,0.2447,,,,,,,
17,1715292000000,1342154.7,4826388.3012,3.1929,0.7615,0.2385,1.3061,0.5664,0.4336,3.0883,0.7554,0.2446,,,,,,,
18,1715292300000,1343875.2,4835262.9696,3.1736,0.7604,0.2396,1.3057,0.5663,0.4337,3.085,0.7552,0.2448,,,,,,,
19,1715292600000,1331653.1,4789956.2007,3.2427,0.7643,0.2357,1.3054,0.5662,0.4338,3.2017,0.762,0.238,,,,,,,
20,1715292900000,1331409.1,4804411.65234379,3.2088,0.7624,0.2376,1.3081,0.5667,0.4333,3.1719,0.7603,0.2397,,,,,,,
