,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,59672447.0,3621674.76334326,2.9417,0.7463,0.2537,1.7333,0.6341,0.3659,2.4153,0.7072,0.2928,,,,,,,
1,1715287200000,59655059.0,3625498.62803783,2.9401,0.7462,0.2538,1.7316,0.6339,0.3661,2.4235,0.7079,0.2921,,,,,,,
2,1715287500000,59664785.0,3628759.12204135,2.9432,0.7464,0.2536,1.7313,0.6339,0.3661,2.4223,0.7078,0.2922,,,,,,,
3,1715287800000,59662735.0,3625774.21134995,2.9541,0.7471,0.2529,1.7316,0.6339,0.3661,2.4447,0.7097,0.2903,,,,,,,
4,1715288100000,59710696.0,3627189.52185776,2.9246,0.7452,0.2548,1.7267,0.6333,0.3667,2.4364,0.709,0.291,,,,,,,
5,1715288400000,59817636.0,3639304.97424,2.9231,0.7451,0.2549,1.7261,0.6332,0.3668,2.427,0.7082,0.2918,,,,,,,
6,1715288700000,59883806.0,3651210.26823348,2.917,0.7447,0.2553,1.726,0.6332,0.3668,2.427,0.7082,0.2918,,,,,,,
7,1715289000000,59765693.0,3647500.24379,2.9216,0.745,0.255,1.7328,0.6341,0.3659,2.4223,0.7078,0.2922,,,,,,,
8,1715289300000,59830382.0,3646063.47908,2.92,0.7449,0.2551,1.7319,0.634,0.366,2.4176,0.7074,0.2926,,,,,,,
9,1715289600000,59797970.0,3639049.7148478,2.9277,0.7454,0.2546,1.7306,0.6338,0.3662,2.4282,0.7083,0.2917,,,,,,,
10,1715289900000,59819618.0,3636809.64722486,2.9339,0.7458,0.2542,1.7308,0.6338,0.3662,2.4282,0.7083,0.2917,,,,,,,
11,1715290200000,59820900.0,3633009.997305,2.9324,0.7457,0.2543,1.7295,0.6336,0.3664,2.4305,0.7085,0.2915,,,,,,,
12,1715290500000,59797409.0,3634234.17395402,2.9078,0.7441,0.2559,1.729,0.6336,0.3664,2.4118,0.7069,0.2931,,,,,,,
13,1715290800000,59808702.0,3629809.86125166,2.8956,0.7433,0.2567,1.7289,0.6335,0.3665,2.3956,0.7055,0.2945,,,,,,,
14,1715291100000,59830830.0,3636517.8474,2.8986,0.7435,0.2565,1.7318,0.6339,0.3661,2.3979,0.7057,0.2943,,,,,,,
15,1715291400000,59808271.0,3637996.57549315,2.8986,0.7435,0.2565,1.7322,0.634,0.366,2.3979,0.7057,0.2943,,,,,,,
16,1715291700000,59852306.0,3650990.666,2.9047,0.7439,0.2561,1.7293,0.6336,0.3664,2.406,0.7064,0.2936,,,,,,,
17,1715292000000,59838661.0,3641492.48611398,2.9063,0.744,0.256,1.729,0.6336,0.3664,2.413,0.707,0.293,,,,,,,
18,1715292300000,59856883.0,3644136.11968406,2.8956,0.7433,0.2567,1.7286,0.6335,0.3665,2.4282,0.7083,0.2917,,,,,,,
19,1715292600000,59862602.0,3648293.95308492,2.882,0.7424,0.2576,1.7259,0.6331,0.3669,2.4188,0.7075,0.2925,,,,,,,
20,1715292900000,59875159.0,3658970.96649,2.861,0.741,0.259,1.7235,0.6328,0.3672,2.4025,0.7061,0.2939,,,,,,,
21,1715293200000,59796322.0,3652026.88020968,2.8551,0.7406,0.2594,1.7201,0.6324,0.3676,2.4495,0.7101,0.2899,,,,,,,
22,1715293500000,59783827.0,3646846.32810485,2.8775,0.7421,0.2579,1.7221,0.6326,0.3674,2.471,0.7119,0.2881,,,,,,,
23,1715293800000,59781738.0,3651485.89374402,2.8745,0.7419,0.2581,1.7219,0.6326,0.3674,2.4686,0.7117,0.2883,,,,,,,
24,1715294100000,59743774.0,3647644.1728152,2.876,0.742,0.258,1.7217,0.6326,0.3674,2.4542,0.7105,0.2895,,,,,,,
25,1715294400000,59699711.0,3656607.29875,2.8655,0.7413,0.2587,1.7206,0.6324,0.3676,2.4674,0.7116,0.2884,,,,,,,
26,1715294700000,59619076.0,3662399.83868,2.858,0.7408,0.2592,1.719,0.6322,0.3678,2.4317,0.7086,0.2914,,,,,,,
27,1715295000000,59294209.0,3651226.51004917,2.8625,0.7411,0.2589,1.7037,0.6301,0.3699,2.4153,0.7072,0.2928,,,,,,,
28,1715295300000,59541456.0,3671921.59152,2.8402,0.7396,0.2604,1.6975,0.6293,0.3707,2.375,0.7037,0.2963,,,,,,,
29,1715295600000,59507465.0,3666110.31551005,2.8565,0.7407,0.2593,1.6977,0.6293,0.3707,2.3841,0.7045,0.2955,,,,,,,
