,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,114431590.0,16729898.458,1.681,0.627,0.373,1.0708,0.5171,0.4829,2.7608,0.7341,0.2659,,,,,,,
1,1715287500000,114459391.0,16733962.9642,1.6795,0.6268,0.3732,1.0709,0.5171,0.4829,2.7552,0.7337,0.2663,,,,,,,
2,1715287800000,114552380.0,16747557.956,1.6824,0.6272,0.3728,1.0713,0.5172,0.4828,2.7707,0.7348,0.2652,,,,,,,
3,1715288100000,114531407.0,16757395.95702669,1.6802,0.6269,0.3731,1.0708,0.5171,0.4829,2.7693,0.7347,0.2653,,,,,,,
4,1715288400000,114537600.0,16766748.074016,1.6824,0.6272,0.3728,1.0702,0.517,0.483,2.7736,0.735,0.265,,,,,,,
5,1715288700000,114547303.0,16817776.60733547,1.6838,0.6274,0.3726,1.0702,0.517,0.483,2.7636,0.7343,0.2657,,,,,,,
6,1715289000000,114651574.0,16819385.9058,1.6846,0.6275,0.3725,1.0702,0.517,0.483,2.7594,0.734,0.266,,,,,,,
7,1715289300000,114620103.0,16778891.87165997,1.6911,0.6284,0.3716,1.071,0.5171,0.4829,2.7651,0.7344,0.2656,,,,,,,
8,1715289600000,114690531.0,16756286.5791,1.6874,0.6279,0.3721,1.0699,0.5169,0.4831,2.7693,0.7347,0.2653,,,,,,,
9,1715289900000,115148452.0,16795981.56096144,1.6882,0.628,0.372,1.0659,0.5159,0.4841,2.7736,0.735,0.265,,,,,,,
10,1715290200000,114853981.0,16729076.12773177,1.7012,0.6298,0.3702,1.0657,0.5159,0.4841,2.785,0.7358,0.2642,,,,,,,
11,1715290500000,114817529.0,16751877.4811,1.7056,0.6304,0.3696,1.0685,0.5165,0.4835,2.7821,0.7356,0.2644,,,,,,,
12,1715290800000,114789204.0,16752981.54708648,1.7064,0.6305,0.3695,1.0688,0.5166,0.4834,2.7807,0.7355,0.2645,,,,,,,
