,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,5592795.5,60316621.62885,1.3079,0.5667,0.4333,1.7506,0.6364,0.3636,1.2411,0.5538,0.4462,,,,,,,
1,1715287500000,5596595.9,60276586.38757933,1.3116,0.5674,0.4326,1.7473,0.636,0.364,1.2371,0.553,0.447,,,,,,,
2,1715287800000,5601379.7,60397655.43108349,1.3148,0.568,0.432,1.7504,0.6364,0.3636,1.2381,0.5532,0.4468,,,,,,,
3,1715288100000,5592024.0,60614311.82862456,1.3127,0.5676,0.4324,1.7467,0.6359,0.3641,1.2416,0.5539,0.4461,,,,,,,
4,1715288400000,5574552.5,60671926.2876639,1.3111,0.5673,0.4327,1.7539,0.6369,0.3631,1.2366,0.5529,0.4471,,,,,,,
5,1715288700000,5583834.3,60997585.94596692,1.3089,0.5669,0.4331,1.7537,0.6369,0.3631,1.2411,0.5538,0.4462,,,,,,,
6,1715289000000,5581222.1,61247627.14260764,1.2769,0.5608,0.4392,1.746,0.6358,0.3642,1.2502,0.5556,0.4444,,,,,,,
7,1715289300000,5582579.2,60903445.61300032,1.2973,0.5647,0.4353,1.7427,0.6354,0.3646,1.2287,0.5513,0.4487,,,,,,,
8,1715289600000,5591038.3,60642637.81712,1.3073,0.5666,0.4334,1.7443,0.6356,0.3644,1.2517,0.5559,0.4441,,,,,,,
9,1715289900000,5581230.0,60578543.9493282,1.3052,0.5662,0.4338,1.7383,0.6348,0.3652,1.2573,0.557,0.443,,,,,,,
10,1715290200000,5583066.5,60689776.83020362,1.2999,0.5652,0.4348,1.7397,0.635,0.365,1.2589,0.5573,0.4427,,,,,,,
11,1715290500000,5581213.8,60800505.94953696,1.2989,0.565,0.435,1.7432,0.6355,0.3645,1.2517,0.5559,0.4441,,,,,,,
12,1715290800000,5575557.4,60808034.50042152,1.2983,0.5649,0.4351,1.7521,0.6366,0.3634,1.2437,0.5543,0.4457,,,,,,,
13,1715291100000,5570052.5,60554825.75375,1.31,0.5671,0.4329,1.7507,0.6365,0.3635,1.2462,0.5548,0.4452,,,,,,,
14,1715291400000,5574887.6,60739515.37952,1.3111,0.5673,0.4327,1.7506,0.6364,0.3636,1.2594,0.5574,0.4426,,,,,,,
15,1715291700000,5574272.3,60944653.86625484,1.2994,0.5651,0.4349,1.7467,0.6359,0.3641,1.264,0.5583,0.4417,,,,,,,
16,1715292000000,5572473.3,60662540.82134203,1.2999,0.5652,0.4348,1.7455,0.6358,0.3642,1.2599,0.5575,0.4425,,,,,,,
17,1715292300000,5577002.6,60774891.98991977,1.2931,0.5639,0.4361,1.7481,0.6361,0.3639,1.2533,0.5562,0.4438,,,,,,,
18,1715292600000,5579005.9,60886366.12949864,1.2941,0.5641,0.4359,1.747,0.636,0.364,1.2523,0.556,0.444,,,,,,,
19,1715292900000,5574016.3,60790221.7678,1.2946,0.5642,0.4358,1.7455,0.6358,0.3642,1.2548,0.5565,0.4435,,,,,,,
20,1715293200000,5583916.2,60969195.88150831,1.2946,0.5642,0.4358,1.7461,0.6359,0.3641,1.2594,0.5574,0.4426,,,,,,,
21,1715293500000,5591316.0,60782637.1044,1.3026,0.5657,0.4343,1.7443,0.6356,0.3644,1.2609,0.5577,0.4423,,,,,,,
22,1715293800000,5592443.2,61002632.15194176,1.301,0.5654,0.4346,1.7468,0.6359,0.3641,1.2614,0.5578,0.4422,,,,,,,
23,1715294100000,5589322.2,60735037.19188752,1.3143,0.5679,0.4321,1.7497,0.6363,0.3637,1.2568,0.5569,0.4431,,,,,,,
24,1715294400000,5591094.2,60777989.5011,1.317,0.5684,0.4316,1.7537,0.6369,0.3631,1.263,0.5581,0.4419,,,,,,,
25,1715294700000,5580736.0,61024665.6359872,1.3213,0.5692,0.4308,1.752,0.6366,0.3634,1.2738,0.5602,0.4398,,,,,,,
