timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,5975129.00000000,36893575.14304698,2.2798,0.6951,0.3049,2.0734,0.6746,0.3254,2.0423,0.6713,0.3287,-0.0011,6.1710,-0.00701187
1715287200000,5968481.00000000,36849401.69400000,2.2733,0.6945,0.3055,2.0768,0.6750,0.3250,2.0358,0.6706,0.3294,-0.0009,6.1750,-0.00561147
1715287500000,5965741.00000000,36840625.78416860,2.2776,0.6949,0.3051,2.0796,0.6753,0.3247,2.0331,0.6703,0.3297,-0.0007,6.1750,-0.00441241
1715287800000,5966382.00000000,36856820.40706572,2.2723,0.6944,0.3056,2.0804,0.6754,0.3246,2.0294,0.6699,0.3301,-0.0006,6.1760,-0.00397689
1715288100000,5964122.00000000,36816609.08083776,2.2787,0.6950,0.3050,2.0839,0.6757,0.3243,2.0349,0.6705,0.3295,-0.0006,6.1720,-0.00396034
1715288400000,5958311.00000000,36794398.49439791,2.2798,0.6951,0.3049,2.0847,0.6758,0.3242,2.0358,0.6706,0.3294,-0.0010,6.1720,-0.00600894
1715288700000,5954059.00000000,36888905.78002404,2.2723,0.6944,0.3056,2.0845,0.6758,0.3242,2.0257,0.6695,0.3305,-0.0004,6.1940,-0.00277751
1715289000000,5950401.00000000,36868684.59600000,2.2733,0.6945,0.3055,2.0848,0.6758,0.3242,2.0358,0.6706,0.3294,-0.0006,6.1960,-0.00393648
1715289300000,5950202.00000000,36700845.93600000,2.2971,0.6967,0.3033,2.0891,0.6763,0.3237,2.0377,0.6708,0.3292,-0.0011,6.1670,-0.00678690
1715289600000,5947701.00000000,36703274.40953994,2.2765,0.6948,0.3052,2.0856,0.6759,0.3241,2.0266,0.6696,0.3304,-0.0008,6.1710,-0.00486548
1715289900000,5942332.00000000,36688902.59878800,2.2690,0.6941,0.3059,2.0879,0.6762,0.3238,2.0166,0.6685,0.3315,-0.0004,6.1750,-0.00239388
1715290200000,5941502.00000000,36676891.84600000,2.2701,0.6942,0.3058,2.0893,0.6763,0.3237,2.0111,0.6679,0.3321,0.0001,6.1740,0.00084890
1715290500000,5935312.00000000,36624335.86107408,2.2733,0.6945,0.3055,2.0921,0.6766,0.3234,2.0084,0.6676,0.3324,-0.0010,6.1690,-0.00612749
1715290800000,5934156.00000000,36590005.89600000,2.2723,0.6944,0.3056,2.0919,0.6766,0.3234,2.0130,0.6681,0.3319,-0.0005,6.1650,-0.00324240
1715291100000,5932479.00000000,36561868.07700000,2.2798,0.6951,0.3049,2.0937,0.6768,0.3232,2.0166,0.6685,0.3315,-0.0009,6.1630,-0.00542264
1715291400000,5932827.00000000,36576017.99509104,2.2830,0.6954,0.3046,2.0935,0.6767,0.3233,2.0175,0.6686,0.3314,-0.0009,6.1650,-0.00573318
1715291700000,5931081.00000000,36743046.79500000,2.2701,0.6942,0.3058,2.0921,0.6766,0.3234,2.0202,0.6689,0.3311,-0.0001,6.1950,-0.00038156
1715292000000,5924894.00000000,36544746.19200000,2.2755,0.6947,0.3053,2.0957,0.6770,0.3230,2.0257,0.6695,0.3305,-0.0007,6.1690,-0.00409240
1715292300000,5920511.00000000,36502103.01279960,2.2906,0.6961,0.3039,2.0963,0.6770,0.3230,2.0285,0.6698,0.3302,-0.0008,6.1630,-0.00511361
1715292600000,5916117.00000000,36466945.18800000,2.3245,0.6992,0.3008,2.0979,0.6772,0.3228,2.0516,0.6723,0.3277,-0.0004,6.1640,-0.00274704
1715292900000,5914560.00000000,36628138.27149120,2.3014,0.6971,0.3029,2.0896,0.6763,0.3237,2.0377,0.6708,0.3292,-0.0006,6.1900,-0.00398759
1715293200000,5918779.00000000,36489272.53500000,2.3058,0.6975,0.3025,2.0903,0.6764,0.3236,2.0423,0.6713,0.3287,-0.0008,6.1660,-0.00470838
1715293500000,5920204.00000000,36548532.96409176,2.2949,0.6965,0.3035,2.0864,0.6760,0.3240,2.0423,0.6713,0.3287,-0.0013,6.1700,-0.00818067
1715293800000,5924524.00000000,36637256.41600000,2.3036,0.6973,0.3027,2.0771,0.6750,0.3250,2.0432,0.6714,0.3286,-0.0007,6.1840,-0.00426633
1715294100000,5924053.00000000,36667221.83146629,2.3190,0.6987,0.3013,2.0711,0.6744,0.3256,2.0469,0.6718,0.3282,-0.0010,6.1900,-0.00599095
1715294400000,5925003.00000000,36847593.65700000,2.3167,0.6985,0.3015,2.0679,0.6740,0.3260,2.0525,0.6724,0.3276,-0.0005,6.2180,-0.00303993
