,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,188253944.0,5721037.35816,3.2105,0.7625,0.2375,2.0416,0.6712,0.3288,2.6324,0.7247,0.2753,,,,,,,
1,1715287200000,188166535.0,5722085.99772415,3.2248,0.7633,0.2367,2.0401,0.6711,0.3289,2.659,0.7267,0.2733,,,,,,,
2,1715287500000,188192775.0,5728588.071,3.2337,0.7638,0.2362,2.0412,0.6712,0.3288,2.6403,0.7253,0.2747,,,,,,,
3,1715287800000,188222867.0,5731966.02658036,3.2248,0.7633,0.2367,2.0397,0.671,0.329,2.6337,0.7248,0.2752,,,,,,,
4,1715288100000,188082905.0,5725243.6282,3.2499,0.7647,0.2353,2.0407,0.6711,0.3289,2.6377,0.7251,0.2749,,,,,,,
5,1715288400000,188087627.0,5729149.11842,3.2499,0.7647,0.2353,2.0395,0.671,0.329,2.6697,0.7275,0.2725,,,,,,,
6,1715288700000,188553961.0,5751542.55058623,3.2499,0.7647,0.2353,2.0336,0.6704,0.3296,2.6982,0.7296,0.2704,,,,,,,
7,1715289000000,188773200.0,5763245.796,3.2735,0.766,0.234,2.033,0.6703,0.3297,2.7051,0.7301,0.2699,,,,,,,
8,1715289300000,188768960.0,5750927.5370528,3.2827,0.7665,0.2335,2.0336,0.6704,0.3296,2.701,0.7298,0.2702,,,,,,,
9,1715289600000,188818027.0,5753285.28269,3.2735,0.766,0.234,2.0345,0.6705,0.3295,2.643,0.7255,0.2745,,,,,,,
10,1715289900000,188687869.0,5753093.12581,3.2772,0.7662,0.2338,2.0359,0.6706,0.3294,2.6324,0.7247,0.2753,,,,,,,
11,1715290200000,188561453.0,5749238.70197,3.2481,0.7646,0.2354,2.0367,0.6707,0.3293,2.6127,0.7232,0.2768,,,,,,,
12,1715290500000,188612182.0,5756079.77312874,3.2571,0.7651,0.2349,2.0376,0.6708,0.3292,2.6232,0.724,0.276,,,,,,,
13,1715290800000,188313125.0,5746889.10420625,3.2662,0.7656,0.2344,2.0371,0.6707,0.3293,2.6311,0.7246,0.2754,,,,,,,
14,1715291100000,188225552.0,5754055.12464,3.2194,0.763,0.237,2.0327,0.6703,0.3297,2.5958,0.7219,0.2781,,,,,,,
15,1715291400000,188187928.0,5751213.14948728,3.2194,0.763,0.237,2.0327,0.6703,0.3297,2.5958,0.7219,0.2781,,,,,,,
16,1715291700000,188111076.0,5758080.03636,3.1982,0.7618,0.2382,2.0327,0.6703,0.3297,2.601,0.7223,0.2777,,,,,,,
17,1715292000000,188113402.0,5751420.53769644,3.2052,0.7622,0.2378,2.0324,0.6702,0.3298,2.6036,0.7225,0.2775,,,,,,,
18,1715292300000,188087385.0,5765378.6626941,3.2034,0.7621,0.2379,2.0337,0.6704,0.3296,2.5868,0.7212,0.2788,,,,,,,
19,1715292600000,187999889.0,5765155.71610286,3.2159,0.7628,0.2372,2.0328,0.6703,0.3297,2.6088,0.7229,0.2771,,,,,,,
20,1715292900000,188007104.0,5769938.02176,3.2052,0.7622,0.2378,2.0324,0.6702,0.3298,2.6127,0.7232,0.2768,,,,,,,
21,1715293200000,188163734.0,5772863.35912,3.2052,0.7622,0.2378,2.0301,0.67,0.33,2.6153,0.7234,0.2766,,,,,,,
22,1715293500000,188176714.0,5775482.0707452,3.2052,0.7622,0.2378,2.0306,0.67,0.33,2.6127,0.7232,0.2768,,,,,,,
23,1715293800000,188177510.0,5783103.2274967,3.1982,0.7618,0.2382,2.0307,0.67,0.33,2.5997,0.7222,0.2778,,,,,,,
24,1715294100000,188277557.0,5787689.7576914,3.1859,0.7611,0.2389,2.0304,0.67,0.33,2.574,0.7202,0.2798,,,,,,,
25,1715294400000,188374713.0,5799335.93811921,3.1946,0.7616,0.2384,2.025,0.6694,0.3306,2.6576,0.7266,0.2734,,,,,,,
26,1715294700000,188408357.0,5806155.84458259,3.1736,0.7604,0.2396,2.022,0.6691,0.3309,2.6536,0.7263,0.2737,,,,,,,
27,1715295000000,188977654.0,5832834.97601734,3.1736,0.7604,0.2396,2.0199,0.6689,0.3311,2.6914,0.7291,0.2709,,,,,,,
28,1715295300000,189149057.0,5844705.8613,3.1719,0.7603,0.2397,2.0216,0.6691,0.3309,2.6617,0.7269,0.2731,,,,,,,
29,1715295600000,189237512.0,5845631.9025604,3.1545,0.7593,0.2407,2.0203,0.6689,0.3311,2.6617,0.7269,0.2731,,,,,,,
30,1715295900000,189363366.0,5836220.60006052,3.1545,0.7593,0.2407,2.0221,0.6691,0.3309,2.6684,0.7274,0.2726,,,,,,,
31,1715296200000,189467647.0,5827325.68610257,3.1911,0.7614,0.2386,2.0211,0.669,0.331,2.6738,0.7278,0.2722,,,,,,,
32,1715296500000,189476368.0,5824566.07952144,3.1824,0.7609,0.2391,2.0189,0.6688,0.3312,2.6928,0.7292,0.2708,,,,,,,
33,1715296800000,189518927.0,5825811.81598,3.1929,0.7615,0.2385,2.0186,0.6687,0.3313,2.686,0.7287,0.2713,,,,,,,
34,1715297100000,189384227.0,5810838.3601956,3.1964,0.7617,0.2383,2.0187,0.6687,0.3313,2.6955,0.7294,0.2706,,,,,,,
35,1715297400000,189588005.0,5823174.71889445,3.1824,0.7609,0.2391,2.019,0.6688,0.3312,2.686,0.7287,0.2713,,,,,,,
36,1715297700000,189607466.0,5827200.56435402,3.1667,0.76,0.24,2.024,0.6693,0.3307,2.6684,0.7274,0.2726,,,,,,,
37,1715298000000,189602446.0,5813210.99436,3.1719,0.7603,0.2397,2.0201,0.6689,0.3311,2.6483,0.7259,0.2741,,,,,,,
38,1715298300000,189602020.0,5815298.7235816,3.1719,0.7603,0.2397,2.0201,0.6689,0.3311,2.6456,0.7257,0.2743,,,,,,,
39,1715298600000,189725424.0,5834751.18305184,3.1511,0.7591,0.2409,2.0163,0.6685,0.3315,2.6219,0.7239,0.2761,,,,,,,
40,1715298900000,190219116.0,5853371.27839068,3.1034,0.7563,0.2437,2.0097,0.6677,0.3323,2.5984,0.7221,0.2779,,,,,,,
41,1715299200000,190174828.0,5846154.8788066,3.1017,0.7562,0.2438,2.0099,0.6678,0.3322,2.601,0.7223,0.2777,,,,,,,
42,1715299500000,190227306.0,5836818.61864734,3.085,0.7552,0.2448,2.0103,0.6678,0.3322,2.5958,0.7219,0.2781,,,,,,,
43,1715299800000,190166912.0,5843829.20576,3.0967,0.7559,0.2441,2.0115,0.6679,0.3321,2.5907,0.7215,0.2785,,,,,,,
44,1715300100000,190469065.0,5860733.13005,3.1034,0.7563,0.2437,2.0143,0.6682,0.3318,2.5562,0.7188,0.2812,,,,,,,
45,1715300400000,190563089.0,5857909.35586,3.1034,0.7563,0.2437,2.0083,0.6676,0.3324,2.5651,0.7195,0.2805,,,,,,,
46,1715300700000,190588395.0,5856781.37835,3.0967,0.7559,0.2441,2.012,0.668,0.332,2.5625,0.7193,0.2807,,,,,,,
47,1715301000000,190709849.0,5856699.46279,3.0917,0.7556,0.2444,2.014,0.6682,0.3318,2.5448,0.7179,0.2821,,,,,,,
48,1715301300000,190880476.0,5868102.94853004,3.085,0.7552,0.2448,2.0116,0.6679,0.3321,2.5386,0.7174,0.2826,,,,,,,
49,1715301600000,190830129.0,5864587.70782542,3.08,0.7549,0.2451,2.01,0.6678,0.3322,2.5524,0.7185,0.2815,,,,,,,
50,1715301900000,190865328.0,5868276.66316992,3.065,0.754,0.246,2.0088,0.6676,0.3324,2.5373,0.7173,0.2827,,,,,,,
51,1715302200000,190937044.0,5862277.05270748,3.0833,0.7551,0.2449,2.0103,0.6678,0.3322,2.5436,0.7178,0.2822,,,,,,,
52,1715302500000,191003612.0,5867630.96064,3.09,0.7555,0.2445,2.0101,0.6678,0.3322,2.5511,0.7184,0.2816,,,,,,,
53,1715302800000,191036486.0,5876192.52221158,3.095,0.7558,0.2442,2.0108,0.6679,0.3321,2.5486,0.7182,0.2818,,,,,,,
54,1715303100000,191121069.0,5893130.24692326,3.0917,0.7556,0.2444,2.0065,0.6674,0.3326,2.5549,0.7187,0.2813,,,,,,,
55,1715303400000,190965663.0,5864555.51073,3.0984,0.756,0.244,2.0044,0.6672,0.3328,2.5562,0.7188,0.2812,,,,,,,
56,1715303700000,190956422.0,5860452.59118,3.0967,0.7559,0.2441,2.005,0.6672,0.3328,2.5651,0.7195,0.2805,,,,,,,
57,1715304000000,191074898.0,5879217.93004364,3.1425,0.7586,0.2414,1.9986,0.6665,0.3335,2.6062,0.7227,0.2773,,,,,,,
58,1715304300000,191133668.0,5883952.49120932,3.1305,0.7579,0.2421,1.9987,0.6665,0.3335,2.6179,0.7236,0.2764,,,,,,,
59,1715304600000,191055265.0,5887618.27337215,3.1186,0.7572,0.2428,1.9964,0.6663,0.3337,2.6153,0.7234,0.2766,,,,,,,
60,1715304900000,191148806.0,5905253.72667294,3.122,0.7574,0.2426,1.9957,0.6662,0.3338,2.6114,0.7231,0.2769,,,,,,,
61,1715305200000,191215045.0,5912329.03624055,3.1288,0.7578,0.2422,1.9952,0.6661,0.3339,2.6179,0.7236,0.2764,,,,,,,
62,1715305500000,191429112.0,5896303.793268,3.1684,0.7601,0.2399,1.9934,0.6659,0.3341,2.6603,0.7268,0.2732,,,,,,,
63,1715305800000,191530805.0,5898545.47196425,3.1667,0.76,0.24,1.9938,0.666,0.334,2.651,0.7261,0.2739,,,,,,,
64,1715306100000,191548206.0,5901452.73474138,3.1719,0.7603,0.2397,1.9929,0.6659,0.3341,2.6403,0.7253,0.2747,,,,,,,
65,1715306400000,191568202.0,5904290.98724766,3.2535,0.7649,0.2351,2.0338,0.6704,0.3296,2.6576,0.7266,0.2734,,,,,,,
66,1715306700000,191627855.0,5888815.9655204,3.1719,0.7603,0.2397,2.0335,0.6703,0.3297,2.6483,0.7259,0.2741,,,,,,,
67,1715307000000,191521024.0,5896932.32896,3.2337,0.7638,0.2362,2.0389,0.6709,0.3291,2.6298,0.7245,0.2755,,,,,,,
68,1715307300000,191508143.0,5889591.63770482,3.1511,0.7591,0.2409,2.0396,0.671,0.329,2.6232,0.724,0.276,,,,,,,
69,1715307600000,191587487.0,5893144.88575085,3.1615,0.7597,0.2403,2.0319,0.6702,0.3298,2.6403,0.7253,0.2747,,,,,,,
70,1715307900000,191671970.0,5894844.6032742,3.2499,0.7647,0.2353,2.0325,0.6702,0.3298,2.651,0.7261,0.2739,,,,,,,
71,1715308200000,191813048.0,5898318.3605668,3.2391,0.7641,0.2359,2.0296,0.6699,0.3301,2.614,0.7233,0.2767,,,,,,,
