,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,46065131.0,24271717.5239,2.1776,0.6853,0.3147,1.277,0.5608,0.4392,2.5842,0.721,0.279,,,,,,,
1,1715287200000,46067699.0,24306027.89564159,2.1656,0.6841,0.3159,1.2771,0.5609,0.4391,2.5727,0.7201,0.2799,,,,,,,
2,1715287500000,46073029.0,24279421.07456952,2.1797,0.6855,0.3145,1.2764,0.5607,0.4393,2.601,0.7223,0.2777,,,,,,,
3,1715287800000,46211989.0,24335233.4074,2.2031,0.6878,0.3122,1.2727,0.56,0.44,2.6206,0.7238,0.2762,,,,,,,
4,1715288100000,46190859.0,24311026.48385697,2.2031,0.6878,0.3122,1.2735,0.5601,0.4399,2.6245,0.7241,0.2759,,,,,,,
5,1715288400000,46207824.0,24354832.19027664,2.1908,0.6866,0.3134,1.2744,0.5603,0.4397,2.6049,0.7226,0.2774,,,,,,,
6,1715288700000,46174073.0,24426333.9569942,2.1556,0.6831,0.3169,1.2745,0.5603,0.4397,2.5702,0.7199,0.2801,,,,,,,
7,1715289000000,46126878.0,24409197.5846817,2.1586,0.6834,0.3166,1.2746,0.5604,0.4396,2.5625,0.7193,0.2807,,,,,,,
8,1715289300000,46272590.0,24547608.995,2.1338,0.6809,0.3191,1.2714,0.5597,0.4403,2.5199,0.7159,0.2841,,,,,,,
9,1715289600000,46192579.0,24440493.5489,2.1211,0.6796,0.3204,1.2695,0.5594,0.4406,2.5075,0.7149,0.2851,,,,,,,
10,1715289900000,46122325.0,24409730.3933355,2.1153,0.679,0.321,1.2686,0.5592,0.4408,2.5014,0.7144,0.2856,,,,,,,
11,1715290200000,46095222.0,24384372.438,2.1172,0.6792,0.3208,1.2714,0.5597,0.4403,2.4904,0.7135,0.2865,,,,,,,
12,1715290500000,46083654.0,24401294.793,2.1496,0.6825,0.3175,1.2718,0.5598,0.4402,2.5298,0.7167,0.2833,,,,,,,
13,1715290800000,46041217.0,24420261.4968,2.1427,0.6818,0.3182,1.2723,0.5599,0.4401,2.5261,0.7164,0.2836,,,,,,,
14,1715291100000,46007968.0,24398025.4304,2.1466,0.6822,0.3178,1.2745,0.5603,0.4397,2.5273,0.7165,0.2835,,,,,,,
15,1715291400000,46017128.0,24444298.3936,2.1447,0.682,0.318,1.2745,0.5604,0.4396,2.5323,0.7169,0.2831,,,,,,,
16,1715291700000,46015859.0,24572468.706,2.1309,0.6806,0.3194,1.2719,0.5598,0.4402,2.5261,0.7164,0.2836,,,,,,,
17,1715292000000,45866521.0,24467059.43683529,2.1008,0.6775,0.3225,1.273,0.5601,0.4399,2.4722,0.712,0.288,,,,,,,
18,1715292300000,45799664.0,24483976.42624384,2.0931,0.6767,0.3233,1.2726,0.56,0.44,2.4783,0.7125,0.2875,,,,,,,
19,1715292600000,45695430.0,24433346.421,2.095,0.6769,0.3231,1.2722,0.5599,0.4401,2.4758,0.7123,0.2877,,,,,,,
20,1715292900000,45641315.0,24518514.418,2.0798,0.6753,0.3247,1.2748,0.5604,0.4396,2.4566,0.7107,0.2893,,,,,,,
21,1715293200000,45582611.0,24508174.08748889,2.0826,0.6756,0.3244,1.2762,0.5607,0.4393,2.4578,0.7108,0.2892,,,,,,,
22,1715293500000,45510917.0,24457566.7958,2.0864,0.676,0.324,1.2777,0.561,0.439,2.4674,0.7116,0.2884,,,,,,,
23,1715293800000,45567894.0,24588435.6024,2.0874,0.6761,0.3239,1.28,0.5614,0.4386,2.4746,0.7122,0.2878,,,,,,,
24,1715294100000,45495568.0,24527503.74167504,2.0855,0.6759,0.3241,1.2805,0.5615,0.4385,2.4916,0.7136,0.2864,,,,,,,
25,1715294400000,45451546.0,24588050.55846426,2.0769,0.675,0.325,1.2822,0.5618,0.4382,2.4602,0.711,0.289,,,,,,,
26,1715294700000,45754610.0,24923224.2163344,2.0386,0.6709,0.3291,1.2772,0.5609,0.4391,2.413,0.707,0.293,,,,,,,
27,1715295000000,45500352.0,24853931.64008256,2.0358,0.6706,0.3294,1.2861,0.5626,0.4374,2.4423,0.7095,0.2905,,,,,,,
28,1715295300000,45437169.0,24740538.5205,2.046,0.6717,0.3283,1.2957,0.5644,0.4356,2.459,0.7109,0.2891,,,,,,,
29,1715295600000,45448170.0,24702997.3988106,2.0367,0.6707,0.3293,1.2993,0.5651,0.4349,2.4435,0.7096,0.2904,,,,,,,
30,1715295900000,45383377.0,24679480.4126,2.0211,0.669,0.331,1.3007,0.5653,0.4347,2.4247,0.708,0.292,,,,,,,
31,1715296200000,45419184.0,24594488.136,2.0239,0.6693,0.3307,1.3011,0.5654,0.4346,2.4435,0.7096,0.2904,,,,,,,
32,1715296500000,45334755.0,24480600.8681016,2.0239,0.6693,0.3307,1.3045,0.5661,0.4339,2.4341,0.7088,0.2912,,,,,,,
33,1715296800000,45284377.0,24524332.19300052,2.0075,0.6675,0.3325,1.3011,0.5654,0.4346,2.4048,0.7063,0.2937,,,,,,,
34,1715297100000,45278025.0,24472772.5125,2.0057,0.6673,0.3327,1.3017,0.5655,0.4345,2.406,0.7064,0.2936,,,,,,,
35,1715297400000,45243956.0,24440079.2254864,2.012,0.668,0.332,1.3011,0.5654,0.4346,2.406,0.7064,0.2936,,,,,,,
36,1715297700000,45279233.0,24434488.91845864,2.0211,0.669,0.331,1.3024,0.5657,0.4343,2.4211,0.7077,0.2923,,,,,,,
37,1715298000000,45292641.0,24408204.2349,2.0211,0.669,0.331,1.3036,0.5659,0.4341,2.4083,0.7066,0.2934,,,,,,,
38,1715298300000,45276175.0,24385747.855,2.0193,0.6688,0.3312,1.3034,0.5659,0.4341,2.406,0.7064,0.2936,,,,,,,
39,1715298600000,45275842.0,24421789.1748,2.0157,0.6684,0.3316,1.3019,0.5656,0.4344,2.4083,0.7066,0.2934,,,,,,,
40,1715298900000,45283039.0,24391757.86303212,2.0248,0.6694,0.3306,1.3023,0.5656,0.4344,2.4188,0.7075,0.2925,,,,,,,
41,1715299200000,45286667.0,24423099.5131,1.9976,0.6664,0.3336,1.2973,0.5647,0.4353,2.375,0.7037,0.2963,,,,,,,
42,1715299500000,45232359.0,24321973.1761362,2.0414,0.6712,0.3288,1.301,0.5654,0.4346,2.4329,0.7087,0.2913,,,,,,,
43,1715299800000,45232980.0,24393538.1827488,2.059,0.6731,0.3269,1.3017,0.5655,0.4345,2.4554,0.7106,0.2894,,,,,,,
44,1715300100000,45241696.0,24385274.144,2.0525,0.6724,0.3276,1.3,0.5652,0.4348,2.4376,0.7091,0.2909,,,,,,,
45,1715300400000,45224542.0,24317236.2334,2.0618,0.6734,0.3266,1.3001,0.5652,0.4348,2.453,0.7104,0.2896,,,,,,,
46,1715300700000,45240146.0,24262290.2998,2.0386,0.6709,0.3291,1.2997,0.5652,0.4348,2.3795,0.7041,0.2959,,,,,,,
47,1715301000000,45184393.0,24241426.8445,2.0404,0.6711,0.3289,1.3018,0.5656,0.4344,2.375,0.7037,0.2963,,,,,,,
48,1715301300000,45201383.0,24277662.8093,2.0349,0.6705,0.3295,1.302,0.5656,0.4344,2.3681,0.7031,0.2969,,,,,,,
49,1715301600000,45291545.0,24285663.85101025,2.046,0.6717,0.3283,1.3003,0.5653,0.4347,2.3818,0.7043,0.2957,,,,,,,
50,1715301900000,45339717.0,24306622.2837,2.0451,0.6716,0.3284,1.3029,0.5658,0.4342,2.3795,0.7041,0.2959,,,,,,,
51,1715302200000,45329259.0,24215124.05677644,2.0553,0.6727,0.3273,1.3046,0.5661,0.4339,2.3933,0.7053,0.2947,,,,,,,
52,1715302500000,45378772.0,24257418.15510732,2.1437,0.6819,0.3181,1.3043,0.566,0.434,2.4686,0.7117,0.2883,,,,,,,
53,1715302800000,45388567.0,24287422.2017,2.1407,0.6816,0.3184,1.3045,0.5661,0.4339,2.4698,0.7118,0.2882,,,,,,,
54,1715303100000,45407379.0,24306569.9787,2.1377,0.6813,0.3187,1.3039,0.5659,0.4341,2.4698,0.7118,0.2882,,,,,,,
55,1715303400000,45420611.0,24227353.9074,2.1526,0.6828,0.3172,1.3049,0.5661,0.4339,2.4674,0.7116,0.2884,,,,,,,
56,1715303700000,45408691.0,24198291.4339,2.1606,0.6836,0.3164,1.3039,0.566,0.434,2.4965,0.714,0.286,,,,,,,
57,1715304000000,45406042.0,24233204.6154,2.1626,0.6838,0.3162,1.3049,0.5661,0.4339,2.4831,0.7129,0.2871,,,,,,,
58,1715304300000,45413421.0,24250766.814,2.1626,0.6838,0.3162,1.3057,0.5663,0.4337,2.4831,0.7129,0.2871,,,,,,,
59,1715304600000,45324848.0,24244261.1952,2.1636,0.6839,0.3161,1.3041,0.566,0.434,2.5075,0.7149,0.2851,,,,,,,
60,1715304900000,45163395.0,24243710.436,2.1666,0.6842,0.3158,1.3038,0.5659,0.4341,2.5336,0.717,0.283,,,,,,,
61,1715305200000,45150479.0,24262792.38169501,2.0817,0.6755,0.3245,1.3038,0.5659,0.4341,2.4662,0.7115,0.2885,,,,,,,
62,1715305500000,45149158.0,24250769.03173638,2.0731,0.6746,0.3254,1.3059,0.5663,0.4337,2.4471,0.7099,0.2901,,,,,,,
63,1715305800000,45114159.0,24226303.383,2.0769,0.675,0.325,1.3064,0.5664,0.4336,2.4294,0.7084,0.2916,,,,,,,
64,1715306100000,45107516.0,24264042.84870184,2.076,0.6749,0.3251,1.3052,0.5662,0.4338,2.4211,0.7077,0.2923,,,,,,,
65,1715306400000,45079588.0,24251311.33337316,2.0665,0.6739,0.3261,1.3283,0.5705,0.4295,2.4176,0.7074,0.2926,,,,,,,
66,1715306700000,45063175.0,24220466.0739135,2.0581,0.673,0.327,1.3286,0.5706,0.4294,2.4048,0.7063,0.2937,,,,,,,
67,1715307000000,45054967.0,24172522.79575961,2.0618,0.6734,0.3266,1.3278,0.5704,0.4296,2.4176,0.7074,0.2926,,,,,,,
68,1715307300000,45043682.0,24165935.393,2.0516,0.6723,0.3277,1.3281,0.5705,0.4295,2.4025,0.7061,0.2939,,,,,,,
69,1715307600000,44970384.0,24239126.46706416,2.0358,0.6706,0.3294,1.3281,0.5705,0.4295,2.3967,0.7056,0.2944,,,,,,,
70,1715307900000,45014945.0,24299473.3458039,2.0285,0.6698,0.3302,1.3288,0.5706,0.4294,2.3829,0.7044,0.2956,,,,,,,
71,1715308200000,45177564.0,24445579.8804,1.9994,0.6666,0.3334,1.3219,0.5693,0.4307,2.3234,0.6991,0.3009,,,,,,,
72,1715308500000,45196988.0,24501287.1948,1.9922,0.6658,0.3342,1.3191,0.5688,0.4312,2.3278,0.6995,0.3005,,,,,,,
73,1715308800000,45163808.0,24458698.68730624,1.9851,0.665,0.335,1.3202,0.569,0.431,2.3156,0.6984,0.3016,,,,,,,
74,1715309100000,45146442.0,24482915.4966,1.9904,0.6656,0.3344,1.3196,0.5689,0.4311,2.3245,0.6992,0.3008,,,,,,,
75,1715309400000,45183899.0,24458995.19793496,1.9869,0.6652,0.3348,1.3197,0.5689,0.4311,2.3167,0.6985,0.3015,,,,,,,
76,1715309700000,45177412.0,24400320.2212,1.9913,0.6657,0.3343,1.3214,0.5692,0.4308,2.3356,0.7002,0.2998,,,,,,,
77,1715310000000,45186923.0,24400938.42,1.9931,0.6659,0.3341,1.3209,0.5691,0.4309,2.3378,0.7004,0.2996,,,,,,,
