timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,57306776.00000000,4109468.90696000,2.8256,0.7386,0.2614,1.0458,0.5112,0.4888,2.6377,0.7251,0.2749,0.0010,0.07184,0.00007520
1715287200000,57241879.00000000,4113644.70292575,2.8110,0.7376,0.2624,1.0456,0.5111,0.4889,2.6311,0.7246,0.2754,-0.0002,0.07185,-0.00001294
1715287500000,57224783.00000000,4111681.34549403,2.8008,0.7369,0.2631,1.0457,0.5112,0.4888,2.6219,0.7239,0.2761,-0.0014,0.07177,-0.00009951
1715287800000,57089936.00000000,4098486.50544000,2.8256,0.7386,0.2614,1.0438,0.5107,0.4893,2.6928,0.7292,0.2708,-0.0002,0.07183,-0.00001362
1715288100000,57097500.00000000,4101648.01635000,2.8197,0.7382,0.2618,1.0449,0.5110,0.4890,2.6510,0.7261,0.2739,-0.0017,0.07176,-0.00011915
1715288400000,57054107.00000000,4095813.35576061,2.8358,0.7393,0.2607,1.0451,0.5110,0.4890,2.6860,0.7287,0.2713,0.0037,0.07213,0.00026901
1715288700000,57025188.00000000,4113226.81044000,2.8168,0.7380,0.2620,1.0449,0.5110,0.4890,2.6697,0.7275,0.2725,0.0020,0.07226,0.00014541
1715289000000,56985444.00000000,4117198.32900000,2.8197,0.7382,0.2618,1.0439,0.5107,0.4893,2.6657,0.7272,0.2728,-0.0025,0.07200,-0.00017747
1715289300000,56960771.00000000,4103445.96833206,2.8402,0.7396,0.2604,1.0442,0.5108,0.4892,2.6711,0.7276,0.2724,-0.0021,0.07186,-0.00014965
1715289600000,56931472.00000000,4092346.36235984,2.8402,0.7396,0.2604,1.0430,0.5105,0.4895,2.6819,0.7284,0.2716,-0.0002,0.07191,-0.00001150
1715289900000,56906375.00000000,4092160.18880000,2.8358,0.7393,0.2607,1.0436,0.5107,0.4893,2.6670,0.7273,0.2727,-0.0008,0.07185,-0.00006028
1715290200000,56897694.00000000,4088891.89877742,2.8358,0.7393,0.2607,1.0448,0.5109,0.4891,2.6684,0.7274,0.2726,-0.0007,0.07185,-0.00004900
1715290500000,56856093.00000000,4086500.98208478,2.8344,0.7392,0.2608,1.0450,0.5110,0.4890,2.6630,0.7270,0.2730,-0.0010,0.07182,-0.00007117
1715290800000,56893121.00000000,4086609.55525039,2.8329,0.7391,0.2609,1.0449,0.5110,0.4890,2.6563,0.7265,0.2735,0.0000,0.07188,-0.00000220
1715291100000,56886017.00000000,4089263.27810857,2.8270,0.7387,0.2613,1.0447,0.5109,0.4891,2.6563,0.7265,0.2735,0.0005,0.07196,0.00003815
