,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,821428887.0,3230244.45526089,2.3967,0.7056,0.2944,2.093,0.6767,0.3233,2.0912,0.6765,0.3235,,,,,,,
1,1715287500000,821428369.0,3229856.346908,2.4025,0.7061,0.2939,2.0902,0.6764,0.3236,2.0912,0.6765,0.3235,,,,,,,
2,1715287800000,821401328.0,3228107.21904,2.3602,0.7024,0.2976,2.0892,0.6763,0.3237,2.0817,0.6755,0.3245,,,,,,,
3,1715288100000,811388327.0,3185599.82451797,2.4305,0.7085,0.2915,2.111,0.6786,0.3214,2.2,0.6875,0.3125,,,,,,,
4,1715288400000,810984013.0,3185042.39297594,2.4282,0.7083,0.2917,2.1092,0.6784,0.3216,2.2092,0.6884,0.3116,,,,,,,
5,1715288700000,812343142.0,3204060.06753924,2.3659,0.7029,0.2971,2.1089,0.6783,0.3217,2.1368,0.6812,0.3188,,,,,,,
6,1715289000000,812173129.0,3205135.67109173,2.3456,0.7011,0.2989,2.1066,0.6781,0.3219,2.1437,0.6819,0.3181,,,,,,,
7,1715289300000,810803075.0,3188993.89837475,2.3738,0.7036,0.2964,2.1134,0.6788,0.3212,2.1476,0.6823,0.3177,,,,,,,
8,1715289600000,810293000.0,3186072.076,2.406,0.7064,0.2936,2.1175,0.6792,0.3208,2.1447,0.682,0.318,,,,,,,
9,1715289900000,808369751.0,3172042.902924,2.4014,0.706,0.294,2.126,0.6801,0.3199,2.1646,0.684,0.316,,,,,,,
10,1715290200000,808158959.0,3172832.073034,2.406,0.7064,0.2936,2.1286,0.6804,0.3196,2.1536,0.6829,0.3171,,,,,,,
11,1715290500000,808079740.0,3172941.2607048,2.3967,0.7056,0.2944,2.13,0.6805,0.3195,2.1437,0.6819,0.3181,,,,,,,
12,1715290800000,808566579.0,3179025.04732272,2.3201,0.6988,0.3012,2.128,0.6803,0.3197,2.0675,0.674,0.326,,,,,,,
13,1715291100000,805466755.0,3167127.4993302,2.3523,0.7017,0.2983,2.1303,0.6805,0.3195,2.1027,0.6777,0.3223,,,,,,,
14,1715291400000,805340146.0,3167507.48843698,2.3636,0.7027,0.2973,2.1295,0.6805,0.3195,2.1095,0.6784,0.3216,,,,,,,
15,1715291700000,805130918.0,3180975.64130784,2.3681,0.7031,0.2969,2.1387,0.6814,0.3186,2.0694,0.6742,0.3258,,,,,,,
16,1715292000000,804617153.0,3178905.58658699,2.3636,0.7027,0.2973,2.1446,0.682,0.318,2.0331,0.6703,0.3297,,,,,,,
17,1715292300000,804851209.0,3187210.78764,2.34,0.7006,0.2994,2.1413,0.6817,0.3183,2.0266,0.6696,0.3304,,,,,,,
18,1715292600000,805311997.0,3189035.50812,2.3311,0.6998,0.3002,2.1419,0.6817,0.3183,2.0257,0.6695,0.3305,,,,,,,
19,1715292900000,805332718.0,3193643.53315516,2.3333,0.7,0.3,2.143,0.6818,0.3182,2.0257,0.6695,0.3305,,,,,,,
20,1715293200000,805569514.0,3193519.2243502,2.3223,0.699,0.301,2.1415,0.6817,0.3183,2.0221,0.6691,0.3309,,,,,,,
21,1715293500000,805052417.0,3190374.42542598,2.3289,0.6996,0.3004,2.1439,0.6819,0.3181,2.0266,0.6696,0.3304,,,,,,,
22,1715293800000,803551756.0,3187689.816052,2.3523,0.7017,0.2983,2.1514,0.6827,0.3173,2.0572,0.6729,0.3271,,,,,,,
23,1715294100000,803591787.0,3190259.39439,2.3245,0.6992,0.3008,2.153,0.6828,0.3172,2.0358,0.6706,0.3294,,,,,,,
24,1715294400000,803175928.0,3196752.63806992,2.34,0.7006,0.2994,2.1563,0.6832,0.3168,2.0722,0.6745,0.3255,,,,,,,
25,1715294700000,803366161.0,3206579.79600023,2.3378,0.7004,0.2996,2.1525,0.6828,0.3172,2.0722,0.6745,0.3255,,,,,,,
26,1715295000000,803999106.0,3223232.415954,2.3898,0.705,0.295,2.1579,0.6833,0.3167,2.0647,0.6737,0.3263,,,,,,,
27,1715295300000,805259705.0,3233117.715575,2.3715,0.7034,0.2966,2.1639,0.6839,0.3161,2.0506,0.6722,0.3278,,,,,,,
28,1715295600000,805228841.0,3228162.423569,2.3512,0.7016,0.2984,2.1606,0.6836,0.3164,2.0769,0.675,0.325,,,,,,,
29,1715295900000,805013548.0,3226896.807158,2.3289,0.6996,0.3004,2.1681,0.6844,0.3156,2.0469,0.6718,0.3282,,,,,,,
30,1715296200000,808310985.0,3237285.494925,2.3378,0.7004,0.2996,2.1739,0.6849,0.3151,2.0497,0.6721,0.3279,,,,,,,
31,1715296500000,808643488.0,3236191.238976,2.3025,0.6972,0.3028,2.1657,0.6841,0.3159,2.0562,0.6728,0.3272,,,,,,,
32,1715296800000,809438857.0,3241818.81106214,2.2938,0.6964,0.3036,2.1618,0.6837,0.3163,2.0312,0.6701,0.3299,,,,,,,
33,1715297100000,809959268.0,3239877.5699634,2.3025,0.6972,0.3028,2.1631,0.6839,0.3161,2.0414,0.6712,0.3288,,,,,,,
34,1715297400000,810557264.0,3245746.87452576,2.2787,0.695,0.305,2.1595,0.6835,0.3165,2.0618,0.6734,0.3266,,,,,,,
35,1715297700000,810874492.0,3246222.50629312,2.2765,0.6948,0.3052,2.1563,0.6832,0.3168,2.0647,0.6737,0.3263,,,,,,,
36,1715298000000,810922462.0,3239440.61429912,2.2895,0.696,0.304,2.1522,0.6828,0.3172,2.076,0.6749,0.3251,,,,,,,
37,1715298300000,810930456.0,3243721.824,2.3156,0.6984,0.3016,2.1546,0.683,0.317,2.1182,0.6793,0.3207,,,,,,,
38,1715298600000,811541749.0,3255426.68735609,2.3025,0.6972,0.3028,2.1469,0.6822,0.3178,2.1104,0.6785,0.3215,,,,,,,
