,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,33109200.0,1284636.96,1.5648,0.6101,0.3899,1.2551,0.5566,0.4434,1.4722,0.5955,0.4045,,,,,,,
1,1715287200000,32843189.0,1274573.22380176,1.5648,0.6101,0.3899,1.2576,0.5571,0.4429,1.4655,0.5944,0.4056,,,,,,,
2,1715287500000,32826266.0,1273330.85814,1.553,0.6083,0.3917,1.2632,0.5582,0.4418,1.4606,0.5936,0.4064,,,,,,,
3,1715287800000,32707561.0,1269657.14837606,1.5562,0.6088,0.3912,1.2639,0.5583,0.4417,1.4582,0.5932,0.4068,,,,,,,
4,1715288100000,32716446.0,1269725.26926,1.5628,0.6098,0.3902,1.264,0.5583,0.4417,1.4661,0.5945,0.4055,,,,,,,
5,1715288400000,32683704.0,1268724.84647208,1.572,0.6112,0.3888,1.2605,0.5576,0.4424,1.4863,0.5978,0.4022,,,,,,,
6,1715288700000,32682881.0,1271364.0709,1.5813,0.6126,0.3874,1.2617,0.5579,0.4421,1.4876,0.598,0.402,,,,,,,
7,1715289000000,32675813.0,1271415.88383,1.5806,0.6125,0.3875,1.2649,0.5585,0.4415,1.4882,0.5981,0.4019,,,,,,,
8,1715289300000,32655327.0,1269639.11376,1.576,0.6118,0.3882,1.2647,0.5584,0.4416,1.4808,0.5969,0.4031,,,,,,,
9,1715289600000,32648735.0,1269709.30415,1.58,0.6124,0.3876,1.2664,0.5588,0.4412,1.4759,0.5961,0.4039,,,,,,,
10,1715289900000,32642075.0,1267818.193,1.5747,0.6116,0.3884,1.2644,0.5584,0.4416,1.4752,0.596,0.404,,,,,,,
11,1715290200000,32656371.0,1269026.57706,1.578,0.6121,0.3879,1.2636,0.5582,0.4418,1.4802,0.5968,0.4032,,,,,,,
12,1715290500000,32654872.0,1268231.30545896,1.578,0.6121,0.3879,1.2646,0.5584,0.4416,1.4802,0.5968,0.4032,,,,,,,
13,1715290800000,32658327.0,1267796.25414,1.5714,0.6111,0.3889,1.2628,0.5581,0.4419,1.4765,0.5962,0.4038,,,,,,,
14,1715291100000,32686422.0,1268886.90204,1.5714,0.6111,0.3889,1.2625,0.558,0.442,1.4716,0.5954,0.4046,,,,,,,
15,1715291400000,32687390.0,1269158.1946385,1.5661,0.6103,0.3897,1.2616,0.5578,0.4422,1.482,0.5971,0.4029,,,,,,,
16,1715291700000,32710170.0,1271787.1104816,1.5523,0.6082,0.3918,1.2634,0.5582,0.4418,1.4697,0.5951,0.4049,,,,,,,
17,1715292000000,32684745.0,1271924.56374285,1.5661,0.6103,0.3897,1.2663,0.5587,0.4413,1.4704,0.5952,0.4048,,,,,,,
18,1715292300000,32662837.0,1269277.84582,1.5536,0.6084,0.3916,1.2656,0.5586,0.4414,1.4691,0.595,0.405,,,,,,,
19,1715292600000,32662940.0,1269608.4778,1.5536,0.6084,0.3916,1.266,0.5587,0.4413,1.4655,0.5944,0.4056,,,,,,,
20,1715292900000,32648449.0,1270677.63508,1.5445,0.607,0.393,1.2672,0.5589,0.4411,1.4576,0.5931,0.4069,,,,,,,
21,1715293200000,32605870.0,1269605.0836491,1.5413,0.6065,0.3935,1.2662,0.5587,0.4413,1.4546,0.5926,0.4074,,,,,,,
22,1715293500000,32613028.0,1270277.4406,1.5465,0.6073,0.3927,1.2653,0.5586,0.4414,1.4534,0.5924,0.4076,,,,,,,
23,1715293800000,32614771.0,1271976.069,1.5278,0.6044,0.3956,1.2652,0.5585,0.4415,1.4414,0.5904,0.4096,,,,,,,
24,1715294100000,32614238.0,1270324.5701,1.5304,0.6048,0.3952,1.264,0.5583,0.4417,1.4564,0.5929,0.4071,,,,,,,
25,1715294400000,32666381.0,1275282.77435141,1.5278,0.6044,0.3956,1.266,0.5587,0.4413,1.4474,0.5914,0.4086,,,,,,,
26,1715294700000,32685520.0,1277741.6941296,1.5381,0.606,0.394,1.2665,0.5588,0.4412,1.4576,0.5931,0.4069,,,,,,,
27,1715295000000,32625868.0,1279457.01826404,1.5323,0.6051,0.3949,1.2643,0.5584,0.4416,1.4546,0.5926,0.4074,,,,,,,
28,1715295300000,32618654.0,1278662.97951544,1.5556,0.6087,0.3913,1.2651,0.5585,0.4415,1.4606,0.5936,0.4064,,,,,,,
29,1715295600000,32659401.0,1278770.35471074,1.5589,0.6092,0.3908,1.2704,0.5595,0.4405,1.4546,0.5926,0.4074,,,,,,,
30,1715295900000,32544938.0,1274134.3227,1.5714,0.6111,0.3889,1.2715,0.5598,0.4402,1.4631,0.594,0.406,,,,,,,
31,1715296200000,32546290.0,1270614.9727096,1.5654,0.6102,0.3898,1.2677,0.559,0.441,1.4685,0.5949,0.4051,,,,,,,
32,1715296500000,32561498.0,1271213.58090422,1.5694,0.6108,0.3892,1.2695,0.5594,0.4406,1.4667,0.5946,0.4054,,,,,,,
33,1715296800000,32547963.0,1269374.78823519,1.5714,0.6111,0.3889,1.2663,0.5588,0.4412,1.4802,0.5968,0.4032,,,,,,,
34,1715297100000,32538368.0,1268996.352,1.5786,0.6122,0.3878,1.2656,0.5586,0.4414,1.4789,0.5966,0.4034,,,,,,,
35,1715297400000,32529040.0,1268730.7977008,1.5786,0.6122,0.3878,1.266,0.5587,0.4413,1.4734,0.5957,0.4043,,,,,,,
36,1715297700000,32516193.0,1268065.19396628,1.5674,0.6105,0.3895,1.2643,0.5584,0.4416,1.4691,0.595,0.405,,,,,,,
37,1715298000000,32496556.0,1266065.82176,1.5674,0.6105,0.3895,1.2635,0.5582,0.4418,1.4643,0.5942,0.4058,,,,,,,
38,1715298300000,32474636.0,1265211.81856,1.5753,0.6117,0.3883,1.2601,0.5575,0.4425,1.4832,0.5973,0.4027,,,,,,,
39,1715298600000,32480566.0,1268366.1023,1.572,0.6112,0.3888,1.2583,0.5572,0.4428,1.4777,0.5964,0.4036,,,,,,,
40,1715298900000,32482095.0,1268425.80975,1.5786,0.6122,0.3878,1.2595,0.5574,0.4426,1.4752,0.596,0.404,,,,,,,
41,1715299200000,32457537.0,1265925.0868425,1.592,0.6142,0.3858,1.2596,0.5574,0.4426,1.4802,0.5968,0.4032,,,,,,,
42,1715299500000,32432294.0,1262305.09852456,1.576,0.6118,0.3882,1.2561,0.5568,0.4432,1.4845,0.5975,0.4025,,,,,,,
43,1715299800000,32375636.0,1263297.31672,1.588,0.6136,0.3864,1.2557,0.5567,0.4433,1.4925,0.5988,0.4012,,,,,,,
44,1715300100000,32383772.0,1264586.2966,1.5988,0.6152,0.3848,1.2572,0.557,0.443,1.5,0.6,0.4,,,,,,,
45,1715300400000,32371296.0,1262804.25696,1.5893,0.6138,0.3862,1.2576,0.5571,0.4429,1.4963,0.5994,0.4006,,,,,,,
46,1715300700000,32349998.0,1262023.5644769,1.592,0.6142,0.3858,1.2568,0.5569,0.4431,1.4894,0.5983,0.4017,,,,,,,
47,1715301000000,32319557.0,1260462.723,1.6035,0.6159,0.3841,1.2576,0.557,0.443,1.4981,0.5997,0.4003,,,,,,,
48,1715301300000,32308765.0,1258749.4844,1.6089,0.6167,0.3833,1.2567,0.5569,0.4431,1.505,0.6008,0.3992,,,,,,,
49,1715301600000,32246726.0,1254546.94374138,1.6171,0.6179,0.3821,1.2558,0.5567,0.4433,1.51,0.6016,0.3984,,,,,,,
50,1715301900000,32238163.0,1254064.5407,1.6185,0.6181,0.3819,1.2571,0.557,0.443,1.5063,0.601,0.399,,,,,,,
51,1715302200000,32250055.0,1252914.63675,1.6261,0.6192,0.3808,1.2565,0.5568,0.4432,1.5113,0.6018,0.3982,,,,,,,
52,1715302500000,32244213.0,1252585.46089479,1.6274,0.6194,0.3806,1.2553,0.5566,0.4434,1.5119,0.6019,0.3981,,,,,,,
53,1715302800000,32234713.0,1253607.98857,1.6337,0.6203,0.3797,1.2544,0.5564,0.4436,1.524,0.6038,0.3962,,,,,,,
54,1715303100000,32242829.0,1254568.47639,1.635,0.6205,0.3795,1.2552,0.5566,0.4434,1.5221,0.6035,0.3965,,,,,,,
55,1715303400000,32254253.0,1253427.04260999,1.6392,0.6211,0.3789,1.2535,0.5562,0.4438,1.5214,0.6034,0.3966,,,,,,,
56,1715303700000,32275437.0,1253577.97308,1.6392,0.6211,0.3789,1.2545,0.5564,0.4436,1.5246,0.6039,0.3961,,,,,,,
57,1715304000000,32297861.0,1255374.90091487,1.6392,0.6211,0.3789,1.2542,0.5564,0.4436,1.5304,0.6048,0.3952,,,,,,,
58,1715304300000,32314219.0,1257887.84760044,1.6441,0.6218,0.3782,1.255,0.5565,0.4435,1.524,0.6038,0.3962,,,,,,,
