,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3560567.1,9275277.2955,3.7059,0.7875,0.2125,1.0566,0.5138,0.4862,3.5872,0.782,0.218,,,,,,,
1,1715287200000,3560360.3,9295091.52356936,3.7916,0.7913,0.2087,1.0558,0.5136,0.4864,3.6577,0.7853,0.2147,,,,,,,
2,1715287500000,3561659.0,9290088.54869069,3.7642,0.7901,0.2099,1.0548,0.5133,0.4867,3.6253,0.7838,0.2162,,,,,,,
3,1715287800000,3565749.5,9318340.96963202,3.7551,0.7897,0.2103,1.0549,0.5134,0.4866,3.6041,0.7828,0.2172,,,,,,,
4,1715288100000,3569523.7,9323194.68993612,3.7371,0.7889,0.2111,1.0523,0.5127,0.4873,3.6041,0.7828,0.2172,,,,,,,
5,1715288400000,3570625.8,9323456.01825494,3.7506,0.7895,0.2105,1.0528,0.5129,0.4871,3.6189,0.7835,0.2165,,,,,,,
6,1715288700000,3576423.1,9386932.77831625,3.7551,0.7897,0.2103,1.0533,0.513,0.487,3.6147,0.7833,0.2167,,,,,,,
7,1715289000000,3576074.9,9419381.2866,3.649,0.7849,0.2151,1.0542,0.5132,0.4868,3.4623,0.7759,0.2241,,,,,,,
8,1715289300000,3574995.0,9401400.2296701,3.686,0.7866,0.2134,1.0558,0.5136,0.4864,3.4823,0.7769,0.2231,,,,,,,
9,1715289600000,3573077.6,9373328.25213244,3.6904,0.7868,0.2132,1.0591,0.5144,0.4856,3.4663,0.7761,0.2239,,,,,,,
10,1715289900000,3580683.3,9397625.45795736,3.6948,0.787,0.213,1.0575,0.514,0.486,3.4743,0.7765,0.2235,,,,,,,
11,1715290200000,3578763.4,9387096.3982,3.717,0.788,0.212,1.0589,0.5143,0.4857,3.4783,0.7767,0.2233,,,,,,,
12,1715290500000,3578218.5,9378510.6885,3.7059,0.7875,0.2125,1.0581,0.5141,0.4859,3.4763,0.7766,0.2234,,,,,,,
13,1715290800000,3579874.7,9403197.52016747,3.6816,0.7864,0.2136,1.0556,0.5135,0.4865,3.4267,0.7741,0.2259,,,,,,,
14,1715291100000,3580205.5,9401619.643,3.6773,0.7862,0.2138,1.0565,0.5137,0.4863,3.4267,0.7741,0.2259,,,,,,,
15,1715291400000,3581972.0,9406258.472,3.6926,0.7869,0.2131,1.0564,0.5137,0.4863,3.4346,0.7745,0.2255,,,,,,,
16,1715291700000,3585984.2,9434750.06998703,3.6992,0.7872,0.2128,1.0541,0.5132,0.4868,3.4984,0.7777,0.2223,,,,,,,
17,1715292000000,3585982.4,9431133.712,3.7037,0.7874,0.2126,1.0543,0.5132,0.4868,3.5065,0.7781,0.2219,,,,,,,
18,1715292300000,3591564.1,9449405.1471,3.7237,0.7883,0.2117,1.0537,0.5131,0.4869,3.5126,0.7784,0.2216,,,,,,,
19,1715292600000,3591353.0,9470397.861,3.7259,0.7884,0.2116,1.0537,0.5131,0.4869,3.5269,0.7791,0.2209,,,,,,,
20,1715292900000,3592536.6,9481605.38298221,3.7125,0.7878,0.2122,1.053,0.5129,0.4871,3.56,0.7807,0.2193,,,,,,,
21,1715293200000,3588058.7,9472474.968,3.845,0.7936,0.2064,1.0549,0.5134,0.4866,3.6664,0.7857,0.2143,,,,,,,
22,1715293500000,3587621.4,9461414.67867625,3.845,0.7936,0.2064,1.056,0.5136,0.4864,3.662,0.7855,0.2145,,,,,,,
23,1715293800000,3592369.5,9487366.73379669,3.8286,0.7929,0.2071,1.0538,0.5131,0.4869,3.6598,0.7854,0.2146,,,,,,,
24,1715294100000,3601500.9,9522368.3796,3.852,0.7939,0.2061,1.0524,0.5128,0.4872,3.6447,0.7847,0.2153,,,,,,,
25,1715294400000,3604010.3,9559220.66111922,3.8077,0.792,0.208,1.0526,0.5128,0.4872,3.6211,0.7836,0.2164,,,,,,,
26,1715294700000,3609464.2,9604797.08589255,3.8356,0.7932,0.2068,1.0533,0.513,0.487,3.6512,0.785,0.215,,,,,,,
27,1715295000000,3609663.6,9636326.50639004,3.845,0.7936,0.2064,1.0545,0.5133,0.4867,3.6447,0.7847,0.2153,,,,,,,
28,1715295300000,3611023.5,9659487.8625,3.8309,0.793,0.207,1.0546,0.5133,0.4867,3.6339,0.7842,0.2158,,,,,,,
29,1715295600000,3612977.5,9661460.35075733,3.817,0.7924,0.2076,1.055,0.5134,0.4866,3.6189,0.7835,0.2165,,,,,,,
30,1715295900000,3620460.3,9677490.3819,3.8473,0.7937,0.2063,1.0538,0.5131,0.4869,3.6382,0.7844,0.2156,,,,,,,
31,1715296200000,3624562.6,9666708.4542,3.8591,0.7942,0.2058,1.0558,0.5136,0.4864,3.6083,0.783,0.217,,,,,,,
32,1715296500000,3622771.5,9622081.104,3.8804,0.7951,0.2049,1.0566,0.5138,0.4862,3.6533,0.7851,0.2149,,,,,,,
33,1715296800000,3626830.0,9625606.82,3.8828,0.7952,0.2048,1.0513,0.5125,0.4875,3.6685,0.7858,0.2142,,,,,,,
34,1715297100000,3625617.8,9607910.37395392,3.9068,0.7962,0.2038,1.0528,0.5129,0.4871,3.686,0.7866,0.2134,,,,,,,
35,1715297400000,3630827.6,9624773.60675239,3.9237,0.7969,0.2031,1.0518,0.5126,0.4874,3.6992,0.7872,0.2128,,,,,,,
36,1715297700000,3637855.0,9633764.2641734,3.914,0.7965,0.2035,1.0504,0.5123,0.4877,3.7037,0.7874,0.2126,,,,,,,
37,1715298000000,3642500.3,9638516.09656291,3.8972,0.7958,0.2042,1.049,0.512,0.488,3.6773,0.7862,0.2138,,,,,,,
38,1715298300000,3643461.9,9641859.18565955,3.9044,0.7961,0.2039,1.0497,0.5121,0.4879,3.6685,0.7858,0.2142,,,,,,,
39,1715298600000,3645030.5,9673910.947,3.9092,0.7963,0.2037,1.0494,0.512,0.488,3.6838,0.7865,0.2135,,,,,,,
40,1715298900000,3649428.4,9694195.36916401,3.8852,0.7953,0.2047,1.0485,0.5118,0.4882,3.6664,0.7857,0.2143,,,,,,,
41,1715299200000,3649300.7,9687277.52113606,3.878,0.795,0.205,1.0484,0.5118,0.4882,3.6685,0.7858,0.2142,,,,,,,
42,1715299500000,3650248.9,9656362.16163189,3.9826,0.7993,0.2007,1.0504,0.5123,0.4877,3.7148,0.7879,0.2121,,,,,,,
43,1715299800000,3657530.0,9694457.9486328,3.99,0.7996,0.2004,1.0495,0.5121,0.4879,3.7281,0.7885,0.2115,,,,,,,
44,1715300100000,3663599.1,9715864.8132,3.9579,0.7983,0.2017,1.0531,0.5129,0.4871,3.6729,0.786,0.214,,,,,,,
45,1715300400000,3663566.2,9723786.1181132,3.9529,0.7981,0.2019,1.0536,0.513,0.487,3.6253,0.7838,0.2162,,,,,,,
46,1715300700000,3669131.6,9741240.19029904,3.8972,0.7958,0.2042,1.0554,0.5135,0.4865,3.5935,0.7823,0.2177,,,,,,,
47,1715301000000,3668916.7,9734587.72209198,3.8924,0.7956,0.2044,1.0554,0.5135,0.4865,3.5872,0.782,0.218,,,,,,,
48,1715301300000,3668007.3,9737098.89103336,3.8972,0.7958,0.2042,1.0545,0.5133,0.4867,3.5788,0.7816,0.2184,,,,,,,
49,1715301600000,3667617.6,9740049.18587026,3.8828,0.7952,0.2048,1.0545,0.5133,0.4867,3.5683,0.7811,0.2189,,,,,,,
50,1715301900000,3670066.9,9758707.8871,3.8948,0.7957,0.2043,1.0546,0.5133,0.4867,3.5872,0.782,0.218,,,,,,,
51,1715302200000,3671032.1,9753932.2897,3.8948,0.7957,0.2043,1.0548,0.5133,0.4867,3.5893,0.7821,0.2179,,,,,,,
52,1715302500000,3674671.8,9759928.3008,3.8972,0.7958,0.2042,1.0536,0.513,0.487,3.5893,0.7821,0.2179,,,,,,,
53,1715302800000,3676651.6,9765186.6496,3.8924,0.7956,0.2044,1.0526,0.5128,0.4872,3.5893,0.7821,0.2179,,,,,,,
54,1715303100000,3678673.9,9782323.67542828,3.9092,0.7963,0.2037,1.0521,0.5127,0.4873,3.6083,0.783,0.217,,,,,,,
55,1715303400000,3679834.1,9780999.0378,3.9188,0.7967,0.2033,1.0543,0.5132,0.4868,3.6104,0.7831,0.2169,,,,,,,
56,1715303700000,3684416.3,9800547.358,3.9188,0.7967,0.2033,1.0532,0.513,0.487,3.6318,0.7841,0.2159,,,,,,,
57,1715304000000,3687229.3,9815404.3966,3.9188,0.7967,0.2033,1.053,0.5129,0.4871,3.6404,0.7845,0.2155,,,,,,,
58,1715304300000,3687342.1,9822834.29364403,3.9237,0.7969,0.2031,1.0538,0.5131,0.4869,3.5977,0.7825,0.2175,,,,,,,
59,1715304600000,3689925.8,9844908.00666032,3.9116,0.7964,0.2036,1.0535,0.513,0.487,3.5956,0.7824,0.2176,,,,,,,
60,1715304900000,3689144.6,9861083.5158,3.9116,0.7964,0.2036,1.0537,0.5131,0.4869,3.6083,0.783,0.217,,,,,,,
61,1715305200000,3689145.3,9878898.94146139,3.914,0.7965,0.2035,1.0533,0.513,0.487,3.6642,0.7856,0.2144,,,,,,,
62,1715305500000,3690035.2,9861082.39328051,3.9237,0.7969,0.2031,1.0523,0.5127,0.4873,3.6642,0.7856,0.2144,,,,,,,
63,1715305800000,3691170.3,9849375.75875917,3.9751,0.799,0.201,1.0517,0.5126,0.4874,3.6555,0.7852,0.2148,,,,,,,
64,1715306100000,3693573.3,9874655.12033556,3.948,0.7979,0.2021,1.0527,0.5128,0.4872,3.6598,0.7854,0.2146,,,,,,,
65,1715306400000,3694751.9,9855778.95810203,3.9628,0.7985,0.2015,1.0881,0.5211,0.4789,3.6926,0.7869,0.2131,,,,,,,
66,1715306700000,3699626.7,9855805.5288,3.9727,0.7989,0.2011,1.0876,0.521,0.479,3.6992,0.7872,0.2128,,,,,,,
67,1715307000000,3710474.0,9875580.68408996,4.0226,0.8009,0.1991,1.0866,0.5208,0.4792,3.7125,0.7878,0.2122,,,,,,,
68,1715307300000,3712195.3,9870727.3027,4.0327,0.8013,0.1987,1.087,0.5209,0.4791,3.7125,0.7878,0.2122,,,,,,,
69,1715307600000,3714988.9,9889552.99674542,3.9975,0.7999,0.2001,1.0866,0.5207,0.4793,3.7148,0.7879,0.2121,,,,,,,
70,1715307900000,3712821.8,9886495.98565334,4.0403,0.8016,0.1984,1.0883,0.5211,0.4789,3.7148,0.7879,0.2121,,,,,,,
71,1715308200000,3712831.7,9883171.8509032,4.0277,0.8011,0.1989,1.0879,0.5211,0.4789,3.7125,0.7878,0.2122,,,,,,,
72,1715308500000,3713584.1,9892988.0424,4.0251,0.801,0.199,1.0879,0.5211,0.4789,3.7125,0.7878,0.2122,,,,,,,
73,1715308800000,3716606.9,9893607.5678,4.0429,0.8017,0.1983,1.0884,0.5212,0.4788,3.7192,0.7881,0.2119,,,,,,,
74,1715309100000,3719453.6,9921714.67259438,4.0176,0.8007,0.1993,1.0885,0.5212,0.4788,3.6751,0.7861,0.2139,,,,,,,
75,1715309400000,3717444.6,9903323.34339102,4.01,0.8004,0.1996,1.0891,0.5213,0.4787,3.6642,0.7856,0.2144,,,,,,,
76,1715309700000,3726205.4,9900527.7478,4.01,0.8004,0.1996,1.085,0.5204,0.4796,3.6382,0.7844,0.2156,,,,,,,
77,1715310000000,3725895.5,9910882.03,4.0075,0.8003,0.1997,1.0851,0.5204,0.4796,3.6533,0.7851,0.2149,,,,,,,
78,1715310300000,3728464.9,9891617.3797,4.0251,0.801,0.199,1.0845,0.5203,0.4797,3.6904,0.7868,0.2132,,,,,,,
79,1715310600000,3732906.8,9914134.96732204,4.0403,0.8016,0.1984,1.0843,0.5202,0.4798,3.7037,0.7874,0.2126,,,,,,,
80,1715310900000,3734553.1,9904034.8212,4.0403,0.8016,0.1984,1.0842,0.5202,0.4798,3.6992,0.7872,0.2128,,,,,,,
81,1715311200000,3737523.5,9922525.43110584,4.0429,0.8017,0.1983,1.0836,0.5201,0.4799,3.6948,0.787,0.213,,,,,,,
82,1715311500000,3738496.7,9925708.7385,4.0556,0.8022,0.1978,1.087,0.5208,0.4792,3.6948,0.787,0.213,,,,,,,
83,1715311800000,3739090.3,9934038.25400896,4.0378,0.8015,0.1985,1.0866,0.5207,0.4793,3.6882,0.7867,0.2133,,,,,,,
84,1715312100000,3739349.8,9915253.31103085,4.0582,0.8023,0.1977,1.0879,0.5211,0.4789,3.686,0.7866,0.2134,,,,,,,
85,1715312400000,3742202.4,9920578.5624,4.0633,0.8025,0.1975,1.0885,0.5212,0.4788,3.7015,0.7873,0.2127,,,,,,,
86,1715312700000,3745640.6,9930340.73949052,4.0302,0.8012,0.1988,1.0878,0.521,0.479,3.6773,0.7862,0.2138,,,,,,,
87,1715313000000,3747267.4,9940355.88431802,4.0429,0.8017,0.1983,1.0879,0.5211,0.4789,3.6577,0.7853,0.2147,,,,,,,
88,1715313300000,3750814.6,9972713.2312684,4.0429,0.8017,0.1983,1.0881,0.5211,0.4789,3.6685,0.7858,0.2142,,,,,,,
