,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,4386375907.0,3703855.8158708,2.9573,0.7473,0.2527,1.1525,0.5354,0.4646,2.6711,0.7276,0.2724,,,,,,,
1,1715287500000,4388171311.0,3700106.0494352,2.9185,0.7448,0.2552,1.1503,0.535,0.465,2.5894,0.7214,0.2786,,,,,,,
2,1715287800000,4387418719.0,3700787.6894765,2.9324,0.7457,0.2543,1.15,0.5349,0.4651,2.6049,0.7226,0.2774,,,,,,,
3,1715288100000,4386972773.0,3699534.1394709,2.9262,0.7453,0.2547,1.15,0.5349,0.4651,2.6075,0.7228,0.2772,,,,,,,
4,1715288400000,4385946819.0,3702616.3045998,2.9324,0.7457,0.2543,1.1498,0.5348,0.4652,2.6075,0.7228,0.2772,,,,,,,
5,1715288700000,4386928452.0,3713885.88889416,2.9231,0.7451,0.2549,1.1497,0.5348,0.4652,2.6075,0.7228,0.2772,,,,,,,
6,1715289000000,4384729002.0,3712155.42038322,2.9417,0.7463,0.2537,1.1505,0.535,0.465,2.6153,0.7234,0.2766,,,,,,,
7,1715289300000,4381901958.0,3704021.7250974,2.9262,0.7453,0.2547,1.1507,0.535,0.465,2.5997,0.7222,0.2778,,,,,,,
8,1715289600000,4380547117.0,3699634.87313352,2.9777,0.7486,0.2514,1.1523,0.5354,0.4646,2.6417,0.7254,0.2746,,,,,,,
9,1715289900000,4379724952.0,3695611.9144976,2.9651,0.7478,0.2522,1.1514,0.5352,0.4648,2.6417,0.7254,0.2746,,,,,,,
10,1715290200000,4378048704.0,3693540.7891296,2.9698,0.7481,0.2519,1.152,0.5353,0.4647,2.6496,0.726,0.274,,,,,,,
11,1715290500000,4377349523.0,3691418.8527459,2.9714,0.7482,0.2518,1.1525,0.5354,0.4646,2.6483,0.7259,0.2741,,,,,,,
12,1715290800000,4376479550.0,3690247.55656,2.9746,0.7484,0.2516,1.1525,0.5354,0.4646,2.643,0.7255,0.2745,,,,,,,
13,1715291100000,4371447918.0,3685567.7396658,2.9825,0.7489,0.2511,1.1536,0.5357,0.4643,2.643,0.7255,0.2745,,,,,,,
14,1715291400000,4372986996.0,3688177.2324264,2.9635,0.7477,0.2523,1.1519,0.5353,0.4647,2.651,0.7261,0.2739,,,,,,,
