,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,198713.34,8614620.71568,1.9842,0.6649,0.3351,2.2514,0.6924,0.3076,1.8393,0.6478,0.3522,,,,,,,
1,1715287200000,198677.07,8627987.91058792,1.9833,0.6648,0.3352,2.2526,0.6926,0.3074,1.8417,0.6481,0.3519,,,,,,,
2,1715287500000,198690.91,8621362.2108382,1.9976,0.6664,0.3336,2.2527,0.6926,0.3074,1.8377,0.6476,0.3524,,,,,,,
3,1715287800000,198735.89,8615661.81927044,2.0003,0.6667,0.3333,2.2523,0.6925,0.3075,1.8281,0.6464,0.3536,,,,,,,
4,1715288100000,198715.91,8614930.84623,1.9815,0.6646,0.3354,2.251,0.6924,0.3076,1.8114,0.6443,0.3557,,,,,,,
5,1715288400000,198680.91,8633394.26410811,1.963,0.6625,0.3375,2.2487,0.6922,0.3078,1.8273,0.6463,0.3537,,,,,,,
6,1715288700000,198346.47,8663424.95187817,1.9674,0.663,0.337,2.2503,0.6923,0.3077,1.8129,0.6445,0.3555,,,,,,,
7,1715289000000,198175.28,8654909.00344,1.9533,0.6614,0.3386,2.2485,0.6922,0.3078,1.7956,0.6423,0.3577,,,,,,,
8,1715289300000,198130.52,8650054.78368729,1.9551,0.6616,0.3384,2.2503,0.6923,0.3077,1.7933,0.642,0.358,,,,,,,
9,1715289600000,198201.56,8647084.02435585,1.9412,0.66,0.34,2.2448,0.6918,0.3082,1.7863,0.6411,0.3589,,,,,,,
10,1715289900000,198102.93,8648709.90730706,1.9369,0.6595,0.3405,2.2464,0.692,0.308,1.777,0.6399,0.3601,,,,,,,
11,1715290200000,198072.52,8633386.92924,1.9265,0.6583,0.3417,2.2454,0.6919,0.3081,1.7933,0.642,0.358,,,,,,,
12,1715290500000,198170.68,8639777.77601738,1.936,0.6594,0.3406,2.2457,0.6919,0.3081,1.784,0.6408,0.3592,,,,,,,
13,1715290800000,197960.59,8634640.71491599,1.9317,0.6589,0.3411,2.2475,0.6921,0.3079,1.8082,0.6439,0.3561,,,,,,,
14,1715291100000,197669.72,8633265.31597242,1.949,0.6609,0.3391,2.2485,0.6922,0.3078,1.809,0.644,0.356,,,,,,,
15,1715291400000,197625.41,8637020.91864,1.9542,0.6615,0.3385,2.2486,0.6922,0.3078,1.8082,0.6439,0.3561,,,,,,,
16,1715291700000,197490.14,8642366.01654,1.9551,0.6616,0.3384,2.2481,0.6921,0.3079,1.791,0.6417,0.3583,,,,,,,
17,1715292000000,197494.5,8639388.96914594,1.949,0.6609,0.3391,2.247,0.692,0.308,1.7816,0.6405,0.3595,,,,,,,
18,1715292300000,197480.38,8640183.63641923,1.9163,0.6571,0.3429,2.2403,0.6914,0.3086,1.777,0.6399,0.3601,,,,,,,
19,1715292600000,197384.78,8644029.70850962,1.9274,0.6584,0.3416,2.2382,0.6912,0.3088,1.7709,0.6391,0.3609,,,,,,,
20,1715292900000,197035.26,8643995.52935972,1.9129,0.6567,0.3433,2.2385,0.6912,0.3088,1.767,0.6386,0.3614,,,,,,,
21,1715293200000,196789.17,8633361.28980251,1.9104,0.6564,0.3436,2.2374,0.6911,0.3089,1.7832,0.6407,0.3593,,,,,,,
22,1715293500000,196635.19,8617436.57959057,1.9172,0.6572,0.3428,2.2336,0.6907,0.3093,1.7755,0.6397,0.3603,,,,,,,
23,1715293800000,196448.17,8614126.13870382,1.9087,0.6562,0.3438,2.2302,0.6904,0.3096,1.7855,0.641,0.359,,,,,,,
24,1715294100000,196375.42,8600654.26974,1.9061,0.6559,0.3441,2.2248,0.6899,0.3101,1.8035,0.6433,0.3567,,,,,,,
25,1715294400000,196068.33,8619898.38816928,1.907,0.656,0.344,2.2238,0.6898,0.3102,1.7925,0.6419,0.3581,,,,,,,
26,1715294700000,196369.44,8638095.29616,1.9104,0.6564,0.3436,2.2141,0.6889,0.3111,1.8409,0.648,0.352,,,,,,,
27,1715295000000,196487.41,8666963.82622527,1.9206,0.6576,0.3424,2.2083,0.6883,0.3117,1.8201,0.6454,0.3546,,,,,,,
28,1715295300000,196496.78,8667669.46258,1.8986,0.655,0.345,2.2108,0.6886,0.3114,1.8662,0.6511,0.3489,,,,,,,
