timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,14537449.00000000,6992512.96900000,3.5851,0.7819,0.2181,2.1065,0.6781,0.3219,2.9032,0.7438,0.2562,-0.0009,0.4817000,-0.00041158
1715287200000,14539647.00000000,7004224.71492513,3.5537,0.7804,0.2196,2.1064,0.6781,0.3219,2.8865,0.7427,0.2573,-0.0007,0.4818000,-0.00032299
1715287500000,14540002.00000000,7006826.96380000,3.5517,0.7803,0.2197,2.1076,0.6782,0.3218,2.8911,0.7430,0.2570,-0.0003,0.4818000,-0.00016530
1715287800000,14541477.00000000,7008742.23683991,3.5977,0.7825,0.2175,2.1077,0.6782,0.3218,2.9124,0.7444,0.2556,-0.0002,0.4814000,-0.00011413
1715288100000,14543469.00000000,7002680.32350000,3.5683,0.7811,0.2189,2.1080,0.6782,0.3218,2.9047,0.7439,0.2561,-0.0002,0.4818000,-0.00007440
1715288400000,14545553.00000000,7009501.99070000,3.5893,0.7821,0.2179,2.1093,0.6784,0.3216,2.9432,0.7464,0.2536,0.0007,0.4828000,0.00035998
1715288700000,14549138.00000000,7022868.91260000,3.5600,0.7807,0.2193,2.1148,0.6789,0.3211,2.8835,0.7425,0.2575,0.0004,0.4837000,0.00017517
1715289000000,14577995.00000000,7049918.38200000,3.5413,0.7798,0.2202,2.1146,0.6789,0.3211,2.8462,0.7400,0.2600,-0.0001,0.4832000,-0.00002993
1715289300000,14583437.00000000,7049633.44580000,3.5393,0.7797,0.2203,2.1117,0.6786,0.3214,2.8506,0.7403,0.2597,0.0003,0.4831000,0.00015690
1715289600000,14582811.00000000,7043497.71300000,3.5434,0.7799,0.2201,2.1110,0.6786,0.3214,2.8670,0.7414,0.2586,0.0003,0.4825000,0.00013140
1715289900000,14582401.00000000,7034550.24240000,3.5788,0.7816,0.2184,2.1119,0.6787,0.3213,2.8790,0.7422,0.2578,0.0002,0.4826000,0.00009283
1715290200000,14578183.00000000,7034310.78243645,3.5641,0.7809,0.2191,2.1103,0.6785,0.3215,2.8700,0.7416,0.2584,0.0002,0.4827000,0.00007793
1715290500000,14577786.00000000,7036697.30220000,3.5767,0.7815,0.2185,2.1106,0.6785,0.3215,2.8835,0.7425,0.2575,-0.0001,0.4831000,-0.00006721
1715290800000,14571784.00000000,7040813.53643920,3.5893,0.7821,0.2179,2.1046,0.6779,0.3221,2.8971,0.7434,0.2566,0.0004,0.4834000,0.00019896
1715291100000,14571154.00000000,7041349.88780600,3.6019,0.7827,0.2173,2.1050,0.6779,0.3221,2.9246,0.7452,0.2548,0.0008,0.4839000,0.00040817
1715291400000,14568200.00000000,7045720.54340000,3.5620,0.7808,0.2192,2.1002,0.6774,0.3226,2.9386,0.7461,0.2539,0.0001,0.4839000,0.00003053
1715291700000,14587673.00000000,7059681.73745685,3.5496,0.7802,0.2198,2.1013,0.6775,0.3225,2.9078,0.7441,0.2559,0.0000,0.4837000,0.00001257
1715292000000,14585241.00000000,7054881.07170000,3.5704,0.7812,0.2188,2.1025,0.6777,0.3223,2.9154,0.7446,0.2554,0.0001,0.4836000,0.00004798
1715292300000,14580888.00000000,7050331.76877120,3.5620,0.7808,0.2192,2.1031,0.6777,0.3223,2.9246,0.7452,0.2548,0.0001,0.4839000,0.00002606
1715292600000,14573270.00000000,7052005.35300000,3.5683,0.7811,0.2189,2.1024,0.6777,0.3223,2.9231,0.7451,0.2549,0.0005,0.4846000,0.00023381
1715292900000,14587934.00000000,7067170.28653342,3.5475,0.7801,0.2199,2.0996,0.6774,0.3226,2.8895,0.7429,0.2571,0.0006,0.4846000,0.00028947
1715293200000,14600691.00000000,7072865.56616472,3.5290,0.7792,0.2208,2.0942,0.6768,0.3232,2.9154,0.7446,0.2554,-0.0001,0.4845000,-0.00004966
1715293500000,14614342.00000000,7081514.59876350,3.5167,0.7786,0.2214,2.0921,0.6766,0.3234,2.9246,0.7452,0.2548,0.0001,0.4849000,0.00002833
1715293800000,14620788.00000000,7089468.33742056,3.5147,0.7785,0.2215,2.0898,0.6764,0.3236,2.8911,0.7430,0.2570,0.0001,0.4849000,0.00003370
1715294100000,14637644.00000000,7097425.87798272,3.5662,0.7810,0.2190,2.0926,0.6766,0.3234,2.9683,0.7480,0.2520,-0.0002,0.4850000,-0.00011549
1715294400000,14672218.00000000,7117492.95180000,3.5600,0.7807,0.2193,2.0937,0.6768,0.3232,2.9651,0.7478,0.2522,0.0007,0.4863000,0.00035089
1715294700000,14674017.00000000,7134110.42672049,3.5893,0.7821,0.2179,2.0964,0.6770,0.3230,2.9448,0.7465,0.2535,-0.0003,0.4872000,-0.00014306
1715295000000,14694634.00000000,7160313.82244770,3.5708,0.7813,0.2188,2.0945,0.6768,0.3232,2.8850,0.7426,0.2574,-0.0007,0.4874000,-0.00034050
1715295300000,14719854.00000000,7175928.82500000,3.5830,0.7818,0.2182,2.0976,0.6772,0.3228,2.9078,0.7441,0.2559,-0.0006,0.4866000,-0.00028717
