,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,491064623.0,3609324.97905,1.8401,0.6479,0.3521,1.5741,0.6115,0.3885,1.6911,0.6284,0.3716,,,,,,,
1,1715287200000,491517181.0,3617566.45216,1.8385,0.6477,0.3523,1.5716,0.6111,0.3889,1.6925,0.6286,0.3714,,,,,,,
2,1715287500000,491386092.0,3616601.63712,1.8425,0.6482,0.3518,1.5724,0.6113,0.3887,1.694,0.6288,0.3712,,,,,,,
3,1715287800000,490964284.0,3613497.13024,1.8441,0.6484,0.3516,1.5713,0.6111,0.3889,1.6932,0.6287,0.3713,,,,,,,
4,1715288100000,491506882.0,3612575.5827,1.8466,0.6487,0.3513,1.566,0.6103,0.3897,1.6961,0.6291,0.3709,,,,,,,
5,1715288400000,491778692.0,3619491.17312,1.8441,0.6484,0.3516,1.5648,0.6101,0.3899,1.6976,0.6293,0.3707,,,,,,,
6,1715288700000,492285304.0,3630082.29457776,1.8425,0.6482,0.3518,1.5657,0.6102,0.3898,1.6954,0.629,0.371,,,,,,,
7,1715289000000,492506034.0,3637152.13602966,1.8289,0.6465,0.3535,1.5646,0.6101,0.3899,1.686,0.6277,0.3723,,,,,,,
8,1715289300000,492578411.0,3632076.1713496,1.8233,0.6458,0.3542,1.5692,0.6108,0.3892,1.6831,0.6273,0.3727,,,,,,,
9,1715289600000,492379026.0,3626942.68616016,1.8273,0.6463,0.3537,1.5689,0.6107,0.3893,1.686,0.6277,0.3723,,,,,,,
10,1715289900000,492414601.0,3621625.67987283,1.8289,0.6465,0.3535,1.5691,0.6108,0.3892,1.6867,0.6278,0.3722,,,,,,,
11,1715290200000,492393784.0,3621585.82494704,1.8289,0.6465,0.3535,1.5691,0.6108,0.3892,1.6853,0.6276,0.3724,,,,,,,
12,1715290500000,492691116.0,3623349.0052872,1.8297,0.6466,0.3534,1.5704,0.611,0.389,1.6889,0.6281,0.3719,,,,,,,
13,1715290800000,492654687.0,3623268.30791646,1.8297,0.6466,0.3534,1.5702,0.6109,0.3891,1.6867,0.6278,0.3722,,,,,,,
