timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,9168440.00000000,4901448.02400000,2.7936,0.7364,0.2636,0.8372,0.4557,0.5443,2.6036,0.7225,0.2775,-0.0010,0.5346,-0.00054895
1715287200000,9169552.00000000,4914390.76809632,2.7864,0.7359,0.2641,0.8368,0.4556,0.5444,2.5945,0.7218,0.2782,-0.0008,0.5357,-0.00040222
1715287500000,9174326.00000000,4914686.43820000,2.7965,0.7366,0.2634,0.8371,0.4557,0.5443,2.6049,0.7226,0.2774,-0.0003,0.5357,-0.00016917
1715287800000,9174832.00000000,4918861.66866096,2.8052,0.7372,0.2628,0.8361,0.4554,0.5446,2.6298,0.7245,0.2755,-0.0003,0.5360,-0.00017561
1715288100000,9187040.00000000,4930751.52526240,2.8110,0.7376,0.2624,0.8373,0.4557,0.5443,2.6311,0.7246,0.2754,-0.0008,0.5363,-0.00041045
1715288400000,9192716.00000000,4931941.13117628,2.8037,0.7371,0.2629,0.8376,0.4558,0.5442,2.6350,0.7249,0.2751,-0.0010,0.5363,-0.00055607
1715288700000,9210829.00000000,4957917.71546108,2.8139,0.7378,0.2622,0.8400,0.4565,0.5435,2.6403,0.7253,0.2747,-0.0003,0.5382,-0.00013893
1715289000000,9210190.00000000,4955331.35563950,2.8023,0.7370,0.2630,0.8407,0.4567,0.5433,2.6417,0.7254,0.2746,-0.0008,0.5379,-0.00044912
1715289300000,9211785.00000000,4945418.53705515,2.8197,0.7382,0.2618,0.8407,0.4567,0.5433,2.6670,0.7273,0.2727,-0.0010,0.5367,-0.00055738
1715289600000,9222064.00000000,4950298.73144976,2.8095,0.7375,0.2625,0.8414,0.4569,0.5431,2.6523,0.7262,0.2738,-0.0006,0.5367,-0.00031866
1715289900000,9219984.00000000,4951136.75559072,2.8023,0.7370,0.2630,0.8414,0.4569,0.5431,2.6430,0.7255,0.2745,0.0000,0.5371,0.00002461
1715290200000,9222026.00000000,4944361.66604226,2.8124,0.7377,0.2623,0.8412,0.4569,0.5431,2.6792,0.7282,0.2718,-0.0008,0.5362,-0.00040424
1715290500000,9218306.00000000,4942558.75556374,2.8153,0.7379,0.2621,0.8411,0.4569,0.5431,2.6684,0.7274,0.2726,-0.0007,0.5362,-0.00035937
1715290800000,9217509.00000000,4937654.94658926,2.8270,0.7387,0.2613,0.8408,0.4568,0.5432,2.6846,0.7286,0.2714,-0.0002,0.5357,-0.00011840
1715291100000,9218204.00000000,4935678.63166144,2.8388,0.7395,0.2605,0.8406,0.4567,0.5433,2.6996,0.7297,0.2703,-0.0001,0.5355,-0.00007561
1715291400000,9232199.00000000,4944765.78440000,2.8491,0.7402,0.2598,0.8395,0.4564,0.5436,2.7481,0.7332,0.2668,0.0000,0.5357,-0.00000851
1715291700000,9238860.00000000,4956634.25454420,2.8521,0.7404,0.2596,0.8397,0.4564,0.5436,2.7580,0.7339,0.2661,-0.0004,0.5364,-0.00023928
1715292000000,9241215.00000000,4956063.60450000,2.8476,0.7401,0.2599,0.8406,0.4567,0.5433,2.7608,0.7341,0.2659,-0.0003,0.5363,-0.00016224
1715292300000,9238484.00000000,4955522.81760000,2.8417,0.7397,0.2603,0.8403,0.4566,0.5434,2.7594,0.7340,0.2660,-0.0004,0.5363,-0.00021720
1715292600000,9223364.00000000,4948469.81604896,2.8124,0.7377,0.2623,0.8370,0.4556,0.5444,2.7286,0.7318,0.2682,-0.0006,0.5364,-0.00034263
1715292900000,9219006.00000000,4951528.12260000,2.8037,0.7371,0.2629,0.8366,0.4555,0.5445,2.7286,0.7318,0.2682,-0.0002,0.5372,-0.00012788
1715293200000,9213328.00000000,4951242.46720000,2.7965,0.7366,0.2634,0.8357,0.4552,0.5448,2.7341,0.7322,0.2678,-0.0003,0.5374,-0.00013524
1715293500000,9212259.00000000,4947333.60945495,2.7936,0.7364,0.2636,0.8356,0.4552,0.5448,2.7313,0.7320,0.2680,-0.0006,0.5370,-0.00032303
1715293800000,9214864.00000000,4955753.85920000,2.7821,0.7356,0.2644,0.8352,0.4551,0.5449,2.7106,0.7305,0.2695,-0.0003,0.5378,-0.00014339
1715294100000,9206763.00000000,4949555.78880000,2.7965,0.7366,0.2634,0.8349,0.4550,0.5450,2.7216,0.7313,0.2687,-0.0006,0.5376,-0.00030414
1715294400000,9192350.00000000,4952180.83505150,2.7936,0.7364,0.2636,0.8337,0.4547,0.5453,2.7258,0.7316,0.2684,-0.0007,0.5387,-0.00037148
1715294700000,9197809.00000000,4968620.55034490,2.8066,0.7373,0.2627,0.8349,0.4550,0.5450,2.7133,0.7307,0.2693,-0.0006,0.5401,-0.00031535
1715295000000,9189505.00000000,4978907.53448335,2.8153,0.7379,0.2621,0.8359,0.4553,0.5447,2.7286,0.7318,0.2682,-0.0008,0.5416,-0.00042232
1715295300000,9188967.00000000,4979501.21730000,2.7836,0.7357,0.2643,0.8361,0.4554,0.5446,2.7120,0.7306,0.2694,-0.0004,0.5420,-0.00019830
1715295600000,9208196.00000000,4988079.77320000,2.7864,0.7359,0.2641,0.8360,0.4553,0.5447,2.6969,0.7295,0.2705,-0.0007,0.5415,-0.00039661
1715295900000,9205380.00000000,4980418.68406860,2.7722,0.7349,0.2651,0.8348,0.4550,0.5450,2.6887,0.7289,0.2711,-0.0015,0.5408,-0.00078939
1715296200000,9206615.00000000,4972492.76150000,2.8270,0.7387,0.2613,0.8364,0.4555,0.5445,2.7202,0.7312,0.2688,-0.0011,0.5401,-0.00057300
1715296500000,9203948.00000000,4963689.15640000,2.8491,0.7402,0.2598,0.8369,0.4556,0.5444,2.7439,0.7329,0.2671,-0.0008,0.5393,-0.00043394
1715296800000,9206975.00000000,4966546.60552375,2.8432,0.7398,0.2602,0.8381,0.4560,0.5440,2.7341,0.7322,0.2678,0.0001,0.5395,0.00006895
1715297100000,9218437.00000000,4970685.21436936,2.8536,0.7405,0.2595,0.8389,0.4562,0.5438,2.7355,0.7323,0.2677,-0.0005,0.5392,-0.00026863
1715297400000,9317995.00000000,5030028.87930600,2.8008,0.7369,0.2631,0.8289,0.4532,0.5468,2.8536,0.7405,0.2595,-0.0009,0.5396,-0.00047928
1715297700000,9309017.00000000,5021280.51164405,2.8052,0.7372,0.2628,0.8266,0.4525,0.5475,2.8640,0.7412,0.2588,-0.0017,0.5388,-0.00090443
1715298000000,9307015.00000000,5007607.96303930,2.8095,0.7375,0.2625,0.8258,0.4523,0.5477,2.8685,0.7415,0.2585,-0.0007,0.5382,-0.00035714
1715298300000,9313749.00000000,5018147.27957331,2.8037,0.7371,0.2629,0.8269,0.4526,0.5474,2.8610,0.7410,0.2590,-0.0013,0.5386,-0.00070262
1715298600000,9328955.00000000,5041367.28200000,2.7495,0.7333,0.2667,0.8220,0.4512,0.5488,2.8241,0.7385,0.2615,-0.0005,0.5404,-0.00027840
1715298900000,9324410.00000000,5040976.89379140,2.7369,0.7324,0.2676,0.8207,0.4508,0.5492,2.8023,0.7370,0.2630,-0.0008,0.5405,-0.00042592
1715299200000,9323437.00000000,5038385.35480000,2.7383,0.7325,0.2675,0.8208,0.4508,0.5492,2.8081,0.7374,0.2626,-0.0002,0.5404,-0.00010429
1715299500000,9313773.00000000,5015498.52046593,2.7665,0.7345,0.2655,0.8212,0.4509,0.5491,2.8402,0.7396,0.2604,-0.0016,0.5384,-0.00088062
1715299800000,9347908.00000000,5068435.71760000,2.7313,0.7320,0.2680,0.8201,0.4506,0.5494,2.7538,0.7336,0.2664,-0.0001,0.5422,-0.00007727
1715300100000,9337810.00000000,5051755.21000000,2.7580,0.7339,0.2661,0.8183,0.4500,0.5500,2.7679,0.7346,0.2654,-0.0009,0.5409,-0.00050370
