,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,14954041.2,18667129.62996,3.4623,0.7759,0.2241,1.1777,0.5408,0.4592,3.6685,0.7858,0.2142,,,,,,,
1,1715287500000,14965376.1,18675292.83519,3.4346,0.7745,0.2255,1.1767,0.5406,0.4594,3.697,0.7871,0.2129,,,,,,,
2,1715287800000,14984985.6,18689274.04032,3.4385,0.7747,0.2253,1.1757,0.5404,0.4596,3.7037,0.7874,0.2126,,,,,,,
3,1715288100000,14989855.5,18691113.59511691,3.4405,0.7748,0.2252,1.1751,0.5402,0.4598,3.7059,0.7875,0.2125,,,,,,,
4,1715288400000,14996637.9,18716196.11131471,3.4346,0.7745,0.2255,1.1753,0.5403,0.4597,3.6882,0.7867,0.2133,,,,,,,
5,1715288700000,15014725.7,18767542.42694694,3.4543,0.7755,0.2245,1.1744,0.5401,0.4599,3.7192,0.7881,0.2119,,,,,,,
6,1715289000000,15044087.3,18839157.35469998,3.4444,0.775,0.225,1.1759,0.5404,0.4596,3.6926,0.7869,0.2131,,,,,,,
7,1715289300000,15041613.6,18800690.78092889,3.4366,0.7746,0.2254,1.1759,0.5404,0.4596,3.6926,0.7869,0.2131,,,,,,,
8,1715289600000,15042706.1,18788339.9189,3.4464,0.7751,0.2249,1.1759,0.5404,0.4596,3.686,0.7866,0.2134,,,,,,,
9,1715289900000,15041103.5,18792382.83976354,3.4385,0.7747,0.2253,1.1759,0.5404,0.4596,3.6533,0.7851,0.2149,,,,,,,
10,1715290200000,15039940.9,18780374.20183,3.4209,0.7738,0.2262,1.1767,0.5406,0.4594,3.6447,0.7847,0.2153,,,,,,,
11,1715290500000,15035703.5,18760157.16794258,3.417,0.7736,0.2264,1.1765,0.5405,0.4595,3.6707,0.7859,0.2141,,,,,,,
12,1715290800000,15039070.5,18766076.26186927,3.4307,0.7743,0.2257,1.1766,0.5406,0.4594,3.6598,0.7854,0.2146,,,,,,,
13,1715291100000,15034011.1,18800709.96683139,3.4326,0.7744,0.2256,1.1762,0.5405,0.4595,3.662,0.7855,0.2145,,,,,,,
14,1715291400000,15033364.1,18799462.3408756,3.415,0.7735,0.2265,1.1761,0.5405,0.4595,3.6685,0.7858,0.2142,,,,,,,
15,1715291700000,15027730.1,18825613.94090901,3.4189,0.7737,0.2263,1.1759,0.5404,0.4596,3.6751,0.7861,0.2139,,,,,,,
16,1715292000000,15026528.9,18811579.14619039,3.4346,0.7745,0.2255,1.1765,0.5405,0.4595,3.6882,0.7867,0.2133,,,,,,,
17,1715292300000,15022516.1,18807165.9220523,3.4346,0.7745,0.2255,1.1763,0.5405,0.4595,3.6729,0.786,0.214,,,,,,,
18,1715292600000,15034169.3,18848000.68465091,3.4405,0.7748,0.2252,1.1763,0.5405,0.4595,3.6664,0.7857,0.2143,,,,,,,
19,1715292900000,15033548.7,18876419.30728744,3.4267,0.7741,0.2259,1.1761,0.5405,0.4595,3.6838,0.7865,0.2135,,,,,,,
20,1715293200000,15042037.9,18920905.04853464,3.4228,0.7739,0.2261,1.1757,0.5404,0.4596,3.6685,0.7858,0.2142,,,,,,,
21,1715293500000,15029631.4,18873524.10766871,3.417,0.7736,0.2264,1.1756,0.5404,0.4596,3.7259,0.7884,0.2116,,,,,,,
22,1715293800000,15029460.2,18892183.26894802,3.4484,0.7752,0.2248,1.1761,0.5405,0.4595,3.6992,0.7872,0.2128,,,,,,,
