,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,14481581.3,4844088.94485,2.7161,0.7309,0.2691,1.5504,0.6079,0.3921,2.4341,0.7088,0.2912,,,,,,,
1,1715287200000,14482398.2,4849022.63364076,2.7037,0.73,0.27,1.5494,0.6077,0.3923,2.4305,0.7085,0.2915,,,,,,,
2,1715287500000,14484202.5,4847862.57675,2.7133,0.7307,0.2693,1.5498,0.6078,0.3922,2.4376,0.7091,0.2909,,,,,,,
3,1715287800000,14481675.8,4847016.89026,2.6969,0.7295,0.2705,1.5481,0.6076,0.3924,2.4341,0.7088,0.2912,,,,,,,
4,1715288100000,14486028.3,4848611.43413913,2.6982,0.7296,0.2704,1.5488,0.6077,0.3923,2.4305,0.7085,0.2915,,,,,,,
5,1715288400000,14488180.5,4851122.96970177,2.7147,0.7308,0.2692,1.5483,0.6076,0.3924,2.4423,0.7095,0.2905,,,,,,,
6,1715288700000,14482638.0,4860706.413474,2.7272,0.7317,0.2683,1.5459,0.6072,0.3928,2.4734,0.7121,0.2879,,,,,,,
7,1715289000000,14518329.5,4886869.7097,2.7175,0.731,0.269,1.5507,0.6079,0.3921,2.4507,0.7102,0.2898,,,,,,,
8,1715289300000,14521633.7,4880721.08657,2.686,0.7287,0.2713,1.5512,0.608,0.392,2.4247,0.708,0.292,,,,,,,
9,1715289600000,14513361.1,4872135.32127,2.663,0.727,0.273,1.5451,0.6071,0.3929,2.4095,0.7067,0.2933,,,,,,,
10,1715289900000,14517079.2,4871388.26007475,2.667,0.7273,0.2727,1.5455,0.6072,0.3928,2.406,0.7064,0.2936,,,,,,,
11,1715290200000,14520757.5,4874618.29275,2.667,0.7273,0.2727,1.5449,0.6071,0.3929,2.4095,0.7067,0.2933,,,,,,,
12,1715290500000,14527090.1,4878408.37001186,2.6563,0.7265,0.2735,1.5442,0.6069,0.3931,2.4072,0.7065,0.2935,,,,,,,
13,1715290800000,14532217.5,4883059.19402393,2.6443,0.7256,0.2744,1.5434,0.6068,0.3932,2.4025,0.7061,0.2939,,,,,,,
14,1715291100000,14522321.4,4893639.06773825,2.6417,0.7254,0.2746,1.5389,0.6061,0.3939,2.4002,0.7059,0.2941,,,,,,,
15,1715291400000,14775935.2,4981545.49498632,2.6179,0.7236,0.2764,1.526,0.6041,0.3959,2.3602,0.7024,0.2976,,,,,,,
16,1715291700000,14751169.7,4977095.25329207,2.6258,0.7242,0.2758,1.5284,0.6045,0.3955,2.3636,0.7027,0.2973,,,,,,,
17,1715292000000,14759567.9,4980076.87324393,2.6206,0.7238,0.2762,1.5299,0.6047,0.3953,2.3557,0.702,0.298,,,,,,,
18,1715292300000,14768967.2,4983049.53328,2.6284,0.7244,0.2756,1.5274,0.6043,0.3957,2.3818,0.7043,0.2957,,,,,,,
19,1715292600000,14792058.7,4995800.97434446,2.6219,0.7239,0.2761,1.5282,0.6045,0.3955,2.4002,0.7059,0.2941,,,,,,,
20,1715292900000,14798348.3,5002687.89495579,2.6193,0.7237,0.2763,1.5263,0.6042,0.3958,2.4048,0.7063,0.2937,,,,,,,
21,1715293200000,14807809.9,5006520.52719,2.6271,0.7243,0.2757,1.5257,0.6041,0.3959,2.413,0.707,0.293,,,,,,,
22,1715293500000,14808878.2,5002439.05596,2.6271,0.7243,0.2757,1.526,0.6041,0.3959,2.4153,0.7072,0.2928,,,,,,,
23,1715293800000,14807722.4,5005136.48107207,2.6324,0.7247,0.2753,1.5258,0.6041,0.3959,2.4223,0.7078,0.2922,,,,,,,
24,1715294100000,14806561.8,5004617.8884,2.6324,0.7247,0.2753,1.5239,0.6038,0.3962,2.4165,0.7073,0.2927,,,,,,,
25,1715294400000,14818970.8,5011775.92456,2.6179,0.7236,0.2764,1.5141,0.6022,0.3978,2.42,0.7076,0.2924,,,,,,,
26,1715294700000,14809781.3,5013680.85043442,2.6403,0.7253,0.2747,1.5153,0.6024,0.3976,2.4364,0.709,0.291,,,,,,,
27,1715295000000,14805619.2,5026140.83515622,2.639,0.7252,0.2748,1.5201,0.6032,0.3968,2.4282,0.7083,0.2917,,,,,,,
28,1715295300000,14741580.7,5007714.96379,2.6996,0.7297,0.2703,1.5212,0.6034,0.3966,2.4783,0.7125,0.2875,,,,,,,
29,1715295600000,14737716.2,5000980.62948151,2.7106,0.7305,0.2695,1.5219,0.6035,0.3965,2.4855,0.7131,0.2869,,,,,,,
30,1715295900000,14734007.7,4994828.6103,2.6955,0.7294,0.2706,1.5266,0.6042,0.3958,2.471,0.7119,0.2881,,,,,,,
31,1715296200000,14736784.7,4994296.33483,2.6062,0.7227,0.2773,1.5258,0.6041,0.3959,2.4188,0.7075,0.2925,,,,,,,
32,1715296500000,14791011.0,5002983.74077368,2.5958,0.7219,0.2781,1.5279,0.6044,0.3956,2.4153,0.7072,0.2928,,,,,,,
33,1715296800000,14801157.0,5005983.97158804,2.6166,0.7235,0.2765,1.5285,0.6045,0.3955,2.427,0.7082,0.2918,,,,,,,
34,1715297100000,14807221.3,5006321.52153,2.6245,0.7241,0.2759,1.5292,0.6046,0.3954,2.4341,0.7088,0.2912,,,,,,,
35,1715297400000,14813553.4,5014387.8259,2.6166,0.7235,0.2765,1.5277,0.6044,0.3956,2.4352,0.7089,0.2911,,,,,,,
36,1715297700000,14815879.1,5007845.51180044,2.6219,0.7239,0.2761,1.5284,0.6045,0.3955,2.4352,0.7089,0.2911,,,,,,,
37,1715298000000,14804822.5,5001069.0405,2.6036,0.7225,0.2775,1.5261,0.6041,0.3959,2.4165,0.7073,0.2927,,,,,,,
38,1715298300000,14805313.6,5002325.34542664,2.6088,0.7229,0.2771,1.525,0.604,0.396,2.4211,0.7077,0.2923,,,,,,,
