,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,136028143.0,2386721.23116797,2.5386,0.7174,0.2826,1.8502,0.6491,0.3509,2.2563,0.6929,0.3071,,,,,,,
1,1715287500000,136284387.0,2390986.9139667,2.5411,0.7176,0.2824,1.8511,0.6493,0.3507,2.252,0.6925,0.3075,,,,,,,
2,1715287800000,136262714.0,2391178.9840862,2.5348,0.7171,0.2829,1.852,0.6494,0.3506,2.2237,0.6898,0.3102,,,,,,,
3,1715288100000,136281972.0,2387508.87645108,2.5386,0.7174,0.2826,1.8509,0.6492,0.3508,2.2383,0.6912,0.3088,,,,,,,
4,1715288400000,136315989.0,2393193.49240158,2.5398,0.7175,0.2825,1.8522,0.6494,0.3506,2.2394,0.6913,0.3087,,,,,,,
5,1715288700000,136786041.0,2405320.97726655,2.5499,0.7183,0.2817,1.8527,0.6495,0.3505,2.2446,0.6918,0.3082,,,,,,,
6,1715289000000,136790462.0,2408196.08351,2.5638,0.7194,0.2806,1.8431,0.6483,0.3517,2.2927,0.6963,0.3037,,,,,,,
7,1715289300000,136638475.0,2402861.3676515,2.5676,0.7197,0.2803,1.8443,0.6484,0.3516,2.2895,0.696,0.304,,,,,,,
8,1715289600000,136603460.0,2396297.89532,2.5638,0.7194,0.2806,1.8532,0.6495,0.3505,2.2852,0.6956,0.3044,,,,,,,
9,1715289900000,136670971.0,2397618.844253,2.5651,0.7195,0.2805,1.8537,0.6496,0.3504,2.2862,0.6957,0.3043,,,,,,,
10,1715290200000,136630434.0,2397398.20692006,2.5537,0.7186,0.2814,1.8569,0.65,0.35,2.2648,0.6937,0.3063,,,,,,,
11,1715290500000,136669897.0,2397873.342865,2.5361,0.7172,0.2828,1.8577,0.6501,0.3499,2.2499,0.6923,0.3077,,,,,,,
12,1715290800000,136717223.0,2399175.35195435,2.5311,0.7168,0.2832,1.8575,0.65,0.35,2.2425,0.6916,0.3084,,,,,,,
13,1715291100000,136657829.0,2397251.636318,2.5373,0.7173,0.2827,1.8569,0.65,0.35,2.2531,0.6926,0.3074,,,,,,,
14,1715291400000,136659980.0,2397446.528137,2.5575,0.7189,0.2811,1.8528,0.6495,0.3505,2.2637,0.6936,0.3064,,,,,,,
15,1715291700000,136637624.0,2405699.39594608,2.5638,0.7194,0.2806,1.8521,0.6494,0.3506,2.2605,0.6933,0.3067,,,,,,,
16,1715292000000,137137587.0,2417324.246049,2.5638,0.7194,0.2806,1.8537,0.6496,0.3504,2.2819,0.6953,0.3047,,,,,,,
17,1715292300000,137126575.0,2418364.2767,2.5373,0.7173,0.2827,1.8537,0.6496,0.3504,2.2383,0.6912,0.3088,,,,,,,
18,1715292600000,136084220.0,2390821.4750718,2.5373,0.7173,0.2827,1.8499,0.6491,0.3509,2.2499,0.6923,0.3077,,,,,,,
19,1715292900000,136135614.0,2402426.0209422,2.6088,0.7229,0.2771,1.8541,0.6496,0.3504,2.3223,0.699,0.301,,,,,,,
20,1715293200000,135779117.0,2393986.78580316,2.5997,0.7222,0.2778,1.8598,0.6503,0.3497,2.3047,0.6974,0.3026,,,,,,,
21,1715293500000,135759585.0,2391540.84936,2.614,0.7233,0.2767,1.8616,0.6505,0.3495,2.3156,0.6984,0.3016,,,,,,,
22,1715293800000,135723320.0,2396119.2095408,2.6101,0.723,0.277,1.8624,0.6506,0.3494,2.2992,0.6969,0.3031,,,,,,,
23,1715294100000,135679814.0,2399426.95708672,2.6049,0.7226,0.2774,1.8615,0.6505,0.3495,2.3025,0.6972,0.3028,,,,,,,
24,1715294400000,136063469.0,2414506.12533136,2.5537,0.7186,0.2814,1.8615,0.6505,0.3495,2.2446,0.6918,0.3082,,,,,,,
