,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,42583052.0,4782982.90694656,2.1556,0.6831,0.3169,1.978,0.6642,0.3358,2.0057,0.6673,0.3327,,,,,,,
1,1715287500000,42575684.0,4779972.04268,2.1636,0.6839,0.3161,1.978,0.6642,0.3358,2.0057,0.6673,0.3327,,,,,,,
2,1715287800000,42486421.0,4768669.09521264,2.1586,0.6834,0.3166,1.9777,0.6642,0.3358,2.0166,0.6685,0.3315,,,,,,,
3,1715288100000,42379242.0,4747746.48126,2.1506,0.6826,0.3174,1.985,0.665,0.335,2.003,0.667,0.333,,,,,,,
4,1715288400000,42351737.0,4747629.7177,2.2062,0.6881,0.3119,1.9907,0.6656,0.3344,2.0684,0.6741,0.3259,,,,,,,
5,1715288700000,42396816.0,4777889.25261648,2.2175,0.6892,0.3108,1.9911,0.6657,0.3343,2.0637,0.6736,0.3264,,,,,,,
6,1715289000000,42358143.0,4782276.702843,2.1566,0.6832,0.3168,1.9801,0.6644,0.3356,2.0084,0.6676,0.3324,,,,,,,
7,1715289300000,42306334.0,4759462.575,2.1456,0.6821,0.3179,1.9854,0.665,0.335,1.9815,0.6646,0.3354,,,,,,,
8,1715289600000,42189881.0,4738345.53511,2.1536,0.6829,0.3171,1.9866,0.6652,0.3348,1.9789,0.6643,0.3357,,,,,,,
9,1715289900000,42202146.0,4733392.69536,2.1616,0.6837,0.3163,1.9909,0.6656,0.3344,1.9842,0.6649,0.3351,,,,,,,
10,1715290200000,42193491.0,4731156.14583,2.1837,0.6859,0.3141,1.988,0.6653,0.3347,1.9842,0.6649,0.3351,,,,,,,
11,1715290500000,42173169.0,4725503.58645,2.1837,0.6859,0.3141,1.989,0.6654,0.3346,1.9718,0.6635,0.3365,,,,,,,
12,1715290800000,42178527.0,4728545.24349276,2.1817,0.6857,0.3143,1.9873,0.6652,0.3348,1.9762,0.664,0.336,,,,,,,
13,1715291100000,42133875.0,4731634.1625,2.1746,0.685,0.315,1.9881,0.6653,0.3347,1.9665,0.6629,0.3371,,,,,,,
14,1715291400000,42146651.0,4741076.77099,2.1437,0.6819,0.3181,1.9862,0.6651,0.3349,1.9446,0.6604,0.3396,,,,,,,
15,1715291700000,42162326.0,4753380.63324,2.1437,0.6819,0.3181,1.9872,0.6652,0.3348,1.9412,0.66,0.34,,,,,,,
16,1715292000000,42146337.0,4753356.6088014,2.1407,0.6816,0.3184,1.9835,0.6648,0.3352,1.9464,0.6606,0.3394,,,,,,,
17,1715292300000,42109643.0,4743230.18752,2.1348,0.681,0.319,1.9882,0.6654,0.3346,1.9326,0.659,0.341,,,,,,,
18,1715292600000,42150612.0,4752061.68290448,2.124,0.6799,0.3201,1.9845,0.6649,0.3351,1.9308,0.6588,0.3412,,,,,,,
19,1715292900000,42138098.0,4749806.40656,2.1566,0.6832,0.3168,1.9876,0.6653,0.3347,1.9481,0.6608,0.3392,,,,,,,
