,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,279190102.0,35200288.06016,1.0263,0.5065,0.4935,1.4874,0.598,0.402,1.1668,0.5385,0.4615,,,,,,,
1,1715287200000,279103603.0,35206128.48242,1.0259,0.5064,0.4936,1.4867,0.5979,0.4021,1.1683,0.5388,0.4612,,,,,,,
2,1715287500000,279137870.0,35216284.903283,1.0268,0.5066,0.4934,1.4861,0.5978,0.4022,1.1683,0.5388,0.4612,,,,,,,
3,1715287800000,279125447.0,35189345.10329,1.0263,0.5065,0.4935,1.4861,0.5978,0.4022,1.172,0.5396,0.4604,,,,,,,
4,1715288100000,278928940.0,35163673.3146132,1.0263,0.5065,0.4935,1.4874,0.598,0.402,1.1734,0.5399,0.4601,,,,,,,
5,1715288400000,278736207.0,35120973.92151732,1.0272,0.5067,0.4933,1.4866,0.5978,0.4022,1.1739,0.54,0.46,,,,,,,
6,1715288700000,278211078.0,35065724.27112,1.0325,0.508,0.492,1.4891,0.5983,0.4017,1.1786,0.541,0.459,,,,,,,
7,1715289000000,278045604.0,35063952.97841856,1.0296,0.5073,0.4927,1.4895,0.5983,0.4017,1.1763,0.5405,0.4595,,,,,,,
8,1715289300000,277874488.0,35017742.97776,1.03,0.5074,0.4926,1.4922,0.5987,0.4013,1.1763,0.5405,0.4595,,,,,,,
9,1715289600000,277767760.0,35007620.7729648,1.0309,0.5076,0.4924,1.492,0.5987,0.4013,1.1744,0.5401,0.4599,,,,,,,
10,1715289900000,277762795.0,34998112.17,1.0305,0.5075,0.4925,1.4913,0.5986,0.4014,1.1739,0.54,0.46,,,,,,,
11,1715290200000,277718314.0,34991854.9259621,1.0317,0.5078,0.4922,1.4934,0.5989,0.4011,1.1734,0.5399,0.4601,,,,,,,
12,1715290500000,277693700.0,35000700.002779,1.0313,0.5077,0.4923,1.493,0.5989,0.4011,1.1749,0.5402,0.4598,,,,,,,
13,1715290800000,277619328.0,34996692.48768,1.0296,0.5073,0.4927,1.4927,0.5988,0.4012,1.1744,0.5401,0.4599,,,,,,,
14,1715291100000,277725751.0,35005420.16038312,1.0317,0.5078,0.4922,1.4945,0.5991,0.4009,1.1777,0.5408,0.4592,,,,,,,
15,1715291400000,277650107.0,35001449.86275812,1.0296,0.5073,0.4927,1.4948,0.5992,0.4008,1.1749,0.5402,0.4598,,,,,,,
16,1715291700000,277526665.0,34989429.6144068,1.0317,0.5078,0.4922,1.4948,0.5992,0.4008,1.1758,0.5404,0.4596,,,,,,,
17,1715292000000,277503517.0,34975388.86804928,1.0296,0.5073,0.4927,1.4951,0.5992,0.4008,1.173,0.5398,0.4602,,,,,,,
18,1715292300000,277256990.0,34928835.6002,1.0296,0.5073,0.4927,1.495,0.5992,0.4008,1.1801,0.5413,0.4587,,,,,,,
19,1715292600000,277210338.0,34928502.588,1.0288,0.5071,0.4929,1.4945,0.5991,0.4009,1.1791,0.5411,0.4589,,,,,,,
20,1715292900000,277497015.0,35009880.87817635,1.0288,0.5071,0.4929,1.4955,0.5993,0.4007,1.1772,0.5407,0.4593,,,,,,,
21,1715293200000,277473043.0,35005999.10488,1.0309,0.5076,0.4924,1.4961,0.5994,0.4006,1.1796,0.5412,0.4588,,,,,,,
22,1715293500000,277374053.0,34991391.38871508,1.03,0.5074,0.4926,1.4993,0.5999,0.4001,1.181,0.5415,0.4585,,,,,,,
23,1715293800000,277444191.0,34952419.18218,1.0309,0.5076,0.4924,1.5011,0.6002,0.3998,1.1829,0.5419,0.4581,,,,,,,
24,1715294100000,277398944.0,34966136.8912,1.028,0.5069,0.4931,1.5001,0.6,0.4,1.181,0.5415,0.4585,,,,,,,
25,1715294400000,277611901.0,35012773.8495913,1.0292,0.5072,0.4928,1.4997,0.5999,0.4001,1.1815,0.5416,0.4584,,,,,,,
26,1715294700000,277622707.0,35060971.66703,1.0305,0.5075,0.4925,1.4995,0.5999,0.4001,1.182,0.5417,0.4583,,,,,,,
27,1715295000000,277701812.0,35044216.37596628,1.0272,0.5067,0.4933,1.5046,0.6007,0.3993,1.1739,0.54,0.46,,,,,,,
28,1715295300000,277806797.0,35075886.18922,1.0247,0.5061,0.4939,1.5059,0.6009,0.3991,1.1631,0.5377,0.4623,,,,,,,
29,1715295600000,277823500.0,35063826.1115,1.028,0.5069,0.4931,1.5064,0.601,0.399,1.1683,0.5388,0.4612,,,,,,,
30,1715295900000,277711556.0,35041946.84167604,1.0305,0.5075,0.4925,1.5063,0.601,0.399,1.1725,0.5397,0.4603,,,,,,,
31,1715296200000,277635153.0,35013663.02733282,1.0325,0.508,0.492,1.5064,0.601,0.399,1.1744,0.5401,0.4599,,,,,,,
32,1715296500000,277397074.0,34999352.49085366,1.0358,0.5088,0.4912,1.5076,0.6012,0.3988,1.1716,0.5395,0.4605,,,,,,,
33,1715296800000,277429826.0,34997869.6503391,1.0358,0.5088,0.4912,1.5061,0.601,0.399,1.1711,0.5394,0.4606,,,,,,,
34,1715297100000,277392631.0,34959793.28493,1.0362,0.5089,0.4911,1.5058,0.6009,0.3991,1.1739,0.54,0.46,,,,,,,
35,1715297400000,277312995.0,34960849.27965,1.0375,0.5092,0.4908,1.5052,0.6008,0.3992,1.1734,0.5399,0.4601,,,,,,,
36,1715297700000,277057140.0,34928593.6398,1.0371,0.5091,0.4909,1.505,0.6008,0.3992,1.1744,0.5401,0.4599,,,,,,,
37,1715298000000,277034928.0,34928563.72224,1.0375,0.5092,0.4908,1.5042,0.6007,0.3993,1.1734,0.5399,0.4601,,,,,,,
