,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,95493404.0,3499833.2566,2.1546,0.683,0.317,1.2877,0.5629,0.4371,1.9603,0.6622,0.3378,,,,,,,
1,1715287500000,95478765.0,3499296.73725,2.1427,0.6818,0.3182,1.2862,0.5626,0.4374,1.9603,0.6622,0.3378,,,,,,,
2,1715287800000,95833689.0,3511392.36513072,2.1417,0.6817,0.3183,1.2863,0.5626,0.4374,1.9533,0.6614,0.3386,,,,,,,
3,1715288100000,95844568.0,3512703.4172,2.1666,0.6842,0.3158,1.2852,0.5624,0.4376,1.9824,0.6647,0.3353,,,,,,,
4,1715288400000,96490086.0,3536633.75394252,2.1736,0.6849,0.3151,1.2867,0.5627,0.4373,1.978,0.6642,0.3358,,,,,,,
5,1715288700000,96874738.0,3559177.87412,2.1776,0.6853,0.3147,1.2789,0.5612,0.4388,2.0084,0.6676,0.3324,,,,,,,
6,1715289000000,96879257.0,3565156.6576,2.1456,0.6821,0.3179,1.2752,0.5605,0.4395,2.0012,0.6668,0.3332,,,,,,,
7,1715289300000,96887454.0,3558931.96829856,2.1486,0.6824,0.3176,1.2762,0.5607,0.4393,2.0003,0.6667,0.3333,,,,,,,
8,1715289600000,96787316.0,3551188.56792224,2.1456,0.6821,0.3179,1.2784,0.5611,0.4389,1.9833,0.6648,0.3352,,,,,,,
9,1715289900000,96726619.0,3544229.68994468,2.1566,0.6832,0.3168,1.2781,0.561,0.439,1.9949,0.6661,0.3339,,,,,,,
10,1715290200000,96720029.0,3544804.53805464,2.1456,0.6821,0.3179,1.2754,0.5605,0.4395,2.0084,0.6676,0.3324,,,,,,,
11,1715290500000,96680518.0,3539825.68106552,2.1417,0.6817,0.3183,1.2774,0.5609,0.4391,2.0039,0.6671,0.3329,,,,,,,
12,1715290800000,96571556.0,3533553.23404,2.1496,0.6825,0.3175,1.2774,0.5609,0.4391,2.0239,0.6693,0.3307,,,,,,,
13,1715291100000,96485607.0,3531373.2162,2.1496,0.6825,0.3175,1.2763,0.5607,0.4393,2.0157,0.6684,0.3316,,,,,,,
14,1715291400000,96461888.0,3532841.40772736,2.1576,0.6833,0.3167,1.276,0.5606,0.4394,2.0266,0.6696,0.3304,,,,,,,
