,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3476549.0,3850278.0175,2.7922,0.7363,0.2637,2.4515,0.7103,0.2897,2.2134,0.6888,0.3112,,,,,,,
1,1715287200000,3478858.0,3858473.55931492,2.7908,0.7362,0.2638,2.4474,0.7099,0.2901,2.1959,0.6871,0.3129,,,,,,,
2,1715287500000,3481522.0,3863816.68550394,2.7693,0.7347,0.2653,2.4517,0.7103,0.2897,2.1939,0.6869,0.3131,,,,,,,
3,1715287800000,3484097.0,3868155.66693527,2.7693,0.7347,0.2653,2.451,0.7102,0.2898,2.2321,0.6906,0.3094,,,,,,,
4,1715288100000,3483523.0,3866619.99323723,2.7764,0.7352,0.2648,2.4508,0.7102,0.2898,2.2394,0.6913,0.3087,,,,,,,
5,1715288400000,3482893.0,3863184.13092297,2.7481,0.7332,0.2668,2.4524,0.7103,0.2897,2.2499,0.6923,0.3077,,,,,,,
6,1715288700000,3480502.0,3875618.81971588,2.7147,0.7308,0.2692,2.4496,0.7101,0.2899,2.2103,0.6885,0.3115,,,,,,,
7,1715289000000,3478476.0,3875288.61090732,2.7425,0.7328,0.2672,2.451,0.7102,0.2898,2.1736,0.6849,0.3151,,,,,,,
8,1715289300000,3480000.0,3871500.0,2.6778,0.7281,0.2719,2.4489,0.7101,0.2899,2.1827,0.6858,0.3142,,,,,,,
9,1715289600000,3481532.0,3873204.35,2.6711,0.7276,0.2724,2.4481,0.71,0.29,2.1397,0.6815,0.3185,,,,,,,
10,1715289900000,3480868.0,3872042.5504946,2.6724,0.7277,0.2723,2.4489,0.7101,0.2899,2.1387,0.6814,0.3186,,,,,,,
11,1715290200000,3479880.0,3872523.5253012,2.6996,0.7297,0.2703,2.4482,0.71,0.29,2.1289,0.6804,0.3196,,,,,,,
12,1715290500000,3480860.0,3872804.836,2.6982,0.7296,0.2704,2.4485,0.71,0.29,2.1348,0.681,0.319,,,,,,,
13,1715290800000,3479728.0,3870844.48598624,2.7147,0.7308,0.2692,2.45,0.7101,0.2899,2.1407,0.6816,0.3184,,,,,,,
14,1715291100000,3479310.0,3869971.6934547,2.7189,0.7311,0.2689,2.4498,0.7101,0.2899,2.1368,0.6812,0.3188,,,,,,,
15,1715291400000,3479263.0,3869288.3823,2.7286,0.7318,0.2682,2.4504,0.7102,0.2898,2.1377,0.6813,0.3187,,,,,,,
16,1715291700000,3478487.0,3869091.48817563,2.7313,0.732,0.268,2.4508,0.7102,0.2898,2.1656,0.6841,0.3159,,,,,,,
17,1715292000000,3478384.0,3872360.2071336,2.8037,0.7371,0.2629,2.4575,0.7108,0.2892,2.1606,0.6836,0.3164,,,,,,,
18,1715292300000,3476064.0,3870944.8704,2.8344,0.7392,0.2608,2.4568,0.7107,0.2893,2.198,0.6873,0.3127,,,,,,,
19,1715292600000,3475689.0,3870874.8393,2.83,0.7389,0.2611,2.4586,0.7109,0.2891,2.2175,0.6892,0.3108,,,,,,,
20,1715292900000,3471077.0,3873027.7166,2.7922,0.7363,0.2637,2.4559,0.7106,0.2894,2.2216,0.6896,0.3104,,,,,,,
21,1715293200000,3472468.0,3873885.3008,2.7922,0.7363,0.2637,2.4581,0.7108,0.2892,2.2062,0.6881,0.3119,,,,,,,
22,1715293500000,3469897.0,3873755.29301961,2.8023,0.737,0.263,2.458,0.7108,0.2892,2.1766,0.6852,0.3148,,,,,,,
23,1715293800000,3469992.0,3877198.58009304,2.7908,0.7362,0.2638,2.4579,0.7108,0.2892,2.198,0.6873,0.3127,,,,,,,
24,1715294100000,3469583.0,3876565.0859,2.7679,0.7346,0.2654,2.4575,0.7108,0.2892,2.2041,0.6879,0.3121,,,,,,,
25,1715294400000,3467592.0,3882541.39668,2.775,0.7351,0.2649,2.4576,0.7108,0.2892,2.2258,0.69,0.31,,,,,,,
26,1715294700000,3467468.0,3887560.65959276,2.7821,0.7356,0.2644,2.4594,0.7109,0.2891,2.2362,0.691,0.309,,,,,,,
27,1715295000000,3468974.0,3894223.76283814,2.7965,0.7366,0.2634,2.4531,0.7104,0.2896,2.2185,0.6893,0.3107,,,,,,,
28,1715295300000,3470965.0,3898934.9845,2.7679,0.7346,0.2654,2.4577,0.7108,0.2892,2.2321,0.6906,0.3094,,,,,,,
29,1715295600000,3466444.0,3897847.84348604,2.8241,0.7385,0.2615,2.465,0.7114,0.2886,2.1546,0.683,0.317,,,,,,,
30,1715295900000,3459824.0,3881230.5632,2.8417,0.7397,0.2603,2.4605,0.711,0.289,2.1726,0.6848,0.3152,,,,,,,
31,1715296200000,3460479.0,3874352.2884,2.7908,0.7362,0.2638,2.4571,0.7107,0.2893,2.1888,0.6864,0.3136,,,,,,,
32,1715296500000,3467035.0,3880652.2755,2.7879,0.736,0.264,2.4625,0.7112,0.2888,2.1606,0.6836,0.3164,,,,,,,
33,1715296800000,3461487.0,3873403.953,2.7979,0.7367,0.2633,2.4603,0.711,0.289,2.0845,0.6758,0.3242,,,,,,,
34,1715297100000,3463993.0,3875038.3765639,2.8373,0.7394,0.2606,2.4604,0.711,0.289,2.0883,0.6762,0.3238,,,,,,,
35,1715297400000,3463660.0,3869254.586,2.8476,0.7401,0.2599,2.4599,0.711,0.289,2.1496,0.6825,0.3175,,,,,,,
36,1715297700000,3464693.0,3867626.71364337,2.864,0.7412,0.2588,2.4578,0.7108,0.2892,2.1626,0.6838,0.3162,,,,,,,
37,1715298000000,3464208.0,3861989.07852384,2.8775,0.7421,0.2579,2.4585,0.7109,0.2891,2.1827,0.6858,0.3142,,,,,,,
38,1715298300000,3463145.0,3857873.574471,2.8595,0.7409,0.2591,2.4565,0.7107,0.2893,2.1616,0.6837,0.3163,,,,,,,
39,1715298600000,3461106.0,3862248.1854,2.882,0.7424,0.2576,2.456,0.7106,0.2894,2.1918,0.6867,0.3133,,,,,,,
40,1715298900000,3461055.0,3859169.66965335,2.8745,0.7419,0.2581,2.4552,0.7106,0.2894,2.198,0.6873,0.3127,,,,,,,
41,1715299200000,3461503.0,3861998.8971,2.8685,0.7415,0.2585,2.4535,0.7104,0.2896,2.1959,0.6871,0.3129,,,,,,,
42,1715299500000,3464027.0,3858926.078,2.775,0.7351,0.2649,2.4511,0.7102,0.2898,2.1676,0.6843,0.3157,,,,,,,
43,1715299800000,3470448.0,3882410.86147008,2.827,0.7387,0.2613,2.4345,0.7088,0.2912,2.1172,0.6792,0.3208,,,,,,,
44,1715300100000,3479011.0,3882576.276,2.8168,0.738,0.262,2.4306,0.7085,0.2915,2.1959,0.6871,0.3129,,,,,,,
45,1715300400000,3481653.0,3892488.054,2.8168,0.738,0.262,2.4317,0.7086,0.2914,2.1807,0.6856,0.3144,,,,,,,
46,1715300700000,3481243.0,3885763.4366,2.8124,0.7377,0.2623,2.4344,0.7088,0.2912,2.1786,0.6854,0.3146,,,,,,,
47,1715301000000,3480162.0,3881424.6786,2.8124,0.7377,0.2623,2.435,0.7089,0.2911,2.1696,0.6845,0.3155,,,,,,,
48,1715301300000,3479658.0,3881019.25639974,2.7951,0.7365,0.2635,2.4348,0.7089,0.2911,2.1586,0.6834,0.3166,,,,,,,
49,1715301600000,3479588.0,3888439.59,2.7807,0.7355,0.2645,2.4319,0.7086,0.2914,2.1586,0.6834,0.3166,,,,,,,
50,1715301900000,3481063.0,3891828.434,2.7821,0.7356,0.2644,2.4329,0.7087,0.2913,2.1377,0.6813,0.3187,,,,,,,
51,1715302200000,3480542.0,3883134.34403648,2.7893,0.7361,0.2639,2.4309,0.7085,0.2915,2.1447,0.682,0.318,,,,,,,
52,1715302500000,3481418.0,3889381.91066268,2.7979,0.7367,0.2633,2.4313,0.7086,0.2914,2.1646,0.684,0.316,,,,,,,
53,1715302800000,3482389.0,3891890.26140745,2.8095,0.7375,0.2625,2.4309,0.7085,0.2915,2.1476,0.6823,0.3177,,,,,,,
54,1715303100000,3483072.0,3897557.568,2.861,0.741,0.259,2.4339,0.7088,0.2912,2.1696,0.6845,0.3155,,,,,,,
55,1715303400000,3479592.0,3886356.3048,2.8491,0.7402,0.2598,2.439,0.7092,0.2908,2.2,0.6875,0.3125,,,,,,,
56,1715303700000,3477673.0,3882821.9045,2.864,0.7412,0.2588,2.4354,0.7089,0.2911,2.1918,0.6867,0.3133,,,,,,,
57,1715304000000,3476686.0,3887305.97992992,2.8655,0.7413,0.2587,2.4353,0.7089,0.2911,2.2051,0.688,0.312,,,,,,,
58,1715304300000,3476733.0,3890692.23115014,2.8447,0.7399,0.2601,2.4348,0.7089,0.2911,2.2062,0.6881,0.3119,,,,,,,
59,1715304600000,3477309.0,3894715.26202935,2.8212,0.7383,0.2617,2.4322,0.7086,0.2914,2.2,0.6875,0.3125,,,,,,,
60,1715304900000,3477647.0,3899485.5811,2.7965,0.7366,0.2634,2.4315,0.7086,0.2914,2.1676,0.6843,0.3157,,,,,,,
61,1715305200000,3476695.0,3903135.31804295,2.7679,0.7346,0.2654,2.4342,0.7088,0.2912,2.1736,0.6849,0.3151,,,,,,,
62,1715305500000,3483150.0,3905799.7749375,2.8023,0.737,0.263,2.4344,0.7088,0.2912,2.1878,0.6863,0.3137,,,,,,,
63,1715305800000,3480202.0,3903054.65187066,2.8095,0.7375,0.2625,2.4455,0.7098,0.2902,2.2062,0.6881,0.3119,,,,,,,
64,1715306100000,3480344.0,3905990.0712,2.8037,0.7371,0.2629,2.4468,0.7099,0.2901,2.198,0.6873,0.3127,,,,,,,
65,1715306400000,3480270.0,3911127.426,2.8183,0.7381,0.2619,2.4432,0.7096,0.2904,2.1576,0.6833,0.3167,,,,,,,
66,1715306700000,3485835.0,3909712.536,2.8124,0.7377,0.2623,2.4394,0.7092,0.2908,2.1397,0.6815,0.3185,,,,,,,
67,1715307000000,3482076.0,3903407.196,2.8521,0.7404,0.2596,2.4399,0.7093,0.2907,2.1676,0.6843,0.3157,,,,,,,
68,1715307300000,3479224.0,3894359.788844,2.8565,0.7407,0.2593,2.439,0.7092,0.2908,2.2331,0.6907,0.3093,,,,,,,
69,1715307600000,3478947.0,3897464.3241,2.8491,0.7402,0.2598,2.4367,0.709,0.291,2.2134,0.6888,0.3112,,,,,,,
