timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,2495877.80000000,9322120.23050493,3.5393,0.7797,0.2203,2.0026,0.6670,0.3330,3.5290,0.7792,0.2208,-0.0015,3.735,-0.00577152
1715287200000,2495357.90000000,9328215.62393657,3.5579,0.7806,0.2194,2.0052,0.6672,0.3328,3.5269,0.7791,0.2209,-0.0019,3.738,-0.00721936
1715287500000,2495375.90000000,9345973.13086257,3.5393,0.7797,0.2203,2.0050,0.6672,0.3328,3.5106,0.7783,0.2217,-0.0005,3.747,-0.00171019
1715287800000,2497057.20000000,9353976.27120000,3.5830,0.7818,0.2182,2.0110,0.6679,0.3321,3.5413,0.7798,0.2202,-0.0017,3.746,-0.00648353
1715288100000,2493783.30000000,9356674.94160000,3.5537,0.7804,0.2196,2.0151,0.6683,0.3317,3.5188,0.7787,0.2213,-0.0012,3.752,-0.00465940
1715288400000,2493257.90000000,9366758.51781392,3.5331,0.7794,0.2206,2.0169,0.6685,0.3315,3.4944,0.7775,0.2225,-0.0010,3.757,-0.00383588
1715288700000,2500091.00000000,9394140.18425630,3.5872,0.7820,0.2180,2.0035,0.6671,0.3329,3.5914,0.7822,0.2178,-0.0038,3.756,-0.01435550
1715289000000,2499654.10000000,9425501.15719794,3.5517,0.7803,0.2197,2.0041,0.6671,0.3329,3.5331,0.7794,0.2206,0.0025,3.772,0.00958435
1715289300000,2496357.40000000,9387995.73022785,3.5641,0.7809,0.2191,2.0045,0.6672,0.3328,3.5228,0.7789,0.2211,-0.0018,3.759,-0.00674734
1715289600000,2491762.90000000,9388706.15496233,3.4964,0.7776,0.2224,2.0044,0.6672,0.3328,3.4843,0.7770,0.2230,0.0017,3.769,0.00654321
1715289900000,2489331.80000000,9369061.80120236,3.5167,0.7786,0.2214,2.0048,0.6672,0.3328,3.4964,0.7776,0.2224,-0.0003,3.765,-0.00098029
1715290200000,2498551.90000000,9411322.20122085,3.4563,0.7756,0.2244,2.0056,0.6673,0.3327,3.4543,0.7755,0.2245,0.0009,3.767,0.00329142
1715290500000,2495564.60000000,9395175.15582172,3.4623,0.7759,0.2241,2.0070,0.6674,0.3326,3.4603,0.7758,0.2242,0.0003,3.766,0.00126800
1715290800000,2493650.00000000,9388197.75457000,3.4723,0.7764,0.2236,2.0080,0.6675,0.3325,3.4703,0.7763,0.2237,-0.0003,3.764,-0.00113656
