,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4330439.0,32244448.794,3.1946,0.7616,0.2384,1.5671,0.6105,0.3895,2.861,0.741,0.259,,,,,,,
1,1715287200000,4333754.0,32274670.821612,3.1982,0.7618,0.2382,1.5676,0.6105,0.3895,2.8476,0.7401,0.2599,,,,,,,
2,1715287500000,4334706.0,32289447.84123546,3.1894,0.7613,0.2387,1.5679,0.6106,0.3894,2.8388,0.7395,0.2605,,,,,,,
3,1715287800000,4335228.0,32311589.6802132,3.1946,0.7616,0.2384,1.568,0.6106,0.3894,2.8417,0.7397,0.2603,,,,,,,
4,1715288100000,4337085.0,32327091.1441497,3.1911,0.7614,0.2386,1.5689,0.6107,0.3893,2.8344,0.7392,0.2608,,,,,,,
5,1715288400000,4337813.0,32308031.224,3.1859,0.7611,0.2389,1.5678,0.6106,0.3894,2.83,0.7389,0.2611,,,,,,,
6,1715288700000,4338640.0,32362705.6527984,3.1597,0.7596,0.2404,1.5644,0.61,0.39,2.8506,0.7403,0.2597,,,,,,,
7,1715289000000,4341492.0,32391871.812,3.1511,0.7591,0.2409,1.5611,0.6095,0.3905,2.8373,0.7394,0.2606,,,,,,,
8,1715289300000,4340857.0,32350336.06789959,3.1511,0.7591,0.2409,1.5625,0.6098,0.3902,2.8358,0.7393,0.2607,,,,,,,
9,1715289600000,4338982.0,32313257.03108032,3.1615,0.7597,0.2403,1.5617,0.6096,0.3904,2.8344,0.7392,0.2608,,,,,,,
10,1715289900000,4338183.0,32276081.52,3.1597,0.7596,0.2404,1.562,0.6097,0.3903,2.8358,0.7393,0.2607,,,,,,,
11,1715290200000,4335598.0,32236115.77009224,3.1615,0.7597,0.2403,1.5643,0.61,0.39,2.8314,0.739,0.261,,,,,,,
12,1715290500000,4335805.0,32254691.1919155,3.1494,0.759,0.241,1.5643,0.61,0.39,2.8226,0.7384,0.2616,,,,,,,
13,1715290800000,4336921.0,32284039.924,3.1442,0.7587,0.2413,1.5646,0.6101,0.3899,2.8168,0.738,0.262,,,,,,,
14,1715291100000,4337513.0,32292784.285,3.1391,0.7584,0.2416,1.5642,0.61,0.39,2.8052,0.7372,0.2628,,,,,,,
15,1715291400000,4337771.0,32311064.04401688,3.1356,0.7582,0.2418,1.564,0.61,0.39,2.8037,0.7371,0.2629,,,,,,,
16,1715291700000,4337978.0,32369991.836,3.1169,0.7571,0.2429,1.5637,0.6099,0.3901,2.7779,0.7353,0.2647,,,,,,,
17,1715292000000,4338266.0,32347610.21028566,3.1085,0.7566,0.2434,1.5639,0.61,0.39,2.7779,0.7353,0.2647,,,,,,,
18,1715292300000,4337596.0,32362803.756,3.1152,0.757,0.243,1.5641,0.61,0.39,2.7893,0.7361,0.2639,,,,,,,
19,1715292600000,4339553.0,32386084.039,3.1085,0.7566,0.2434,1.5642,0.61,0.39,2.785,0.7358,0.2642,,,,,,,
20,1715292900000,4342425.0,32436353.43109125,3.1135,0.7569,0.2431,1.5631,0.6098,0.3902,2.785,0.7358,0.2642,,,,,,,
21,1715293200000,4343269.0,32392100.202,3.1305,0.7579,0.2421,1.5628,0.6098,0.3902,2.8066,0.7373,0.2627,,,,,,,
22,1715293500000,4342139.0,32379100.56331856,3.1356,0.7582,0.2418,1.5629,0.6098,0.3902,2.8139,0.7378,0.2622,,,,,,,
23,1715293800000,4343099.0,32439672.40121856,3.1356,0.7582,0.2418,1.5616,0.6096,0.3904,2.8095,0.7375,0.2625,,,,,,,
24,1715294100000,4344008.0,32445395.752,3.1408,0.7585,0.2415,1.5622,0.6097,0.3903,2.8168,0.738,0.262,,,,,,,
25,1715294400000,4340260.0,32505226.5802688,3.1408,0.7585,0.2415,1.5636,0.6099,0.3901,2.827,0.7387,0.2613,,,,,,,
26,1715294700000,4339810.0,32598368.5044046,3.1322,0.758,0.242,1.5636,0.6099,0.3901,2.8081,0.7374,0.2626,,,,,,,
27,1715295000000,4340933.0,32701162.31585248,3.1408,0.7585,0.2415,1.5643,0.61,0.39,2.8124,0.7377,0.2623,,,,,,,
28,1715295300000,4345860.0,32754746.82,3.1085,0.7566,0.2434,1.5629,0.6098,0.3902,2.7836,0.7357,0.2643,,,,,,,
29,1715295600000,4346562.0,32725265.298,3.1305,0.7579,0.2421,1.5631,0.6098,0.3902,2.811,0.7376,0.2624,,,,,,,
30,1715295900000,4345414.0,32699240.35,3.1051,0.7564,0.2436,1.5631,0.6099,0.3901,2.7864,0.7359,0.2641,,,,,,,
31,1715296200000,4342244.0,32626436.72156948,3.0833,0.7551,0.2449,1.563,0.6098,0.3902,2.7793,0.7354,0.2646,,,,,,,
32,1715296500000,4345008.0,32587560.0,3.0917,0.7556,0.2444,1.5626,0.6098,0.3902,2.7879,0.736,0.264,,,,,,,
33,1715296800000,4351587.0,32600844.8149593,3.1118,0.7568,0.2432,1.5597,0.6093,0.3907,2.7994,0.7368,0.2632,,,,,,,
34,1715297100000,4350772.0,32552476.104,3.1118,0.7568,0.2432,1.5612,0.6096,0.3904,2.7994,0.7368,0.2632,,,,,,,
35,1715297400000,4365921.0,32700315.1906368,3.0866,0.7553,0.2447,1.5518,0.6081,0.3919,2.7594,0.734,0.266,,,,,,,
36,1715297700000,4382025.0,32842770.9005505,3.0984,0.756,0.244,1.5558,0.6087,0.3913,2.7736,0.735,0.265,,,,,,,
37,1715298000000,4383330.0,32793771.7954182,3.0816,0.755,0.245,1.5541,0.6085,0.3915,2.7523,0.7335,0.2665,,,,,,,
38,1715298300000,4383471.0,32793093.15205197,3.075,0.7546,0.2454,1.5542,0.6085,0.3915,2.7481,0.7332,0.2668,,,,,,,
39,1715298600000,4382118.0,32852738.646,3.0717,0.7544,0.2456,1.5539,0.6084,0.3916,2.7622,0.7342,0.2658,,,,,,,
40,1715298900000,4383607.0,32869242.70960487,3.0617,0.7538,0.2462,1.5536,0.6084,0.3916,2.7467,0.7331,0.2669,,,,,,,
41,1715299200000,4385379.0,32890342.5,3.0667,0.7541,0.2459,1.5532,0.6083,0.3917,2.7552,0.7337,0.2663,,,,,,,
42,1715299500000,4366912.0,32620832.64,3.1288,0.7578,0.2422,1.5621,0.6097,0.3903,2.8081,0.7374,0.2626,,,,,,,
43,1715299800000,4363196.0,32641069.276,3.1237,0.7575,0.2425,1.5628,0.6098,0.3902,2.8008,0.7369,0.2631,,,,,,,
44,1715300100000,4359257.0,32629038.645,3.1288,0.7578,0.2422,1.5653,0.6102,0.3898,2.8095,0.7375,0.2625,,,,,,,
45,1715300400000,4357897.0,32588353.766,3.1305,0.7579,0.2421,1.5655,0.6102,0.3898,2.7922,0.7363,0.2637,,,,,,,
46,1715300700000,4355013.0,32531947.11,3.1356,0.7582,0.2418,1.5684,0.6107,0.3893,2.7994,0.7368,0.2632,,,,,,,
47,1715301000000,4352756.0,32522870.4830036,3.1339,0.7581,0.2419,1.5687,0.6107,0.3893,2.7936,0.7364,0.2636,,,,,,,
48,1715301300000,4352450.0,32531500.843886,3.1374,0.7583,0.2417,1.5679,0.6106,0.3894,2.7922,0.7363,0.2637,,,,,,,
49,1715301600000,4354458.0,32553018.49235754,3.1203,0.7573,0.2427,1.5684,0.6106,0.3894,2.7821,0.7356,0.2644,,,,,,,
50,1715301900000,4350383.0,32524622.81558099,3.1288,0.7578,0.2422,1.5688,0.6107,0.3893,2.7893,0.7361,0.2639,,,,,,,
51,1715302200000,4360010.0,32522044.5864743,3.1408,0.7585,0.2415,1.5722,0.6112,0.3888,2.8037,0.7371,0.2629,,,,,,,
52,1715302500000,4359618.0,32544548.37,3.1186,0.7572,0.2428,1.5704,0.611,0.389,2.785,0.7358,0.2642,,,,,,,
53,1715302800000,4359615.0,32553245.205,3.1288,0.7578,0.2422,1.5704,0.611,0.389,2.7922,0.7363,0.2637,,,,,,,
54,1715303100000,4360293.0,32593190.175,3.1632,0.7598,0.2402,1.5708,0.611,0.389,2.8066,0.7373,0.2627,,,,,,,
55,1715303400000,4358535.0,32527746.705,3.1615,0.7597,0.2403,1.5709,0.611,0.389,2.8066,0.7373,0.2627,,,,,,,
56,1715303700000,4358966.0,32552758.088,3.1684,0.7601,0.2399,1.5711,0.6111,0.3889,2.7821,0.7356,0.2644,,,,,,,
57,1715304000000,4358332.0,32613398.356,3.1841,0.761,0.239,1.5703,0.6109,0.3891,2.7979,0.7367,0.2633,,,,,,,
58,1715304300000,4358723.0,32648542.1459268,3.1771,0.7606,0.2394,1.5707,0.611,0.389,2.7908,0.7362,0.2638,,,,,,,
59,1715304600000,4361442.0,32739471.15683028,3.1494,0.759,0.241,1.5703,0.6109,0.3891,2.7821,0.7356,0.2644,,,,,,,
60,1715304900000,4364515.0,32803694.74,3.1339,0.7581,0.2419,1.571,0.611,0.389,2.7636,0.7343,0.2657,,,,,,,
61,1715305200000,4370036.0,32868861.70630084,3.1425,0.7586,0.2414,1.572,0.6112,0.3888,2.7693,0.7347,0.2653,,,,,,,
62,1715305500000,4368148.0,32774564.94419552,3.1754,0.7605,0.2395,1.5731,0.6114,0.3886,2.7994,0.7368,0.2632,,,,,,,
63,1715305800000,4369519.0,32788870.576,3.1841,0.761,0.239,1.573,0.6113,0.3887,2.8066,0.7373,0.2627,,,,,,,
64,1715306100000,4374928.0,32880457.24146256,3.1736,0.7604,0.2396,1.5702,0.6109,0.3891,2.785,0.7358,0.2642,,,,,,,
65,1715306400000,4375236.0,32862397.596,3.1271,0.7577,0.2423,1.5798,0.6124,0.3876,2.7879,0.736,0.264,,,,,,,
66,1715306700000,4367256.0,32692323.99587376,3.1876,0.7612,0.2388,1.5788,0.6122,0.3878,2.8417,0.7397,0.2603,,,,,,,
67,1715307000000,4364291.0,32662353.844,3.1528,0.7592,0.2408,1.5764,0.6119,0.3881,2.8565,0.7407,0.2593,,,,,,,
68,1715307300000,4364589.0,32622684.32712123,3.1876,0.7612,0.2388,1.5752,0.6117,0.3883,2.8476,0.7401,0.2599,,,,,,,
69,1715307600000,4365040.0,32671785.6231128,3.1876,0.7612,0.2388,1.5743,0.6115,0.3885,2.8432,0.7398,0.2602,,,,,,,
70,1715307900000,4360952.0,32604290.30501304,3.1477,0.7589,0.2411,1.5742,0.6115,0.3885,2.8595,0.7409,0.2591,,,,,,,
71,1715308200000,4362527.0,32653988.23455639,3.1459,0.7588,0.2412,1.5745,0.6116,0.3884,2.8536,0.7405,0.2595,,,,,,,
72,1715308500000,4362803.0,32668668.864,3.1477,0.7589,0.2411,1.5752,0.6117,0.3883,2.8536,0.7405,0.2595,,,,,,,
73,1715308800000,4364710.0,32645938.358026,3.1442,0.7587,0.2413,1.5746,0.6116,0.3884,2.8551,0.7406,0.2594,,,,,,,
74,1715309100000,4365232.0,32684003.27097072,3.1305,0.7579,0.2421,1.5728,0.6113,0.3887,2.8402,0.7396,0.2604,,,,,,,
75,1715309400000,4366292.0,32659864.16,3.1322,0.758,0.242,1.5724,0.6113,0.3887,2.8417,0.7397,0.2603,,,,,,,
76,1715309700000,4365875.0,32595622.75,3.1305,0.7579,0.2421,1.5725,0.6113,0.3887,2.8447,0.7399,0.2601,,,,,,,
77,1715310000000,4365753.0,32622353.53214691,3.1339,0.7581,0.2419,1.5722,0.6112,0.3888,2.8402,0.7396,0.2604,,,,,,,
78,1715310300000,4367021.0,32582343.681,3.1425,0.7586,0.2414,1.5723,0.6112,0.3888,2.8417,0.7397,0.2603,,,,,,,
79,1715310600000,4367056.0,32613174.208,3.1408,0.7585,0.2415,1.5716,0.6111,0.3889,2.8417,0.7397,0.2603,,,,,,,
80,1715310900000,4367548.0,32564437.888,3.1425,0.7586,0.2414,1.5715,0.6111,0.3889,2.8491,0.7402,0.2598,,,,,,,
81,1715311200000,4365231.0,32614767.67250013,3.1425,0.7586,0.2414,1.5715,0.6111,0.3889,2.8432,0.7398,0.2602,,,,,,,
82,1715311500000,4366204.0,32615543.88,3.1356,0.7582,0.2418,1.5711,0.6111,0.3889,2.8476,0.7401,0.2599,,,,,,,
83,1715311800000,4366226.0,32620074.446,3.1356,0.7582,0.2418,1.5714,0.6111,0.3889,2.8462,0.74,0.26,,,,,,,
84,1715312100000,4366347.0,32572948.62,3.1511,0.7591,0.2409,1.5713,0.6111,0.3889,2.858,0.7408,0.2592,,,,,,,
85,1715312400000,4367270.0,32592378.9647115,3.1563,0.7594,0.2406,1.5717,0.6111,0.3889,2.8536,0.7405,0.2595,,,,,,,
86,1715312700000,4367261.0,32590331.07130551,3.1494,0.759,0.241,1.571,0.611,0.389,2.8491,0.7402,0.2598,,,,,,,
87,1715313000000,4366328.0,32599004.848,3.1545,0.7593,0.2407,1.5704,0.611,0.389,2.8432,0.7398,0.2602,,,,,,,
88,1715313300000,4366201.0,32650378.29342933,3.1477,0.7589,0.2411,1.5707,0.611,0.389,2.8344,0.7392,0.2608,,,,,,,
89,1715313600000,4367444.0,32630256.94439092,3.1597,0.7596,0.2404,1.5708,0.611,0.389,2.8462,0.74,0.26,,,,,,,
90,1715313900000,4364698.0,32630482.248,3.1771,0.7606,0.2394,1.5698,0.6109,0.3891,2.8865,0.7427,0.2573,,,,,,,
91,1715314200000,4363481.0,32573385.665,3.1824,0.7609,0.2391,1.5694,0.6108,0.3892,2.888,0.7428,0.2572,,,,,,,
92,1715314500000,4363934.0,32602950.914,3.1667,0.76,0.24,1.5687,0.6107,0.3893,2.8745,0.7419,0.2581,,,,,,,
93,1715314800000,4358183.0,32612283.389,3.1649,0.7599,0.2401,1.5722,0.6112,0.3888,2.8565,0.7407,0.2593,,,,,,,
94,1715315100000,4355807.0,32633331.96729484,3.1667,0.76,0.24,1.5718,0.6112,0.3888,2.8625,0.7411,0.2589,,,,,,,
