timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286000000,3742406.00000000,3740774.31098400,1.3579,0.5759,0.4241,1.2961,0.5645,0.4355,1.3613,0.5765,0.4235,-0.0005,0.9995640,-0.00054967
1715286300000,3737957.00000000,3736359.39717820,1.3579,0.5759,0.4241,1.2973,0.5647,0.4353,1.3579,0.5759,0.4241,-0.0005,0.9995540,-0.00053409
1715286600000,3736039.00000000,3734614.18680657,1.3674,0.5776,0.4224,1.2990,0.5650,0.4350,1.3579,0.5759,0.4241,-0.0005,0.9995540,-0.00054560
1715286900000,3732845.00000000,3731221.21242500,1.3674,0.5776,0.4224,1.3026,0.5657,0.4343,1.3579,0.5759,0.4241,-0.0005,0.9995540,-0.00049951
1715287200000,3727717.00000000,3726095.44310500,1.3674,0.5776,0.4224,1.3025,0.5657,0.4343,1.3579,0.5759,0.4241,-0.0005,0.9995540,-0.00049799
1715287500000,3726659.00000000,3725007.04659848,1.3674,0.5776,0.4224,1.3034,0.5659,0.4341,1.3557,0.5755,0.4245,-0.0006,0.9995540,-0.00061810
1715287800000,3724741.00000000,3723079.76551400,1.3674,0.5776,0.4224,1.3040,0.5660,0.4340,1.3557,0.5755,0.4245,-0.0006,0.9995540,-0.00062918
1715288100000,3716053.00000000,3714395.64036200,1.3674,0.5776,0.4224,1.3056,0.5663,0.4337,1.3557,0.5755,0.4245,-0.0006,0.9995540,-0.00063495
1715288400000,3714574.00000000,3712921.01457000,1.3579,0.5759,0.4241,1.3058,0.5663,0.4337,1.3557,0.5755,0.4245,-0.0006,0.9995540,-0.00058161
1715288700000,3713510.00000000,3711857.48805000,1.3579,0.5759,0.4241,1.3058,0.5663,0.4337,1.3535,0.5751,0.4249,-0.0006,0.9995540,-0.00058113
1715289000000,3713489.00000000,3711832.78390600,1.3579,0.5759,0.4241,1.3054,0.5662,0.4338,1.3535,0.5751,0.4249,-0.0006,0.9995540,-0.00062617
1715289300000,3713537.00000000,3711884.47603500,1.3579,0.5759,0.4241,1.3049,0.5661,0.4339,1.3535,0.5751,0.4249,-0.0006,0.9995540,-0.00057741
1715289600000,3713467.00000000,3711810.79371800,1.3579,0.5759,0.4241,1.3046,0.5661,0.4339,1.3535,0.5751,0.4249,-0.0006,0.9995540,-0.00057720
1715289900000,3713467.00000000,3711810.79371800,1.3579,0.5759,0.4241,1.3043,0.5660,0.4340,1.3502,0.5745,0.4255,-0.0006,0.9995550,-0.00061737
1715290200000,3713415.00000000,3711884.14466625,1.3579,0.5759,0.4241,1.3043,0.5660,0.4340,1.3524,0.5749,0.4251,-0.0006,0.9995540,-0.00057314
1715290500000,3713353.00000000,3711700.55791500,1.3579,0.5759,0.4241,1.3041,0.5660,0.4340,1.3480,0.5741,0.4259,-0.0006,0.9995540,-0.00056943
1715290800000,3713345.00000000,3711692.56147500,1.3579,0.5759,0.4241,1.3039,0.5660,0.4340,1.3458,0.5737,0.4263,-0.0006,0.9995540,-0.00060304
1715291100000,3713284.00000000,3711687.21361432,1.3579,0.5759,0.4241,1.3038,0.5659,0.4341,1.3436,0.5733,0.4267,-0.0006,0.9995540,-0.00058962
1715291400000,3713275.00000000,3711618.87935000,1.3579,0.5759,0.4241,1.3037,0.5659,0.4341,1.3436,0.5733,0.4267,-0.0006,0.9995540,-0.00061426
1715291700000,3713304.00000000,3711651.57972000,1.3491,0.5743,0.4257,1.3036,0.5659,0.4341,1.3408,0.5728,0.4272,-0.0006,0.9995540,-0.00062319
1715292000000,3713175.00000000,3711527.57564775,1.3491,0.5743,0.4257,1.3037,0.5659,0.4341,1.3436,0.5733,0.4267,-0.0006,0.9995550,-0.00056389
1715292300000,3713287.00000000,3711690.17519139,1.3540,0.5752,0.4248,1.3033,0.5658,0.4342,1.3436,0.5733,0.4267,-0.0006,0.9995550,-0.00063296
1715292600000,3713260.00000000,3711603.88604000,1.3540,0.5752,0.4248,1.3032,0.5658,0.4342,1.3436,0.5733,0.4267,-0.0006,0.9995550,-0.00064647
1715292900000,3712903.00000000,3711312.24383868,1.3540,0.5752,0.4248,1.3033,0.5658,0.4342,1.3458,0.5737,0.4263,-0.0006,0.9995550,-0.00058629
1715293200000,3712857.00000000,3711273.35510379,1.3540,0.5752,0.4248,1.3033,0.5658,0.4342,1.3403,0.5727,0.4273,-0.0006,0.9995550,-0.00056403
1715293500000,3712767.00000000,3711151.24092927,1.3540,0.5752,0.4248,1.3033,0.5658,0.4342,1.3370,0.5721,0.4279,-0.0005,0.9995550,-0.00052039
1715293800000,3707625.00000000,3706059.41826750,1.3540,0.5752,0.4248,1.3019,0.5656,0.4344,1.3326,0.5713,0.4287,-0.0006,0.9995540,-0.00062776
1715294100000,3708272.00000000,3706621.81896000,1.3540,0.5752,0.4248,1.3023,0.5656,0.4344,1.3326,0.5713,0.4287,-0.0006,0.9995550,-0.00061518
1715294400000,3708333.00000000,3706679.08348200,1.3502,0.5745,0.4255,1.3022,0.5656,0.4344,1.3359,0.5719,0.4281,-0.0005,0.9995540,-0.00054340
1715294700000,3708394.00000000,3706740.05627600,1.3502,0.5745,0.4255,1.3022,0.5656,0.4344,1.3326,0.5713,0.4287,-0.0006,0.9995540,-0.00055672
1715295000000,3708408.00000000,3706754.05003200,1.3502,0.5745,0.4255,1.3022,0.5656,0.4344,1.3250,0.5699,0.4301,-0.0006,0.9995540,-0.00056773
1715295300000,3708423.00000000,3706772.75176500,1.3452,0.5736,0.4264,1.3022,0.5656,0.4344,1.3159,0.5682,0.4318,-0.0006,0.9995540,-0.00057346
1715295600000,3708483.00000000,3706829.01658200,1.3397,0.5726,0.4274,1.3020,0.5656,0.4344,1.3137,0.5678,0.4322,-0.0006,0.9995540,-0.00059364
1715295900000,3710333.00000000,3708681.90181500,1.3245,0.5698,0.4302,1.3005,0.5653,0.4347,1.3116,0.5674,0.4326,-0.0006,0.9995540,-0.00056193
1715296200000,3710333.00000000,3708702.90229978,1.3245,0.5698,0.4302,1.3004,0.5653,0.4347,1.3063,0.5664,0.4336,-0.0006,0.9995540,-0.00058226
1715296500000,3718549.00000000,3716905.92193886,1.3207,0.5691,0.4309,1.3039,0.5659,0.4341,1.2989,0.5650,0.4350,-0.0006,0.9995540,-0.00058025
1715296800000,3716457.00000000,3714861.33918705,1.3116,0.5674,0.4326,1.3024,0.5657,0.4343,1.2989,0.5650,0.4350,-0.0006,0.9995540,-0.00056746
1715297100000,3715319.00000000,3713661.96772600,1.3031,0.5658,0.4342,1.3016,0.5655,0.4345,1.2878,0.5629,0.4371,-0.0006,0.9995540,-0.00057209
1715297400000,3714677.00000000,3713047.70552103,1.3031,0.5658,0.4342,1.3011,0.5654,0.4346,1.2931,0.5639,0.4361,-0.0006,0.9995540,-0.00058541
1715297700000,3717122.00000000,3715584.48682714,1.2810,0.5616,0.4384,1.2940,0.5641,0.4359,1.2931,0.5639,0.4361,-0.0006,0.9995540,-0.00057279
1715298000000,3716828.00000000,3715174.01154000,1.2894,0.5632,0.4368,1.2920,0.5637,0.4363,1.2904,0.5634,0.4366,-0.0006,0.9995540,-0.00063566
1715298300000,3715487.00000000,3713829.89279800,1.2894,0.5632,0.4368,1.2912,0.5635,0.4365,1.2878,0.5629,0.4371,-0.0006,0.9995540,-0.00062842
1715298600000,3714909.00000000,3713308.02281736,1.2894,0.5632,0.4368,1.2908,0.5635,0.4365,1.2852,0.5624,0.4376,-0.0006,0.9995540,-0.00057439
1715298900000,3714464.00000000,3712807.34905600,1.2894,0.5632,0.4368,1.2904,0.5634,0.4366,1.2769,0.5608,0.4392,-0.0006,0.9995550,-0.00057821
1715299200000,3714071.00000000,3712603.01343725,1.2857,0.5625,0.4375,1.2901,0.5633,0.4367,1.2769,0.5608,0.4392,-0.0006,0.9995550,-0.00064550
1715299500000,3712420.00000000,3710767.97310000,1.2831,0.5620,0.4380,1.2896,0.5632,0.4368,1.2769,0.5608,0.4392,-0.0006,0.9995550,-0.00057197
1715299800000,3712772.00000000,3711116.10368800,1.2831,0.5620,0.4380,1.2897,0.5633,0.4367,1.2815,0.5617,0.4383,-0.0006,0.9995550,-0.00057408
