,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,204317388.0,4519500.62256,2.0912,0.6765,0.3235,1.1881,0.543,0.457,2.1766,0.6852,0.3148,,,,,,,
1,1715287500000,204212021.0,4506736.71236711,2.095,0.6769,0.3231,1.187,0.5427,0.4573,2.1726,0.6848,0.3152,,,,,,,
2,1715287800000,203968258.0,4495931.57299598,2.0826,0.6756,0.3244,1.1846,0.5423,0.4577,2.1676,0.6843,0.3157,,,,,,,
3,1715288100000,204265107.0,4510173.56256,2.1017,0.6776,0.3224,1.1895,0.5433,0.4567,2.1867,0.6862,0.3138,,,,,,,
4,1715288400000,203948123.0,4503806.7950213,2.096,0.677,0.323,1.1892,0.5432,0.4568,2.1746,0.685,0.315,,,,,,,
5,1715288700000,203348808.0,4507964.48549304,2.0921,0.6766,0.3234,1.1876,0.5429,0.4571,2.1586,0.6834,0.3166,,,,,,,
6,1715289000000,203181368.0,4502499.11488,2.0817,0.6755,0.3245,1.1912,0.5436,0.4564,2.1095,0.6784,0.3216,,,,,,,
7,1715289300000,202695287.0,4485646.70131,2.0703,0.6743,0.3257,1.1857,0.5425,0.4575,2.1104,0.6785,0.3215,,,,,,,
8,1715289600000,202463878.0,4480888.03048162,2.0665,0.6739,0.3261,1.1849,0.5423,0.4577,2.1172,0.6792,0.3208,,,,,,,
9,1715289900000,203036737.0,4509445.92877,2.0798,0.6753,0.3247,1.184,0.5421,0.4579,2.1338,0.6809,0.3191,,,,,,,
10,1715290200000,202855598.0,4501365.71962,2.0618,0.6734,0.3266,1.1846,0.5423,0.4577,2.1104,0.6785,0.3215,,,,,,,
11,1715290500000,202138268.0,4487774.77838468,2.0572,0.6729,0.3271,1.1846,0.5423,0.4577,2.0989,0.6773,0.3227,,,,,,,
12,1715290800000,202167549.0,4486097.91231,2.0618,0.6734,0.3266,1.1766,0.5406,0.4594,2.1075,0.6782,0.3218,,,,,,,
13,1715291100000,202208246.0,4478912.6489,2.0703,0.6743,0.3257,1.1799,0.5413,0.4587,2.1172,0.6792,0.3208,,,,,,,
14,1715291400000,202267499.0,4486572.25696862,2.0722,0.6745,0.3255,1.1829,0.5419,0.4581,2.1211,0.6796,0.3204,,,,,,,
15,1715291700000,202091753.0,4491171.92637279,2.0713,0.6744,0.3256,1.1809,0.5415,0.4585,2.125,0.68,0.32,,,,,,,
16,1715292000000,202158010.0,4499586.4902377,2.06,0.6732,0.3268,1.1774,0.5407,0.4593,2.1143,0.6789,0.3211,,,,,,,
17,1715292300000,201755980.0,4478982.756,2.0618,0.6734,0.3266,1.1758,0.5404,0.4596,2.1153,0.679,0.321,,,,,,,
18,1715292600000,201507502.0,4473466.5444,2.096,0.677,0.323,1.1733,0.5399,0.4601,2.1706,0.6846,0.3154,,,,,,,
19,1715292900000,201491808.0,4477147.97376,2.0921,0.6766,0.3234,1.1735,0.5399,0.4601,2.1646,0.684,0.316,,,,,,,
20,1715293200000,200674967.0,4467729.13455417,2.0893,0.6763,0.3237,1.1714,0.5395,0.4605,2.1646,0.684,0.316,,,,,,,
21,1715293500000,200355589.0,4455908.29936,2.0628,0.6735,0.3265,1.1584,0.5367,0.4633,2.1556,0.6831,0.3169,,,,,,,
22,1715293800000,199784087.0,4449729.03668403,2.0656,0.6738,0.3262,1.161,0.5372,0.4628,2.1466,0.6822,0.3178,,,,,,,
23,1715294100000,199857780.0,4436842.716,2.0788,0.6752,0.3248,1.16,0.537,0.463,2.1586,0.6834,0.3166,,,,,,,
24,1715294400000,199796638.0,4441517.22410122,2.0798,0.6753,0.3247,1.1602,0.5371,0.4629,2.1766,0.6852,0.3148,,,,,,,
25,1715294700000,199785813.0,4453619.34982161,2.0845,0.6758,0.3242,1.1606,0.5372,0.4628,2.1837,0.6859,0.3141,,,,,,,
