timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,343436032.00000000,12121574.74944000,2.7936,0.7364,0.2636,1.1211,0.5286,0.4714,2.7258,0.7316,0.2684,-0.0006,0.035289,-0.00002116
1715287200000,343621147.00000000,12150948.88100609,2.7736,0.7350,0.2650,1.1202,0.5284,0.4716,2.7106,0.7305,0.2695,-0.0006,0.035352,-0.00002290
1715287500000,343913458.00000000,12165990.16376870,2.7636,0.7343,0.2657,1.1201,0.5283,0.4717,2.7064,0.7302,0.2698,-0.0009,0.035365,-0.00003266
1715287800000,343771423.00000000,12148538.31739700,2.7821,0.7356,0.2644,1.1202,0.5283,0.4717,2.7286,0.7318,0.2682,-0.0007,0.035337,-0.00002408
1715288100000,343725352.00000000,12148625.40383448,2.7908,0.7362,0.2638,1.1199,0.5283,0.4717,2.7369,0.7324,0.2676,-0.0009,0.035335,-0.00003241
1715288400000,343734945.00000000,12160998.61915500,2.7850,0.7358,0.2642,1.1194,0.5282,0.4718,2.7383,0.7325,0.2675,-0.0006,0.035376,-0.00002294
1715288700000,343404377.00000000,12179454.35818360,2.8300,0.7389,0.2611,1.1179,0.5278,0.4722,2.7893,0.7361,0.2639,-0.0006,0.035457,-0.00002064
1715289000000,343431631.00000000,12195363.68061561,2.8241,0.7385,0.2615,1.1158,0.5274,0.4726,2.7693,0.7347,0.2653,-0.0004,0.035511,-0.00001429
1715289300000,343468566.00000000,12186632.23304562,2.8241,0.7385,0.2615,1.1174,0.5277,0.4723,2.7608,0.7341,0.2659,-0.0010,0.035472,-0.00003622
1715289600000,343043187.00000000,12157416.24296130,2.8344,0.7392,0.2608,1.1183,0.5279,0.4721,2.7793,0.7354,0.2646,-0.0011,0.035423,-0.00004044
1715289900000,342915689.00000000,12142644.54749000,2.8212,0.7383,0.2617,1.1181,0.5279,0.4721,2.7722,0.7349,0.2651,-0.0006,0.035411,-0.00002010
1715290200000,343023882.00000000,12144143.09922240,2.8241,0.7385,0.2615,1.1184,0.5279,0.4721,2.7722,0.7349,0.2651,-0.0010,0.035390,-0.00003568
1715290500000,342951350.00000000,12142192.54675000,2.8270,0.7387,0.2613,1.1185,0.5280,0.4720,2.7552,0.7337,0.2663,-0.0007,0.035405,-0.00002541
1715290800000,343103688.00000000,12145527.45151200,2.8226,0.7384,0.2616,1.1197,0.5282,0.4718,2.7523,0.7335,0.2665,-0.0008,0.035393,-0.00002873
1715291100000,342851311.00000000,12153345.27314446,2.8095,0.7375,0.2625,1.1182,0.5279,0.4721,2.7439,0.7329,0.2671,-0.0005,0.035440,-0.00001939
1715291400000,342239996.00000000,12123862.12549988,2.8270,0.7387,0.2613,1.1180,0.5279,0.4721,2.7693,0.7347,0.2653,-0.0006,0.035423,-0.00001958
1715291700000,342106190.00000000,12129032.86026000,2.8402,0.7396,0.2604,1.1166,0.5275,0.4725,2.8066,0.7373,0.2627,-0.0005,0.035454,-0.00001726
1715292000000,342084915.00000000,12145724.90707500,2.8388,0.7395,0.2605,1.1171,0.5277,0.4723,2.7594,0.7340,0.2660,-0.0006,0.035481,-0.00002254
1715292300000,342121477.00000000,12144970.31202300,2.8037,0.7371,0.2629,1.1172,0.5277,0.4723,2.7764,0.7352,0.2648,-0.0007,0.035491,-0.00002416
1715292600000,341855080.00000000,12156134.18334560,2.7893,0.7361,0.2639,1.1181,0.5279,0.4721,2.7509,0.7334,0.2666,-0.0008,0.035548,-0.00002824
1715292900000,342022540.00000000,12161018.41652260,2.7879,0.7360,0.2640,1.1174,0.5277,0.4723,2.7707,0.7348,0.2652,-0.0006,0.035547,-0.00002300
1715293200000,341917531.00000000,12150360.86656414,2.7908,0.7362,0.2638,1.1181,0.5279,0.4721,2.7636,0.7343,0.2657,-0.0005,0.035531,-0.00001704
1715293500000,341741596.00000000,12134382.88513808,2.7994,0.7368,0.2632,1.1171,0.5277,0.4723,2.7707,0.7348,0.2652,-0.0005,0.035510,-0.00001695
1715293800000,342309382.00000000,12172521.62392000,2.8023,0.7370,0.2630,1.1173,0.5277,0.4723,2.7693,0.7347,0.2653,-0.0002,0.035560,-0.00000670
1715294100000,342584600.00000000,12165833.48258600,2.7879,0.7360,0.2640,1.1186,0.5280,0.4720,2.7538,0.7336,0.2664,-0.0005,0.035510,-0.00001872
1715294400000,343234127.00000000,12259585.06306695,2.7580,0.7339,0.2661,1.1160,0.5274,0.4726,2.7369,0.7324,0.2676,-0.0007,0.035695,-0.00002492
1715294700000,343199628.00000000,12246735.52555200,2.7552,0.7337,0.2663,1.1174,0.5277,0.4723,2.7327,0.7321,0.2679,-0.0001,0.035683,-0.00000275
1715295000000,342945754.00000000,12275935.31405224,2.7481,0.7332,0.2668,1.1180,0.5279,0.4721,2.7580,0.7339,0.2661,-0.0004,0.035783,-0.00001589
1715295300000,342460479.00000000,12273783.56736000,2.7258,0.7316,0.2684,1.1188,0.5280,0.4720,2.7272,0.7317,0.2683,-0.0002,0.035839,-0.00000585
1715295600000,342377411.00000000,12255491.86864597,2.6941,0.7293,0.2707,1.1205,0.5284,0.4716,2.6832,0.7285,0.2715,-0.0007,0.035786,-0.00002337
1715295900000,342368640.00000000,12238042.35790080,2.7189,0.7311,0.2689,1.1207,0.5285,0.4715,2.7106,0.7305,0.2695,-0.0007,0.035747,-0.00002629
1715296200000,342168919.00000000,12210297.87451500,2.7202,0.7312,0.2688,1.1217,0.5287,0.4713,2.6969,0.7295,0.2705,-0.0009,0.035682,-0.00003063
1715296500000,342009975.00000000,12196075.70850000,2.7189,0.7311,0.2689,1.1221,0.5288,0.4712,2.6887,0.7289,0.2711,-0.0003,0.035659,-0.00000935
1715296800000,342078313.00000000,12195091.85845000,2.7175,0.7310,0.2690,1.1221,0.5288,0.4712,2.6860,0.7287,0.2713,-0.0003,0.035652,-0.00001187
1715297100000,342142509.00000000,12180957.60541800,2.7230,0.7314,0.2686,1.1217,0.5287,0.4713,2.6846,0.7286,0.2714,-0.0005,0.035603,-0.00001943
1715297400000,342405678.00000000,12210573.39589614,2.7189,0.7311,0.2689,1.1200,0.5283,0.4717,2.6657,0.7272,0.2728,-0.0007,0.035650,-0.00002332
1715297700000,342552071.00000000,12209836.95518554,2.6941,0.7293,0.2707,1.1208,0.5285,0.4715,2.6510,0.7261,0.2739,-0.0006,0.035630,-0.00002124
1715298000000,342384927.00000000,12191604.81827403,2.6955,0.7294,0.2706,1.1206,0.5284,0.4716,2.6738,0.7278,0.2722,-0.0006,0.035601,-0.00002219
1715298300000,342405265.00000000,12194075.27839235,2.6928,0.7292,0.2708,1.1216,0.5287,0.4713,2.6590,0.7267,0.2733,-0.0006,0.035608,-0.00002303
1715298600000,342328607.00000000,12216338.66940200,2.6928,0.7292,0.2708,1.1202,0.5283,0.4717,2.6792,0.7282,0.2718,-0.0002,0.035684,-0.00000757
1715298900000,343127249.00000000,12231549.68946023,2.7580,0.7339,0.2661,1.1177,0.5278,0.4722,2.7411,0.7327,0.2673,-0.0004,0.035649,-0.00001580
1715299200000,343198635.00000000,12231777.81469020,2.7523,0.7335,0.2665,1.1173,0.5277,0.4723,2.7369,0.7324,0.2676,-0.0006,0.035634,-0.00002051
1715299500000,344373179.00000000,12231102.19854300,2.7425,0.7328,0.2672,1.1129,0.5267,0.4733,2.7481,0.7332,0.2668,-0.0005,0.035516,-0.00001844
1715299800000,344269760.00000000,12273027.59563200,2.7383,0.7325,0.2675,1.1126,0.5267,0.4733,2.7272,0.7317,0.2683,0.0001,0.035650,0.00000355
1715300100000,343902202.00000000,12277308.61140000,2.6941,0.7293,0.2707,1.1171,0.5276,0.4724,2.6603,0.7268,0.2732,-0.0003,0.035702,-0.00001202
1715300400000,343688455.00000000,12250231.95071610,2.6914,0.7291,0.2709,1.1177,0.5278,0.4722,2.6643,0.7271,0.2729,-0.0002,0.035648,-0.00000746
1715300700000,342657126.00000000,12202705.57111200,2.6969,0.7295,0.2705,1.1186,0.5280,0.4720,2.6711,0.7276,0.2724,-0.0005,0.035613,-0.00001770
1715301000000,342274535.00000000,12174362.93541500,2.7300,0.7319,0.2681,1.1195,0.5282,0.4718,2.7106,0.7305,0.2695,0.0001,0.035571,0.00000210
1715301300000,342593348.00000000,12216628.69653596,2.6941,0.7293,0.2707,1.1204,0.5284,0.4716,2.6630,0.7270,0.2730,-0.0001,0.035658,-0.00000207
1715301600000,342747049.00000000,12226208.81670027,2.6914,0.7291,0.2709,1.1215,0.5286,0.4714,2.6563,0.7265,0.2735,-0.0001,0.035664,-0.00000396
