timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,4662601.60000000,11133360.10048000,2.7951,0.7365,0.2635,1.5943,0.6145,0.3855,2.6364,0.7250,0.2750,-0.0003,2.3880,-0.00080260
1715287200000,4662400.90000000,11151064.23253000,2.7764,0.7352,0.2648,1.5932,0.6144,0.3856,2.6470,0.7258,0.2742,-0.0001,2.3915,-0.00019469
1715287500000,4661583.20000000,11150280.60130398,2.7622,0.7342,0.2658,1.5935,0.6144,0.3856,2.6390,0.7252,0.2748,-0.0004,2.3915,-0.00084821
1715287800000,4658434.00000000,11143078.80301198,2.7679,0.7346,0.2654,1.5945,0.6146,0.3854,2.6711,0.7276,0.2724,-0.0007,2.3910,-0.00172678
1715288100000,4657167.40000000,11134067.91383133,2.7651,0.7344,0.2656,1.5961,0.6148,0.3852,2.6711,0.7276,0.2724,-0.0006,2.3904,-0.00133217
1715288400000,4660246.20000000,11148931.46831945,2.7707,0.7348,0.2652,1.5947,0.6146,0.3854,2.6846,0.7286,0.2714,-0.0004,2.3919,-0.00102567
1715288700000,4657290.20000000,11164456.06744000,2.7509,0.7334,0.2666,1.5923,0.6142,0.3858,2.6443,0.7256,0.2744,-0.0003,2.3973,-0.00077001
1715289000000,4627235.70000000,11098887.55002000,2.7750,0.7351,0.2649,1.5957,0.6148,0.3852,2.6643,0.7271,0.2729,-0.0003,2.3986,-0.00077971
1715289300000,4626128.30000000,11080493.80703880,2.7693,0.7347,0.2653,1.5973,0.6150,0.3850,2.6523,0.7262,0.2738,-0.0009,2.3941,-0.00215358
1715289600000,4626078.50000000,11067892.81125000,2.7608,0.7341,0.2659,1.5941,0.6145,0.3855,2.6496,0.7260,0.2740,-0.0003,2.3926,-0.00075125
1715289900000,4627537.80000000,11069235.85207635,2.7636,0.7343,0.2657,1.5933,0.6144,0.3856,2.6483,0.7259,0.2741,-0.0002,2.3920,-0.00050610
1715290200000,4624250.60000000,11049646.80870000,2.7693,0.7347,0.2653,1.5945,0.6146,0.3854,2.6684,0.7274,0.2726,-0.0007,2.3894,-0.00157067
1715290500000,4623745.50000000,11049826.99590000,2.7736,0.7350,0.2650,1.5954,0.6147,0.3853,2.6510,0.7261,0.2739,-0.0003,2.3899,-0.00079251
1715290800000,4619038.30000000,11038572.04792289,2.7821,0.7356,0.2644,1.5962,0.6148,0.3852,2.6684,0.7274,0.2726,-0.0008,2.3888,-0.00184626
1715291100000,4612650.70000000,11036708.61076993,2.7722,0.7349,0.2651,1.5990,0.6152,0.3848,2.6483,0.7259,0.2741,-0.0006,2.3923,-0.00147276
1715291400000,4611992.50000000,11039370.67814855,2.7836,0.7357,0.2643,1.5992,0.6153,0.3847,2.6483,0.7259,0.2741,-0.0006,2.3931,-0.00149347
1715291700000,4609805.80000000,11054775.28898000,2.7893,0.7361,0.2639,1.5970,0.6149,0.3851,2.6832,0.7285,0.2715,-0.0001,2.3981,-0.00022635
