,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,54729047.2,164132412.5528,1.7034,0.6301,0.3699,2.4618,0.7111,0.2889,1.9507,0.6611,0.3389,,,,,,,
1,1715287200000,54837786.7,165488427.49504548,1.681,0.627,0.373,2.4469,0.7099,0.2901,1.93,0.6587,0.3413,,,,,,,
2,1715287500000,54785198.5,165511563.18835,1.6795,0.6268,0.3732,2.4402,0.7093,0.2907,1.9317,0.6589,0.3411,,,,,,,
3,1715287800000,54822115.8,165553287.39866838,1.6781,0.6266,0.3734,2.4368,0.709,0.291,1.9394,0.6598,0.3402,,,,,,,
4,1715288100000,54793204.4,165194028.70600712,1.6889,0.6281,0.3719,2.4398,0.7093,0.2907,1.949,0.6609,0.3391,,,,,,,
5,1715288400000,54780425.7,165795206.56972072,1.6867,0.6278,0.3722,2.4411,0.7094,0.2906,1.9403,0.6599,0.3401,,,,,,,
6,1715288700000,54743654.3,166327165.85271487,1.6817,0.6271,0.3729,2.4322,0.7086,0.2914,1.9377,0.6596,0.3404,,,,,,,
7,1715289000000,54815472.2,168091925.06020823,1.6717,0.6257,0.3743,2.4211,0.7077,0.2923,1.9231,0.6579,0.3421,,,,,,,
8,1715289300000,54768185.9,166600497.01184133,1.6925,0.6286,0.3714,2.4269,0.7082,0.2918,1.9403,0.6599,0.3401,,,,,,,
9,1715289600000,54460259.3,165138607.4829013,1.7071,0.6306,0.3694,2.4388,0.7092,0.2908,1.9603,0.6622,0.3378,,,,,,,
10,1715289900000,54472792.4,165529731.1941376,1.6983,0.6294,0.3706,2.4358,0.7089,0.2911,1.9542,0.6615,0.3385,,,,,,,
11,1715290200000,54494803.9,165818208.35161355,1.6867,0.6278,0.3722,2.4269,0.7082,0.2918,1.9351,0.6593,0.3407,,,,,,,
12,1715290500000,54406469.8,165554897.97496957,1.6882,0.628,0.372,2.4264,0.7081,0.2919,1.936,0.6594,0.3406,,,,,,,
13,1715290800000,54427483.1,165685496.15596718,1.6874,0.6279,0.3721,2.4287,0.7083,0.2917,1.93,0.6587,0.3413,,,,,,,
14,1715291100000,54405322.7,165957996.36408,1.6853,0.6276,0.3724,2.4254,0.7081,0.2919,1.9334,0.6591,0.3409,,,,,,,
15,1715291400000,54379178.0,166509043.036,1.6882,0.628,0.372,2.427,0.7082,0.2918,1.9377,0.6596,0.3404,,,,,,,
16,1715291700000,54386330.4,166851823.03416,1.6846,0.6275,0.3725,2.4246,0.708,0.292,1.9283,0.6585,0.3415,,,,,,,
17,1715292000000,54401956.0,166636721.9149444,1.6802,0.6269,0.3731,2.4225,0.7078,0.2922,1.9172,0.6572,0.3428,,,,,,,
18,1715292300000,54458631.3,167322658.49320182,1.6867,0.6278,0.3722,2.4114,0.7069,0.2931,1.9283,0.6585,0.3415,,,,,,,
19,1715292600000,54559296.9,167816264.6556041,1.6745,0.6261,0.3739,2.4031,0.7061,0.2939,1.9326,0.659,0.341,,,,,,,
20,1715292900000,54587626.7,168671371.1072981,1.666,0.6249,0.3751,2.4046,0.7063,0.2937,1.9308,0.6588,0.3412,,,,,,,
21,1715293200000,54626915.4,167923137.9396,1.6759,0.6263,0.3737,2.4066,0.7065,0.2935,1.9248,0.6581,0.3419,,,,,,,
22,1715293500000,54660472.4,168100493.748883,1.6695,0.6254,0.3746,2.4005,0.7059,0.2941,1.9265,0.6583,0.3417,,,,,,,
23,1715293800000,54679943.3,169223488.52484,1.6681,0.6252,0.3748,2.3947,0.7054,0.2946,1.9172,0.6572,0.3428,,,,,,,
24,1715294100000,54697389.6,169228253.68344,1.6674,0.6251,0.3749,2.3945,0.7054,0.2946,1.9223,0.6578,0.3422,,,,,,,
25,1715294400000,54706544.0,171373901.90719151,1.6233,0.6188,0.3812,2.3912,0.7051,0.2949,1.8555,0.6498,0.3502,,,,,,,
26,1715294700000,54764894.9,172860398.93167987,1.4384,0.5899,0.4101,2.3833,0.7044,0.2956,1.7211,0.6325,0.3675,,,,,,,
27,1715295000000,54546334.4,172418758.27556354,1.442,0.5905,0.4095,2.3914,0.7051,0.2949,1.7278,0.6334,0.3666,,,,,,,
28,1715295300000,54474664.1,172583770.88175476,1.4231,0.5873,0.4127,2.3987,0.7058,0.2942,1.7005,0.6297,0.3703,,,,,,,
29,1715295600000,54443923.4,171622950.90650472,1.426,0.5878,0.4122,2.4032,0.7062,0.2938,1.6991,0.6295,0.3705,,,,,,,
30,1715295900000,54397871.6,170526447.89168,1.4474,0.5914,0.4086,2.4116,0.7069,0.2931,1.7071,0.6306,0.3694,,,,,,,
31,1715296200000,54333041.2,170044296.71343815,1.4474,0.5914,0.4086,2.4206,0.7077,0.2923,1.6896,0.6282,0.3718,,,,,,,
