,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,14559653.0,9583163.6046,4.4855,0.8177,0.1823,1.7021,0.6299,0.3701,4.3677,0.8137,0.1863,,,,,,,
1,1715287500000,14568298.0,9584483.2542,4.5066,0.8184,0.1816,1.7018,0.6299,0.3701,4.3821,0.8142,0.1858,,,,,,,
2,1715287800000,14587622.0,9603669.18755762,4.5218,0.8189,0.1811,1.7023,0.6299,0.3701,4.4054,0.815,0.185,,,,,,,
3,1715288100000,14575397.0,9597898.9245,4.4585,0.8168,0.1832,1.6991,0.6295,0.3705,4.3735,0.8139,0.1861,,,,,,,
4,1715288400000,14580956.0,9618919.32059448,4.4945,0.818,0.182,1.6995,0.6296,0.3704,4.4171,0.8154,0.1846,,,,,,,
5,1715288700000,14574893.0,9633804.88846376,4.4795,0.8175,0.1825,1.6995,0.6296,0.3704,4.4171,0.8154,0.1846,,,,,,,
6,1715289000000,14571320.0,9653381.7637344,4.5432,0.8196,0.1804,1.6939,0.6288,0.3712,4.4615,0.8169,0.1831,,,,,,,
7,1715289300000,14582466.0,9634635.2862,4.5127,0.8186,0.1814,1.6927,0.6286,0.3714,4.4735,0.8173,0.1827,,,,,,,
8,1715289600000,14573769.0,9607410.06607242,4.571,0.8205,0.1795,1.6946,0.6289,0.3711,4.4915,0.8179,0.1821,,,,,,,
9,1715289900000,14563592.0,9601776.2056,4.6211,0.8221,0.1779,1.695,0.6289,0.3711,4.5648,0.8203,0.1797,,,,,,,
10,1715290200000,14559451.0,9600501.9894,4.6148,0.8219,0.1781,1.6967,0.6292,0.3708,4.5586,0.8201,0.1799,,,,,,,
11,1715290500000,14559847.0,9601160.01322922,4.6148,0.8219,0.1781,1.6964,0.6291,0.3709,4.5556,0.82,0.18,,,,,,,
12,1715290800000,14557454.0,9597602.0444775,4.6085,0.8217,0.1783,1.6978,0.6293,0.3707,4.5127,0.8186,0.1814,,,,,,,
13,1715291100000,14549996.0,9595449.69507496,4.6117,0.8218,0.1782,1.6978,0.6293,0.3707,4.5494,0.8198,0.1802,,,,,,,
14,1715291400000,14557218.0,9603396.7146,4.5586,0.8201,0.1799,1.6966,0.6292,0.3708,4.5066,0.8184,0.1816,,,,,,,
15,1715291700000,14570632.0,9631035.63460192,4.5835,0.8209,0.1791,1.696,0.6291,0.3709,4.5249,0.819,0.181,,,,,,,
16,1715292000000,14575557.0,9634443.177,4.571,0.8205,0.1795,1.6937,0.6288,0.3712,4.531,0.8192,0.1808,,,,,,,
17,1715292300000,14591189.0,9636587.20782131,4.5866,0.821,0.179,1.6947,0.6289,0.3711,4.5188,0.8188,0.1812,,,,,,,
18,1715292600000,14638763.0,9667471.14409097,4.6022,0.8215,0.1785,1.6945,0.6289,0.3711,4.5096,0.8185,0.1815,,,,,,,
19,1715292900000,14658614.0,9701070.7452,4.5463,0.8197,0.1803,1.6892,0.6281,0.3719,4.4526,0.8166,0.1834,,,,,,,
20,1715293200000,14632563.0,9682316.01578076,4.5188,0.8188,0.1812,1.6882,0.628,0.372,4.4171,0.8154,0.1846,,,,,,,
21,1715293500000,14636717.0,9698081.28192011,4.571,0.8205,0.1795,1.6875,0.6279,0.3721,4.5036,0.8183,0.1817,,,,,,,
22,1715293800000,14615636.0,9697474.486,4.5218,0.8189,0.1811,1.6887,0.6281,0.3719,4.4675,0.8171,0.1829,,,,,,,
23,1715294100000,14615337.0,9701873.79221346,4.5188,0.8188,0.1812,1.6899,0.6282,0.3718,4.4765,0.8174,0.1826,,,,,,,
24,1715294400000,14609764.0,9727769.93688448,4.5249,0.819,0.181,1.6924,0.6286,0.3714,4.4407,0.8162,0.1838,,,,,,,
25,1715294700000,14610262.0,9769945.60793708,4.5463,0.8197,0.1803,1.6923,0.6286,0.3714,4.4885,0.8178,0.1822,,,,,,,
26,1715295000000,14605696.0,9802310.38643584,4.4318,0.8159,0.1841,1.6917,0.6285,0.3715,4.3619,0.8135,0.1865,,,,,,,
27,1715295300000,14661434.0,9864212.7952,4.4466,0.8164,0.1836,1.6901,0.6283,0.3717,4.4025,0.8149,0.1851,,,,,,,
