,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,273604579.1,141918695.17917,3.1425,0.7586,0.2414,1.3574,0.5758,0.4242,3.7081,0.7876,0.2124,,,,,,,
1,1715287200000,274183208.2,142358658.04585785,3.1356,0.7582,0.2418,1.3626,0.5767,0.4233,3.6948,0.787,0.213,,,,,,,
2,1715287500000,274658652.1,142612624.17617083,3.1322,0.758,0.242,1.3647,0.5771,0.4229,3.6882,0.7867,0.2133,,,,,,,
3,1715287800000,274615036.2,142550981.9012481,3.1288,0.7578,0.2422,1.3618,0.5766,0.4234,3.6882,0.7867,0.2133,,,,,,,
4,1715288100000,274735284.0,142549105.49859455,3.122,0.7574,0.2426,1.3617,0.5766,0.4234,3.6816,0.7864,0.2136,,,,,,,
5,1715288400000,274538796.0,142460432.4625272,3.122,0.7574,0.2426,1.3599,0.5763,0.4237,3.6838,0.7865,0.2135,,,,,,,
6,1715288700000,274246463.0,142501528.25025633,3.1288,0.7578,0.2422,1.3605,0.5764,0.4236,3.6926,0.7869,0.2131,,,,,,,
7,1715289000000,275091031.8,143074845.63918,3.1374,0.7583,0.2417,1.3549,0.5754,0.4246,3.7081,0.7876,0.2124,,,,,,,
8,1715289300000,274781416.5,142623920.3272425,3.1408,0.7585,0.2415,1.3538,0.5752,0.4248,3.7148,0.7879,0.2121,,,,,,,
9,1715289600000,274577295.5,142512406.66101772,3.1408,0.7585,0.2415,1.3542,0.5752,0.4248,3.7125,0.7878,0.2122,,,,,,,
10,1715289900000,274399151.9,142422579.95898473,3.1425,0.7586,0.2414,1.3546,0.5753,0.4247,3.7103,0.7877,0.2123,,,,,,,
11,1715290200000,274287673.1,142338861.53577438,3.1425,0.7586,0.2414,1.3554,0.5755,0.4245,3.7059,0.7875,0.2125,,,,,,,
12,1715290500000,274138125.2,142168031.72872,3.1408,0.7585,0.2415,1.3563,0.5756,0.4244,3.7015,0.7873,0.2127,,,,,,,
13,1715290800000,274223309.9,142262629.9541313,3.1442,0.7587,0.2413,1.3526,0.5749,0.4251,3.7103,0.7877,0.2123,,,,,,,
14,1715291100000,275002387.6,142011232.95664,3.1982,0.7618,0.2382,1.3308,0.571,0.429,3.7755,0.7906,0.2094,,,,,,,
15,1715291400000,274287788.3,142026002.83726513,3.2141,0.7627,0.2373,1.3386,0.5724,0.4276,3.7893,0.7912,0.2088,,,,,,,
16,1715291700000,274052922.1,142069034.81664,3.2088,0.7624,0.2376,1.339,0.5725,0.4275,3.8077,0.792,0.208,,,,,,,
17,1715292000000,274414852.6,142229218.10258,3.2017,0.762,0.238,1.3409,0.5728,0.4272,3.8031,0.7918,0.2082,,,,,,,
18,1715292300000,275086114.3,142677932.84655294,3.1841,0.761,0.239,1.3406,0.5728,0.4272,3.787,0.7911,0.2089,,,,,,,
19,1715292600000,275173602.1,142618397.14391086,3.1876,0.7612,0.2388,1.3375,0.5722,0.4278,3.787,0.7911,0.2089,,,,,,,
20,1715292900000,275379380.2,142826936.49833184,3.1929,0.7615,0.2385,1.3371,0.5721,0.4279,3.7939,0.7914,0.2086,,,,,,,
21,1715293200000,275420610.6,142750502.47398,3.1841,0.761,0.239,1.3361,0.5719,0.4281,3.7893,0.7912,0.2088,,,,,,,
22,1715293500000,275534386.8,142796828.40542975,3.1876,0.7612,0.2388,1.3366,0.572,0.428,3.7893,0.7912,0.2088,,,,,,,
23,1715293800000,275602610.1,142866701.88194144,3.1806,0.7608,0.2392,1.3351,0.5717,0.4283,3.7824,0.7909,0.2091,,,,,,,
24,1715294100000,275947143.1,143078593.69735,3.1771,0.7606,0.2394,1.3357,0.5719,0.4281,3.7801,0.7908,0.2092,,,,,,,
25,1715294400000,276265651.4,143570523.839315,3.1684,0.7601,0.2399,1.3343,0.5716,0.4284,3.7642,0.7901,0.2099,,,,,,,
26,1715294700000,276528199.4,143833184.0661764,3.1667,0.76,0.24,1.3335,0.5715,0.4285,3.7664,0.7902,0.2098,,,,,,,
27,1715295000000,276455617.8,144034264.29633313,3.1649,0.7599,0.2401,1.3302,0.5708,0.4292,3.7461,0.7893,0.2107,,,,,,,
28,1715295300000,276302208.9,144063971.72046,3.1719,0.7603,0.2397,1.3302,0.5708,0.4292,3.7371,0.7889,0.2111,,,,,,,
29,1715295600000,276472512.9,143959237.46703,3.1771,0.7606,0.2394,1.3286,0.5706,0.4294,3.7529,0.7896,0.2104,,,,,,,
30,1715295900000,276120716.5,143665608.79495,3.1894,0.7613,0.2387,1.3282,0.5705,0.4295,3.7687,0.7903,0.2097,,,,,,,
31,1715296200000,275732761.6,143243169.6512,3.1824,0.7609,0.2391,1.3278,0.5704,0.4296,3.7596,0.7899,0.2101,,,,,,,
32,1715296500000,275728895.8,143338306.17266825,3.1771,0.7606,0.2394,1.3284,0.5705,0.4295,3.7664,0.7902,0.2098,,,,,,,
33,1715296800000,275856147.4,143556703.21990204,3.1806,0.7608,0.2392,1.3247,0.5698,0.4302,3.7687,0.7903,0.2097,,,,,,,
34,1715297100000,275620189.7,143267374.60606,3.1771,0.7606,0.2394,1.3263,0.5701,0.4299,3.7619,0.79,0.21,,,,,,,
35,1715297400000,275760839.4,143442708.86328557,3.1754,0.7605,0.2395,1.3259,0.5701,0.4299,3.7596,0.7899,0.2101,,,,,,,
36,1715297700000,275490950.0,143208650.6272555,3.1771,0.7606,0.2394,1.3231,0.5695,0.4305,3.7664,0.7902,0.2098,,,,,,,
37,1715298000000,274974809.7,143014398.52497,3.1701,0.7602,0.2398,1.3224,0.5694,0.4306,3.7574,0.7898,0.2102,,,,,,,
38,1715298300000,275009919.7,142922655.26809,3.1701,0.7602,0.2398,1.3228,0.5695,0.4305,3.7574,0.7898,0.2102,,,,,,,
39,1715298600000,274765738.0,143015566.629,3.1684,0.7601,0.2399,1.3219,0.5693,0.4307,3.7506,0.7895,0.2105,,,,,,,
40,1715298900000,274717512.6,143045408.81082,3.1701,0.7602,0.2398,1.3214,0.5692,0.4308,3.7461,0.7893,0.2107,,,,,,,
41,1715299200000,274668247.6,142992289.70056,3.1667,0.76,0.24,1.3222,0.5694,0.4306,3.7461,0.7893,0.2107,,,,,,,
42,1715299500000,274893936.3,142724931.72696,3.1511,0.7591,0.2409,1.3186,0.5687,0.4313,3.7416,0.7891,0.2109,,,,,,,
43,1715299800000,274821217.2,142687175.97024,3.158,0.7595,0.2405,1.3189,0.5688,0.4312,3.7237,0.7883,0.2117,,,,,,,
44,1715300100000,274682149.3,142724844.77628,3.1597,0.7596,0.2404,1.3201,0.569,0.431,3.7148,0.7879,0.2121,,,,,,,
45,1715300400000,274320185.9,142299953.46355626,3.1632,0.7598,0.2402,1.3203,0.569,0.431,3.7192,0.7881,0.2119,,,,,,,
46,1715300700000,273954820.5,142045574.42925,3.1701,0.7602,0.2398,1.3207,0.5691,0.4309,3.7237,0.7883,0.2117,,,,,,,
47,1715301000000,273449762.4,141729011.85192,3.1615,0.7597,0.2403,1.3298,0.5708,0.4292,3.717,0.788,0.212,,,,,,,
48,1715301300000,273516963.1,141767983.02155134,3.1408,0.7585,0.2415,1.3295,0.5707,0.4293,3.697,0.7871,0.2129,,,,,,,
49,1715301600000,273174158.6,141476896.73894,3.1494,0.759,0.241,1.3329,0.5713,0.4287,3.7015,0.7873,0.2127,,,,,,,
50,1715301900000,273190841.4,141559729.9297674,3.1442,0.7587,0.2413,1.3342,0.5716,0.4284,3.6816,0.7864,0.2136,,,,,,,
51,1715302200000,273530922.0,141498076.60058868,3.1459,0.7588,0.2412,1.3373,0.5722,0.4278,3.6926,0.7869,0.2131,,,,,,,
52,1715302500000,273577925.5,141736756.32163024,3.1459,0.7588,0.2412,1.3373,0.5722,0.4278,3.6904,0.7868,0.2132,,,,,,,
53,1715302800000,273565465.5,141624841.48935,3.1442,0.7587,0.2413,1.3373,0.5722,0.4278,3.6904,0.7868,0.2132,,,,,,,
54,1715303100000,273299037.6,141415564.31876415,3.1408,0.7585,0.2415,1.3344,0.5716,0.4284,3.6816,0.7864,0.2136,,,,,,,
55,1715303400000,273518206.9,141492902.20309278,3.1459,0.7588,0.2412,1.3362,0.572,0.428,3.686,0.7866,0.2134,,,,,,,
56,1715303700000,273486031.9,141474324.30187,3.1408,0.7585,0.2415,1.3395,0.5726,0.4274,3.7125,0.7878,0.2122,,,,,,,
57,1715304000000,273339340.3,141398440.73719,3.1425,0.7586,0.2414,1.3399,0.5726,0.4274,3.7148,0.7879,0.2121,,,,,,,
58,1715304300000,273545295.8,141451087.6231615,3.1459,0.7588,0.2412,1.3422,0.573,0.427,3.7103,0.7877,0.2123,,,,,,,
59,1715304600000,273673903.1,141635114.62544948,3.1408,0.7585,0.2415,1.3442,0.5734,0.4266,3.7059,0.7875,0.2125,,,,,,,
60,1715304900000,273998364.1,141903752.76739,3.1356,0.7582,0.2418,1.3462,0.5738,0.4262,3.7015,0.7873,0.2127,,,,,,,
61,1715305200000,274509966.5,142322459.1923873,3.1442,0.7587,0.2413,1.348,0.5741,0.4259,3.7103,0.7877,0.2123,,,,,,,
62,1715305500000,274747229.5,142192167.37811083,3.1408,0.7585,0.2415,1.3496,0.5744,0.4256,3.7125,0.7878,0.2122,,,,,,,
63,1715305800000,274940743.3,142254340.58342,3.1425,0.7586,0.2414,1.3498,0.5744,0.4256,3.7103,0.7877,0.2123,,,,,,,
64,1715306100000,275043645.9,142370262.08512416,3.1442,0.7587,0.2413,1.3518,0.5748,0.4252,3.7103,0.7877,0.2123,,,,,,,
65,1715306400000,275353096.5,142587506.52198005,3.1135,0.7569,0.2431,1.3798,0.5798,0.4202,3.697,0.7871,0.2129,,,,,,,
66,1715306700000,275394487.2,142434028.77984,3.1203,0.7573,0.2427,1.3783,0.5795,0.4205,3.6926,0.7869,0.2131,,,,,,,
67,1715307000000,275413311.5,142471306.03895,3.1135,0.7569,0.2431,1.3785,0.5796,0.4204,3.6795,0.7863,0.2137,,,,,,,
68,1715307300000,275719500.2,142546981.6034,3.095,0.7558,0.2442,1.3796,0.5798,0.4202,3.6795,0.7863,0.2137,,,,,,,
69,1715307600000,276059222.6,142917154.257774,3.1152,0.757,0.243,1.3785,0.5796,0.4204,3.6816,0.7864,0.2136,,,,,,,
70,1715307900000,276196178.4,143097240.02904,3.0883,0.7554,0.2446,1.3776,0.5794,0.4206,3.6729,0.786,0.214,,,,,,,
71,1715308200000,276323224.9,143273592.11065,3.0833,0.7551,0.2449,1.3784,0.5795,0.4205,3.6642,0.7856,0.2144,,,,,,,
72,1715308500000,276255924.9,143212980.39660105,3.0816,0.755,0.245,1.3782,0.5795,0.4205,3.6642,0.7856,0.2144,,,,,,,
73,1715308800000,276622547.2,143290479.4496,3.0816,0.755,0.245,1.3805,0.5799,0.4201,3.662,0.7855,0.2145,,,,,,,
74,1715309100000,276630083.1,143517053.66489053,3.08,0.7549,0.2451,1.3794,0.5797,0.4203,3.6664,0.7857,0.2143,,,,,,,
75,1715309400000,276770456.8,143453872.4637205,3.0816,0.755,0.245,1.3802,0.5799,0.4201,3.6707,0.7859,0.2141,,,,,,,
76,1715309700000,276684327.4,143267144.72772,3.08,0.7549,0.2451,1.3788,0.5796,0.4204,3.6729,0.786,0.214,,,,,,,
77,1715310000000,276799793.3,143354612.95007,3.0883,0.7554,0.2446,1.3794,0.5797,0.4203,3.6795,0.7863,0.2137,,,,,,,
78,1715310300000,276779592.5,143203270.1431675,3.0766,0.7547,0.2453,1.3796,0.5798,0.4202,3.6577,0.7853,0.2147,,,,,,,
79,1715310600000,276750399.4,143264842.36162317,3.0766,0.7547,0.2453,1.3797,0.5798,0.4202,3.6555,0.7852,0.2148,,,,,,,
80,1715310900000,276603500.4,143004009.7068,3.08,0.7549,0.2451,1.38,0.5798,0.4202,3.662,0.7855,0.2145,,,,,,,
81,1715311200000,276684185.8,143184066.1515,3.075,0.7546,0.2454,1.3795,0.5797,0.4203,3.6598,0.7854,0.2146,,,,,,,
82,1715311500000,276763580.2,143124684.8062516,3.08,0.7549,0.2451,1.3801,0.5798,0.4202,3.6642,0.7856,0.2144,,,,,,,
83,1715311800000,276834800.1,143222554.55603975,3.0783,0.7548,0.2452,1.3798,0.5798,0.4202,3.6664,0.7857,0.2143,,,,,,,
84,1715312100000,276919679.0,143056706.1714,3.075,0.7546,0.2454,1.3811,0.58,0.42,3.6642,0.7856,0.2144,,,,,,,
85,1715312400000,276864389.2,143138889.2164,3.0733,0.7545,0.2455,1.3807,0.58,0.42,3.662,0.7855,0.2145,,,,,,,
86,1715312700000,276911564.3,143162298.47616237,3.075,0.7546,0.2454,1.381,0.58,0.42,3.6598,0.7854,0.2146,,,,,,,
87,1715313000000,276953890.6,143223605.4097542,3.0766,0.7547,0.2453,1.3807,0.58,0.42,3.6577,0.7853,0.2147,,,,,,,
88,1715313300000,277146302.4,143450926.12224,3.075,0.7546,0.2454,1.3821,0.5802,0.4198,3.6468,0.7848,0.2152,,,,,,,
89,1715313600000,277197859.4,143410502.42367926,3.0733,0.7545,0.2455,1.3822,0.5802,0.4198,3.6468,0.7848,0.2152,,,,,,,
90,1715313900000,277282241.1,143504129.76828074,3.0667,0.7541,0.2459,1.3823,0.5802,0.4198,3.6404,0.7845,0.2155,,,,,,,
91,1715314200000,277341665.0,143361281.88656306,3.07,0.7543,0.2457,1.3832,0.5804,0.4196,3.6468,0.7848,0.2152,,,,,,,
92,1715314500000,277418267.7,143563953.53475,3.07,0.7543,0.2457,1.3825,0.5803,0.4197,3.6512,0.785,0.215,,,,,,,
93,1715314800000,277554758.5,143747405.2064375,3.0733,0.7545,0.2455,1.3813,0.5801,0.4199,3.6533,0.7851,0.2149,,,,,,,
94,1715315100000,277561114.0,143832169.2748,3.0683,0.7542,0.2458,1.3809,0.58,0.42,3.6468,0.7848,0.2152,,,,,,,
95,1715315400000,277833551.2,144027959.9729994,3.07,0.7543,0.2457,1.3801,0.5798,0.4202,3.6468,0.7848,0.2152,,,,,,,
96,1715315700000,277991474.9,144021509.18582538,3.07,0.7543,0.2457,1.3834,0.5804,0.4196,3.6447,0.7847,0.2153,,,,,,,
97,1715316000000,278097976.0,144138180.9608,3.07,0.7543,0.2457,1.3827,0.5803,0.4197,3.649,0.7849,0.2151,,,,,,,
98,1715316300000,277922903.2,143964063.8576,3.0717,0.7544,0.2456,1.3815,0.5801,0.4199,3.6468,0.7848,0.2152,,,,,,,
99,1715316600000,278073646.8,144069956.40708,3.07,0.7543,0.2457,1.3813,0.5801,0.4199,3.6404,0.7845,0.2155,,,,,,,
100,1715316900000,277951165.4,144035327.88861528,3.0733,0.7545,0.2455,1.3804,0.5799,0.4201,3.649,0.7849,0.2151,,,,,,,
101,1715317200000,277974755.3,144046518.19646,3.075,0.7546,0.2454,1.3804,0.5799,0.4201,3.649,0.7849,0.2151,,,,,,,
102,1715317500000,277935385.9,144101362.4204047,3.0833,0.7551,0.2449,1.3802,0.5799,0.4201,3.6577,0.7853,0.2147,,,,,,,
103,1715317800000,277905583.0,144066254.2272,3.0766,0.7547,0.2453,1.3783,0.5795,0.4205,3.6512,0.785,0.215,,,,,,,
104,1715318100000,277833072.2,143917531.3996,3.0733,0.7545,0.2455,1.3764,0.5792,0.4208,3.6468,0.7848,0.2152,,,,,,,
105,1715318400000,277711666.0,143716900.77878067,3.0783,0.7548,0.2452,1.3752,0.579,0.421,3.649,0.7849,0.2151,,,,,,,
106,1715318700000,277502477.7,143427372.05117762,3.08,0.7549,0.2451,1.375,0.579,0.421,3.6533,0.7851,0.2149,,,,,,,
107,1715319000000,277155077.8,143233744.20704,3.0833,0.7551,0.2449,1.3741,0.5788,0.4212,3.6533,0.7851,0.2149,,,,,,,
108,1715319300000,277068925.2,143355461.89848,3.085,0.7552,0.2448,1.3735,0.5787,0.4213,3.6533,0.7851,0.2149,,,,,,,
109,1715319600000,277009542.8,143293463.06733787,3.0535,0.7533,0.2467,1.3741,0.5788,0.4212,3.6296,0.784,0.216,,,,,,,
110,1715319900000,277696571.1,143570115.85849312,3.0502,0.7531,0.2469,1.3783,0.5795,0.4205,3.6189,0.7835,0.2165,,,,,,,
111,1715320200000,277951007.0,143712341.78178394,3.0816,0.755,0.245,1.3808,0.58,0.42,3.6382,0.7844,0.2156,,,,,,,
112,1715320500000,277963184.1,143668924.13832408,3.0833,0.7551,0.2449,1.382,0.5802,0.4198,3.6404,0.7845,0.2155,,,,,,,
